municipality,group,variable,month,Número de mujeres con muestras de PAP tomadas,Número de mujeres con muestras de PAP tomadas1,Número de mujeres con muestras de PAP tomadas2,Número de mujeres con muestras de PAP tomadas3,Número de mujeres con muestras de PAP tomadas4,TOTAL
FILADELFIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,1,0,0,1
GENERAL SAAVEDRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,2,0,26,23,9,60
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,14,5,0,20
GUANAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,10,53,16,3,83
GUAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,8,7,0,17
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,3,29,93,69,7,201
GUTIERREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,8,7,0,17
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,7,25,36,4,72
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,1,0,0,1
HUACHACALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,2,2,0,4
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,46,20,5,72
HUATAJATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,3,2,0,6
HUAYLLAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,1,0,2,3
HUMANATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,1,2,1,5
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,22,31,11,66
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,7,19,20,5,51
INGAVI (HUMAITA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,0,0,0,1
INQUISIVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,4,2,2,10
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,8,2,1,11
JESUS DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,7,3,5,17
LA ASUNTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,8,29,5,1,43
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,2,31,186,58,26,303
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,134,2260,1354,660,4408
LAGUNILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,3,15,9,7,35
LAJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,18,16,2,37
LAS CARRERAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,4,17,8,1,30
LICOMA PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,7,2,2,11
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,7,3,4,15
LURIBAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,1,0,0,2
MACHACAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,1,0,0,2
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,5,23,10,3,42
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,8,15,8,4,36
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,10,3,0,14
MALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,9,14,2,25
MAPIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,2,3,0,7
MECAPACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,11,9,0,21
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,15,5,2,23
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,23,84,48,15,171
MOCOMOCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,6,15,9,4,35
MOJINETE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,2,1,0,3
MOJOCOYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,2,9,34,37,13,95
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,2,22,49,63,24,160
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,11,157,65,23,257
MORO MORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,3,8,2,1,14
MOROCHATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,3,3,1,7
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,6,4,0,11
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,4,6,0,10
OKINAWA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,4,2,1,7
OMEREQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,3,14,3,1,21
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,3,104,847,539,130,1623
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,15,12,0,27
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,5,46,43,9,103
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,10,21,8,2,41
PALCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,36,26,14,78
PALOS BLANCOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,2,7,45,31,3,88
PAMPA AULLAGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,0,0,0,0,1
PAMPA GRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,0,7,4,1,13
PAPEL PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,0,5,1,0,7
PASORAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,2,3,1,7
PATACAMAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,0,8,7,0,16
PAZÑA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,6,6,3,15
PELECHUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,6,2,1,9
POCOATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,5,13,10,11,39
POCONA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,4,5,3,2,15
POJO (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,0,4,2,6
POOPO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,6,1,0,7
PORCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,4,0,0,4
POROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,4,46,29,10,89
PORONGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,6,4,1,12
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,15,6,4,27
PORVENIR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,0,1,1,2
POSTRER VALLE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,4,4,0,8
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,16,319,359,72,766
PRESTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,2,18,78,46,13,157
PUCARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,2,1,0,3
PUCARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,12,31,10,1,54
PUERTO ACOSTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,3,10,3,0,16
PUERTO CARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,3,21,18,2,44
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,5,15,5,1,26
PUERTO PEREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,2,3,2,8
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,23,74,12,1,110
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,2,1,0,0,4
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,4,6,1,11
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,16,31,29,9,85
PUNA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,3,78,23,12,116
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,14,124,90,76,305
QUIABAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,3,1,0,2,6
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,41,206,82,57,386
QUIME,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,9,11,11,3,35
QUIRUSILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,6,3,3,13
RAVELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,5,48,30,19,102
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,1,0,0,2
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,9,132,415,162,44,762
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,9,4,0,15
SABAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,4,11,11,10,36
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,47,254,113,44,458
SACABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,1,1,1,2,6
SACACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,5,8,1,14
SAIPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,16,18,7,41
SAMAIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,9,9,1,20
SAN ANDRES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,18,11,7,38
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,16,22,7,47
SAN ANTONIO DE ESMORUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,7,3,0,10
SAN ANTONIO DE LOMERIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,6,4,0,10
SAN BENITO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,4,19,6,0,29
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,4,8,2,15
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,3,14,13,0,30
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,14,51,11,3,79
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,31,15,2,49
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,10,41,15,0,66
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,4,8,5,1,19
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,3,8,4,2,17
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,2,2,0,4
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,14,87,46,10,157
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,11,8,3,22
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,10,76,76,25,187
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,3,0,0,3
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,10,43,43,9,105
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,1,0,0,1
SAN PEDRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,5,30,20,6,62
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,8,18,1,27
SAN PEDRO DE CURAHUARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,6,0,0,8
SAN PEDRO(PND),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,5,2,2,10
SAN RAFAEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,5,11,1,0,17
SAN RAMON BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,5,0,0,6
SAN RAMON SCZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,12,3,0,16
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,0,6,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,7,473,2563,1012,375,4430
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,5,27,17,0,49
SANTIAGO DE HUARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,9,3,1,14
SANTIAGO DE HUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,2,5,2,10
SANTIAGO DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,0,0,1,1
SANTIVAÑES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,8,2,1,11
SAPAHAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,18,11,7,36
SENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,7,0,2,10
SHINAOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,11,32,14,0,57
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,10,5,4,21
SICAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,2,1,1,4
SIPE SIPE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,4,26,5,1,36
SOPACHUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,4,4,3,13
SORACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,3,0,1,5
SORATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,3,9,0,12
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,16,268,2141,773,179,3377
TACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,1,0,0,1
TACACOMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,1,0,0,1
TACOBAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,2,1,6,9
TACOPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,9,4,2,17
TAPACARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,1,3,17,6,1,28
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,7,45,41,1,94
TARACO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,9,7,4,21
TARATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,12,8,1,21
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,2,25,454,398,140,1019
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,11,38,68,7,124
TEOPONTE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,4,15,3,3,25
TIAWANACU,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,6,5,2,15
TINGUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,3,20,21,5,49
TIPUANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,33,20,3,58
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,31,37,11,1,80
TIRAQUE (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,10,23,10,2,45
TOCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,3,4,12,3,22
TOLATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,12,8,2,22
TOLEDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,2,3,1,6
TOMAVE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,17,14,9,40
TOMINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,3,9,74,66,22,174
TORO TORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,7,3,0,11
TOTORA(CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,4,9,21,5,1,40
TOTORA(ORR),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,2,23,9,15,49
TRIGAL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,2,0,0,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,13,36,178,127,36,390
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,10,107,62,27,206
TURCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,4,2,3,10
UMALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,1,0,0,1
UNCIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,16,14,10,41
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,10,9,7,26
URUBICHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,7,1,0,8
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,8,9,0,17
VACAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,6,6,5,18
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,10,37,36,14,97
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,19,105,120,63,307
VILA VILA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,1,0,0,0,1
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,14,99,55,11,179
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,16,111,57,21,205
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-03-01,0,0,0,1,0,1
