municipality,group,variable,month,Inyectable Trimestral: Usuarias Nuevas,Inyectable Trimestral: Usuarias Nuevas1,Inyectable Trimestral: Usuarias Nuevas2,Inyectable Trimestral: Usuarias Nuevas3,Inyectable Trimestral: Usuarias Nuevas4,TOTAL
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,3,5,0,11
IXIAMAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,8,0,0,9
JESUS DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,2,0,0,4
LA ASUNTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,2,3,17,3,0,25
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,17,56,11,0,84
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,33,153,47,1,234
LAJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,6,1,0,9
LAS CARRERAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,2,0,0,2
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,6,33,15,0,54
LLICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,3,0,0,6
LORETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,2,0,0,2
LURIBAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,2,3,1,7
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,4,0,0,6
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,0,0,0,1
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,8,0,0,10
MALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,4,0,0,4
MAPIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,4,4,0,8
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,4,10,2,0,16
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,5,41,8,0,54
MOCOMOCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,1,2,0,5
MOJINETE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,1,0,0,1
MOJOCOYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,3,3,1,9
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,1,7,14,1,0,23
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,2,19,37,8,0,66
MORO MORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,1,0,0,2
MOROCHATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,3,4,0,8
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,2,0,0,2
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,2,0,0,2
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,5,3,0,9
OKINAWA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,2,0,0,3
OMEREQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,2,1,0,3
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,10,66,28,0,104
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,4,15,9,0,28
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,7,2,0,11
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,8,1,0,11
PALCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,15,2,0,18
PALOS BLANCOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,12,4,0,18
PAMPA AULLAGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,1,0,0,1
PAMPA GRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,3,1,0,6
PAPEL PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,0,5,0,5
PASORAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,0,1,0,1
PATACAMAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,1,1,0,2
PAZÑA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,4,0,0,4
PELECHUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,0,0,0,1
POCOATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,7,8,0,18
POCONA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,1,3,9,5,0,18
POJO (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,7,3,0,13
POOPO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,5,0,0,5
PORCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,6,1,0,9
POROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,15,2,0,19
PORONGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,16,2,0,20
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,1,1,0,2
POSTRER VALLE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,0,1,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,1,15,105,22,0,143
PRESTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,16,6,0,25
PUCARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,12,3,0,18
PUERTO ACOSTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,2,1,0,4
PUERTO CARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,4,10,0,14
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,1,0,2,1,0,4
PUERTO PEREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,0,1,0,1
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,4,6,3,0,13
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,4,0,0,7
PUERTO SILES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,1,0,1,0,0,2
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,4,1,0,5
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,7,27,8,0,42
PUNA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,5,0,0,6
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,18,4,0,23
QUIABAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,1,0,0,2
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,12,40,22,0,74
QUIME,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,6,5,0,14
QUIRUSILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,1,0,0,2
RAVELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,4,7,9,1,21
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,7,0,0,8
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,2,25,66,16,0,109
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,11,1,0,12
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,15,3,0,20
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,10,52,14,0,76
SACABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,1,0,0,1
SACACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,13,1,0,17
SAIPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,1,0,0,2
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,7,0,0,9
SAMAIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,5,0,0,7
SAN AGUSTIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,2,0,0,2
SAN ANDRES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,4,7,10,0,21
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,1,1,0,2
SAN ANTONIO DE LOMERIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,1,1,3,0,0,5
SAN BENITO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,1,0,0,1
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,6,21,7,1,35
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,4,1,0,5
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,7,5,1,0,13
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,2,4,15,0,0,21
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,5,12,7,0,24
SAN JAVIER(BNI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,1,1,2,0,0,4
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,4,0,0,5
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,6,16,3,0,25
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,3,1,0,4
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,6,16,6,0,28
SAN LORENZO(PND),"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,11,3,0,14
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,7,6,1,17
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,4,11,3,1,19
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,4,1,0,5
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,6,5,0,0,11
SAN PEDRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,7,0,0,10
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,10,7,0,18
SAN PEDRO DE CURAHUARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,2,0,0,2
SAN PEDRO(PND),"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,5,0,0,5
SAN RAFAEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,4,3,0,10
SAN RAMON BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,2,0,0,2
SAN RAMON SCZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,9,12,6,0,27
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,1,6,8,1,0,16
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,4,94,277,52,0,427
SANTA ROSA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,1,2,0,5
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,4,0,0,6
SANTIAGO DE CALLAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,1,0,0,2
SANTIAGO DE HUARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,4,12,3,0,19
SANTIAGO DE HUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,3,0,0,4
SANTIVAÑES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,5,3,0,9
SAPAHAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,5,1,0,6
SENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,5,0,0,6
SHINAOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,7,3,0,13
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,4,1,0,5
SICAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,1,0,5,0,0,6
SIPE SIPE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,33,6,0,42
SOPACHUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,5,0,0,6
SORACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,2,3,0,6
SORATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,4,4,4,0,12
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,42,163,45,1,251
TACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,1,0,0,1
TACACOMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,5,1,0,6
TACOBAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,12,10,0,23
TACOPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,1,2,0,4
TAPACARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,15,7,0,24
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,8,2,0,13
TARACO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,2,1,0,4
TARATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,1,1,3,0,0,5
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,32,41,23,0,96
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,10,3,0,14
TEOPONTE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,1,2,5,2,0,10
TIAWANACU,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,2,0,0,2
TINGUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,11,6,0,19
TIPUANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,7,1,0,8
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,13,42,4,0,59
TIRAQUE (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,5,0,0,5
TOCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,5,1,0,9
TOLATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,5,0,0,5
TOMAVE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,8,4,0,13
TOMINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,5,9,2,0,16
TORO TORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,5,2,0,9
TOTORA(CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,3,15,63,19,0,100
TOTORA(ORR),"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,2,1,0,3
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,3,13,30,8,0,54
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,5,21,5,0,31
TURCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,2,0,0,2
UMALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,0,1,0,3
UNCIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,11,3,0,17
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,1,0,3,2,0,6
URUBICHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,4,0,0,4
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,6,16,5,0,27
VACAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,1,1,0,2
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,3,0,0,6
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,6,34,11,0,51
VILA VILA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,2,0,0,4
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,8,5,0,13
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,4,9,2,0,15
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,1,1,2,0,0,4
VILLA RIVERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,2,6,0,9
VILLA SERRANO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,4,2,0,6
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,18,60,3,0,81
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,2,1,0,4
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,5,7,2,0,14
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,17,7,0,26
VITICHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,2,2,0,5
WALDO BALLIVIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,1,1,0,2
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,1,14,38,8,0,61
YACO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,2,0,0,2
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,2,10,27,5,0,44
YAMPARAEZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,2,1,0,3
YANACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,1,1,0,2
YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,3,32,4,0,39
YOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,2,11,2,0,15
YOTALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,0,2,1,0,3
YUNCHARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,6,0,0,7
ZUDAÑEZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-03-01,0,1,1,0,0,2
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-04-01,0,0,2,0,0,2
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-04-01,1,3,14,1,0,19
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-04-01,0,1,8,1,0,10
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias nuevas,2015-04-01,0,2,6,7,0,15
