,group,variable,month,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
CORIPATA,estado nutricional,l 9.1 talla normal,2011-04-01,158,150,104,131,121,121,383,402,785
CORO CORO,estado nutricional,l 9.1 talla normal,2011-04-01,73,70,51,64,43,45,167,179,346
COROICO,estado nutricional,l 9.1 talla normal,2011-04-01,113,120,97,107,82,120,292,347,639
CORQUE,estado nutricional,l 9.1 talla normal,2011-04-01,40,23,17,19,30,35,87,77,164
COTAGAITA,estado nutricional,l 9.1 talla normal,2011-04-01,141,157,123,129,140,145,404,431,835
COTOCA,estado nutricional,l 9.1 talla normal,2011-04-01,401,360,221,215,288,246,910,821,1731
CUATRO CAÑADAS,estado nutricional,l 9.1 talla normal,2011-04-01,144,115,73,55,103,93,320,263,583
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l 9.1 talla normal,2011-04-01,18,15,15,6,9,9,42,30,72
CUEVO,estado nutricional,l 9.1 talla normal,2011-04-01,35,34,34,20,62,56,131,110,241
CULPINA,estado nutricional,l 9.1 talla normal,2011-04-01,162,163,107,107,141,173,410,443,853
CURAHUARA DE CARANGAS,estado nutricional,l 9.1 talla normal,2011-04-01,34,56,39,30,49,32,122,118,240
CURVA,estado nutricional,l 9.1 talla normal,2011-04-01,16,33,7,6,10,9,33,48,81
DESAGUADERO,estado nutricional,l 9.1 talla normal,2011-04-01,43,32,17,13,23,26,83,71,154
EL ALTO,estado nutricional,l 9.1 talla normal,2011-04-01,5623,5224,3786,3704,3424,3229,12833,12157,24990
EL CHORO,estado nutricional,l 9.1 talla normal,2011-04-01,32,40,45,44,63,52,140,136,276
EL PUENTE(STC),estado nutricional,l 9.1 talla normal,2011-04-01,113,97,52,66,81,92,246,255,501
EL PUENTE(TJA),estado nutricional,l 9.1 talla normal,2011-04-01,105,77,79,84,90,95,274,256,530
EL TORNO,estado nutricional,l 9.1 talla normal,2011-04-01,341,329,180,146,197,162,718,637,1355
EL VILLAR,estado nutricional,l 9.1 talla normal,2011-04-01,32,29,27,27,65,64,124,120,244
ENTRE RIOS TRJ,estado nutricional,l 9.1 talla normal,2011-04-01,146,177,166,123,167,162,479,462,941
ENTRE RIOS CBBA,estado nutricional,l 9.1 talla normal,2011-04-01,316,276,196,199,240,223,752,698,1450
ESCARA,estado nutricional,l 9.1 talla normal,2011-04-01,0,1,2,1,1,2,3,4,7
ESCOMA,estado nutricional,l 9.1 talla normal,2011-04-01,20,21,15,22,19,27,54,70,124
EUCALIPTUS,estado nutricional,l 9.1 talla normal,2011-04-01,15,22,19,19,5,12,39,53,92
EUREKA (SANTOS MERCADO),estado nutricional,l 9.1 talla normal,2011-04-01,10,13,4,10,14,7,28,30,58
EXALTACION,estado nutricional,l 9.1 talla normal,2011-04-01,16,14,16,12,33,32,65,58,123
FERNANDEZ ALONSO,estado nutricional,l 9.1 talla normal,2011-04-01,146,93,101,92,148,102,395,287,682
FILADELFIA,estado nutricional,l 9.1 talla normal,2011-04-01,42,40,29,22,40,29,111,91,202
GENERAL SAAVEDRA,estado nutricional,l 9.1 talla normal,2011-04-01,131,116,97,100,126,119,354,335,689
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l 9.1 talla normal,2011-04-01,67,63,51,70,39,41,157,174,331
GUANAY,estado nutricional,l 9.1 talla normal,2011-04-01,111,142,83,83,117,135,311,360,671
GUAQUI,estado nutricional,l 9.1 talla normal,2011-04-01,46,44,35,25,30,37,111,106,217
GUAYARAMERIN,estado nutricional,l 9.1 talla normal,2011-04-01,330,311,136,155,141,141,607,607,1214
GUTIERREZ,estado nutricional,l 9.1 talla normal,2011-04-01,150,141,119,102,173,155,442,398,840
HUACARETA,estado nutricional,l 9.1 talla normal,2011-04-01,70,85,74,67,113,117,257,269,526
HUACAYA (VILLA DE HUACAYA),estado nutricional,l 9.1 talla normal,2011-04-01,26,15,9,10,32,39,67,64,131
HUACHACALLA,estado nutricional,l 9.1 talla normal,2011-04-01,8,1,10,3,12,12,30,16,46
HUANUNI,estado nutricional,l 9.1 talla normal,2011-04-01,170,166,75,105,81,90,326,361,687
HUARACAJE,estado nutricional,l 9.1 talla normal,2011-04-01,27,27,13,18,16,29,56,74,130
HUARINA,estado nutricional,l 9.1 talla normal,2011-04-01,41,39,17,20,39,18,97,77,174
HUAYLLAMARCA,estado nutricional,l 9.1 talla normal,2011-04-01,46,26,39,35,39,39,124,100,224
HUMANATA,estado nutricional,l 9.1 talla normal,2011-04-01,30,26,22,15,10,8,62,49,111
ICHOCA,estado nutricional,l 9.1 talla normal,2011-04-01,32,18,11,21,17,30,60,69,129
ICLA,estado nutricional,l 9.1 talla normal,2011-04-01,73,70,57,48,134,140,264,258,522
INCAHUASI,estado nutricional,l 9.1 talla normal,2011-04-01,105,115,76,66,106,122,287,303,590
INGAVI (HUMAITA),estado nutricional,l 9.1 talla normal,2011-04-01,3,3,8,4,11,6,22,13,35
INQUISIVI,estado nutricional,l 9.1 talla normal,2011-04-01,89,73,50,37,62,61,201,171,372
IRUPANA (VILLA DE LANZA),estado nutricional,l 9.1 talla normal,2011-04-01,82,110,72,67,92,117,246,294,540
IXIAMAS,estado nutricional,l 9.1 talla normal,2011-04-01,89,77,66,62,37,67,192,206,398
JESUS DE MACHACA,estado nutricional,l 9.1 talla normal,2011-04-01,100,104,84,59,100,123,284,286,570
LA ASUNTA,estado nutricional,l 9.1 talla normal,2011-04-01,330,322,243,184,201,219,774,725,1499
LA GUARDIA,estado nutricional,l 9.1 talla normal,2011-04-01,529,542,236,239,246,255,1011,1036,2047
LA PAZ,estado nutricional,l 9.1 talla normal,2011-04-01,4268,4088,2798,2618,3326,3296,10392,10002,20394
LA RIVERA,estado nutricional,l 9.1 talla normal,2011-04-01,0,5,2,1,4,7,6,13,19
LAGUNILLAS,estado nutricional,l 9.1 talla normal,2011-04-01,54,57,56,47,142,113,252,217,469
LAJA,estado nutricional,l 9.1 talla normal,2011-04-01,127,120,90,74,63,86,280,280,560
LAS CARRERAS,estado nutricional,l 9.1 talla normal,2011-04-01,32,27,25,20,60,62,117,109,226
LICOMA PAMPA,estado nutricional,l 9.1 talla normal,2011-04-01,29,27,12,21,10,20,51,68,119
LLALLAGUA,estado nutricional,l 9.1 talla normal,2011-04-01,283,290,193,176,136,140,612,606,1218
LLICA,estado nutricional,l 9.1 talla normal,2011-04-01,28,27,6,39,32,29,66,95,161
LORETO,estado nutricional,l 9.1 talla normal,2011-04-01,16,18,15,14,31,38,62,70,132
LURIBAY,estado nutricional,l 9.1 talla normal,2011-04-01,74,60,41,55,76,60,191,175,366
MACHACAMARCA,estado nutricional,l 9.1 talla normal,2011-04-01,48,42,36,43,45,39,129,124,253
MACHARETI,estado nutricional,l 9.1 talla normal,2011-04-01,77,55,51,45,161,135,289,235,524
MAGDALENA,estado nutricional,l 9.1 talla normal,2011-04-01,71,66,26,29,56,51,153,146,299
MAIRANA,estado nutricional,l 9.1 talla normal,2011-04-01,95,101,45,52,43,52,183,205,388
MALLA,estado nutricional,l 9.1 talla normal,2011-04-01,18,15,13,9,8,6,39,30,69
MAPIRI,estado nutricional,l 9.1 talla normal,2011-04-01,132,73,36,36,35,32,203,141,344
MECAPACA,estado nutricional,l 9.1 talla normal,2011-04-01,83,86,55,43,46,54,184,183,367
MINEROS,estado nutricional,l 9.1 talla normal,2011-04-01,121,125,106,105,89,105,316,335,651
MIZQUE,estado nutricional,l 9.1 talla normal,2011-04-01,254,247,210,211,183,177,647,635,1282
MOCOMOCO,estado nutricional,l 9.1 talla normal,2011-04-01,63,74,42,54,53,57,158,185,343
MOJINETE,estado nutricional,l 9.1 talla normal,2011-04-01,3,4,4,5,5,6,12,15,27
MOJOCOYA,estado nutricional,l 9.1 talla normal,2011-04-01,53,57,47,55,79,95,179,207,386
MONTEAGUDO,estado nutricional,l 9.1 talla normal,2011-04-01,222,188,180,198,262,257,664,643,1307
MONTERO,estado nutricional,l 9.1 talla normal,2011-04-01,1139,1017,644,626,654,665,2437,2308,4745
MORO MORO,estado nutricional,l 9.1 talla normal,2011-04-01,19,16,12,17,11,13,42,46,88
MOROCHATA,estado nutricional,l 9.1 talla normal,2011-04-01,108,122,98,85,76,85,282,292,574
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l 9.1 talla normal,2011-04-01,14,13,5,12,4,3,23,28,51
NAZACARA DE PACAJES,estado nutricional,l 9.1 talla normal,2011-04-01,4,4,5,3,1,3,10,10,20
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l 9.1 talla normal,2011-04-01,37,13,13,15,33,46,83,74,157
OCURI,estado nutricional,l 9.1 talla normal,2011-04-01,165,124,118,120,102,82,385,326,711
OKINAWA,estado nutricional,l 9.1 talla normal,2011-04-01,128,114,90,93,127,133,345,340,685
OMEREQUE,estado nutricional,l 9.1 talla normal,2011-04-01,64,42,28,35,38,38,130,115,245
ORURO,estado nutricional,l 9.1 talla normal,2011-04-01,1763,1780,1171,1185,884,913,3818,3878,7696
PADCAYA,estado nutricional,l 9.1 talla normal,2011-04-01,139,140,154,120,153,142,446,402,848
PADILLA,estado nutricional,l 9.1 talla normal,2011-04-01,90,91,56,73,138,162,284,326,610
PAILON,estado nutricional,l 9.1 talla normal,2011-04-01,244,169,154,100,166,158,564,427,991
PALCA,estado nutricional,l 9.1 talla normal,2011-04-01,97,74,65,60,53,64,215,198,413
PALOS BLANCOS,estado nutricional,l 9.1 talla normal,2011-04-01,286,258,223,215,218,204,727,677,1404
PAMPA AULLAGAS,estado nutricional,l 9.1 talla normal,2011-04-01,14,19,13,12,8,10,35,41,76
PAMPA GRANDE,estado nutricional,l 9.1 talla normal,2011-04-01,65,68,41,31,15,28,121,127,248
PAPEL PAMPA,estado nutricional,l 9.1 talla normal,2011-04-01,39,20,32,19,16,23,87,62,149
PASORAPA,estado nutricional,l 9.1 talla normal,2011-04-01,27,39,25,18,65,60,117,117,234
PATACAMAYA,estado nutricional,l 9.1 talla normal,2011-04-01,150,141,97,88,51,64,298,293,591
PAZÑA,estado nutricional,l 9.1 talla normal,2011-04-01,51,77,53,49,95,88,199,214,413
PELECHUCO,estado nutricional,l 9.1 talla normal,2011-04-01,48,53,42,41,64,43,154,137,291
POCOATA,estado nutricional,l 9.1 talla normal,2011-04-01,172,147,116,152,121,99,409,398,807
POCONA,estado nutricional,l 9.1 talla normal,2011-04-01,113,83,98,73,88,94,299,250,549
POJO (CBBA),estado nutricional,l 9.1 talla normal,2011-04-01,149,135,105,104,136,139,390,378,768
POOPO,estado nutricional,l 9.1 talla normal,2011-04-01,52,70,40,38,40,44,132,152,284
PORCO,estado nutricional,l 9.1 talla normal,2011-04-01,97,80,33,39,32,28,162,147,309
POROMA,estado nutricional,l 9.1 talla normal,2011-04-01,132,154,113,105,171,149,416,408,824
PORONGO,estado nutricional,l 9.1 talla normal,2011-04-01,62,61,51,37,80,90,193,188,381
PORTACHUELO,estado nutricional,l 9.1 talla normal,2011-04-01,158,174,71,72,92,94,321,340,661
PORVENIR,estado nutricional,l 9.1 talla normal,2011-04-01,47,61,42,46,45,36,134,143,277
POSTRER VALLE,estado nutricional,l 9.1 talla normal,2011-04-01,9,14,10,8,11,18,30,40,70
POTOSI,estado nutricional,l 9.1 talla normal,2011-04-01,874,867,432,518,337,333,1643,1718,3361
PRESTO,estado nutricional,l 9.1 talla normal,2011-04-01,67,67,42,57,89,88,198,212,410
PUCARA,estado nutricional,l 9.1 talla normal,2011-04-01,12,22,9,10,8,11,29,43,72
PUCARANI,estado nutricional,l 9.1 talla normal,2011-04-01,254,235,176,171,115,111,545,517,1062
PUERTO ACOSTA,estado nutricional,l 9.1 talla normal,2011-04-01,52,60,31,49,29,20,112,129,241
PUERTO CARABUCO,estado nutricional,l 9.1 talla normal,2011-04-01,89,85,61,49,52,66,202,200,402
PUERTO GONZALO MORENO,estado nutricional,l 9.1 talla normal,2011-04-01,59,72,69,58,68,92,196,222,418
PUERTO PEREZ,estado nutricional,l 9.1 talla normal,2011-04-01,24,44,32,29,26,18,82,91,173
PUERTO QUIJARRO,estado nutricional,l 9.1 talla normal,2011-04-01,120,102,67,71,47,41,234,214,448
PUERTO RICO,estado nutricional,l 9.1 talla normal,2011-04-01,83,70,30,44,43,30,156,144,300
PUERTO SILES,estado nutricional,l 9.1 talla normal,2011-04-01,14,11,12,13,24,22,50,46,96
PUERTO SUAREZ,estado nutricional,l 9.1 talla normal,2011-04-01,122,102,56,51,32,38,210,191,401
PUERTO VILLARROEL,estado nutricional,l 9.1 talla normal,2011-04-01,615,561,421,394,452,404,1488,1359,2847
PUNA,estado nutricional,l 9.1 talla normal,2011-04-01,172,151,121,139,161,147,454,437,891
PUNATA,estado nutricional,l 9.1 talla normal,2011-04-01,319,258,156,165,157,113,632,536,1168
QUIABAYA,estado nutricional,l 9.1 talla normal,2011-04-01,17,12,19,13,20,14,56,39,95
QUILLACOLLO,estado nutricional,l 9.1 talla normal,2011-04-01,776,663,484,424,380,344,1640,1431,3071
QUIME,estado nutricional,l 9.1 talla normal,2011-04-01,91,89,67,39,83,60,241,188,429
QUIRUSILLAS,estado nutricional,l 9.1 talla normal,2011-04-01,11,5,13,6,4,12,28,23,51
RAVELO,estado nutricional,l 9.1 talla normal,2011-04-01,130,143,82,94,137,139,349,376,725
REYES,estado nutricional,l 9.1 talla normal,2011-04-01,80,72,49,59,51,45,180,176,356
RIBERALTA,estado nutricional,l 9.1 talla normal,2011-04-01,1026,964,558,539,374,308,1958,1811,3769
ROBORE,estado nutricional,l 9.1 talla normal,2011-04-01,112,135,93,98,75,69,280,302,582
RURRENABAQUE,estado nutricional,l 9.1 talla normal,2011-04-01,88,82,48,64,56,47,192,193,385
SABAYA,estado nutricional,l 9.1 talla normal,2011-04-01,21,17,12,10,22,21,55,48,103
SACABA,estado nutricional,l 9.1 talla normal,2011-04-01,1253,1044,805,819,639,668,2697,2531,5228
SACABAMBA,estado nutricional,l 9.1 talla normal,2011-04-01,21,39,27,21,43,37,91,97,188
SACACA,estado nutricional,l 9.1 talla normal,2011-04-01,148,155,85,91,76,85,309,331,640
SAIPINA,estado nutricional,l 9.1 talla normal,2011-04-01,53,57,48,46,48,42,149,145,294
SALINAS DE GARCI MENDOZA,estado nutricional,l 9.1 talla normal,2011-04-01,89,80,63,54,106,89,258,223,481
SAMAIPATA,estado nutricional,l 9.1 talla normal,2011-04-01,67,65,34,33,38,32,139,130,269
SAN AGUSTIN,estado nutricional,l 9.1 talla normal,2011-04-01,5,9,4,8,5,10,14,27,41
SAN ANDRES,estado nutricional,l 9.1 talla normal,2011-04-01,89,90,57,55,65,76,211,221,432
SAN ANDRES DE MACHACA,estado nutricional,l 9.1 talla normal,2011-04-01,25,24,16,20,13,11,54,55,109
SAN ANTONIO DE ESMORUCO,estado nutricional,l 9.1 talla normal,2011-04-01,23,15,5,6,10,11,38,32,70
SAN ANTONIO DE LOMERIO,estado nutricional,l 9.1 talla normal,2011-04-01,47,50,31,49,103,94,181,193,374
SAN BENITO,estado nutricional,l 9.1 talla normal,2011-04-01,157,149,108,103,107,93,372,345,717
SAN BORJA,estado nutricional,l 9.1 talla normal,2011-04-01,356,332,235,228,206,232,797,792,1589
SAN BUENA VENTURA,estado nutricional,l 9.1 talla normal,2011-04-01,130,81,77,49,70,63,277,193,470
SAN CARLOS,estado nutricional,l 9.1 talla normal,2011-04-01,239,217,112,109,111,107,462,433,895
SAN IGNACIO,estado nutricional,l 9.1 talla normal,2011-04-01,188,181,159,160,206,168,553,509,1062
SAN IGNACIO DE VELASCO,estado nutricional,l 9.1 talla normal,2011-04-01,716,648,330,356,462,524,1508,1528,3036
SAN JAVIER(BNI),estado nutricional,l 9.1 talla normal,2011-04-01,36,21,20,16,27,28,83,65,148
SAN JAVIER(STC),estado nutricional,l 9.1 talla normal,2011-04-01,21,21,42,41,81,50,144,112,256
SAN JOAQUIN,estado nutricional,l 9.1 talla normal,2011-04-01,29,27,14,9,12,10,55,46,101
SAN JOSE DE CHIQUITOS,estado nutricional,l 9.1 talla normal,2011-04-01,101,121,67,68,67,75,235,264,499
SAN JUAN DE YAPACANI,estado nutricional,l 9.1 talla normal,2011-04-01,73,45,36,29,42,45,151,119,270
SAN JULIAN,estado nutricional,l 9.1 talla normal,2011-04-01,235,220,126,157,221,197,582,574,1156
SAN LORENZO(PND),estado nutricional,l 9.1 talla normal,2011-04-01,34,34,36,23,14,32,84,89,173
SAN LORENZO(TJA),estado nutricional,l 9.1 talla normal,2011-04-01,168,128,120,107,106,164,394,399,793
SAN LUCAS,estado nutricional,l 9.1 talla normal,2011-04-01,143,143,94,121,192,180,429,444,873
SAN MATIAS,estado nutricional,l 9.1 talla normal,2011-04-01,84,66,28,29,40,44,152,139,291
SAN MIGUEL DE VELASCO,estado nutricional,l 9.1 talla normal,2011-04-01,113,129,70,76,88,80,271,285,556
SAN PABLO DE LIPEZ,estado nutricional,l 9.1 talla normal,2011-04-01,16,20,11,5,12,10,39,35,74
SAN PEDRO,estado nutricional,l 9.1 talla normal,2011-04-01,125,113,101,85,122,81,348,279,627
SAN PEDRO DE BUENA VISTA,estado nutricional,l 9.1 talla normal,2011-04-01,189,192,107,114,135,124,431,430,861
SAN PEDRO DE CURAHUARA,estado nutricional,l 9.1 talla normal,2011-04-01,48,34,40,35,37,45,125,114,239
SAN PEDRO DE QUEMES,estado nutricional,l 9.1 talla normal,2011-04-01,3,2,1,2,3,4,7,8,15
SAN PEDRO DE TIQUINA,estado nutricional,l 9.1 talla normal,2011-04-01,18,24,10,16,26,25,54,65,119
SAN PEDRO(PND),estado nutricional,l 9.1 talla normal,2011-04-01,11,5,4,6,9,9,24,20,44
SAN RAFAEL,estado nutricional,l 9.1 talla normal,2011-04-01,60,61,68,68,63,44,191,173,364
SAN RAMON BENI,estado nutricional,l 9.1 talla normal,2011-04-01,16,25,15,11,15,20,46,56,102
SAN RAMON SCZ,estado nutricional,l 9.1 talla normal,2011-04-01,86,61,42,36,43,45,171,142,313
SANTA ANA,estado nutricional,l 9.1 talla normal,2011-04-01,134,139,106,95,55,69,295,303,598
SANTA CRUZ DE LA SIERRA,estado nutricional,l 9.1 talla normal,2011-04-01,6171,5680,3154,2933,2741,2521,12066,11134,23200
SANTA ROSA,estado nutricional,l 9.1 talla normal,2011-04-01,81,85,36,29,37,32,154,146,300
SANTA ROSA DEL SARA,estado nutricional,l 9.1 talla normal,2011-04-01,88,99,46,44,88,91,222,234,456
SANTIAGO DE CALLAPA,estado nutricional,l 9.1 talla normal,2011-04-01,26,37,25,31,10,15,61,83,144
SANTIAGO DE HUARI,estado nutricional,l 9.1 talla normal,2011-04-01,87,70,59,71,86,105,232,246,478
SANTIAGO DE HUATA,estado nutricional,l 9.1 talla normal,2011-04-01,27,29,21,16,19,15,67,60,127
SANTIAGO DE MACHACA,estado nutricional,l 9.1 talla normal,2011-04-01,36,21,19,15,15,29,70,65,135
SANTIVAÑES,estado nutricional,l 9.1 talla normal,2011-04-01,35,36,17,30,37,35,89,101,190
SANTUARIO DE QUILLACAS,estado nutricional,l 9.1 talla normal,2011-04-01,22,27,13,21,10,14,45,62,107
SAPAHAQUI,estado nutricional,l 9.1 talla normal,2011-04-01,55,41,38,29,34,28,127,98,225
SENA,estado nutricional,l 9.1 talla normal,2011-04-01,41,30,27,20,11,19,79,69,148
SHINAOTA,estado nutricional,l 9.1 talla normal,2011-04-01,395,337,220,148,248,237,863,722,1585
SICA SICA (VILLA AROMA),estado nutricional,l 9.1 talla normal,2011-04-01,200,171,136,163,145,159,481,493,974
SICAYA,estado nutricional,l 9.1 talla normal,2011-04-01,46,32,24,15,18,23,88,70,158
SIPE SIPE,estado nutricional,l 9.1 talla normal,2011-04-01,373,315,212,226,188,194,773,735,1508
SOPACHUY,estado nutricional,l 9.1 talla normal,2011-04-01,59,65,35,53,75,78,169,196,365
SORACACHI,estado nutricional,l 9.1 talla normal,2011-04-01,104,88,91,108,115,122,310,318,628
SORATA,estado nutricional,l 9.1 talla normal,2011-04-01,133,169,92,91,121,134,346,394,740
SUCRE,estado nutricional,l 9.1 talla normal,2011-04-01,2737,2505,2019,1860,2099,2086,6855,6451,13306
TACACHI,estado nutricional,l 9.1 talla normal,2011-04-01,4,7,4,5,3,7,11,19,30
TACACOMA,estado nutricional,l 9.1 talla normal,2011-04-01,43,44,44,19,60,53,147,116,263
TACOBAMBA,estado nutricional,l 9.1 talla normal,2011-04-01,60,51,41,53,28,32,129,136,265
TACOPAYA,estado nutricional,l 9.1 talla normal,2011-04-01,78,79,64,64,118,113,260,256,516
TAHUA,estado nutricional,l 9.1 talla normal,2011-04-01,3,8,5,4,0,2,8,14,22
TAPACARI,estado nutricional,l 9.1 talla normal,2011-04-01,172,199,127,140,172,146,471,485,956
TARABUCO,estado nutricional,l 9.1 talla normal,2011-04-01,129,154,103,110,143,180,375,444,819
TARACO,estado nutricional,l 9.1 talla normal,2011-04-01,26,20,32,27,10,16,68,63,131
TARATA,estado nutricional,l 9.1 talla normal,2011-04-01,115,102,80,67,41,48,236,217,453
TARIJA,estado nutricional,l 9.1 talla normal,2011-04-01,1009,949,751,741,535,417,2295,2107,4402
TARVITA,estado nutricional,l 9.1 talla normal,2011-04-01,124,114,63,100,127,131,314,345,659
TEOPONTE,estado nutricional,l 9.1 talla normal,2011-04-01,75,67,66,58,58,90,199,215,414
TIAWANACU,estado nutricional,l 9.1 talla normal,2011-04-01,100,101,103,73,74,75,277,249,526
TINGUIPAYA,estado nutricional,l 9.1 talla normal,2011-04-01,92,108,58,51,51,55,201,214,415
TIPUANI,estado nutricional,l 9.1 talla normal,2011-04-01,93,68,98,67,75,76,266,211,477
TIQUIPAYA,estado nutricional,l 9.1 talla normal,2011-04-01,602,453,362,383,462,470,1426,1306,2732
TIRAQUE (CBBA),estado nutricional,l 9.1 talla normal,2011-04-01,194,160,129,106,69,88,392,354,746
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l 9.1 talla normal,2011-04-01,7,7,2,6,14,10,23,23,46
TOCO,estado nutricional,l 9.1 talla normal,2011-04-01,48,49,43,43,52,38,143,130,273
TODOS SANTOS,estado nutricional,l 9.1 talla normal,2011-04-01,2,0,2,1,2,1,6,2,8
TOLATA,estado nutricional,l 9.1 talla normal,2011-04-01,52,62,58,36,51,46,161,144,305
TOLEDO,estado nutricional,l 9.1 talla normal,2011-04-01,48,23,44,40,32,32,124,95,219
TOMAVE,estado nutricional,l 9.1 talla normal,2011-04-01,91,78,57,71,74,67,222,216,438
TOMINA,estado nutricional,l 9.1 talla normal,2011-04-01,60,74,50,63,137,156,247,293,540
TORO TORO,estado nutricional,l 9.1 talla normal,2011-04-01,59,54,42,52,69,81,170,187,357
TOTORA(CBBA),estado nutricional,l 9.1 talla normal,2011-04-01,126,130,87,96,61,56,274,282,556
TOTORA(ORR),estado nutricional,l 9.1 talla normal,2011-04-01,44,47,30,39,29,44,103,130,233
TRIGAL,estado nutricional,l 9.1 talla normal,2011-04-01,19,16,9,10,15,17,43,43,86
TRINIDAD,estado nutricional,l 9.1 talla normal,2011-04-01,576,543,248,207,214,211,1038,961,1999
TUPIZA,estado nutricional,l 9.1 talla normal,2011-04-01,272,246,195,212,286,265,753,723,1476
TURCO,estado nutricional,l 9.1 talla normal,2011-04-01,45,25,32,36,24,52,101,113,214
UMALA,estado nutricional,l 9.1 talla normal,2011-04-01,49,67,67,51,72,55,188,173,361
UNCIA,estado nutricional,l 9.1 talla normal,2011-04-01,108,92,70,68,45,32,223,192,415
URIONDO (A. CONCEPCION),estado nutricional,l 9.1 talla normal,2011-04-01,109,68,74,75,76,73,259,216,475
URUBICHA,estado nutricional,l 9.1 talla normal,2011-04-01,80,71,59,61,174,204,313,336,649
UYUNI,estado nutricional,l 9.1 talla normal,2011-04-01,204,177,131,144,75,78,410,399,809
VACAS,estado nutricional,l 9.1 talla normal,2011-04-01,61,81,46,50,36,46,143,177,320
VALLEGRANDE,estado nutricional,l 9.1 talla normal,2011-04-01,127,102,95,89,74,58,296,249,545
VIACHA,estado nutricional,l 9.1 talla normal,2011-04-01,455,429,270,295,216,280,941,1004,1945
VILA VILA,estado nutricional,l 9.1 talla normal,2011-04-01,23,31,17,15,32,34,72,80,152
VILLA CHARCAS,estado nutricional,l 9.1 talla normal,2011-04-01,123,144,81,83,108,112,312,339,651
VILLA MONTES,estado nutricional,l 9.1 talla normal,2011-04-01,332,329,252,220,209,239,793,788,1581
VILLA NUEVA (LOMA ALTA),estado nutricional,l 9.1 talla normal,2011-04-01,31,33,23,34,42,47,96,114,210
VILLA RIVERO,estado nutricional,l 9.1 talla normal,2011-04-01,72,75,39,37,48,39,159,151,310
VILLA SERRANO,estado nutricional,l 9.1 talla normal,2011-04-01,110,124,86,73,119,124,315,321,636
VILLA TUNARI,estado nutricional,l 9.1 talla normal,2011-04-01,909,776,661,569,793,740,2363,2085,4448
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l 9.1 talla normal,2011-04-01,88,65,77,63,152,132,317,260,577
VILLAZON,estado nutricional,l 9.1 talla normal,2011-04-01,300,303,219,237,174,174,693,714,1407
VINTO,estado nutricional,l 9.1 talla normal,2011-04-01,355,256,191,186,131,113,677,555,1232
VITICHI,estado nutricional,l 9.1 talla normal,2011-04-01,73,71,51,60,68,76,192,207,399
WALDO BALLIVIAN,estado nutricional,l 9.1 talla normal,2011-04-01,19,12,12,14,6,11,37,37,74
WARNES,estado nutricional,l 9.1 talla normal,2011-04-01,431,339,252,201,296,297,979,837,1816
YACO,estado nutricional,l 9.1 talla normal,2011-04-01,70,81,35,56,55,52,160,189,349
YACUIBA,estado nutricional,l 9.1 talla normal,2011-04-01,437,372,324,290,351,326,1112,988,2100
YAMPARAEZ,estado nutricional,l 9.1 talla normal,2011-04-01,62,49,30,32,93,97,185,178,363
YANACACHI,estado nutricional,l 9.1 talla normal,2011-04-01,54,50,58,52,34,48,146,150,296
YAPACANI,estado nutricional,l 9.1 talla normal,2011-04-01,433,433,302,300,225,219,960,952,1912
YOCALLA,estado nutricional,l 9.1 talla normal,2011-04-01,58,61,59,53,66,60,183,174,357
YOTALA,estado nutricional,l 9.1 talla normal,2011-04-01,56,53,63,49,94,96,213,198,411
YUNCHARA,estado nutricional,l 9.1 talla normal,2011-04-01,43,40,39,31,66,47,148,118,266
ZUDAÑEZ,estado nutricional,l 9.1 talla normal,2011-04-01,40,60,30,36,98,98,168,194,362
ACACIO,estado nutricional,l 9.1 talla normal,2011-05-01,54,61,31,38,38,42,123,141,264
ACHACACHI,estado nutricional,l 9.1 talla normal,2011-05-01,298,290,211,231,265,246,774,767,1541
ACHOCALLA,estado nutricional,l 9.1 talla normal,2011-05-01,131,112,88,74,64,86,283,272,555
AIQUILE,estado nutricional,l 9.1 talla normal,2011-05-01,266,261,163,154,173,136,602,551,1153
ALALAY,estado nutricional,l 9.1 talla normal,2011-05-01,38,29,27,32,19,23,84,84,168
ALCALA,estado nutricional,l 9.1 talla normal,2011-05-01,29,30,16,14,49,45,94,89,183
ALTO BENI,estado nutricional,l 9.1 talla normal,2011-05-01,87,73,70,62,68,70,225,205,430
ANCORAIMES,estado nutricional,l 9.1 talla normal,2011-05-01,66,68,39,44,38,36,143,148,291
ANDAMARCA,estado nutricional,l 9.1 talla normal,2011-05-01,25,32,17,23,48,43,90,98,188
ANTEQUERA,estado nutricional,l 9.1 talla normal,2011-05-01,31,40,23,27,38,30,92,97,189
