,group,variable,month,L 9.2 TALLA BAJA < DE 1 AÑO,L 9.2 TALLA BAJA < DE 1 AÑO,L 9.2 TALLA BAJA 1 A MENOR DE 2 AÑOS,L 9.2 TALLA BAJA 1 A MENOR DE 2 AÑOS,L 9.2 TALLA BAJA 2 A MENOR DE 5 AÑOS,L 9.2 TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
ARQUE,estado nutricional,l 9.2 talla baja,2011-04-01,30,16,60,48,85,92,175,156,331
ASCENCION DE GUARAYOS,estado nutricional,l 9.2 talla baja,2011-04-01,15,21,28,28,48,61,91,110,201
ATOCHA,estado nutricional,l 9.2 talla baja,2011-04-01,8,7,7,7,14,21,29,35,64
AUCAPATA,estado nutricional,l 9.2 talla baja,2011-04-01,2,0,6,9,4,9,12,18,30
AYATA,estado nutricional,l 9.2 talla baja,2011-04-01,10,4,32,9,24,12,66,25,91
AYO AYO,estado nutricional,l 9.2 talla baja,2011-04-01,15,6,16,12,5,6,36,24,60
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l 9.2 talla baja,2011-04-01,31,24,65,43,50,41,146,108,254
AZURDUY,estado nutricional,l 9.2 talla baja,2011-04-01,9,10,30,28,89,94,128,132,260
BATALLAS,estado nutricional,l 9.2 talla baja,2011-04-01,11,10,15,14,10,6,36,30,66
BAURES,estado nutricional,l 9.2 talla baja,2011-04-01,4,1,4,1,2,4,10,6,16
BELEN DE ANDAMARCA,estado nutricional,l 9.2 talla baja,2011-04-01,2,1,2,0,1,6,5,7,12
BELEN DE URMIRI,estado nutricional,l 9.2 talla baja,2011-04-01,2,0,3,1,4,5,9,6,15
BELLA FLOR,estado nutricional,l 9.2 talla baja,2011-04-01,2,1,2,0,0,4,4,5,9
BERMEJO,estado nutricional,l 9.2 talla baja,2011-04-01,4,0,8,6,4,5,16,11,27
BETANZOS,estado nutricional,l 9.2 talla baja,2011-04-01,47,31,105,64,96,83,248,178,426
BOLIVAR,estado nutricional,l 9.2 talla baja,2011-04-01,24,17,29,25,86,75,139,117,256
BOLPEBRA,estado nutricional,l 9.2 talla baja,2011-04-01,2,2,1,1,8,2,11,5,16
BOYUIBE,estado nutricional,l 9.2 talla baja,2011-04-01,0,1,0,1,0,4,0,6,6
BUENA VISTA,estado nutricional,l 9.2 talla baja,2011-04-01,2,1,2,3,3,4,7,8,15
CABEZAS,estado nutricional,l 9.2 talla baja,2011-04-01,1,1,3,6,6,3,10,10,20
CAIROMA,estado nutricional,l 9.2 talla baja,2011-04-01,6,4,4,6,15,12,25,22,47
"CAIZA ""D""",estado nutricional,l 9.2 talla baja,2011-04-01,6,9,16,9,16,23,38,41,79
CAJUATA,estado nutricional,l 9.2 talla baja,2011-04-01,4,0,2,1,5,1,11,2,13
CALACOTO,estado nutricional,l 9.2 talla baja,2011-04-01,7,5,9,12,14,6,30,23,53
CALAMARCA,estado nutricional,l 9.2 talla baja,2011-04-01,14,11,36,26,31,34,81,71,152
CAMARGO,estado nutricional,l 9.2 talla baja,2011-04-01,14,6,31,21,68,66,113,93,206
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l 9.2 talla baja,2011-04-01,0,0,7,0,6,9,13,9,22
CAMIRI,estado nutricional,l 9.2 talla baja,2011-04-01,6,1,10,10,13,8,29,19,48
CAPINOTA,estado nutricional,l 9.2 talla baja,2011-04-01,20,2,28,26,14,13,62,41,103
CAQUIAVIRI,estado nutricional,l 9.2 talla baja,2011-04-01,10,8,24,14,14,19,48,41,89
CARACOLLO,estado nutricional,l 9.2 talla baja,2011-04-01,23,12,45,28,23,42,91,82,173
CARANAVI,estado nutricional,l 9.2 talla baja,2011-04-01,32,43,69,70,82,84,183,197,380
CARANGAS,estado nutricional,l 9.2 talla baja,2011-04-01,0,0,0,0,0,1,0,1,1
CARAPARI,estado nutricional,l 9.2 talla baja,2011-04-01,3,1,5,3,7,2,15,6,21
CARIPUYO,estado nutricional,l 9.2 talla baja,2011-04-01,13,8,35,28,82,61,130,97,227
CARMEN RIVERO TORREZ,estado nutricional,l 9.2 talla baja,2011-04-01,3,1,0,0,1,0,4,1,5
CATACORA,estado nutricional,l 9.2 talla baja,2011-04-01,1,1,5,3,7,2,13,6,19
CHACARILLA,estado nutricional,l 9.2 talla baja,2011-04-01,0,1,3,1,5,4,8,6,14
CHALLAPATA,estado nutricional,l 9.2 talla baja,2011-04-01,39,24,69,35,59,50,167,109,276
CHAQUI,estado nutricional,l 9.2 talla baja,2011-04-01,11,1,14,19,14,12,39,32,71
CHARAGUA,estado nutricional,l 9.2 talla baja,2011-04-01,9,4,5,5,10,11,24,20,44
CHARAÑA,estado nutricional,l 9.2 talla baja,2011-04-01,0,3,2,4,5,5,7,12,19
CHAYANTA,estado nutricional,l 9.2 talla baja,2011-04-01,30,19,53,33,39,36,122,88,210
CHIMORE,estado nutricional,l 9.2 talla baja,2011-04-01,3,4,17,12,19,22,39,38,77
CHIPAYA,estado nutricional,l 9.2 talla baja,2011-04-01,3,2,4,1,5,4,12,7,19
CHOQUE COTA,estado nutricional,l 9.2 talla baja,2011-04-01,0,0,1,1,2,0,3,1,4
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l 9.2 talla baja,2011-04-01,2,4,2,3,3,1,7,8,15
CHUMA,estado nutricional,l 9.2 talla baja,2011-04-01,7,3,24,17,22,28,53,48,101
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l 9.2 talla baja,2011-04-01,5,8,21,18,16,15,42,41,83
CKOCHAS,estado nutricional,l 9.2 talla baja,2011-04-01,43,33,56,45,84,63,183,141,324
CLIZA,estado nutricional,l 9.2 talla baja,2011-04-01,5,10,5,10,11,10,21,30,51
COBIJA,estado nutricional,l 9.2 talla baja,2011-04-01,17,10,21,9,13,12,51,31,82
COCAPATA,estado nutricional,l 9.2 talla baja,2011-04-01,14,6,34,27,48,39,96,72,168
COCHABAMBA,estado nutricional,l 9.2 talla baja,2011-04-01,128,138,190,189,205,178,523,505,1028
COIPASA,estado nutricional,l 9.2 talla baja,2011-04-01,0,0,0,1,0,0,0,1,1
COLCAPIRHUA,estado nutricional,l 9.2 talla baja,2011-04-01,8,0,17,15,13,12,38,27,65
"COLCHA ""K""",estado nutricional,l 9.2 talla baja,2011-04-01,7,7,26,8,9,7,42,22,64
COLLANA,estado nutricional,l 9.2 talla baja,2011-04-01,5,1,3,3,3,6,11,10,21
COLOMI,estado nutricional,l 9.2 talla baja,2011-04-01,12,4,25,28,15,20,52,52,104
COLQUECHACA,estado nutricional,l 9.2 talla baja,2011-04-01,83,60,140,111,84,94,307,265,572
COLQUENCHA,estado nutricional,l 9.2 talla baja,2011-04-01,16,9,17,13,5,6,38,28,66
COLQUIRI,estado nutricional,l 9.2 talla baja,2011-04-01,12,11,15,15,47,42,74,68,142
COMANCHE,estado nutricional,l 9.2 talla baja,2011-04-01,1,3,5,2,7,8,13,13,26
COMARAPA,estado nutricional,l 9.2 talla baja,2011-04-01,12,6,16,9,23,15,51,30,81
COMBAYA,estado nutricional,l 9.2 talla baja,2011-04-01,1,0,3,1,5,5,9,6,15
CONCEPCION,estado nutricional,l 9.2 talla baja,2011-04-01,3,2,2,0,4,1,9,3,12
COPACABANA,estado nutricional,l 9.2 talla baja,2011-04-01,3,0,5,5,10,3,18,8,26
CORIPATA,estado nutricional,l 9.2 talla baja,2011-04-01,0,1,2,1,8,8,10,10,20
CORO CORO,estado nutricional,l 9.2 talla baja,2011-04-01,6,4,19,8,15,6,40,18,58
COROICO,estado nutricional,l 9.2 talla baja,2011-04-01,6,4,7,5,20,12,33,21,54
CORQUE,estado nutricional,l 9.2 talla baja,2011-04-01,4,2,10,10,5,3,19,15,34
COTAGAITA,estado nutricional,l 9.2 talla baja,2011-04-01,15,4,48,36,69,61,132,101,233
COTOCA,estado nutricional,l 9.2 talla baja,2011-04-01,3,2,3,2,0,10,6,14,20
CUATRO CAÑADAS,estado nutricional,l 9.2 talla baja,2011-04-01,0,0,4,0,8,8,12,8,20
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l 9.2 talla baja,2011-04-01,2,0,4,0,2,4,8,4,12
CUEVO,estado nutricional,l 9.2 talla baja,2011-04-01,4,3,5,8,8,6,17,17,34
CULPINA,estado nutricional,l 9.2 talla baja,2011-04-01,26,17,42,26,58,49,126,92,218
CURAHUARA DE CARANGAS,estado nutricional,l 9.2 talla baja,2011-04-01,6,5,12,1,5,9,23,15,38
CURVA,estado nutricional,l 9.2 talla baja,2011-04-01,8,4,8,2,17,12,33,18,51
DESAGUADERO,estado nutricional,l 9.2 talla baja,2011-04-01,0,1,2,2,0,9,2,12,14
EL ALTO,estado nutricional,l 9.2 talla baja,2011-04-01,436,308,688,392,430,381,1554,1081,2635
EL CHORO,estado nutricional,l 9.2 talla baja,2011-04-01,2,1,4,1,6,8,12,10,22
EL PUENTE(STC),estado nutricional,l 9.2 talla baja,2011-04-01,2,1,7,4,10,6,19,11,30
EL PUENTE(TJA),estado nutricional,l 9.2 talla baja,2011-04-01,14,11,27,16,34,22,75,49,124
EL TORNO,estado nutricional,l 9.2 talla baja,2011-04-01,1,1,3,4,12,19,16,24,40
EL VILLAR,estado nutricional,l 9.2 talla baja,2011-04-01,1,1,5,1,19,17,25,19,44
ENTRE RIOS TRJ,estado nutricional,l 9.2 talla baja,2011-04-01,8,5,16,10,20,29,44,44,88
ENTRE RIOS CBBA,estado nutricional,l 9.2 talla baja,2011-04-01,6,13,25,26,37,37,68,76,144
ESCARA,estado nutricional,l 9.2 talla baja,2011-04-01,1,0,1,0,0,0,2,0,2
ESCOMA,estado nutricional,l 9.2 talla baja,2011-04-01,2,1,3,0,0,2,5,3,8
EUCALIPTUS,estado nutricional,l 9.2 talla baja,2011-04-01,3,1,3,5,3,1,9,7,16
EUREKA (SANTOS MERCADO),estado nutricional,l 9.2 talla baja,2011-04-01,1,0,1,0,0,0,2,0,2
EXALTACION,estado nutricional,l 9.2 talla baja,2011-04-01,0,1,1,2,1,1,2,4,6
FERNANDEZ ALONSO,estado nutricional,l 9.2 talla baja,2011-04-01,3,2,5,8,0,4,8,14,22
FILADELFIA,estado nutricional,l 9.2 talla baja,2011-04-01,0,1,3,1,2,1,5,3,8
GENERAL SAAVEDRA,estado nutricional,l 9.2 talla baja,2011-04-01,3,1,15,7,7,10,25,18,43
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l 9.2 talla baja,2011-04-01,13,4,16,12,19,13,48,29,77
GUANAY,estado nutricional,l 9.2 talla baja,2011-04-01,6,4,16,8,8,12,30,24,54
GUAQUI,estado nutricional,l 9.2 talla baja,2011-04-01,5,3,4,8,7,3,16,14,30
GUAYARAMERIN,estado nutricional,l 9.2 talla baja,2011-04-01,24,23,21,25,17,20,62,68,130
GUTIERREZ,estado nutricional,l 9.2 talla baja,2011-04-01,14,13,31,21,62,39,107,73,180
HUACARETA,estado nutricional,l 9.2 talla baja,2011-04-01,2,2,8,4,10,16,20,22,42
HUACAYA (VILLA DE HUACAYA),estado nutricional,l 9.2 talla baja,2011-04-01,2,2,5,0,2,6,9,8,17
HUACHACALLA,estado nutricional,l 9.2 talla baja,2011-04-01,1,1,1,1,0,2,2,4,6
HUANUNI,estado nutricional,l 9.2 talla baja,2011-04-01,33,11,48,21,30,25,111,57,168
HUARACAJE,estado nutricional,l 9.2 talla baja,2011-04-01,1,0,1,4,4,1,6,5,11
HUARINA,estado nutricional,l 9.2 talla baja,2011-04-01,6,2,1,1,9,1,16,4,20
HUAYLLAMARCA,estado nutricional,l 9.2 talla baja,2011-04-01,4,2,6,3,10,8,20,13,33
HUMANATA,estado nutricional,l 9.2 talla baja,2011-04-01,8,5,20,9,19,9,47,23,70
ICHOCA,estado nutricional,l 9.2 talla baja,2011-04-01,7,3,13,10,18,12,38,25,63
ICLA,estado nutricional,l 9.2 talla baja,2011-04-01,9,1,31,20,126,136,166,157,323
INCAHUASI,estado nutricional,l 9.2 talla baja,2011-04-01,28,12,47,22,95,68,170,102,272
INQUISIVI,estado nutricional,l 9.2 talla baja,2011-04-01,4,1,10,5,7,14,21,20,41
IRUPANA (VILLA DE LANZA),estado nutricional,l 9.2 talla baja,2011-04-01,2,0,1,1,1,1,4,2,6
IXIAMAS,estado nutricional,l 9.2 talla baja,2011-04-01,4,1,4,9,13,5,21,15,36
JESUS DE MACHACA,estado nutricional,l 9.2 talla baja,2011-04-01,6,8,12,4,6,10,24,22,46
LA ASUNTA,estado nutricional,l 9.2 talla baja,2011-04-01,10,10,25,15,20,24,55,49,104
LA GUARDIA,estado nutricional,l 9.2 talla baja,2011-04-01,21,20,14,9,12,13,47,42,89
LA PAZ,estado nutricional,l 9.2 talla baja,2011-04-01,400,298,478,295,418,340,1296,933,2229
LAGUNILLAS,estado nutricional,l 9.2 talla baja,2011-04-01,1,1,3,7,11,10,15,18,33
LAJA,estado nutricional,l 9.2 talla baja,2011-04-01,7,1,7,10,2,9,16,20,36
LAS CARRERAS,estado nutricional,l 9.2 talla baja,2011-04-01,0,0,1,1,11,3,12,4,16
LICOMA PAMPA,estado nutricional,l 9.2 talla baja,2011-04-01,0,1,7,2,1,2,8,5,13
LLALLAGUA,estado nutricional,l 9.2 talla baja,2011-04-01,38,32,51,30,55,42,144,104,248
LLICA,estado nutricional,l 9.2 talla baja,2011-04-01,4,4,9,5,5,5,18,14,32
LORETO,estado nutricional,l 9.2 talla baja,2011-04-01,2,1,1,1,1,4,4,6,10
LURIBAY,estado nutricional,l 9.2 talla baja,2011-04-01,4,3,6,7,7,10,17,20,37
MACHACAMARCA,estado nutricional,l 9.2 talla baja,2011-04-01,4,1,1,3,3,1,8,5,13
MACHARETI,estado nutricional,l 9.2 talla baja,2011-04-01,8,2,2,2,18,8,28,12,40
MAGDALENA,estado nutricional,l 9.2 talla baja,2011-04-01,2,0,2,3,1,2,5,5,10
MAIRANA,estado nutricional,l 9.2 talla baja,2011-04-01,2,5,11,9,8,6,21,20,41
MALLA,estado nutricional,l 9.2 talla baja,2011-04-01,4,5,12,2,10,5,26,12,38
MAPIRI,estado nutricional,l 9.2 talla baja,2011-04-01,7,9,13,11,23,6,43,26,69
MECAPACA,estado nutricional,l 9.2 talla baja,2011-04-01,0,3,10,7,9,11,19,21,40
MINEROS,estado nutricional,l 9.2 talla baja,2011-04-01,4,7,9,5,15,8,28,20,48
MIZQUE,estado nutricional,l 9.2 talla baja,2011-04-01,25,10,35,31,26,31,86,72,158
MOCOMOCO,estado nutricional,l 9.2 talla baja,2011-04-01,9,8,16,11,12,15,37,34,71
MOJINETE,estado nutricional,l 9.2 talla baja,2011-04-01,0,1,4,1,2,2,6,4,10
MOJOCOYA,estado nutricional,l 9.2 talla baja,2011-04-01,4,2,6,7,8,10,18,19,37
MONTEAGUDO,estado nutricional,l 9.2 talla baja,2011-04-01,6,5,7,12,26,22,39,39,78
MONTERO,estado nutricional,l 9.2 talla baja,2011-04-01,29,17,28,20,19,34,76,71,147
MORO MORO,estado nutricional,l 9.2 talla baja,2011-04-01,2,1,3,1,4,0,9,2,11
MOROCHATA,estado nutricional,l 9.2 talla baja,2011-04-01,24,13,33,31,34,37,91,81,172
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l 9.2 talla baja,2011-04-01,0,0,0,1,0,1,0,2,2
NAZACARA DE PACAJES,estado nutricional,l 9.2 talla baja,2011-04-01,0,0,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l 9.2 talla baja,2011-04-01,0,1,1,3,2,3,3,7,10
OCURI,estado nutricional,l 9.2 talla baja,2011-04-01,34,20,77,64,67,124,178,208,386
OKINAWA,estado nutricional,l 9.2 talla baja,2011-04-01,3,4,0,0,2,3,5,7,12
OMEREQUE,estado nutricional,l 9.2 talla baja,2011-04-01,0,7,4,5,3,5,7,17,24
ORURO,estado nutricional,l 9.2 talla baja,2011-04-01,209,162,347,265,203,194,759,621,1380
PADCAYA,estado nutricional,l 9.2 talla baja,2011-04-01,1,2,11,8,7,8,19,18,37
PADILLA,estado nutricional,l 9.2 talla baja,2011-04-01,9,6,16,12,55,50,80,68,148
PAILON,estado nutricional,l 9.2 talla baja,2011-04-01,4,2,4,0,7,4,15,6,21
PALCA,estado nutricional,l 9.2 talla baja,2011-04-01,10,7,14,9,10,11,34,27,61
PALOS BLANCOS,estado nutricional,l 9.2 talla baja,2011-04-01,5,9,18,16,20,24,43,49,92
PAMPA AULLAGAS,estado nutricional,l 9.2 talla baja,2011-04-01,1,4,9,2,11,7,21,13,34
PAMPA GRANDE,estado nutricional,l 9.2 talla baja,2011-04-01,4,0,6,1,10,6,20,7,27
PAPEL PAMPA,estado nutricional,l 9.2 talla baja,2011-04-01,4,2,2,2,5,3,11,7,18
PASORAPA,estado nutricional,l 9.2 talla baja,2011-04-01,1,1,2,2,1,3,4,6,10
PATACAMAYA,estado nutricional,l 9.2 talla baja,2011-04-01,29,13,22,24,16,11,67,48,115
PAZÑA,estado nutricional,l 9.2 talla baja,2011-04-01,5,0,15,14,26,22,46,36,82
PELECHUCO,estado nutricional,l 9.2 talla baja,2011-04-01,3,1,9,4,13,5,25,10,35
POCOATA,estado nutricional,l 9.2 talla baja,2011-04-01,39,18,74,71,61,65,174,154,328
POCONA,estado nutricional,l 9.2 talla baja,2011-04-01,10,14,25,24,31,22,66,60,126
POJO (CBBA),estado nutricional,l 9.2 talla baja,2011-04-01,4,2,19,6,25,15,48,23,71
POOPO,estado nutricional,l 9.2 talla baja,2011-04-01,2,3,9,5,4,4,15,12,27
PORCO,estado nutricional,l 9.2 talla baja,2011-04-01,28,15,24,18,13,12,65,45,110
POROMA,estado nutricional,l 9.2 talla baja,2011-04-01,19,21,48,34,75,105,142,160,302
PORONGO,estado nutricional,l 9.2 talla baja,2011-04-01,0,0,1,0,1,4,2,4,6
PORTACHUELO,estado nutricional,l 9.2 talla baja,2011-04-01,5,8,3,1,7,6,15,15,30
PORVENIR,estado nutricional,l 9.2 talla baja,2011-04-01,1,0,4,4,2,4,7,8,15
POSTRER VALLE,estado nutricional,l 9.2 talla baja,2011-04-01,0,0,0,2,2,2,2,4,6
POTOSI,estado nutricional,l 9.2 talla baja,2011-04-01,140,119,215,135,150,104,505,358,863
PRESTO,estado nutricional,l 9.2 talla baja,2011-04-01,17,7,36,17,75,70,128,94,222
PUCARA,estado nutricional,l 9.2 talla baja,2011-04-01,2,0,1,3,1,1,4,4,8
PUCARANI,estado nutricional,l 9.2 talla baja,2011-04-01,30,21,24,21,8,12,62,54,116
PUERTO ACOSTA,estado nutricional,l 9.2 talla baja,2011-04-01,6,4,7,4,6,5,19,13,32
PUERTO CARABUCO,estado nutricional,l 9.2 talla baja,2011-04-01,7,5,11,7,15,14,33,26,59
PUERTO GONZALO MORENO,estado nutricional,l 9.2 talla baja,2011-04-01,9,6,15,18,20,48,44,72,116
PUERTO PEREZ,estado nutricional,l 9.2 talla baja,2011-04-01,1,0,1,2,1,0,3,2,5
PUERTO QUIJARRO,estado nutricional,l 9.2 talla baja,2011-04-01,1,2,2,0,0,0,3,2,5
PUERTO RICO,estado nutricional,l 9.2 talla baja,2011-04-01,3,6,7,2,2,2,12,10,22
PUERTO SILES,estado nutricional,l 9.2 talla baja,2011-04-01,1,0,0,1,2,1,3,2,5
PUERTO SUAREZ,estado nutricional,l 9.2 talla baja,2011-04-01,7,2,0,0,2,2,9,4,13
PUERTO VILLARROEL,estado nutricional,l 9.2 talla baja,2011-04-01,4,10,21,37,36,23,61,70,131
PUNA,estado nutricional,l 9.2 talla baja,2011-04-01,28,17,34,49,65,71,127,137,264
PUNATA,estado nutricional,l 9.2 talla baja,2011-04-01,11,7,11,17,6,14,28,38,66
QUIABAYA,estado nutricional,l 9.2 talla baja,2011-04-01,6,2,4,3,6,5,16,10,26
QUILLACOLLO,estado nutricional,l 9.2 talla baja,2011-04-01,24,12,28,36,30,42,82,90,172
QUIME,estado nutricional,l 9.2 talla baja,2011-04-01,9,1,15,8,21,15,45,24,69
QUIRUSILLAS,estado nutricional,l 9.2 talla baja,2011-04-01,0,0,0,1,0,0,0,1,1
RAVELO,estado nutricional,l 9.2 talla baja,2011-04-01,38,31,102,82,150,170,290,283,573
REYES,estado nutricional,l 9.2 talla baja,2011-04-01,3,3,9,4,8,3,20,10,30
RIBERALTA,estado nutricional,l 9.2 talla baja,2011-04-01,35,19,69,36,19,25,123,80,203
ROBORE,estado nutricional,l 9.2 talla baja,2011-04-01,1,1,0,0,0,1,1,2,3
RURRENABAQUE,estado nutricional,l 9.2 talla baja,2011-04-01,4,2,5,6,14,9,23,17,40
SABAYA,estado nutricional,l 9.2 talla baja,2011-04-01,0,1,4,7,1,7,5,15,20
SACABA,estado nutricional,l 9.2 talla baja,2011-04-01,39,29,87,53,73,72,199,154,353
SACABAMBA,estado nutricional,l 9.2 talla baja,2011-04-01,3,3,5,9,9,8,17,20,37
SACACA,estado nutricional,l 9.2 talla baja,2011-04-01,57,24,93,85,84,73,234,182,416
SAIPINA,estado nutricional,l 9.2 talla baja,2011-04-01,1,1,1,7,7,6,9,14,23
SALINAS DE GARCI MENDOZA,estado nutricional,l 9.2 talla baja,2011-04-01,5,2,17,10,27,17,49,29,78
SAMAIPATA,estado nutricional,l 9.2 talla baja,2011-04-01,1,0,1,1,0,0,2,1,3
SAN AGUSTIN,estado nutricional,l 9.2 talla baja,2011-04-01,1,0,1,0,1,4,3,4,7
SAN ANDRES,estado nutricional,l 9.2 talla baja,2011-04-01,1,0,3,3,1,2,5,5,10
SAN ANDRES DE MACHACA,estado nutricional,l 9.2 talla baja,2011-04-01,1,1,3,5,2,2,6,8,14
SAN ANTONIO DE ESMORUCO,estado nutricional,l 9.2 talla baja,2011-04-01,6,6,6,3,4,13,16,22,38
SAN ANTONIO DE LOMERIO,estado nutricional,l 9.2 talla baja,2011-04-01,2,1,8,8,7,10,17,19,36
SAN BENITO,estado nutricional,l 9.2 talla baja,2011-04-01,8,1,18,10,15,11,41,22,63
SAN BORJA,estado nutricional,l 9.2 talla baja,2011-04-01,25,12,45,22,40,25,110,59,169
SAN BUENA VENTURA,estado nutricional,l 9.2 talla baja,2011-04-01,5,4,8,4,5,3,18,11,29
SAN CARLOS,estado nutricional,l 9.2 talla baja,2011-04-01,0,2,4,3,9,4,13,9,22
SAN IGNACIO,estado nutricional,l 9.2 talla baja,2011-04-01,17,5,30,17,11,26,58,48,106
SAN IGNACIO DE VELASCO,estado nutricional,l 9.2 talla baja,2011-04-01,46,12,32,30,39,43,117,85,202
SAN JAVIER(BNI),estado nutricional,l 9.2 talla baja,2011-04-01,0,0,0,1,0,1,0,2,2
SAN JOAQUIN,estado nutricional,l 9.2 talla baja,2011-04-01,4,0,2,2,0,0,6,2,8
SAN JOSE DE CHIQUITOS,estado nutricional,l 9.2 talla baja,2011-04-01,6,2,5,5,5,3,16,10,26
SAN JUAN DE YAPACANI,estado nutricional,l 9.2 talla baja,2011-04-01,0,1,2,1,7,1,9,3,12
SAN JULIAN,estado nutricional,l 9.2 talla baja,2011-04-01,8,5,5,8,8,14,21,27,48
SAN LORENZO(PND),estado nutricional,l 9.2 talla baja,2011-04-01,4,1,3,6,12,3,19,10,29
SAN LORENZO(TJA),estado nutricional,l 9.2 talla baja,2011-04-01,11,3,11,7,7,11,29,21,50
SAN LUCAS,estado nutricional,l 9.2 talla baja,2011-04-01,30,36,67,64,161,142,258,242,500
SAN MATIAS,estado nutricional,l 9.2 talla baja,2011-04-01,4,2,11,3,3,4,18,9,27
SAN MIGUEL DE VELASCO,estado nutricional,l 9.2 talla baja,2011-04-01,10,4,14,3,12,7,36,14,50
SAN PABLO DE LIPEZ,estado nutricional,l 9.2 talla baja,2011-04-01,2,1,1,1,4,9,7,11,18
SAN PEDRO,estado nutricional,l 9.2 talla baja,2011-04-01,3,1,1,2,6,4,10,7,17
SAN PEDRO DE BUENA VISTA,estado nutricional,l 9.2 talla baja,2011-04-01,44,38,69,68,109,79,222,185,407
SAN PEDRO DE CURAHUARA,estado nutricional,l 9.2 talla baja,2011-04-01,1,2,6,4,4,8,11,14,25
SAN PEDRO DE QUEMES,estado nutricional,l 9.2 talla baja,2011-04-01,0,0,0,0,0,1,0,1,1
SAN PEDRO DE TIQUINA,estado nutricional,l 9.2 talla baja,2011-04-01,1,0,2,0,3,3,6,3,9
SAN PEDRO(PND),estado nutricional,l 9.2 talla baja,2011-04-01,3,0,3,2,2,0,8,2,10
SAN RAFAEL,estado nutricional,l 9.2 talla baja,2011-04-01,1,1,9,10,7,4,17,15,32
SAN RAMON BENI,estado nutricional,l 9.2 talla baja,2011-04-01,0,0,1,1,0,2,1,3,4
SAN RAMON SCZ,estado nutricional,l 9.2 talla baja,2011-04-01,1,2,0,1,2,0,3,3,6
SANTA ANA,estado nutricional,l 9.2 talla baja,2011-04-01,2,2,4,2,2,5,8,9,17
SANTA CRUZ DE LA SIERRA,estado nutricional,l 9.2 talla baja,2011-04-01,105,77,117,66,192,86,414,229,643
SANTA ROSA,estado nutricional,l 9.2 talla baja,2011-04-01,1,0,3,2,2,2,6,4,10
SANTA ROSA DEL SARA,estado nutricional,l 9.2 talla baja,2011-04-01,0,0,1,3,5,3,6,6,12
SANTIAGO DE CALLAPA,estado nutricional,l 9.2 talla baja,2011-04-01,1,4,1,1,1,2,3,7,10
SANTIAGO DE HUARI,estado nutricional,l 9.2 talla baja,2011-04-01,10,3,18,9,26,17,54,29,83
SANTIAGO DE HUATA,estado nutricional,l 9.2 talla baja,2011-04-01,3,1,1,2,4,1,8,4,12
SANTIAGO DE MACHACA,estado nutricional,l 9.2 talla baja,2011-04-01,4,5,9,5,5,9,18,19,37
SANTIVAÑES,estado nutricional,l 9.2 talla baja,2011-04-01,5,3,0,3,15,6,20,12,32
SANTUARIO DE QUILLACAS,estado nutricional,l 9.2 talla baja,2011-04-01,4,1,11,6,10,13,25,20,45
SAPAHAQUI,estado nutricional,l 9.2 talla baja,2011-04-01,8,4,17,7,10,20,35,31,66
SENA,estado nutricional,l 9.2 talla baja,2011-04-01,3,1,1,4,1,0,5,5,10
SHINAOTA,estado nutricional,l 9.2 talla baja,2011-04-01,5,9,25,31,7,15,37,55,92
SICA SICA (VILLA AROMA),estado nutricional,l 9.2 talla baja,2011-04-01,11,17,24,13,14,18,49,48,97
SICAYA,estado nutricional,l 9.2 talla baja,2011-04-01,3,3,13,8,12,10,28,21,49
SIPE SIPE,estado nutricional,l 9.2 talla baja,2011-04-01,12,9,32,33,30,35,74,77,151
SOPACHUY,estado nutricional,l 9.2 talla baja,2011-04-01,7,2,12,11,71,74,90,87,177
SORACACHI,estado nutricional,l 9.2 talla baja,2011-04-01,15,9,21,7,25,25,61,41,102
SORATA,estado nutricional,l 9.2 talla baja,2011-04-01,5,5,15,17,23,30,43,52,95
SUCRE,estado nutricional,l 9.2 talla baja,2011-04-01,124,70,238,177,232,265,594,512,1106
TACACHI,estado nutricional,l 9.2 talla baja,2011-04-01,0,0,0,1,0,1,0,2,2
TACACOMA,estado nutricional,l 9.2 talla baja,2011-04-01,3,1,5,5,6,6,14,12,26
TACOBAMBA,estado nutricional,l 9.2 talla baja,2011-04-01,9,5,21,18,13,16,43,39,82
TACOPAYA,estado nutricional,l 9.2 talla baja,2011-04-01,19,7,48,30,67,64,134,101,235
TAHUA,estado nutricional,l 9.2 talla baja,2011-04-01,1,0,0,0,1,0,2,0,2
TAPACARI,estado nutricional,l 9.2 talla baja,2011-04-01,43,47,90,65,96,103,229,215,444
TARABUCO,estado nutricional,l 9.2 talla baja,2011-04-01,30,19,72,56,176,150,278,225,503
TARACO,estado nutricional,l 9.2 talla baja,2011-04-01,1,0,3,0,1,0,5,0,5
