,group,variable,month,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS FUERA,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS FUERA,TOTALES
CHAYANTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,12,12,22,34,80
CHIMORE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,26,20,31,16,93
CHIPAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,4,3,1,3,11
CHOQUE COTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,3,0,0,0,3
CHUA COCANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,6,0,0,8
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,14,8,2,2,26
CHUMA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,3,9,1,2,15
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,5,14,7,28
CKOCHAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,16,29,49,54,148
CLIZA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,45,32,13,6,96
COBIJA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,96,90,3,7,196
COCAPATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,11,15,59,36,121
COCHABAMBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,725,718,53,25,1521
COIPASA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,0,2,1,3
COLCAPIRHUA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,54,69,30,43,196
"COLCHA ""K""",vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,35,32,10,12,89
COLLANA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,1,1,2,5
COLOMI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,62,34,8,10,114
COLPA BELGICA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,2,0,1,5
COLQUECHACA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,48,42,110,117,317
COLQUENCHA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,19,16,0,0,35
COLQUIRI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,15,9,10,35
COMANCHE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,3,2,0,2,7
COMARAPA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,21,17,9,6,53
COMBAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,1,0,2,3
CONCEPCION,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,57,59,6,2,124
COPACABANA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,8,6,4,1,19
CORIPATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,20,18,14,17,69
CORO CORO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,6,6,3,4,19
COROICO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,3,7,6,7,23
CORQUE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,0,6,8,15
COTAGAITA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,9,15,8,14,46
COTOCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,138,133,0,5,276
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,33,32,9,6,80
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,1,1,0,2
CUEVO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,3,4,10,14,31
CULPINA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,39,25,7,10,81
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,7,7,1,3,18
CURVA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,1,3,3,8
DESAGUADERO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,14,6,1,1,22
EL ALTO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,567,613,137,131,1448
EL CHORO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,1,7,9,17
EL PUENTE(STC),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,28,10,2,1,41
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,24,18,11,10,63
EL TORNO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,102,117,5,5,229
EL VILLAR,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,12,11,4,4,31
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,28,33,41,48,150
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,53,83,0,0,136
ESCOMA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,3,0,0,5
EUCALIPTUS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,16,12,1,2,31
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,2,5,5,12
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,26,20,1,0,47
FILADELFIA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,6,7,0,2,15
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,26,12,2,4,44
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,8,11,5,2,26
GUANAY,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,14,8,9,8,39
GUAQUI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,5,5,4,5,19
GUAYARAMERIN,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,115,108,19,27,269
GUTIERREZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,3,4,0,2,9
HUACARETA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,17,8,5,1,31
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,4,3,3,2,12
HUACHACALLA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,0,0,2,3
HUANUNI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,33,23,4,13,73
HUARINA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,4,2,3,2,11
HUATAJATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,4,0,2,6
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,6,3,0,2,11
HUMANATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,3,1,0,5
ICHOCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,3,2,2,8
ICLA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,4,4,7,5,20
INCAHUASI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,7,9,16,15,47
INQUISIVI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,1,4,6,13
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,10,9,9,12,40
IXIAMAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,5,8,2,1,16
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,13,6,8,5,32
LA ASUNTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,51,41,9,9,110
LA GUARDIA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,147,133,5,0,285
LA PAZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,514,498,25,19,1056
LA RIVERA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,0,1,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,6,2,7,12,27
LAJA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,11,5,16,27,59
LAS CARRERAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,5,8,1,5,19
LICOMA PAMPA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,0,3,2,5
LLALLAGUA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,9,28,51,74,162
LLICA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,0,2,13,17
LORETO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,0,4,6,10
LURIBAY,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,4,6,8,13,31
MACHACAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,7,0,1,10
MACHARETI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,7,7,6,2,22
MAGDALENA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,3,0,3,2,8
MAIRANA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,10,14,0,0,24
MALLA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,0,10,10,20
MAPIRI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,38,29,6,2,75
MECAPACA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,10,5,3,6,24
MINEROS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,4,4,2,1,11
MIZQUE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,27,27,19,19,92
MOCOMOCO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,13,13,4,1,31
MOJINETE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,0,1,2,3
MOJOCOYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,2,2,5,11
MONTEAGUDO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,31,40,1,4,76
MONTERO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,193,162,5,6,366
MORO MORO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,4,1,0,1,6
MOROCHATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,8,7,25,29,69
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,11,5,3,9,28
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,3,0,0,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,9,2,3,1,15
OCURI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,8,13,20,22,63
OKINAWA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,28,23,1,1,53
OMEREQUE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,3,8,2,15
ORURO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,329,385,4,5,723
PADCAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,32,35,13,10,90
PADILLA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,10,17,3,2,32
PAILON,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,41,9,13,11,74
PALCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,31,22,3,3,59
PALOS BLANCOS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,53,40,31,23,147
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,4,1,3,2,10
PAMPA GRANDE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,16,16,2,3,37
PAPEL PAMPA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,6,6,1,3,16
PASORAPA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,0,3,6,9
PATACAMAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,3,3,5,7,18
PAZÑA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,3,3,3,5,14
PELECHUCO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,9,15,3,3,30
POCOATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,7,5,48,49,109
POCONA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,20,18,12,18,68
POJO (CBBA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,16,12,11,6,45
POOPO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,6,4,0,1,11
PORCO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,10,7,19,19,55
POROMA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,23,28,30,25,106
PORONGO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,15,10,5,15,45
PORTACHUELO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,65,64,0,0,129
PORVENIR,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,0,0,2,3
POSTRER VALLE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,0,0,0,1
POTOSI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,406,420,24,25,875
PRESTO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,14,9,24,20,67
PUCARANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,39,29,26,30,124
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,11,6,11,8,36
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,9,6,9,10,34
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,4,10,4,9,27
PUERTO PEREZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,10,5,9,6,30
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,10,6,7,8,31
PUERTO RICO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,14,16,0,0,30
PUERTO SILES,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,0,1,2,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,33,39,0,0,72
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,83,80,27,28,218
PUNA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,18,12,42,44,116
PUNATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,19,30,9,13,71
QUIABAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,7,0,0,8
QUILLACOLLO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,125,127,81,86,419
QUIME,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,11,4,7,3,25
QUIRUSILLAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,0,1,2,3
RAVELO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,8,11,64,49,132
RIBERALTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,100,108,7,5,220
ROBORE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,25,24,1,1,51
SABAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,1,2,0,4
SACABA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,154,169,57,57,437
SACABAMBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,3,6,4,3,16
SACACA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,17,18,36,32,103
SAIPINA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,8,5,0,0,13
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,14,15,27,16,72
SAMAIPATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,13,25,3,0,41
SAN AGUSTIN,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,0,0,1,3
SAN ANDRES,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,18,17,16,13,64
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,1,0,7,9
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,4,2,2,3,11
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,7,6,9,3,25
SAN BENITO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,8,7,9,5,29
SAN BORJA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,49,31,9,9,98
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,17,30,9,7,63
SAN CARLOS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,50,36,1,1,88
SAN IGNACIO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,44,43,2,1,90
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,85,110,11,27,233
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,4,14,16,36
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,38,27,0,0,65
SAN JOAQUIN,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,13,11,1,0,25
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,30,24,6,8,68
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,23,21,10,7,61
SAN JULIAN,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,53,50,17,15,135
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,43,32,11,5,91
SAN LUCAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,53,52,64,72,241
SAN MATIAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,4,8,11,13,36
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,37,38,4,2,81
SAN PEDRO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,5,6,8,4,23
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,47,51,49,59,206
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,3,3,4,3,13
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,0,0,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,3,4,1,2,10
SAN RAFAEL,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,5,8,1,1,15
SAN RAMON BENI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,3,16,15,34
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,18,17,0,0,35
SANTA ANA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,27,22,2,4,55
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1134,1073,11,10,2228
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,30,15,17,14,76
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,4,1,1,0,6
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,4,8,11,23,46
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,4,2,3,5,14
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,0,6,6,13
SANTIVAÑES,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,10,4,2,5,21
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,4,4,2,3,13
SAPAHAQUI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,9,4,4,3,20
SENA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,0,0,1,3
SHINAOTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,11,11,7,13,42
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,27,22,5,7,61
SICAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,3,7,8,3,21
SIPE SIPE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,93,102,46,43,284
