,group,variable,month,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,TOTALES
LAJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,6,3,4,5,18
LICOMA PAMPA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,8,10,18
LLALLAGUA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,6,6,12
LLICA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,6,4,0,1,11
LORETO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,2,3,5
LURIBAY,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,11,2,4,4,21
MACHACAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,1,0,0,3
MACHARETI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,2,3,2,10
MAIRANA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,2,0,1,3
MALLA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,0,1,1
MAPIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,6,0,0,8
MECAPACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,2,0,1,5
MIZQUE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,9,3,3,18
MOCOMOCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,5,6,9,12,32
MOJINETE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,4,7,11
MOJOCOYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,11,15,4,3,33
MONTEAGUDO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,5,10,1,3,19
MONTERO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,30,18,3,1,52
MORO MORO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,2,1,2,6
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,0,0,1
OKINAWA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,0,0,1
OMEREQUE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,0,10,10,22
ORURO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,92,95,0,3,190
PADCAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,1,2,2,8
PADILLA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,0,0,0,3
PAILON,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,14,24,39
PALCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,0,5,8,14
PALOS BLANCOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,3,8,5,19
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,4,1,0,3,8
PAMPA GRANDE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,4,6,0,0,10
PAPEL PAMPA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,5,3,3,1,12
PATACAMAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,1,1,1,4
PAZÑA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,0,3,4
PELECHUCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,5,4,1,0,10
POCOATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,3,33,35,71
POCONA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,4,2,8,17
POJO (CBBA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,0,0,1
POOPO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,1,1,0,5
PORCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,5,2,4,1,12
POROMA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,4,0,8,2,14
PORONGO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,1,0,1,3
PORTACHUELO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,5,5,0,0,10
POTOSI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,95,109,6,3,213
PRESTO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,0,0,1,2
PUCARANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,1,8,9,20
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,2,3,1,6
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,5,2,9,2,18
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,0,1,5,8
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,7,0,0,10
PUERTO RICO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,3,0,0,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,10,16,0,0,26
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,32,24,40,28,124
PUNA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,5,0,1,3,9
PUNATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,2,0,2
QUIABAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,2,1,0,3
QUILLACOLLO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,25,24,17,15,81
QUIME,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,1,14,4,21
RIBERALTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,7,4,2,15
ROBORE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,8,3,1,0,12
SACABA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,28,30,28,25,111
SACABAMBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,0,4,0,5
SACACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,4,2,13,10,29
SAIPINA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,2,0,1,5
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,3,7,10
SAMAIPATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,3,0,0,6
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,1,3,3,9
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,11,2,0,0,13
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,1,7,0,10
SAN BENITO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,6,1,4,13
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,3,1,0,7
SAN CARLOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,10,0,0,13
SAN IGNACIO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,1,0,0,3
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,20,22,5,6,53
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,19,17,36
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,5,5,0,0,10
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,9,8,0,0,17
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,1,0,0,2
SAN JULIAN,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,4,3,1,1,9
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,6,7,2,1,16
SAN MATIAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,0,1,0,3
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,11,5,1,0,17
SAN PEDRO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,2,3,2,8
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,4,5,0,0,9
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,0,1,1,3
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,1,4,2,9
SAN RAFAEL,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,3,0,0,5
SAN RAMON BENI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,1,2,0,6
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,0,0,0,2
SANTA ANA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,1,0,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,289,189,1,0,479
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,6,1,5,3,15
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,0,0,1
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,0,1,0,2
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,2,1,4,7
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,2,2,4
SANTIVAÑES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,7,0,0,10
SAPAHAQUI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,0,0,0,1
SHINAOTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,4,7,2,0,13
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,4,0,1,8
SICAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,1,0,0,2
SIPE SIPE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,22,21,5,3,51
SORATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,4,14,19,40
SUCRE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,123,110,19,15,267
TACACOMA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,0,1,1
TACOBAMBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,3,2,4,11
TACOPAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,1,3,4
TAPACARI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,15,20,13,5,53
TARABUCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,3,2,1,6
TARACO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,5,0,1,8
TARATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,1,0,1,4
TARIJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,69,50,7,10,136
TEOPONTE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,9,5,9,5,28
TIAWANACU,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,7,6,0,0,13
TINGUIPAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,7,5,6,5,23
TIPUANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,2,0,1,6
TIQUIPAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,10,2,5,17,34
TOCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,1,0,0,2
TOLATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,0,0,0,2
TOLEDO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,1,1,0,3
TOMINA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,5,1,0,0,6
TOTORA(ORR),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,0,0,0,1
TRIGAL,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,11,15,12,19,57
TUPIZA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,4,3,13,9,29
TURCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,2,3,1,6
UMALA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,5,2,5,1,13
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,3,0,1,5
UYUNI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,6,2,0,1,9
VACAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,4,2,0,4,10
VALLEGRANDE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,11,7,0,0,18
VIACHA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,19,23,13,16,71
VILA VILA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,1,3,0,6
VILLA CHARCAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,2,3,6,14
VILLA MONTES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,6,6,11,8,31
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,2,0,1,4
VILLA RIVERO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,3,0,0,6
VILLA SERRANO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,3,3,6
VILLA TUNARI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,16,21,16,10,63
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,3,0,0,6
VILLAZON,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,30,17,0,0,47
VINTO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,30,24,2,3,59
VITICHI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,2,2,5
WARNES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,19,25,0,1,45
YACUIBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,0,0,0,2
YAMPARAEZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,6,5,5,5,21
YAPACANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,0,2,0,3
YOCALLA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,2,4,4,13
YUNCHARA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,1,1,2
ACACIO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,1,8,10,21
ACHACACHI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,16,15,13,11,55
AIQUILE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,6,12,8,8,34
ALALAY,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,0,2,0,3
ALCALA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,3,13,4,20
ALTO BENI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,21,23,1,3,48
ANCORAIMES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,8,9,6,3,26
ANDAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,2,0,0,3
ANTEQUERA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,10,11,0,0,21
ANZALDO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,2,15,12,29
APOLO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,5,5,3,6,19
ARAMPAMPA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,3,14,17,36
ARANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,2,1,5,11
ARBIETO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,28,29,12,25,94
ARQUE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,12,11,13,21,57
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,76,63,0,0,139
ATOCHA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,6,8,0,2,16
AUCAPATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,0,1,2,3
AYATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,7,8,1,0,16
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,20,24,13,15,72
AZURDUY,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,25,6,18,13,62
BATALLAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,11,5,3,9,28
BAURES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,8,9,0,0,17
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,0,2,1,6
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,2,0,0,2
BELLA FLOR,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,1,0,3,5
BERMEJO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,14,6,4,3,27
BETANZOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,42,24,24,29,119
BOLIVAR,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,1,8,7,17
BOLPEBRA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,2,1,1,4
BOYUIBE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,1,0,0,4
BUENA VISTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,19,6,0,0,25
CABEZAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,4,8,2,3,17
CAIROMA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,0,4,8,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,11,6,2,1,20
CAJUATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,5,7,2,2,16
CALACOTO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,2,3,1,6
CALAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,17,19,1,1,38
CAMARGO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,9,15,10,9,43
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,0,5,3,11
CAMIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,13,15,5,1,34
CAPINOTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,15,22,12,8,57
CAQUIAVIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,1,0,0,4
CARACOLLO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,6,10,2,3,21
CARANAVI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,27,23,21,11,82
CARANGAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,0,1,1,2
CARAPARI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,20,10,11,8,49
CARIPUYO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,2,0,0,2
CATACORA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,0,1,1,3
CHALLAPATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,8,9,14,11,42
CHAQUI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,0,5,7,15
CHARAGUA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,16,14,0,1,31
CHARAÑA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,0,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,4,6,39,42,91
CHIMORE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,29,19,6,5,59
CHOQUE COTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,0,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,4,2,0,0,6
CHUMA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,2,0,0,4
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,9,7,2,2,20
CKOCHAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,7,16,14,13,50
