,group,variable,month,TOTAL ANTINEUMOCÓCICA 2DA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 2DA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTAL ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTALES
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,32,32,12,10,86
GUTIERREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,12,9,8,7,36
HUACARETA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,4,2,2,10
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,4,3,3,13
HUACHACALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,0,1,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,21,16,2,11,50
HUARACAJE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,2,1,0,8
HUARINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,5,1,3,12
HUATAJATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,0,2,0,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,0,0,1,2
HUMANATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,0,0,4,1,5
ICHOCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,1,2,1,5
ICLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,1,6,3,12
INCAHUASI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,7,4,5,21
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,0,0,1,3
INQUISIVI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,3,5,3,14
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,12,10,1,4,27
IXIAMAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,4,7,2,1,14
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,6,2,1,0,9
LA ASUNTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,34,42,14,7,97
LA GUARDIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,75,90,2,1,168
LA PAZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,591,593,37,31,1252
LA RIVERA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,0,0,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,5,1,1,10
LAJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,9,5,2,21
LAS CARRERAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,2,3,3,9
LICOMA PAMPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,0,0,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,29,27,12,15,83
LLICA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,4,1,0,8
LORETO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,5,0,4,14
LURIBAY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,4,3,2,12
MACHACAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,0,0,0,3
MACHARETI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,4,1,3,13
MAGDALENA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,9,3,3,1,16
MAIRANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,20,27,4,3,54
MALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,0,2,1,4
MAPIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,13,8,1,3,25
MECAPACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,4,5,3,17
MINEROS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,6,0,3,1,10
MIZQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,26,23,3,8,60
MOCOMOCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,9,5,4,20
MOJINETE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,1,1,1,4
MOJOCOYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,4,1,2,4,11
MONTEAGUDO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,20,12,3,2,37
MONTERO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,145,119,4,4,272
MORO MORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,1,1,1,4
MOROCHATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,4,5,4,18
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,2,1,1,6
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,0,1,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,3,1,2,11
OCURI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,5,3,6,19
OKINAWA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,11,13,2,1,27
OMEREQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,0,4,3,8
ORURO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,233,247,10,19,509
PADCAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,11,3,3,1,18
PADILLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,4,6,2,1,13
PAILON,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,19,24,7,8,58
PALCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,13,10,8,4,35
PALOS BLANCOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,24,29,7,8,68
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,1,1,0,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,8,2,1,0,11
PAPEL PAMPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,2,3,3,11
PASORAPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,0,0,1,2
PATACAMAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,17,15,7,4,43
PAZÑA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,4,4,1,1,10
PELECHUCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,7,4,2,18
POCOATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,4,13,19,37
POCONA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,7,6,7,21
POJO (CBBA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,9,0,1,15
POOPO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,4,0,0,5
PORCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,17,11,1,4,33
POROMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,8,6,8,4,26
PORONGO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,3,5,7,18
PORTACHUELO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,26,31,1,2,60
PORVENIR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,4,5,1,11
POSTRER VALLE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,1,1,1,4
POTOSI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,206,202,21,14,443
PRESTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,5,7,1,16
PUCARANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,15,14,8,12,49
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,2,7,7,18
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,7,4,4,4,19
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,0,2,4,5,11
PUERTO PEREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,0,4,3,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,17,22,0,2,41
PUERTO RICO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,10,5,0,0,15
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,11,14,6,4,35
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,68,44,13,9,134
PUNA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,9,4,6,5,24
PUNATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,17,19,2,2,40
QUIABAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,1,1,0,3
QUILLACOLLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,108,130,49,57,344
QUIME,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,8,5,5,1,19
QUIRUSILLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,1,0,0,2
RAVELO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,7,4,10,12,33
REYES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,8,5,4,22
RIBERALTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,88,109,8,9,214
ROBORE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,18,11,1,3,33
RURRENABAQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,9,16,1,0,26
SABAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,1,3,3,8
SACABA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,133,104,6,5,248
SACABAMBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,3,4,2,12
SACACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,20,11,7,7,45
SAIPINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,4,0,1,8
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,4,4,5,5,18
SAMAIPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,8,8,3,1,20
SAN AGUSTIN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,1,0,0,4
SAN ANDRES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,12,11,7,4,34
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,0,0,2,0,2
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,4,1,0,1,6
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,2,4,4,15
SAN BENITO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,2,2,10,19
SAN BORJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,42,36,18,16,112
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,8,2,2,2,14
SAN CARLOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,25,23,3,1,52
SAN IGNACIO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,16,16,4,1,37
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,51,43,8,16,118
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,0,2,6,2,10
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,24,15,0,2,41
SAN JOAQUIN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,8,4,3,0,15
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,18,21,11,11,61
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,3,1,3,12
SAN JULIAN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,40,53,23,21,137
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,0,4,5,6,15
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,11,17,1,2,31
SAN LUCAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,11,14,13,10,48
SAN MATIAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,8,13,6,7,34
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,9,8,0,0,17
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,0,1,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,6,4,0,1,11
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,24,18,8,6,56
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,4,2,0,0,6
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,0,0,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,0,5,2,8
SAN PEDRO(PND),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,0,3,1,6
SAN RAFAEL,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,3,5,0,13
SAN RAMON BENI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,6,5,3,15
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,16,16,2,1,35
SANTA ANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,15,11,1,0,27
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1494,1448,86,63,3091
SANTA ROSA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,8,6,0,0,14
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,18,7,2,0,27
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,0,1,0,3
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,5,3,5,16
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,4,1,2,8
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,6,1,0,1,8
SANTIVAÑES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,4,2,0,1,7
SAPAHAQUI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,4,6,2,1,13
SENA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,7,7,0,0,14
SHINAOTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,28,21,5,7,61
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,12,2,5,24
SICAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,4,2,0,0,6
SIPE SIPE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,48,41,0,1,90
SOPACHUY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,4,2,3,3,12
SORACACHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,3,0,3,7
SORATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,7,6,9,13,35
SUCRE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,288,283,1,5,577
TACACHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,0,1,0,0,1
TACACOMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,4,3,2,10
TACOBAMBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,5,3,1,12
TACOPAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,1,0,4,7
TAHUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,0,0,0,1
TAPACARI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,14,11,7,19,51
TARABUCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,7,7,6,6,26
TARACO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,3,1,1,8
TARATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,14,0,1,20
TARIJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,174,174,4,5,357
TARVITA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,4,8,1,16
TEOPONTE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,6,9,4,3,22
TIAWANACU,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,8,10,6,0,24
TINGUIPAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,13,17,12,10,52
TIPUANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,7,8,1,3,19
TIQUIPAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,54,58,10,13,135
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,9,11,7,12,39
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,0,2,0,0,2
TOCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,6,8,1,0,15
TOLATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,6,4,0,12
TOLEDO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,0,1,0,4,5
TOMAVE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,7,5,2,3,17
TOMINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,4,4,2,2,12
TORO TORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,4,5,12,23
TOTORA(CBBA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,9,10,1,4,24
TOTORA(ORR),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,2,1,2,7
TRIGAL,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,0,0,2,0,2
TRINIDAD,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,103,96,7,11,217
TUPIZA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,41,33,0,3,77
TURCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,2,1,0,5
UMALA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,0,1,4,10
UNCIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,23,14,6,7,50
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,9,15,6,4,34
URUBICHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,3,3,5,16
UYUNI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,14,25,3,4,46
VACAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,4,2,1,4,11
VALLEGRANDE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,14,10,0,0,24
VIACHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,47,54,6,6,113
VILA VILA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,0,2,2,9
VILLA CHARCAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,10,9,2,7,28
VILLA MONTES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,41,49,12,14,116
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,1,2,1,6
VILLA RIVERO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,5,2,1,13
VILLA SERRANO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,4,2,1,4,11
VILLA TUNARI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,85,85,7,6,183
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,4,5,2,3,14
VILLAZON,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,41,35,2,4,82
VINTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,67,57,3,7,134
VITICHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,8,7,3,2,20
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,2,2,0,6
WARNES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,108,119,22,27,276
YACO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,1,2,3,8
YACUIBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,48,65,17,12,142
YAMPARAEZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,1,3,4,4,12
YANACACHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,2,2,1,8
YAPACANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,48,49,7,4,108
YOCALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,4,3,3,2,12
YOTALA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,3,4,7,2,16
YUNCHARA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,2,0,3,4,9
YUNGUYO DE LITORAL,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,0,0,1,0,1
ZUDAÑEZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-04-01,5,4,4,3,16
ACACIO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,0,3,4,8
ACHACACHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,30,11,8,7,56
ACHOCALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,13,13,6,5,37
AIQUILE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,13,12,9,12,46
ALALAY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,0,3,1,4
ALCALA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,6,1,0,1,8
ALTO BENI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,8,12,2,0,22
ANCORAIMES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,7,2,3,5,17
ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,2,3,0,1,6
ANTEQUERA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,0,0,0,4
ANZALDO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,3,0,2,6
APOLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,1,9,4,18
ARAMPAMPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,2,3,0,6
ARANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,5,4,1,0,10
ARBIETO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,16,13,7,10,46
ARQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,6,5,5,19
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,56,57,3,3,119
ATOCHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,7,6,2,1,16
AUCAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,4,0,1,6
AYATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,3,5,2,13
AYO AYO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,4,1,1,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,14,14,6,11,45
AZURDUY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,2,4,6,5,17
BATALLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,6,9,4,2,21
BAURES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,11,4,0,2,17
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,1,0,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,0,0,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,2,4,4,13
BERMEJO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,34,25,2,5,66
BETANZOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,10,18,5,4,37
BOLIVAR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,7,0,5,6,18
BOLPEBRA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,1,0,0,1
BOYUIBE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,1,3,4,11
