,group,variable,month,TOTAL ANTIROTAVIRÍCA 2DA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 2DA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTAL ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
VILLAZON,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,36,29,0,0,65
VINTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,33,25,0,0,58
VITICHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,6,1,2,0,9
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,0,0,1,0,1
WARNES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,97,98,0,4,199
YACO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,5,5,2,2,14
YACUIBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,56,50,6,7,119
YAMPARAEZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,3,0,4,2,9
YANACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,2,1,1,0,4
YAPACANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,43,48,12,8,111
YOCALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,4,2,1,2,9
YOTALA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,2,1,3,2,8
YUNCHARA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,1,1,2,6,10
YUNGUYO DE LITORAL,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,0,0,3,0,3
ZUDAÑEZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-02-01,2,5,3,3,13
ACACIO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,1,3,3,11
ACHACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,23,14,10,9,56
ACHOCALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,16,6,9,4,35
AIQUILE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,12,19,9,6,46
ALCALA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,1,0,2,5
ALTO BENI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,13,12,1,2,28
ANCORAIMES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,2,3,3,14
ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,4,1,1,6
ANTEQUERA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,1,1,0,5
ANZALDO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,4,0,1,8
APOLO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,12,14,2,7,35
ARAMPAMPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,1,3,4,8
ARANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,8,9,2,2,21
ARBIETO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,10,10,4,9,33
ARQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,9,4,0,2,15
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,31,36,0,0,67
ATOCHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,8,11,3,0,22
AUCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,2,1,1,6
AYATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,0,0,0,1
AYO AYO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,5,1,0,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,23,13,6,8,50
AZURDUY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,0,5,6,15
BATALLAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,5,8,6,2,21
BAURES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,2,0,0,5
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,0,2,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,1,2,1,4
BELLA FLOR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,1,1,1,4
BERMEJO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,20,24,5,3,52
BETANZOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,19,30,9,7,65
BOLIVAR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,2,6,3,15
BOLPEBRA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,1,0,1,2
BOYUIBE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,5,0,0,11
BUENA VISTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,11,9,0,3,23
CABEZAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,19,12,9,7,47
CAIROMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,9,1,6,19
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,4,1,1,12
CAJUATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,11,2,1,20
CALACOTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,2,3,1,6
CALAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,6,1,1,14
CAMARGO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,12,9,3,0,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,1,1,1,4
CAMIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,32,26,0,3,61
CAPINOTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,10,6,0,0,16
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,0,1,2,7
CARACOLLO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,14,16,0,0,30
CARANAVI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,37,31,5,8,81
CARANGAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,0,1,0,1
CARAPARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,15,13,0,0,28
CARIPUYO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,8,5,9,7,29
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,1,5,1,8
CATACORA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,29,22,8,8,67
CHAQUI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,6,1,1,14
CHARAGUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,15,8,8,9,40
CHARAÑA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,1,0,0,2
CHAYANTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,9,8,2,6,25
CHIMORE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,19,18,0,1,38
CHIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,3,1,2,6
CHUA COCANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,1,0,1,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,9,9,1,1,20
CHUMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,6,4,0,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,3,0,0,5
CKOCHAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,9,5,0,8,22
CLIZA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,14,16,6,0,36
COBIJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,52,60,3,7,122
COCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,4,5,7,20
COCHABAMBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,758,695,7,13,1473
COIPASA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,0,1,1,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,37,50,1,0,88
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,14,7,2,2,25
COLLANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,4,0,0,7
COLOMI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,21,13,2,1,37
COLPA BELGICA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,3,1,0,4
COLQUECHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,15,12,14,12,53
COLQUENCHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,12,4,0,0,16
COLQUIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,9,9,11,15,44
COMANCHE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,2,0,0,3
COMARAPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,10,11,0,1,22
COMBAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,1,1,0,4
CONCEPCION,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,17,17,2,3,39
COPACABANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,5,8,3,20
CORIPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,8,18,1,0,27
CORO CORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,3,0,0,7
COROICO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,10,11,0,0,21
CORQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,2,3,1,6
COTAGAITA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,9,7,6,3,25
COTOCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,54,60,1,4,119
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,0,0,1,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,10,19,7,7,43
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,1,0,1,2
CUEVO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,3,2,2,9
CULPINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,11,13,4,4,32
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,2,1,0,4
CURVA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,0,3,4,7
DESAGUADERO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,3,1,0,10
EL ALTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,779,716,58,59,1612
EL CHORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,4,0,1,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,6,4,1,17
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,10,8,4,0,22
EL TORNO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,44,59,2,4,109
EL VILLAR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,2,1,1,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,10,15,6,3,34
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,22,31,0,0,53
ESCOMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,2,2,0,6
ESMERALDA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,0,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,5,3,0,0,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,0,1,1,2
EXALTACION,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,2,2,3,8
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,14,11,4,2,31
FILADELFIA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,7,2,0,1,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,10,12,2,0,24
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,5,8,3,3,19
GUANAY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,10,5,7,28
GUAQUI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,2,3,1,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,40,45,1,1,87
GUTIERREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,8,5,8,4,25
HUACARETA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,5,6,6,3,20
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,1,0,1,3
HUACHACALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,1,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,27,18,0,0,45
HUARACAJE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,4,2,0,7
HUARINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,0,1,0,5
HUATAJATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,2,0,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,0,1,0,1
HUMANATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,2,2,3,10
ICHOCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,2,1,1,8
ICLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,4,4,2,13
INCAHUASI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,9,3,3,18
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,1,0,0,2
INQUISIVI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,3,3,6,18
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,5,4,6,21
IXIAMAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,6,2,0,10
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,9,3,2,1,15
LA ASUNTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,49,37,9,12,107
LA GUARDIA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,92,68,2,0,162
LA PAZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,698,653,25,26,1402
LA RIVERA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,0,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,7,7,4,5,23
LAJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,7,6,3,2,18
LAS CARRERAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,4,0,1,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,1,0,1,4
LLALLAGUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,18,30,14,24,86
LLICA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,1,0,3,6
LORETO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,2,4,4,10
LURIBAY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,7,2,2,12
MACHACAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,3,0,0,4
MACHARETI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,2,2,0,8
MAGDALENA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,12,6,1,3,22
MAIRANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,8,13,0,0,21
MALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,2,2,2,6
MAPIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,11,12,2,3,28
MECAPACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,4,1,6,17
MINEROS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,1,0,0,3
MIZQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,32,19,5,5,61
MOCOMOCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,6,6,6,24
MOJINETE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,1,0,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,4,3,0,8
MONTEAGUDO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,18,22,1,2,43
MONTERO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,112,145,1,0,258
MORO MORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,1,1,2,6
MOROCHATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,0,7,5,13
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,0,2,3,5
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,1,0,0,4
OCURI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,5,12,2,10,29
OKINAWA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,14,9,1,1,25
OMEREQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,1,2,2,8
ORURO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,314,317,4,4,639
PADCAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,11,11,2,0,24
PADILLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,5,4,2,1,12
PAILON,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,28,23,17,15,83
PALCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,11,9,4,0,24
PALOS BLANCOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,28,22,2,2,54
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,6,0,0,8
PAMPA GRANDE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,9,8,0,0,17
PAPEL PAMPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,4,2,3,9
PASORAPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,1,0,0,1
PATACAMAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,18,13,2,1,34
PAZÑA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,3,0,0,7
PELECHUCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,9,2,3,1,15
POCOATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,7,16,15,41
POCONA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,4,1,3,14
POJO (CBBA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,11,7,2,2,22
POOPO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,4,0,0,5
PORCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,13,8,1,3,25
POROMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,5,6,9,26
PORONGO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,9,6,0,0,15
PORTACHUELO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,21,18,5,9,53
PORVENIR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,6,3,1,16
POTOSI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,229,234,10,8,481
PRESTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,2,10,1,19
PUCARA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,2,0,0,5
PUCARANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,13,17,7,8,45
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,3,5,4,14
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,5,6,6,21
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,5,1,3,11
PUERTO PEREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,5,3,0,0,8
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,15,17,2,4,38
PUERTO RICO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,4,0,0,10
PUERTO SILES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,0,0,1,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,17,13,1,2,33
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,53,41,4,2,100
PUNA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,10,8,12,7,37
PUNATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,22,29,3,0,54
QUIABAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,1,1,3,6
QUILLACOLLO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,100,102,23,27,252
QUIME,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,8,6,0,1,15
QUIRUSILLAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,1,0,0,3
RAVELO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,3,9,10,28
REYES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,8,10,1,0,19
RIBERALTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,96,125,10,15,246
ROBORE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,9,10,2,0,21
RURRENABAQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,18,18,2,1,39
SABAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,1,2,0,4
SACABA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,119,122,2,4,247
SACABAMBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,3,2,0,7
SACACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,10,13,3,4,30
SAIPINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,7,2,1,0,10
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,6,5,2,19
SAMAIPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,8,6,0,0,14
SAN AGUSTIN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,1,0,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,9,4,1,0,14
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,5,0,1,0,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,5,1,0,1,7
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,1,3,0,4
SAN BENITO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,6,1,0,11
SAN BORJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,61,47,5,4,117
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,8,7,3,0,18
SAN CARLOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,23,21,0,0,44
SAN IGNACIO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,18,18,2,0,38
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,60,68,4,6,138
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,0,1,0,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,1,0,0,4
