,group,variable,month,TOTAL ANTIROTAVIRÍCA 1RA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 1RA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTAL ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTALES
VILLA MONTES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,37,48,11,8,104
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,1,1,1,4
VILLA RIVERO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,5,5,0,2,12
VILLA SERRANO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,4,1,3,2,10
VILLA TUNARI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,61,49,5,6,121
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,6,5,1,1,13
VILLAZON,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,37,28,3,4,72
VINTO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,31,28,2,2,63
VITICHI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,7,10,2,2,21
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,2,2,0,5
WARNES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,94,90,4,2,190
YACO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,2,2,0,2,6
YACUIBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,88,67,12,11,178
YAMPARAEZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,3,4,3,11
YANACACHI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,3,5,0,0,8
YAPACANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,54,54,4,4,116
YOCALLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,4,3,5,1,13
YOTALA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,3,0,1,5
YUNCHARA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,1,1,3,4,9
ZUDAÑEZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-02-01,5,1,3,3,12
ACACIO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,3,1,3,3,10
ACHACACHI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,33,17,10,10,70
ACHOCALLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,10,12,9,5,36
AIQUILE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,12,18,4,10,44
ALALAY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,0,0,4,0,4
ALCALA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,5,1,0,1,7
ALTO BENI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,7,17,2,2,28
ANCORAIMES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,8,4,2,4,18
ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,0,1,0,1,2
ANTEQUERA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,2,0,0,3
ANZALDO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,2,1,2,6
APOLO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,11,9,7,3,30
ARAMPAMPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,0,4,1,6
ARANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,8,7,0,0,15
ARBIETO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,15,13,7,10,45
ARQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,8,5,0,3,16
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,34,24,0,0,58
ATOCHA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,6,7,2,2,17
AUCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,3,2,1,0,6
AYATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,5,0,0,7
AYO AYO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,5,6,1,1,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,14,17,6,12,49
AZURDUY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,4,5,5,18
BATALLAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,5,7,5,4,21
BAURES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,8,4,0,1,13
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,0,1,0,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,0,0,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,1,0,2,5
BERMEJO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,34,26,0,1,61
BETANZOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,15,22,4,8,49
BOLIVAR,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,6,3,6,4,19
BOLPEBRA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,2,0,0,4
BOYUIBE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,5,1,3,2,11
BUENA VISTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,7,9,1,0,17
CABEZAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,15,17,9,15,56
CAIROMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,6,1,1,10
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,10,8,1,3,22
CAJUATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,11,6,2,1,20
CALACOTO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,0,4,4,10
CALAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,5,2,3,12
CAMARGO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,10,11,5,2,28
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,1,1,0,4
CAMIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,46,22,0,2,70
CAPINOTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,5,15,1,1,22
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,7,3,1,2,13
CARACOLLO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,9,15,4,3,31
CARANAVI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,40,39,4,7,90
CARANGAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,0,0,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,11,16,3,2,32
CARIPUYO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,2,9,1,16
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,6,6,4,17
CATACORA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,0,2,0,3
CHALLAPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,26,33,2,9,70
CHAQUI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,8,8,1,4,21
CHARAGUA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,12,17,9,12,50
CHARAÑA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,3,0,1,5
CHAYANTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,10,11,5,3,29
CHIMORE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,16,26,6,0,48
CHOQUE COTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,0,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,1,0,0,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,12,11,1,3,27
CHUMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,3,4,2,3,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,8,11,2,1,22
CKOCHAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,13,5,3,25
CLIZA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,18,21,2,1,42
COBIJA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,61,52,3,8,124
COCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,6,8,11,13,38
COCHABAMBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,749,725,6,6,1486
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,26,37,1,0,64
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,8,9,1,2,20
COLLANA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,2,0,0,6
COLOMI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,12,20,4,0,36
COLPA BELGICA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,5,8,0,0,13
COLQUECHACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,17,25,18,11,71
COLQUENCHA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,8,4,0,0,12
COLQUIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,14,8,6,13,41
COMANCHE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,3,5,0,0,8
COMARAPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,15,12,0,0,27
COMBAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,1,0,0,3
CONCEPCION,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,14,17,3,3,37
COPACABANA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,3,8,3,3,17
CORIPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,13,13,0,0,26
CORO CORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,4,1,0,9
COROICO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,8,8,1,1,18
CORQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,6,3,2,15
COTAGAITA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,10,12,7,2,31
COTOCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,50,48,2,0,100
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,0,0,0,1,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,18,19,5,6,48
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,1,0,0,3
CUEVO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,7,1,1,10
CULPINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,7,11,3,5,26
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,0,2,0,0,2
CURVA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,0,1,2,1,4
DESAGUADERO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,3,0,0,7
EL ALTO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,817,823,83,80,1803
EL CHORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,1,1,2,5
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,7,6,0,1,14
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,11,3,0,3,17
EL TORNO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,62,48,2,1,113
EL VILLAR,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,2,1,0,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,9,26,2,5,42
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,28,39,0,0,67
ESCARA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,1,0,0,2
ESCOMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,5,0,2,11
EUCALIPTUS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,4,0,1,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,0,0,1,1,2
EXALTACION,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,0,1,1,8,10
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,17,17,3,2,39
FILADELFIA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,1,1,0,6
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,6,15,2,0,23
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,9,10,3,3,25
GUANAY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,6,9,6,3,24
GUAQUI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,0,2,3,2,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,59,39,1,3,102
GUTIERREZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,6,5,5,8,24
HUACARETA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,4,2,2,10
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,3,2,1,8
HUACHACALLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,0,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,26,16,2,0,44
HUARACAJE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,4,2,0,8
HUARINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,0,4,2,3,9
HUATAJATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,1,0,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,0,0,0,2
HUMANATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,1,3,2,7
ICHOCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,0,2,2,6
ICLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,3,1,5,13
INCAHUASI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,5,3,2,11
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,1,0,0,2
INQUISIVI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,6,4,6,10,26
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,12,5,4,5,26
IXIAMAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,10,11,0,0,21
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,11,4,0,0,15
LA ASUNTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,43,44,9,15,111
LA GUARDIA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,88,86,6,0,180
LA PAZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,685,749,15,16,1465
LAGUNILLAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,8,6,2,4,20
LAJA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,13,13,0,3,29
LAS CARRERAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,1,1,3,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,3,0,0,4
LLALLAGUA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,37,12,16,19,84
LLICA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,3,4,0,2,9
LORETO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,1,5,5,12
LURIBAY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,3,2,7,3,15
MACHACAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,4,2,1,8
MACHARETI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,8,6,0,1,15
MAGDALENA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,13,5,2,3,23
MAIRANA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,12,12,0,0,24
MALLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,0,0,0,1
MAPIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,11,11,0,1,23
MECAPACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,7,12,1,2,22
MINEROS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,3,0,0,2,5
MIZQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,25,27,9,4,65
MOCOMOCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,8,13,5,3,29
MOJOCOYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,4,0,1,6
MONTEAGUDO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,18,13,3,1,35
MONTERO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,135,137,2,0,274
MORO MORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,0,3,0,0,3
MOROCHATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,4,6,9,21
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,0,2,5,9
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,0,1,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,1,0,0,2
OCURI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,6,4,5,4,19
OKINAWA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,16,15,1,1,33
OMEREQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,3,0,2,2,7
ORURO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,347,330,5,2,684
PADCAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,12,12,1,0,25
PADILLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,5,5,0,1,11
PAILON,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,25,22,23,27,97
PALCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,13,19,3,3,38
PALOS BLANCOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,11,25,6,4,46
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,5,0,0,2,7
PAMPA GRANDE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,10,10,0,0,20
PAPEL PAMPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,3,1,0,1,5
PASORAPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,3,0,1,5
PATACAMAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,14,28,2,1,45
PAZÑA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,5,2,0,1,8
PELECHUCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,5,4,0,5,14
POCOATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,8,11,15,38
POCONA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,9,7,3,23
POJO (CBBA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,5,8,6,2,21
POOPO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,3,5,0,0,8
PORCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,13,20,2,2,37
POROMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,9,4,9,5,27
PORONGO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,6,10,1,3,20
PORTACHUELO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,26,21,0,0,47
PORVENIR,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,6,0,1,11
POTOSI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,254,265,14,13,546
PRESTO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,3,2,3,6,14
PUCARA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,0,2,0,0,2
PUCARANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,12,21,11,11,55
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,3,8,3,18
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,5,4,8,6,23
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,8,1,4,4,17
PUERTO PEREZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,3,2,0,2,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,13,25,7,3,48
PUERTO RICO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,4,8,0,0,12
PUERTO SILES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,0,2,0,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,20,24,2,3,49
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,52,35,1,3,91
PUNA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,6,12,6,11,35
PUNATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,32,37,0,0,69
QUIABAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,2,0,1,5
QUILLACOLLO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,125,109,31,36,301
QUIME,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,5,1,0,8
QUIRUSILLAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,1,0,0,0,1
RAVELO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,6,3,13,8,30
REYES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,9,8,1,1,19
RIBERALTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,121,111,12,13,257
ROBORE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,9,5,0,1,15
RURRENABAQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,15,27,2,2,46
SABAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,0,1,0,3
SACABA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,146,125,0,1,272
SACABAMBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,6,2,0,0,8
SACACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,18,20,8,8,54
SAIPINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,6,1,1,0,8
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,7,6,5,1,19
SAMAIPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,8,4,1,0,13
SAN AGUSTIN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,1,0,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,8,0,1,11
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,3,0,0,5
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-03-01,2,2,1,1,6
