,group,variable,month,TOTAL PENTAVALENTE 3RA DOSIS DENTRO,TOTAL PENTAVALENTE 3RA DOSIS DENTRO,TOTAL PENTAVALENTE 3RA DOSIS FUERA,TOTAL PENTAVALENTE 3RA DOSIS FUERA,TOTALES
VACAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,2,0,5,4,11
VALLEGRANDE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,15,10,0,1,26
VIACHA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,63,47,3,4,117
VILA VILA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,1,3,1,1,6
VILLA CHARCAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,8,10,6,2,26
VILLA MONTES,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,30,36,7,5,78
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,0,1,2,0,3
VILLA RIVERO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,10,5,1,4,20
VILLA SERRANO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,4,9,4,3,20
VILLA TUNARI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,52,58,6,5,121
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,6,7,3,4,20
VILLAZON,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,31,25,1,2,59
VINTO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,34,26,2,5,67
VITICHI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,7,6,2,0,15
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,1,3,1,0,5
WARNES,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,118,83,6,3,210
YACO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,4,2,4,6,16
YACUIBA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,78,51,4,11,144
YAMPARAEZ,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,3,5,3,2,13
YANACACHI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,5,3,0,0,8
YAPACANI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,41,42,8,9,100
YOCALLA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,7,2,0,0,9
YOTALA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,2,2,1,1,6
YUNCHARA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,0,0,5,6,11
ZUDAÑEZ,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-02-01,5,3,2,5,15
ACACIO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,1,1,2,5
ACHACACHI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,15,18,5,15,53
ACHOCALLA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,8,6,6,9,29
AIQUILE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,12,13,4,4,33
ALALAY,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,0,0,1,2,3
ALCALA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,2,1,1,6
ALTO BENI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,10,12,1,0,23
ANCORAIMES,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,9,11,2,2,24
ANDAMARCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,2,1,2,6
ANTEQUERA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,2,1,0,4
ANZALDO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,3,1,2,8
APOLO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,11,12,7,2,32
ARAMPAMPA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,0,6,4,11
ARANI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,14,4,2,1,21
ARBIETO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,16,10,7,11,44
ARQUE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,6,3,0,13
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,44,24,0,0,68
ATOCHA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,9,10,0,3,22
AUCAPATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,2,0,1,4
AYATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,3,0,0,5
AYO AYO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,6,2,2,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,13,12,9,6,40
AZURDUY,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,1,4,2,11
BATALLAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,8,10,3,5,26
BAURES,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,3,3,1,1,8
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,1,2,0,4
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,0,2,0,3
BELLA FLOR,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,0,3,1,1,5
BERMEJO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,36,35,2,7,80
BETANZOS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,13,10,11,11,45
BOLIVAR,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,5,3,3,4,15
BOLPEBRA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,0,2,0,0,2
BOYUIBE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,5,1,0,0,6
BUENA VISTA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,9,3,2,18
CABEZAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,10,7,17,12,46
CAIROMA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,11,4,1,3,19
"CAIZA ""D""",vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,7,3,2,1,13
CAJUATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,9,1,2,16
CALACOTO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,2,2,3,9
CALAMARCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,8,11,1,1,21
CAMARGO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,10,6,4,2,22
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,0,2,1,0,3
CAMIRI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,37,32,4,4,77
CAPINOTA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,10,9,3,2,24
CAQUIAVIRI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,3,0,4,3,10
CARACOLLO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,12,13,2,1,28
CARANAVI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,37,33,10,6,86
CARAPARI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,6,9,8,3,26
CARIPUYO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,3,5,4,4,16
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,3,4,6,17
CHALLAPATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,25,23,11,7,66
CHAQUI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,7,2,3,16
CHARAGUA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,10,9,3,14,36
CHARAÑA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,0,0,1,2
CHAYANTA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,10,7,0,9,26
CHIMORE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,22,15,0,3,40
CHIPAYA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,1,0,0,2
CHUA COCANI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,0,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,11,10,4,3,28
CHUMA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,2,1,0,7
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,8,8,2,2,20
CKOCHAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,11,14,6,13,44
CLIZA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,13,18,1,2,34
COBIJA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,65,52,14,8,139
COCAPATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,8,3,9,22
COCHABAMBA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,725,693,11,5,1434
COIPASA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,0,2,0,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,42,35,0,1,78
"COLCHA ""K""",vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,12,14,2,3,31
COLLANA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,0,0,0,1
COLOMI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,21,9,2,1,33
COLPA BELGICA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,3,0,0,7
COLQUECHACA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,15,15,16,7,53
COLQUENCHA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,9,4,0,0,13
COLQUIRI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,10,3,7,8,28
COMANCHE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,1,1,1,4
COMARAPA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,15,6,3,2,26
COMBAYA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,0,1,0,1,2
CONCEPCION,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,17,15,3,4,39
COPACABANA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,6,2,3,9,20
CORIPATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,14,17,1,0,32
CORO CORO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,6,3,1,1,11
COROICO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,7,8,0,1,16
CORQUE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,2,1,1,5
COTAGAITA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,12,15,5,5,37
COTOCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,59,68,5,2,134
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,11,20,1,3,35
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,0,0,0,2
CUEVO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,5,1,1,8
CULPINA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,12,11,5,6,34
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,0,0,2,4
CURVA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,1,0,1,4
DESAGUADERO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,3,0,0,1,4
EL ALTO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,694,672,71,62,1499
EL CHORO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,7,0,0,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,5,5,1,5,16
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,12,3,0,1,16
EL TORNO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,39,52,3,3,97
EL VILLAR,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,3,4,1,1,9
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,18,17,4,7,46
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,31,30,0,2,63
ESCOMA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,0,1,1,6
EUCALIPTUS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,6,1,1,1,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,0,0,1,0,1
EXALTACION,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,0,0,0,1,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,20,16,8,2,46
FILADELFIA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,3,5,4,5,17
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,13,9,1,0,23
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,3,2,3,12
GUANAY,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,10,14,3,7,34
GUAQUI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,0,2,3,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,30,38,2,2,72
GUTIERREZ,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,6,3,10,5,24
HUACARETA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,6,2,1,4,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,3,2,1,8
HUACHACALLA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,0,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,13,13,1,0,27
HUARACAJE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,3,1,1,1,6
HUARINA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,0,1,0,0,1
HUATAJATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,2,1,0,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,2,1,1,5
HUMANATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,2,5,2,11
ICHOCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,0,3,1,6
ICLA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,0,1,2,1,4
INCAHUASI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,5,5,4,0,14
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,1,0,0,2
INQUISIVI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,5,2,3,5,15
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,13,11,2,4,30
IXIAMAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,7,4,0,0,11
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,5,8,1,2,16
LA ASUNTA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,29,29,6,8,72
LA GUARDIA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,83,78,4,2,167
LA PAZ,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,653,637,43,51,1384
LAGUNILLAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,7,3,3,17
LAJA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,10,11,1,2,24
LAS CARRERAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,3,0,2,7
LICOMA PAMPA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,0,1,1,3
LLALLAGUA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,32,29,32,22,115
LLICA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,3,0,1,8
LORETO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,3,2,2,1,8
LURIBAY,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,3,3,6,6,18
MACHACAMARCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,5,1,0,8
MACHARETI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,5,8,3,2,18
MAGDALENA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,8,7,0,3,18
MAIRANA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,12,8,0,0,20
MALLA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,0,3,2,6
MAPIRI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,20,14,1,1,36
MECAPACA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,9,3,3,1,16
MINEROS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,6,0,0,10
MIZQUE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,16,27,1,5,49
MOCOMOCO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,7,3,3,2,15
MOJOCOYA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,3,3,1,9
MONTEAGUDO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,24,18,2,1,45
MONTERO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,130,105,2,0,237
MORO MORO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,2,0,0,3
MOROCHATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,3,4,7,5,19
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,0,0,1,3,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,2,0,0,4
OCURI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,12,8,7,29
OKINAWA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,15,14,2,1,32
OMEREQUE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,1,4,3,12
ORURO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,318,291,1,11,621
PADCAYA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,21,12,2,2,37
PADILLA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,5,3,2,1,11
PAILON,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,20,17,24,23,84
PALCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,13,10,2,3,28
PALOS BLANCOS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,17,26,2,6,51
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,3,2,0,1,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,8,9,0,0,17
PAPEL PAMPA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,3,1,1,6
PASORAPA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,0,0,1,2,3
PATACAMAYA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,16,20,1,2,39
PAZÑA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,7,6,0,1,14
PELECHUCO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,6,5,2,2,15
POCOATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,1,15,14,34
POCONA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,6,5,4,4,19
POJO (CBBA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,7,7,1,0,15
POOPO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,6,2,0,0,8
PORCO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,15,7,0,4,26
POROMA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,5,8,8,5,26
PORONGO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,8,9,3,0,20
PORTACHUELO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,17,17,3,3,40
PORVENIR,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,3,1,1,9
POSTRER VALLE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,0,2,0,0,2
POTOSI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,238,222,9,5,474
PRESTO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,2,2,4,10
PUCARA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,0,1,0,2
PUCARANI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,15,21,11,4,51
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,1,7,9,18
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,2,4,10,18
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,3,5,4,3,15
PUERTO PEREZ,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,7,4,0,0,11
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,18,18,1,0,37
PUERTO RICO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,3,8,0,0,11
PUERTO SILES,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,0,0,1,1,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,11,18,4,0,33
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,40,21,2,2,65
PUNA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,5,11,10,6,32
PUNATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,22,17,3,2,44
QUIABAYA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,2,0,2,6
QUILLACOLLO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,71,97,45,35,248
QUIME,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,2,0,0,3
QUIRUSILLAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,2,0,0,4
RAVELO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,5,3,12,11,31
REYES,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,13,7,0,1,21
RIBERALTA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,112,115,21,24,272
ROBORE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,8,16,3,6,33
RURRENABAQUE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,21,23,5,3,52
SABAYA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,0,0,0,1
SACABA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,130,130,1,4,265
SACABAMBA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,5,0,0,7
SACACA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,18,8,5,8,39
SAIPINA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,4,6,0,0,10
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,6,5,1,6,18
SAMAIPATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,3,12,6,4,25
SAN ANDRES,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,8,5,0,0,13
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,1,1,1,1,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,1,0,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,2,2,3,1,8
SAN BENITO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,6,11,3,1,21
SAN BORJA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-03-01,39,30,3,5,77
