,group,variable,month,TOTAL BCG DENTRO,TOTAL BCG DENTRO,TOTAL BCG FUERA,TOTAL BCG FUERA,TOTALES
TOLATA,vacunaciones en menores de 1 ano,total bcg,2015-03-01,1,3,1,0,5
TOLEDO,vacunaciones en menores de 1 ano,total bcg,2015-03-01,4,5,0,0,9
TOMAVE,vacunaciones en menores de 1 ano,total bcg,2015-03-01,2,3,5,7,17
TOMINA,vacunaciones en menores de 1 ano,total bcg,2015-03-01,2,2,0,0,4
TORO TORO,vacunaciones en menores de 1 ano,total bcg,2015-03-01,9,6,9,6,30
TOTORA(CBBA),vacunaciones en menores de 1 ano,total bcg,2015-03-01,11,17,1,2,31
TOTORA(ORR),vacunaciones en menores de 1 ano,total bcg,2015-03-01,2,0,2,1,5
TRIGAL,vacunaciones en menores de 1 ano,total bcg,2015-03-01,1,0,0,0,1
TRINIDAD,vacunaciones en menores de 1 ano,total bcg,2015-03-01,203,184,0,0,387
TUPIZA,vacunaciones en menores de 1 ano,total bcg,2015-03-01,42,42,6,4,94
TURCO,vacunaciones en menores de 1 ano,total bcg,2015-03-01,2,2,0,1,5
UMALA,vacunaciones en menores de 1 ano,total bcg,2015-03-01,0,1,1,3,5
UNCIA,vacunaciones en menores de 1 ano,total bcg,2015-03-01,11,12,9,11,43
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total bcg,2015-03-01,4,2,1,0,7
URUBICHA,vacunaciones en menores de 1 ano,total bcg,2015-03-01,3,9,0,0,12
UYUNI,vacunaciones en menores de 1 ano,total bcg,2015-03-01,19,31,5,0,55
VACAS,vacunaciones en menores de 1 ano,total bcg,2015-03-01,0,0,8,17,25
VALLEGRANDE,vacunaciones en menores de 1 ano,total bcg,2015-03-01,13,15,0,0,28
VIACHA,vacunaciones en menores de 1 ano,total bcg,2015-03-01,46,41,4,1,92
VILA VILA,vacunaciones en menores de 1 ano,total bcg,2015-03-01,1,2,1,2,6
VILLA CHARCAS,vacunaciones en menores de 1 ano,total bcg,2015-03-01,3,2,3,3,11
VILLA MONTES,vacunaciones en menores de 1 ano,total bcg,2015-03-01,68,69,1,2,140
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total bcg,2015-03-01,2,1,2,2,7
VILLA RIVERO,vacunaciones en menores de 1 ano,total bcg,2015-03-01,4,2,5,2,13
VILLA SERRANO,vacunaciones en menores de 1 ano,total bcg,2015-03-01,7,6,1,2,16
VILLA TUNARI,vacunaciones en menores de 1 ano,total bcg,2015-03-01,81,87,8,6,182
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total bcg,2015-03-01,3,1,2,4,10
VILLAZON,vacunaciones en menores de 1 ano,total bcg,2015-03-01,41,29,1,0,71
VINTO,vacunaciones en menores de 1 ano,total bcg,2015-03-01,45,36,0,0,81
VITICHI,vacunaciones en menores de 1 ano,total bcg,2015-03-01,1,1,1,6,9
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total bcg,2015-03-01,0,0,1,2,3
WARNES,vacunaciones en menores de 1 ano,total bcg,2015-03-01,112,93,2,2,209
YACO,vacunaciones en menores de 1 ano,total bcg,2015-03-01,2,6,4,2,14
YACUIBA,vacunaciones en menores de 1 ano,total bcg,2015-03-01,112,114,9,9,244
YAMPARAEZ,vacunaciones en menores de 1 ano,total bcg,2015-03-01,4,3,0,0,7
YANACACHI,vacunaciones en menores de 1 ano,total bcg,2015-03-01,1,5,1,0,7
YAPACANI,vacunaciones en menores de 1 ano,total bcg,2015-03-01,48,48,2,2,100
YOCALLA,vacunaciones en menores de 1 ano,total bcg,2015-03-01,3,7,3,0,13
YOTALA,vacunaciones en menores de 1 ano,total bcg,2015-03-01,4,4,1,1,10
YUNCHARA,vacunaciones en menores de 1 ano,total bcg,2015-03-01,0,0,1,2,3
ZUDAÑEZ,vacunaciones en menores de 1 ano,total bcg,2015-03-01,2,5,1,1,9
ACACIO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,2,3,2,9
ACHACACHI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,30,13,10,9,62
ACHOCALLA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,4,5,4,12,25
AIQUILE,vacunaciones en menores de 1 ano,total bcg,2015-04-01,23,16,1,0,40
ALALAY,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,1,3,4,9
ALTO BENI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,4,4,3,1,12
ANCORAIMES,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,1,4,7,14
ANDAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,1,2,2,5
ANTEQUERA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,1,0,1,2
ANZALDO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,2,5,3,13
APOLO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,12,11,7,1,31
ARAMPAMPA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,0,1,1,4
ARANI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,10,14,1,0,25
ARBIETO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,6,8,1,1,16
ARQUE,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,7,3,3,15
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,27,36,0,0,63
ATOCHA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,4,6,5,2,17
AUCAPATA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,1,2,3,8
AYATA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,2,4,3,12
AYO AYO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,4,3,1,0,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total bcg,2015-04-01,6,16,16,10,48
AZURDUY,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,5,2,2,12
BATALLAS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,4,5,7,7,23
BAURES,vacunaciones en menores de 1 ano,total bcg,2015-04-01,5,2,0,0,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,1,2,3
BELLA FLOR,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,50,60,0,1,111
BETANZOS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,11,10,10,8,39
BOLIVAR,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,0,7,8,16
BOYUIBE,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,3,2,1,7
BUENA VISTA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,7,6,0,2,15
CABEZAS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,14,11,19,26,70
CAIROMA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,5,5,3,16
"CAIZA ""D""",vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,3,3,1,9
CAJUATA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,15,0,0,18
CALACOTO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,1,4,0,6
CALAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,6,3,5,10,24
CAMARGO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,8,10,2,0,20
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,0,3,3
CAMIRI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,55,52,3,2,112
CAPINOTA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,13,19,3,3,38
CAQUIAVIRI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,1,3,2,7
CARACOLLO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,6,8,2,7,23
CARANAVI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,54,60,8,2,124
CARANGAS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,5,2,1,10
CARIPUYO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,1,3,4,10
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,0,3,4,9
CATACORA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,0,2,2
CHALLAPATA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,19,23,13,9,64
CHAQUI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,4,3,4,12
CHARAGUA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,8,9,21,20,58
CHARAÑA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,1,0,2,3
CHAYANTA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,9,13,8,8,38
CHIMORE,vacunaciones en menores de 1 ano,total bcg,2015-04-01,12,7,1,3,23
CHIPAYA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,0,1,1
CHOQUE COTA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,1,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,2,5,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total bcg,2015-04-01,12,10,2,0,24
CHUMA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,2,5,7,17
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,7,4,1,4,16
CKOCHAS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,13,13,5,4,35
CLIZA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,19,17,7,2,45
COBIJA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,93,68,3,3,167
COCAPATA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,5,9,9,13,36
COCHABAMBA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,873,920,2,1,1796
COIPASA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,1,0,0,4
COLCAPIRHUA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,21,24,0,0,45
"COLCHA ""K""",vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,5,2,2,12
COLLANA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,3,0,0,4
COLOMI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,12,11,5,11,39
COLPA BELGICA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,4,2,4,12
COLQUECHACA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,9,10,22,18,59
COLQUENCHA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,1,3,4
COLQUIRI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,0,11,12,26
COMANCHE,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,2,0,1,3
COMARAPA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,19,15,0,1,35
COMBAYA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,7,3,10
CONCEPCION,vacunaciones en menores de 1 ano,total bcg,2015-04-01,16,15,6,17,54
COPACABANA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,8,2,4,1,15
CORIPATA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,4,4,1,1,10
CORO CORO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,5,3,0,4,12
COROICO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,21,9,1,0,31
CORQUE,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,2,3,3,10
COTAGAITA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,9,7,13,5,34
COTOCA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,50,78,6,5,139
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,13,12,0,3,28
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,0,0,2,3
CUEVO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,1,1,1,4
CULPINA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,8,10,3,4,25
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,2,0,0,3
CURVA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,0,3,8,12
DESAGUADERO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,5,7,2,0,14
EL ALTO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,880,790,44,32,1746
EL CHORO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,4,1,1,1,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,total bcg,2015-04-01,6,2,0,2,10
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,0,5,3,9
EL TORNO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,46,62,0,1,109
EL VILLAR,vacunaciones en menores de 1 ano,total bcg,2015-04-01,5,3,0,0,8
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total bcg,2015-04-01,10,8,10,5,33
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,8,21,1,0,30
ESCOMA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,4,4,0,1,9
EUCALIPTUS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,2,2,0,5
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,1,0,1
EXALTACION,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,0,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,6,5,2,5,18
FILADELFIA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,3,3,0,8
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,7,10,0,0,17
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total bcg,2015-04-01,4,9,8,2,23
GUANAY,vacunaciones en menores de 1 ano,total bcg,2015-04-01,9,7,7,3,26
GUAQUI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,0,1,1,3
GUAYARAMERIN,vacunaciones en menores de 1 ano,total bcg,2015-04-01,69,57,4,3,133
GUTIERREZ,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,11,3,7,24
HUACARETA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,3,0,0,6
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,1,2,1,4
HUACHACALLA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,0,0,0,2
HUANUNI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,20,25,1,0,46
HUARINA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,4,1,2,8
HUATAJATA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,1,1,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,1,3,1,5
HUMANATA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,0,4,3,8
ICHOCA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,3,4,2,12
ICLA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,5,1,2,11
INCAHUASI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,4,4,1,12
INQUISIVI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,4,3,15,25
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total bcg,2015-04-01,11,6,6,1,24
IXIAMAS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,5,2,6,15
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,1,5,5,11
LA ASUNTA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,49,37,9,2,97
LA GUARDIA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,68,56,4,6,134
LA PAZ,vacunaciones en menores de 1 ano,total bcg,2015-04-01,951,855,1,1,1808
LAGUNILLAS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,2,3,0,8
LAJA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,11,9,4,6,30
LAS CARRERAS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,1,0,1
LICOMA PAMPA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,1,3,4
LLALLAGUA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,18,15,28,20,81
LLICA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,4,0,0,7
LORETO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,3,0,1,6
LURIBAY,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,3,5,2,13
MACHACAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,1,1,1,5
MACHARETI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,0,3,1,5
MAGDALENA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,7,2,6,3,18
MAIRANA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,10,10,0,0,20
MALLA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,3,1,4
MAPIRI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,14,11,2,1,28
MECAPACA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,5,7,2,3,17
MIZQUE,vacunaciones en menores de 1 ano,total bcg,2015-04-01,19,18,5,7,49
MOCOMOCO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,4,5,4,13
MOJINETE,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,1,1,0,2
MOJOCOYA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,5,3,1,3,12
MONTEAGUDO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,19,21,1,1,42
MONTERO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,189,202,0,0,391
MORO MORO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,0,0,0,1
MOROCHATA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,4,5,2,14
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,0,0,0,1
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,0,1,1,3
OCURI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,4,7,9,4,24
OKINAWA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,12,6,1,0,19
OMEREQUE,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,3,0,1,7
ORURO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,392,371,7,9,779
PADCAYA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,4,7,1,2,14
PADILLA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,8,8,0,1,17
PAILON,vacunaciones en menores de 1 ano,total bcg,2015-04-01,16,26,17,14,73
PALCA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,8,12,5,26
PALOS BLANCOS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,12,17,7,13,49
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,1,2,3,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,total bcg,2015-04-01,7,11,0,0,18
PAPEL PAMPA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,1,2,2,6
PASORAPA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,2,0,1,6
PATACAMAYA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,20,28,1,2,51
PAZÑA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,2,3,0,6
PELECHUCO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,3,4,4,12
POCOATA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,0,20,23,44
POCONA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,3,2,1,7
POJO (CBBA),vacunaciones en menores de 1 ano,total bcg,2015-04-01,7,4,2,0,13
POOPO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,4,4,0,1,9
PORCO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,9,13,1,1,24
POROMA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,7,5,3,16
PORONGO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,5,3,4,14
PORTACHUELO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,20,15,0,0,35
PORVENIR,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,3,1,1,5
POTOSI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,261,272,10,11,554
PRESTO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,1,4,5,11
PUCARANI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,4,6,11,12,33
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,2,4,3,10
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,3,9,7,20
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,2,6,3,14
PUERTO PEREZ,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,6,3,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,13,29,0,1,43
PUERTO RICO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,2,2,2,8
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total bcg,2015-04-01,17,18,0,5,40
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total bcg,2015-04-01,60,63,1,4,128
PUNA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,5,0,3,6,14
PUNATA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,53,39,0,1,93
QUIABAYA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,2,2,4
QUILLACOLLO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,147,151,10,10,318
QUIME,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,1,5,9,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,0,0,0,1
RAVELO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,5,8,10,6,29
REYES,vacunaciones en menores de 1 ano,total bcg,2015-04-01,16,13,16,16,61
RIBERALTA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,167,132,10,7,316
ROBORE,vacunaciones en menores de 1 ano,total bcg,2015-04-01,14,15,1,1,31
RURRENABAQUE,vacunaciones en menores de 1 ano,total bcg,2015-04-01,23,22,9,9,63
SABAYA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,1,2,1,4
SACABA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,152,123,3,3,281
SACABAMBA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,6,0,0,6
SACACA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,15,12,11,9,47
SAIPINA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,4,3,7
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,2,9,6,19
SAMAIPATA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,1,1,1,5
SAN AGUSTIN,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,0,0,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,1,2,0,5
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,0,1,3,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,4,4,0,1,9
SAN BENITO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,4,6,0,0,10
SAN BORJA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,55,49,33,25,162
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,7,8,0,1,16
SAN CARLOS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,26,25,1,3,55
SAN IGNACIO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,22,20,7,6,55
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,76,64,6,3,149
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,1,0,2,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total bcg,2015-04-01,25,19,0,0,44
SAN JOAQUIN,vacunaciones en menores de 1 ano,total bcg,2015-04-01,8,5,1,3,17
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,23,16,6,8,53
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,6,5,0,3,14
SAN JULIAN,vacunaciones en menores de 1 ano,total bcg,2015-04-01,52,43,13,12,120
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,1,6,9,16
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total bcg,2015-04-01,4,6,0,1,11
SAN LUCAS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,14,16,11,10,51
SAN MATIAS,vacunaciones en menores de 1 ano,total bcg,2015-04-01,19,9,3,4,35
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,10,9,1,1,21
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,3,0,0,4
SAN PEDRO,vacunaciones en menores de 1 ano,total bcg,2015-04-01,10,9,0,0,19
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,17,15,9,14,55
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,2,5,5,13
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,2,0,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,3,3,0,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,0,1,2,3
SAN RAFAEL,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,2,1,1,4
SAN RAMON BENI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,3,1,0,1,5
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,3,0,0,4
SANTA ANA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,30,23,1,0,54
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2110,2016,48,40,4214
SANTA ROSA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,8,13,0,0,21
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,8,9,4,1,22
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,1,2,0,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total bcg,2015-04-01,2,2,8,3,15
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,1,0,2,6,9
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total bcg,2015-04-01,0,1,0,0,1
SANTIVAÑES,vacunaciones en menores de 1 ano,total bcg,2015-04-01,5,5,1,0,11
