,group,variable,month,TOTAL ANTINEUMOCÓCICA 3RA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 3RA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTAL ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTALES
CLIZA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,12,9,2,2,25
COBIJA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,18,21,10,9,58
COCAPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,6,8,18,11,43
COCHABAMBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,582,560,6,7,1155
COIPASA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,0,0,1,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,39,35,1,1,76
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,7,8,2,4,21
COLLANA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,2,1,0,4
COLOMI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,20,14,2,1,37
COLPA BELGICA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,3,1,0,7
COLQUECHACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,17,13,19,13,62
COLQUENCHA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,6,7,3,0,16
COLQUIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,7,1,10,9,27
COMANCHE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,1,0,0,4
COMARAPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,17,13,3,3,36
COMBAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,1,0,1,2
CONCEPCION,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,22,25,7,6,60
COPACABANA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,5,5,0,3,13
CORIPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,18,13,2,1,34
CORO CORO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,4,3,0,1,8
COROICO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,12,16,3,2,33
CORQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,2,0,0,3
COTAGAITA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,7,18,5,8,38
COTOCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,53,57,36,27,173
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,17,29,6,6,58
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,0,0,0,1
CUEVO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,2,1,2,6
CULPINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,11,10,16,3,40
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,1,2,3,7
CURVA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,0,0,1,1
DESAGUADERO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,5,1,1,9
EL ALTO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,548,590,119,108,1365
EL CHORO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,4,0,2,2,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,16,5,7,5,33
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,11,5,2,2,20
EL TORNO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,48,54,8,7,117
EL VILLAR,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,3,0,1,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,15,15,4,7,41
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,35,41,3,4,83
ESCARA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,0,0,1,1
ESCOMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,3,2,1,6
EUCALIPTUS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,1,0,1,3
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,2,1,1,5
EXALTACION,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,1,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,4,5,0,1,10
FILADELFIA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,4,2,0,9
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,18,13,4,1,36
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,4,10,3,1,18
GUANAY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,10,9,5,2,26
GUAQUI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,4,0,2,8
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,33,35,10,6,84
GUTIERREZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,7,5,4,2,18
HUACARETA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,4,2,6,15
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,4,0,3,9
HUACHACALLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,1,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,18,25,5,4,52
HUARACAJE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,4,4,0,0,8
HUARINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,2,0,1,5
HUATAJATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,2,0,1,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,1,1,1,5
HUMANATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,0,1,0,2
ICHOCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,3,0,1,5
ICLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,1,5,3,10
INCAHUASI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,5,3,2,2,12
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,1,0,0,3
INQUISIVI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,5,4,4,4,17
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,9,5,2,2,18
IXIAMAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,8,7,1,3,19
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,3,1,0,6
LA ASUNTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,41,24,13,13,91
LA GUARDIA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,92,70,3,2,167
LA PAZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,548,562,48,34,1192
LAGUNILLAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,4,2,5,3,14
LAJA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,12,12,4,7,35
LAS CARRERAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,2,0,1,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,2,1,0,5
LLALLAGUA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,19,15,17,23,74
LLICA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,6,6,1,2,15
LORETO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,4,3,1,10
LURIBAY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,7,1,3,6,17
MACHACAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,4,0,1,7
MACHARETI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,5,4,0,1,10
MAGDALENA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,8,7,2,0,17
MAIRANA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,14,11,2,2,29
MALLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,0,2,0,2
MAPIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,19,12,1,3,35
MECAPACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,8,3,5,3,19
MINEROS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,5,2,0,8
MIZQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,24,13,6,2,45
MOCOMOCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,6,5,2,16
MOJINETE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,0,4,4,9
MOJOCOYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,3,4,2,9
MONTEAGUDO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,19,16,0,2,37
MONTERO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,123,123,5,7,258
MORO MORO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,1,0,0,2
MOROCHATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,4,2,5,2,13
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,1,2,2,8
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,1,2,0,5
OCURI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,7,6,8,11,32
OKINAWA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,7,8,0,1,16
OMEREQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,1,5,3,9
ORURO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,215,247,10,11,483
PADCAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,9,12,3,8,32
PADILLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,6,4,3,0,13
PAILON,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,17,25,5,10,57
PALCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,9,13,4,2,28
PALOS BLANCOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,21,14,5,5,45
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,3,0,0,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,14,10,0,1,25
PAPEL PAMPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,0,2,1,4
PASORAPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,1,2,0,5
PATACAMAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,12,14,6,2,34
PAZÑA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,4,2,1,10
PELECHUCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,4,5,0,12
POCOATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,6,17,12,37
POCONA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,6,8,1,4,19
POJO (CBBA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,6,8,1,1,16
POOPO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,5,3,0,0,8
PORCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,11,7,2,2,22
POROMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,4,6,4,7,21
PORONGO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,6,1,9,3,19
PORTACHUELO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,20,20,2,3,45
PORVENIR,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,5,1,1,7
POSTRER VALLE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,0,0,0,1
POTOSI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,215,165,22,24,426
PRESTO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,6,2,6,7,21
PUCARA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,2,0,0,2
PUCARANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,10,12,12,6,40
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,1,3,5,12
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,8,2,5,4,19
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,2,2,2,8
PUERTO PEREZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,1,1,3,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,9,11,2,4,26
PUERTO RICO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,7,0,0,10
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,15,21,2,5,43
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,49,39,3,9,100
PUNA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,5,2,4,5,16
PUNATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,25,20,3,2,50
QUIABAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,0,0,1,2
QUILLACOLLO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,78,98,48,60,284
QUIME,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,8,6,1,4,19
QUIRUSILLAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,2,0,0,2
RAVELO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,6,11,10,28
REYES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,8,8,1,0,17
RIBERALTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,81,75,15,13,184
ROBORE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,14,15,0,1,30
RURRENABAQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,13,4,1,0,18
SABAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,0,2,2,4
SACABA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,112,99,6,7,224
SACABAMBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,2,1,0,5
SACACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,8,11,5,2,26
SAIPINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,6,0,1,7
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,5,2,6,16
SAMAIPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,13,11,6,5,35
SAN AGUSTIN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,0,0,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,10,5,8,5,28
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,1,0,0,1
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,2,0,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,5,2,1,8
SAN BENITO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,6,3,7,2,18
SAN BORJA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,46,41,7,18,112
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,9,9,2,2,22
SAN CARLOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,21,15,4,2,42
SAN IGNACIO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,18,12,2,1,33
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,46,46,13,10,115
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,0,0,0,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,17,14,0,2,33
SAN JOAQUIN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,5,9,2,2,18
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,14,16,3,2,35
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,8,9,5,1,23
SAN JULIAN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,49,29,11,13,102
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,4,6,4,15
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,13,10,5,6,34
SAN LUCAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,15,9,11,9,44
SAN MATIAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,10,7,9,10,36
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,11,4,0,0,15
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,3,0,0,3
SAN PEDRO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,11,5,0,2,18
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,15,11,6,6,38
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,4,3,0,0,7
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,1,0,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,2,0,2,4
SAN PEDRO(PND),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,2,2,0,5
SAN RAFAEL,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,5,1,0,7
SAN RAMON BENI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,3,9,3,16
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,9,12,3,3,27
SANTA ANA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,14,9,1,0,24
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1279,1224,74,66,2643
SANTA ROSA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,8,0,0,10
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,13,17,1,4,35
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,6,3,1,12
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,2,5,5,14
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,3,2,1,7
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,4,2,1,0,7
SANTIVAÑES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,7,0,0,9
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,3,3,2,10
SAPAHAQUI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,1,1,2,6
SENA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,7,0,0,9
SHINAOTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,12,21,3,3,39
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,15,10,0,2,27
SICAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,5,2,0,0,7
SIPE SIPE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,40,45,2,1,88
SOPACHUY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,4,4,0,7,15
SORACACHI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,2,3,4,12
SORATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,2,12,8,25
SUCRE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,261,242,7,5,515
TACACHI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,0,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,0,6,0,7
TACOBAMBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,4,5,2,4,15
TACOPAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,2,2,2,7
TAHUA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,1,0,0,1
TAPACARI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,17,13,7,14,51
TARABUCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,4,4,7,5,20
TARACO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,2,0,0,5
TARATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,6,5,1,0,12
TARIJA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,179,183,9,9,380
TARVITA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,7,5,2,17
TEOPONTE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,8,9,6,1,24
TIAWANACU,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,6,8,0,1,15
TINGUIPAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,13,9,5,6,33
TIPUANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,5,2,1,0,8
TIQUIPAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,49,61,16,18,144
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,11,13,16,7,47
TOCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,3,0,0,6
TOLATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,0,0,3,6
TOLEDO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,4,0,2,7
TOMAVE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,6,6,1,5,18
TOMINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,4,3,3,2,12
TORO TORO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,2,3,8,15
TOTORA(CBBA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,7,7,7,1,22
TOTORA(ORR),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,0,1,1,5
TRIGAL,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,0,2,0,0,2
TRINIDAD,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,99,100,28,22,249
TUPIZA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,31,38,1,5,75
TURCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,4,0,0,7
UMALA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,7,5,2,4,18
UNCIA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,15,16,6,5,42
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,10,6,3,1,20
URUBICHA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,1,5,1,3,10
UYUNI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,22,18,2,2,44
VACAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,2,2,2,3,9
VALLEGRANDE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,11,12,1,2,26
VIACHA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,55,47,9,10,121
VILA VILA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-04-01,3,3,1,1,8
