,group,variable,month,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTALES
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,4,3,2,2,11
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,3,3,1,3,10
PUERTO PEREZ,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,2,1,0,3,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,14,12,4,3,33
PUERTO RICO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,8,8,0,0,16
PUERTO SILES,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,13,18,2,0,33
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,45,45,1,1,92
PUNA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,4,2,7,4,17
PUNATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,32,25,1,0,58
QUIABAYA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,100,100,31,35,266
QUIME,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,3,6,2,1,12
QUIRUSILLAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,0,3,0,0,3
RAVELO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,2,3,9,9,23
REYES,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,7,8,1,0,16
RIBERALTA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,82,101,3,2,188
ROBORE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,6,11,0,0,17
RURRENABAQUE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,16,9,0,1,26
SABAYA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
SACABA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,124,118,1,6,249
SACABAMBA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,2,0,0,0,2
SACACA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,3,8,5,7,23
SAIPINA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,1,4,0,0,5
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,3,4,2,3,12
SAMAIPATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,8,8,1,1,18
SAN AGUSTIN,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,10,6,3,0,19
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,1,1,0,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,1,2,1,1,5
SAN BENITO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,8,2,3,5,18
SAN BORJA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,39,34,5,8,86
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,7,7,1,2,17
SAN CARLOS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,26,17,0,2,45
SAN IGNACIO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,14,9,2,2,27
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,32,32,10,9,83
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,1,1,2,2,6
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,15,8,0,0,23
SAN JOAQUIN,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,3,4,0,0,7
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,11,15,17,13,56
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,11,12,0,3,26
SAN JULIAN,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,43,25,11,10,89
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,3,3,3,4,13
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,13,9,3,0,25
SAN LUCAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,14,16,7,8,45
SAN MATIAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,10,10,0,0,20
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,11,7,0,0,18
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,2,1,0,1,4
SAN PEDRO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,11,10,0,0,21
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,19,19,5,5,48
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,27,5,2,1,35
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,1,1,0,0,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,3,0,2,2,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,0,1,2,1,4
SAN RAFAEL,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,1,7,2,0,10
SAN RAMON BENI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,2,2,6,2,12
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,16,13,0,0,29
SANTA ANA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,14,13,0,0,27
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,1269,1215,43,33,2560
SANTA ROSA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,4,11,0,1,16
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,14,8,1,2,25
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,2,2,1,0,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,7,1,1,1,10
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,1,1,0,1,3
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,2,2,2,1,7
SANTIVAÑES,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,3,6,0,0,9
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,4,5,0,0,9
SAPAHAQUI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,4,2,1,1,8
SENA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,2,2,0,0,4
SHINAOTA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,8,11,0,3,22
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,14,11,5,12,42
SICAYA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,3,0,0,1,4
SIPE SIPE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,41,24,0,2,67
SOPACHUY,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,4,1,3,7,15
SORACACHI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,5,3,3,1,12
SORATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,6,6,9,11,32
SUCRE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,253,250,5,2,510
TACACHI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,0,0,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,4,5,2,0,11
TACOBAMBA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,4,6,1,4,15
TACOPAYA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,0,3,2,3,8
TAHUA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,1,0,0,0,1
TAPACARI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,16,12,4,8,40
TARABUCO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,9,5,1,2,17
TARACO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,5,2,1,0,8
TARATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,7,3,1,1,12
TARIJA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,154,160,1,1,316
TARVITA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,3,4,7,6,20
TEOPONTE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,4,6,4,3,17
TIAWANACU,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,5,6,1,1,13
TINGUIPAYA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,18,9,3,7,37
TIPUANI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,7,5,2,3,17
TIQUIPAYA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,35,44,11,9,99
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,5,12,7,2,26
TOCO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,1,4,1,1,7
TOLATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,2,1,0,2,5
TOLEDO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,2,2,0,0,4
TOMAVE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,3,10,5,7,25
TOMINA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,5,3,2,2,12
TORO TORO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,3,4,2,8,17
TOTORA(CBBA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,10,7,2,0,19
TOTORA(ORR),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,4,0,0,0,4
TRIGAL,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
TRINIDAD,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,92,76,2,4,174
TUPIZA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,28,33,1,7,69
TURCO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,3,1,0,0,4
UMALA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,4,4,0,2,10
UNCIA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,16,11,5,4,36
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,8,5,2,0,15
URUBICHA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,1,3,2,2,8
UYUNI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,24,22,2,1,49
VACAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,1,2,2,2,7
VALLEGRANDE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,8,13,0,0,21
VIACHA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,64,58,3,5,130
VILA VILA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,0,4,0,1,5
VILLA CHARCAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,8,8,2,5,23
VILLA MONTES,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,40,28,4,8,80
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,1,2,1,2,6
VILLA RIVERO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,8,2,0,0,10
VILLA SERRANO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,5,1,3,3,12
VILLA TUNARI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,52,49,2,6,109
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,13,4,3,2,22
VILLAZON,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,38,32,1,0,71
VINTO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,38,33,2,1,74
VITICHI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,6,1,2,0,9
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,0,0,1,0,1
WARNES,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,100,99,1,5,205
YACO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,5,5,2,2,14
YACUIBA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,61,56,7,7,131
YAMPARAEZ,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,3,0,4,2,9
YANACACHI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,2,1,1,0,4
YAPACANI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,43,49,12,6,110
YOCALLA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,4,2,1,2,9
YOTALA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,2,1,3,2,8
YUNCHARA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,1,1,2,6,10
YUNGUYO DE LITORAL,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,0,0,3,0,3
ZUDAÑEZ,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-02-01,2,5,3,3,13
ACACIO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,4,1,3,3,11
ACHACACHI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,24,15,10,10,59
ACHOCALLA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,16,6,9,4,35
AIQUILE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,14,18,9,6,47
ALCALA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,2,1,0,2,5
ALTO BENI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,13,13,1,2,29
ANCORAIMES,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,6,2,3,3,14
ANDAMARCA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,0,4,1,1,6
ANTEQUERA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,3,1,1,0,5
ANZALDO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,3,4,0,1,8
APOLO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,12,17,5,9,43
ARAMPAMPA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,0,1,3,4,8
ARANI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,8,9,2,2,21
ARBIETO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,8,10,4,10,32
ARQUE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,9,5,1,2,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,31,36,0,0,67
ATOCHA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,8,11,4,0,23
AUCAPATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,2,2,1,1,6
AYATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,1,1,0,0,2
AYO AYO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,6,5,1,0,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,23,14,6,8,51
AZURDUY,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,4,0,5,6,15
BATALLAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,5,8,8,2,23
BAURES,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,3,2,0,0,5
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,0,0,2,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,0,1,2,1,4
BELLA FLOR,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,1,1,1,1,4
BERMEJO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,22,26,3,4,55
BETANZOS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,21,30,9,7,67
BOLIVAR,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,3,3,6,2,14
BOLPEBRA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,0,1,0,1,2
BOYUIBE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,6,5,0,0,11
BUENA VISTA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,10,10,1,2,23
CABEZAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,24,14,18,11,67
CAIROMA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,3,9,1,6,19
"CAIZA ""D""",vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,6,5,1,1,13
CAJUATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,6,11,2,1,20
CALACOTO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,0,3,3,2,8
CALAMARCA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,6,6,1,1,14
CAMARGO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,12,9,2,0,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,1,1,1,1,4
CAMIRI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,35,28,0,4,67
CAPINOTA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,11,8,0,0,19
CAQUIAVIRI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,4,0,1,2,7
CARACOLLO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,13,17,0,0,30
CARANAVI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,39,31,5,9,84
CARANGAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,0,0,1,0,1
CARAPARI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,15,12,0,0,27
CARIPUYO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,8,5,9,7,29
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,1,1,5,2,9
CATACORA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,0,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,34,24,10,9,77
CHAQUI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,6,6,1,1,14
CHARAGUA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,10,11,5,8,34
CHARAÑA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,1,1,0,0,2
CHAYANTA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,9,8,3,7,27
CHIMORE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,21,19,0,1,41
CHIPAYA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,0,3,1,2,6
CHUA COCANI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,4,2,0,1,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,9,9,1,2,21
CHUMA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,2,6,5,0,13
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,2,3,0,0,5
CKOCHAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,9,6,0,8,23
CLIZA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,14,16,6,0,36
COBIJA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,56,62,3,7,128
COCAPATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,4,5,6,6,21
COCHABAMBA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,768,715,9,13,1505
COIPASA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,0,0,1,1,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,39,50,1,0,90
"COLCHA ""K""",vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,16,8,1,2,27
COLLANA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,3,4,0,0,7
COLOMI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,21,12,2,1,36
COLPA BELGICA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,1,3,1,0,5
COLQUECHACA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,15,13,15,15,58
COLQUENCHA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,12,4,0,0,16
COLQUIRI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,9,10,12,13,44
COMANCHE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,1,2,0,0,3
COMARAPA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,11,11,0,1,23
COMBAYA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,2,1,2,0,5
CONCEPCION,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,17,18,2,3,40
COPACABANA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,4,5,8,3,20
CORIPATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,10,20,2,1,33
CORO CORO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,6,3,0,0,9
COROICO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,10,11,0,0,21
CORQUE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,0,1,3,2,6
COTAGAITA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,9,6,6,3,24
COTOCA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,70,65,1,4,140
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,0,0,0,1,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,15,13,7,8,43
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,0,1,0,1,2
CUEVO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,2,3,2,2,9
CULPINA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,11,13,4,4,32
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,1,2,1,0,4
CURVA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,0,0,4,5,9
DESAGUADERO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,6,4,1,0,11
EL ALTO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,822,750,67,68,1707
EL CHORO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,3,4,0,1,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,6,6,4,1,17
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,10,8,4,0,22
EL TORNO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,48,57,2,3,110
EL VILLAR,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,2,2,1,1,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,10,15,6,3,34
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,28,39,0,1,68
ESCOMA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,2,2,2,0,6
ESMERALDA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,0,0,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,5,3,0,0,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,0,0,1,1,2
EXALTACION,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,1,2,3,3,9
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,14,11,4,2,31
FILADELFIA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,7,3,1,1,12
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,11,12,3,0,26
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-03-01,5,8,3,3,19
