municipality,group,variable,month,Total 3.13 Nº de actividades de educación en Salud Oral,TOTAL
YAMPARAEZ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,17.0,17.0
YAPACANI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,6.0,6.0
YOCALLA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,2.0,2.0
YUNCHARA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,43.0,43.0
ZUDAÑEZ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,7.0,7.0
ACACIO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
ACHACACHI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,11.0,11.0
ACHOCALLA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,10.0,10.0
AIQUILE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
ALALAY,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
ANCORAIMES,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
ANDAMARCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,10.0,10.0
ANTEQUERA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,7.0,7.0
APOLO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
ARAMPAMPA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,9.0,9.0
ARANI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
ARQUE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
ATOCHA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,15.0,15.0
AUCAPATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,7.0,7.0
AYATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
AYO AYO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,28.0,28.0
AZURDUY,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
BATALLAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
BELEN DE ANDAMARCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
BERMEJO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,114.0,114.0
BETANZOS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
BOLIVAR,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
BOLPEBRA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
BUENA VISTA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
CABEZAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,88.0,88.0
CAIROMA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,32.0,32.0
"CAIZA ""D""",atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,10.0,10.0
CAJUATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
CALACOTO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
CALAMARCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,4.0,4.0
CAMARGO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,8.0,8.0
CAMIRI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,11.0,11.0
CAPINOTA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,33.0,33.0
CAQUIAVIRI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,22.0,22.0
CARACOLLO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,19.0,19.0
CARANAVI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,36.0,36.0
CARAPARI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,18.0,18.0
CARIPUYO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,7.0,7.0
CARMEN RIVERO TORREZ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
CATACORA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
CHALLAPATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,58.0,58.0
CHARAGUA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
CHARAÑA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
CHAYANTA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,7.0,7.0
CHIMORE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,8.0,8.0
CHIPAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
CHUA COCANI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
CHUMA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,75.0,75.0
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,11.0,11.0
CKOCHAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
COBIJA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,65.0,65.0
COCAPATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,47.0,47.0
COCHABAMBA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,74.0,74.0
COLCAPIRHUA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,80.0,80.0
"COLCHA ""K""",atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
COLLANA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
COLOMI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,11.0,11.0
COLPA BELGICA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
COLQUECHACA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,20.0,20.0
COLQUIRI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,4.0,4.0
COMANCHE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
COMARAPA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
CONCEPCION,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,103.0,103.0
COPACABANA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
CORO CORO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,27.0,27.0
CORQUE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
COTAGAITA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
CUATRO CAÑADAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,29.0,29.0
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
CUEVO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,9.0,9.0
CULPINA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
CURAHUARA DE CARANGAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,27.0,27.0
CURVA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
DESAGUADERO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,4.0,4.0
EL ALTO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,222.0,222.0
EL CHORO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,10.0,10.0
EL PUENTE(STC),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,18.0,18.0
EL PUENTE(TJA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,25.0,25.0
EL TORNO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,34.0,34.0
ENTRE RIOS TRJ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,15.0,15.0
ENTRE RIOS CBBA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,47.0,47.0
ESCOMA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
EUCALIPTUS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,11.0,11.0
FERNANDEZ ALONSO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,13.0,13.0
FILADELFIA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,8.0,8.0
GENERAL SAAVEDRA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,9.0,9.0
GUANAY,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
GUAQUI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,9.0,9.0
GUAYARAMERIN,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,14.0,14.0
GUTIERREZ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,29.0,29.0
HUACARETA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,8.0,8.0
HUACAYA (VILLA DE HUACAYA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
HUACHACALLA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
HUANUNI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,26.0,26.0
HUARINA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
HUATAJATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
HUAYLLAMARCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,14.0,14.0
ICHOCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,4.0,4.0
ICLA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,10.0,10.0
INGAVI (HUMAITA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,33.0,33.0
INQUISIVI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,9.0,9.0
IXIAMAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,7.0,7.0
LA GUARDIA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
LA PAZ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,159.0,159.0
LA RIVERA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,14.0,14.0
LAGUNILLAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,23.0,23.0
LAJA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,98.0,98.0
LAS CARRERAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,9.0,9.0
LICOMA PAMPA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,14.0,14.0
LLALLAGUA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
LURIBAY,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
MACHACAMARCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,4.0,4.0
MACHARETI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,24.0,24.0
MAGDALENA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,9.0,9.0
MALLA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
MAPIRI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,4.0,4.0
MECAPACA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
MIZQUE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
MOCOMOCO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,11.0,11.0
MOJINETE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,4.0,4.0
MOJOCOYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
MONTEAGUDO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
MONTERO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,27.0,27.0
MOROCHATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,58.0,58.0
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
OCURI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
OMEREQUE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
ORURO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,95.0,95.0
PADCAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,18.0,18.0
PAILON,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,18.0,18.0
PALCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,18.0,18.0
PALOS BLANCOS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,37.0,37.0
PAMPA AULLAGAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
PAPEL PAMPA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,11.0,11.0
PASORAPA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,7.0,7.0
PATACAMAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,8.0,8.0
PAZÑA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
PELECHUCO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
POCOATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
POCONA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,11.0,11.0
POJO (CBBA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,19.0,19.0
POOPO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
PORCO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
POROMA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
PORONGO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
PORTACHUELO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,12.0,12.0
PORVENIR,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,23.0,23.0
POSTRER VALLE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,13.0,13.0
POTOSI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,41.0,41.0
PRESTO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,13.0,13.0
PUCARA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,11.0,11.0
PUCARANI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,17.0,17.0
PUERTO ACOSTA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
PUERTO CARABUCO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,17.0,17.0
PUERTO GONZALO MORENO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,4.0,4.0
PUERTO PEREZ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
PUERTO QUIJARRO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
PUERTO RICO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,37.0,37.0
PUERTO VILLARROEL,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,66.0,66.0
PUNA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
PUNATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,21.0,21.0
QUILLACOLLO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,54.0,54.0
QUIME,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,13.0,13.0
RAVELO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,11.0,11.0
RIBERALTA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,7.0,7.0
ROBORE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,49.0,49.0
RURRENABAQUE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,7.0,7.0
SABAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
SACABA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,70.0,70.0
SACACA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,10.0,10.0
SALINAS DE GARCI MENDOZA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,38.0,38.0
SAN ANDRES DE MACHACA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,4.0,4.0
SAN ANTONIO DE ESMORUCO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
SAN ANTONIO DE LOMERIO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,18.0,18.0
SAN BENITO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,22.0,22.0
SAN CARLOS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
SAN IGNACIO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,9.0,9.0
SAN JAVIER(STC),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
SAN JOSE DE CHIQUITOS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,4.0,4.0
SAN JUAN DE YAPACANI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
SAN JULIAN,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,10.0,10.0
SAN LORENZO(PND),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
SAN LORENZO(TJA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,24.0,24.0
SAN LUCAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,13.0,13.0
SAN MATIAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
SAN MIGUEL DE VELASCO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,59.0,59.0
SAN PABLO DE LIPEZ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
SAN PEDRO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
SAN PEDRO DE BUENA VISTA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,10.0,10.0
SAN PEDRO DE CURAHUARA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,4.0,4.0
SAN PEDRO DE QUEMES,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
SAN PEDRO DE TIQUINA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
SAN RAFAEL,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
SAN RAMON SCZ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,4.0,4.0
SANTA ANA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,76.0,76.0
SANTA CRUZ DE LA SIERRA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1293.0,1293.0
SANTA ROSA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
SANTA ROSA DEL SARA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
SANTIAGO DE CALLAPA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
SANTIAGO DE HUARI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,9.0,9.0
SANTIAGO DE HUATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
SANTIVAÑES,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,7.0,7.0
SANTUARIO DE QUILLACAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,4.0,4.0
SAPAHAQUI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,12.0,12.0
SENA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
SHINAOTA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
SICA SICA (VILLA AROMA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,25.0,25.0
SICAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,20.0,20.0
SIPE SIPE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,30.0,30.0
SOPACHUY,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,4.0,4.0
SORACACHI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,13.0,13.0
SUCRE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,339.0,339.0
TACACHI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
TACACOMA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
TACOPAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
TAHUA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,5.0,5.0
TAPACARI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,38.0,38.0
TARABUCO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
TARACO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,15.0,15.0
TARIJA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,527.0,527.0
TARVITA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,20.0,20.0
TEOPONTE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
TIAWANACU,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,24.0,24.0
TINGUIPAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
TIQUIPAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,90.0,90.0
TIRAQUE (CBBA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
TOCO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
TOLEDO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,9.0,9.0
TOMAVE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,6.0,6.0
TORO TORO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
TOTORA(CBBA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,12.0,12.0
TOTORA(ORR),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,8.0,8.0
TRIGAL,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,8.0,8.0
TRINIDAD,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,277.0,277.0
TURCO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,11.0,11.0
UNCIA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
URIONDO (A. CONCEPCION),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,49.0,49.0
URUBICHA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,9.0,9.0
UYUNI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,4.0,4.0
VACAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
VALLEGRANDE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,35.0,35.0
VIACHA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,21.0,21.0
VILLA CHARCAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,13.0,13.0
VILLA MONTES,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,16.0,16.0
VILLA NUEVA (LOMA ALTA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,1.0,1.0
VILLA RIVERO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,15.0,15.0
VILLA TUNARI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,28.0,28.0
VINTO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,33.0,33.0
WALDO BALLIVIAN,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,2.0,2.0
WARNES,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,16.0,16.0
YACO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,3.0,3.0
YACUIBA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,81.0,81.0
YAMPARAEZ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,17.0,17.0
YAPACANI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-03-01,8.0,8.0
