,group,variable,month,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,TOTALES,TOTALES,TOTALES
PUNATA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,9,44,9,44,53
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-04-01,10,11,10,11,21
REYES,cirugias y anestesias,anestesias generales y regionales,2010-04-01,1,6,1,6,7
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,73,67,73,67,140
ROBORE,cirugias y anestesias,anestesias generales y regionales,2010-04-01,2,8,2,8,10
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,8,0,8,8
SACABA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,13,73,13,73,86
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,2,0,2,2
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,5,28,5,28,33
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,2,16,2,16,18
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2010-04-01,1,21,1,21,22
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2010-04-01,24,48,24,48,72
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2010-04-01,4,53,4,53,57
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2010-04-01,3,6,3,6,9
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2010-04-01,1,7,1,7,8
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2010-04-01,8,23,8,23,31
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-04-01,20,13,20,13,33
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2010-04-01,18,35,18,35,53
SAN LORENZO(TJA),cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,1,0,1,1
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2010-04-01,4,3,4,3,7
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2010-04-01,1,12,1,12,13
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,4,0,4,4
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2010-04-01,10,20,10,20,30
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,1,18,1,18,19
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,1884,2310,1884,2310,4194
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,2,0,2,2
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,21,0,21,21
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,1,0,1,1
SUCRE,cirugias y anestesias,anestesias generales y regionales,2010-04-01,348,877,348,877,1225
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2010-04-01,1,24,1,24,25
TARIJA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,139,257,139,257,396
TARVITA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,3,2,3,2,5
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,11,0,11,11
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2010-04-01,120,211,120,211,331
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,27,25,27,25,52
UYUNI,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,10,0,10,10
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2010-04-01,11,27,11,27,38
VIACHA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,5,1,5,1,6
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2010-04-01,23,52,23,52,75
VILLA SERRANO,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,14,0,14,14
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2010-04-01,12,39,12,39,51
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,anestesias generales y regionales,2010-04-01,2,0,2,0,2
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2010-04-01,51,40,51,40,91
VINTO,cirugias y anestesias,anestesias generales y regionales,2010-04-01,22,28,22,28,50
WARNES,cirugias y anestesias,anestesias generales y regionales,2010-04-01,4,28,4,28,32
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,32,98,32,98,130
YAMPARAEZ,cirugias y anestesias,anestesias generales y regionales,2010-04-01,10,11,10,11,21
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-04-01,5,15,5,15,20
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,6,0,6,6
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2010-05-01,1,3,1,3,4
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2010-05-01,0,2,0,2,2
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2010-05-01,10,37,10,37,47
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,0,5,0,5,5
BAURES,cirugias y anestesias,anestesias generales y regionales,2010-05-01,2,6,2,6,8
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2010-05-01,20,58,20,58,78
CABEZAS,cirugias y anestesias,anestesias generales y regionales,2010-05-01,7,7,7,7,14
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2010-05-01,15,18,15,18,33
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2010-05-01,16,76,16,76,92
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2010-05-01,22,6,22,6,28
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,4,5,4,5,9
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,0,7,0,7,7
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2010-05-01,1,0,1,0,1
COBIJA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,26,72,26,72,98
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,1103,1971,1103,1971,3074
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,19,52,19,52,71
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,0,10,0,10,10
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2010-05-01,1,11,1,11,12
COROICO,cirugias y anestesias,anestesias generales y regionales,2010-05-01,9,15,9,15,24
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,1,2,1,2,3
COTOCA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,2,10,2,10,12
CULPINA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,1,4,1,4,5
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2010-05-01,326,511,326,511,837
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2010-05-01,12,25,12,25,37
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,1,0,1,0,1
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2010-05-01,18,59,18,59,77
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2010-05-01,1360,1690,1360,1690,3050
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,9,30,9,30,39
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,0,5,0,5,5
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,0,11,0,11,11
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2010-05-01,8,21,8,21,29
MONTERO,cirugias y anestesias,anestesias generales y regionales,2010-05-01,37,133,37,133,170
ORURO,cirugias y anestesias,anestesias generales y regionales,2010-05-01,255,439,255,439,694
PADILLA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,6,8,6,8,14
PAMPA GRANDE,cirugias y anestesias,anestesias generales y regionales,2010-05-01,0,8,0,8,8
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2010-05-01,12,40,12,40,52
POTOSI,cirugias y anestesias,anestesias generales y regionales,2010-05-01,659,110,659,110,769
PUERTO QUIJARRO,cirugias y anestesias,anestesias generales y regionales,2010-05-01,2,5,2,5,7
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2010-05-01,16,66,16,66,82
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2010-05-01,58,71,58,71,129
PUNATA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,8,36,8,36,44
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-05-01,8,73,8,73,81
REYES,cirugias y anestesias,anestesias generales y regionales,2010-05-01,0,4,0,4,4
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,66,52,66,52,118
ROBORE,cirugias y anestesias,anestesias generales y regionales,2010-05-01,4,6,4,6,10
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2010-05-01,1,6,1,6,7
SACABA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,15,74,15,74,89
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,9,30,9,30,39
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,0,18,0,18,18
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2010-05-01,1,22,1,22,23
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2010-05-01,0,5,0,5,5
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2010-05-01,7,39,7,39,46
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2010-05-01,1,11,1,11,12
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2010-05-01,2,6,2,6,8
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2010-05-01,4,21,4,21,25
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-05-01,28,0,28,0,28
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2010-05-01,3,22,3,22,25
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2010-05-01,4,12,4,12,16
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2010-05-01,1,10,1,10,11
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2010-05-01,0,4,0,4,4
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2010-05-01,1,6,1,6,7
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,5,17,5,17,22
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,1958,1797,1958,1797,3755
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,2,2,2,2,4
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,0,26,0,26,26
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2010-05-01,5,0,5,0,5
SUCRE,cirugias y anestesias,anestesias generales y regionales,2010-05-01,390,720,390,720,1110
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2010-05-01,2,7,2,7,9
TARIJA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,197,377,197,377,574
TARVITA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,0,3,0,3,3
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,1,9,1,9,10
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2010-05-01,126,199,126,199,325
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,12,28,12,28,40
UYUNI,cirugias y anestesias,anestesias generales y regionales,2010-05-01,1,8,1,8,9
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2010-05-01,4,37,4,37,41
VIACHA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,9,15,9,15,24
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2010-05-01,43,50,43,50,93
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2010-05-01,2,41,2,41,43
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,anestesias generales y regionales,2010-05-01,1,1,1,1,2
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2010-05-01,85,17,85,17,102
VINTO,cirugias y anestesias,anestesias generales y regionales,2010-05-01,0,3,0,3,3
WARNES,cirugias y anestesias,anestesias generales y regionales,2010-05-01,1,23,1,23,24
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2010-05-01,34,93,34,93,127
YAMPARAEZ,cirugias y anestesias,anestesias generales y regionales,2010-05-01,1,1,1,1,2
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-05-01,26,16,26,16,42
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2010-05-01,2,1,2,1,3
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2010-06-01,1,3,1,3,4
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,4,0,4,4
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2010-06-01,6,20,6,20,26
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,7,0,7,7
BAURES,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,3,0,3,3
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2010-06-01,15,58,15,58,73
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2010-06-01,7,5,7,5,12
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2010-06-01,13,86,13,86,99
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2010-06-01,6,28,6,28,34
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,5,6,5,6,11
COBIJA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,38,85,38,85,123
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,1200,1848,1200,1848,3048
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,21,56,21,56,77
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,1,12,1,12,13
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2010-06-01,1,15,1,15,16
COROICO,cirugias y anestesias,anestesias generales y regionales,2010-06-01,16,14,16,14,30
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,1,0,1,0,1
COTOCA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,2,10,2,10,12
CULPINA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,3,0,3,3
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2010-06-01,321,482,321,482,803
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2010-06-01,9,24,9,24,33
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,1,0,1,1
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,1,2,1,2,3
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2010-06-01,14,54,14,54,68
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2010-06-01,1194,1484,1194,1484,2678
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,13,37,13,37,50
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,4,0,4,4
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,1,12,1,12,13
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2010-06-01,15,35,15,35,50
MONTERO,cirugias y anestesias,anestesias generales y regionales,2010-06-01,59,103,59,103,162
ORURO,cirugias y anestesias,anestesias generales y regionales,2010-06-01,224,474,224,474,698
PADILLA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,4,13,4,13,17
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,2,6,2,6,8
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2010-06-01,13,33,13,33,46
POTOSI,cirugias y anestesias,anestesias generales y regionales,2010-06-01,258,314,258,314,572
PUERTO QUIJARRO,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,3,0,3,3
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2010-06-01,15,35,15,35,50
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2010-06-01,50,54,50,54,104
PUNATA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,14,62,14,62,76
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-06-01,21,40,21,40,61
REYES,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,2,0,2,2
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,53,51,53,51,104
ROBORE,cirugias y anestesias,anestesias generales y regionales,2010-06-01,2,10,2,10,12
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2010-06-01,1,4,1,4,5
SACABA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,12,85,12,85,97
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,1,0,1,1
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,2,24,2,24,26
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,14,0,14,14
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2010-06-01,4,16,4,16,20
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,6,0,6,6
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2010-06-01,6,52,6,52,58
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2010-06-01,1,9,1,9,10
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,3,0,3,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2010-06-01,4,24,4,24,28
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2010-06-01,4,26,4,26,30
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2010-06-01,1,6,1,6,7
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2010-06-01,1,13,1,13,14
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,4,0,4,4
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2010-06-01,3,1,3,1,4
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,6,17,6,17,23
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,1716,2434,1716,2434,4150
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,1,0,1,0,1
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,1,22,1,22,23
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,2,0,2,2
SUCRE,cirugias y anestesias,anestesias generales y regionales,2010-06-01,412,762,412,762,1174
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,6,0,6,6
TARIJA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,160,255,160,255,415
TARVITA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,6,0,6,6
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,13,0,13,13
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2010-06-01,100,92,100,92,192
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,12,11,12,11,23
UYUNI,cirugias y anestesias,anestesias generales y regionales,2010-06-01,2,15,2,15,17
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2010-06-01,10,22,10,22,32
VIACHA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,6,9,6,9,15
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2010-06-01,32,35,32,35,67
VILLA SERRANO,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,1,0,1,1
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2010-06-01,19,21,19,21,40
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,anestesias generales y regionales,2010-06-01,2,4,2,4,6
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2010-06-01,30,63,30,63,93
VINTO,cirugias y anestesias,anestesias generales y regionales,2010-06-01,24,26,24,26,50
WARNES,cirugias y anestesias,anestesias generales y regionales,2010-06-01,1,28,1,28,29
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,76,48,76,48,124
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-06-01,8,16,8,16,24
YOTALA,cirugias y anestesias,anestesias generales y regionales,2010-06-01,5,5,5,5,10
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2010-06-01,0,7,0,7,7
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2010-07-01,1,1,1,1,2
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,5,0,5,5
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2010-07-01,5,22,5,22,27
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,15,0,15,15
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,6,0,6,6
BAURES,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,3,0,3,3
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2010-07-01,6,60,6,60,66
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2010-07-01,11,25,11,25,36
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2010-07-01,14,74,14,74,88
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-07-01,1,2,1,2,3
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,10,0,10,10
CARMEN RIVERO TORREZ,cirugias y anestesias,anestesias generales y regionales,2010-07-01,2,0,2,0,2
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,1,9,1,9,10
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,19,0,19,19
COBIJA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,30,80,30,80,110
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,1385,2039,1385,2039,3424
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,32,66,32,66,98
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,19,0,19,19
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2010-07-01,1,17,1,17,18
COROICO,cirugias y anestesias,anestesias generales y regionales,2010-07-01,6,22,6,22,28
COTOCA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,1,12,1,12,13
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2010-07-01,251,468,251,468,719
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2010-07-01,12,12,12,12,24
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,3,0,3,0,3
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2010-07-01,14,41,14,41,55
JESUS DE MACHACA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,4,0,4,4
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2010-07-01,1722,1471,1722,1471,3193
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,18,36,18,36,54
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,10,0,10,10
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,7,0,7,7
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2010-07-01,10,33,10,33,43
MONTERO,cirugias y anestesias,anestesias generales y regionales,2010-07-01,58,96,58,96,154
ORURO,cirugias y anestesias,anestesias generales y regionales,2010-07-01,335,471,335,471,806
PADILLA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,5,11,5,11,16
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,3,11,3,11,14
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2010-07-01,19,57,19,57,76
POTOSI,cirugias y anestesias,anestesias generales y regionales,2010-07-01,504,505,504,505,1009
PUERTO QUIJARRO,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,2,0,2,2
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2010-07-01,11,37,11,37,48
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2010-07-01,44,61,44,61,105
PUNATA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,14,43,14,43,57
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-07-01,15,59,15,59,74
REYES,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,3,0,3,3
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,64,184,64,184,248
ROBORE,cirugias y anestesias,anestesias generales y regionales,2010-07-01,17,35,17,35,52
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2010-07-01,2,12,2,12,14
SACABA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,19,79,19,79,98
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,8,0,8,8
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,2,26,2,26,28
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,1,17,1,17,18
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,9,0,9,9
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2010-07-01,1,11,1,11,12
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2010-07-01,10,37,10,37,47
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2010-07-01,3,12,3,12,15
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,3,0,3,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2010-07-01,4,22,4,22,26
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-07-01,22,17,22,17,39
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2010-07-01,5,15,5,15,20
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2010-07-01,4,3,4,3,7
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2010-07-01,5,9,5,9,14
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,2,0,2,2
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2010-07-01,3,2,3,2,5
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,3,11,3,11,14
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,1796,1989,1796,1989,3785
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,5,0,5,5
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,17,0,17,17
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,3,0,3,3
SUCRE,cirugias y anestesias,anestesias generales y regionales,2010-07-01,602,521,602,521,1123
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2010-07-01,1,5,1,5,6
TARIJA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,194,333,194,333,527
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2010-07-01,104,220,104,220,324
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,28,32,28,32,60
UYUNI,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,12,0,12,12
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2010-07-01,10,31,10,31,41
VIACHA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,11,16,11,16,27
