,group,variable,month,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,TOTALES,TOTALES,TOTALES
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,1,21,1,21,22
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,23,38,23,38,61
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,4,53,4,53,57
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2010-04-01,3,6,3,6,9
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,1,7,1,7,8
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,5,18,5,18,23
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,20,13,20,13,33
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,18,35,18,35,53
SAN LORENZO(TJA),cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,1,0,1,1
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,1,12,1,12,13
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,4,0,4,4
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,10,20,10,20,30
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,1,18,1,18,19
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,1720,2215,1720,2215,3935
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,2,0,2,2
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,21,0,21,21
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,1,0,1,1
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,249,658,249,658,907
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,1,5,1,5,6
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,126,236,126,236,362
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,2,0,2,2
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,11,0,11,11
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,120,211,120,211,331
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,27,25,27,25,52
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,10,0,10,10
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,11,27,11,27,38
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,5,1,5,1,6
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,23,52,23,52,75
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,12,39,12,39,51
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,6,13,6,13,19
VINTO,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,22,28,22,28,50
WARNES,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,4,28,4,28,32
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,31,92,31,92,123
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,5,15,5,15,20
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,6,0,6,6
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1,3,1,3,4
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,0,2,0,2,2
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,5,13,5,13,18
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,0,5,0,5,5
BAURES,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,2,3,2,3,5
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,11,31,11,31,42
CABEZAS,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,2,7,2,7,9
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,10,10,10,10,20
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,10,61,10,61,71
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,18,5,18,5,23
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,4,5,4,5,9
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,0,7,0,7,7
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1,0,1,0,1
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,26,72,26,72,98
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,996,1815,996,1815,2811
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,19,52,19,52,71
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,0,4,0,4,4
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1,11,1,11,12
COROICO,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,8,11,8,11,19
COTAGAITA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1,2,1,2,3
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,2,10,2,10,12
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1,4,1,4,5
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,326,511,326,511,837
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,12,25,12,25,37
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1,0,1,0,1
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,11,46,11,46,57
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1250,1639,1250,1639,2889
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,9,30,9,30,39
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,0,5,0,5,5
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,0,11,0,11,11
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,4,17,4,17,21
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,37,133,37,133,170
ORURO,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,255,439,255,439,694
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,6,8,6,8,14
PAMPA GRANDE,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,0,8,0,8,8
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,12,40,12,40,52
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,192,92,192,92,284
PUERTO QUIJARRO,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,2,5,2,5,7
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,2,24,2,24,26
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,15,49,15,49,64
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,8,36,8,36,44
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,3,0,3,0,3
REYES,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,0,4,0,4,4
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,66,52,66,52,118
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,4,6,4,6,10
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1,6,1,6,7
SACABA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,15,53,15,53,68
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,9,30,9,30,39
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,0,7,0,7,7
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1,22,1,22,23
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,0,5,0,5,5
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,7,39,7,39,46
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1,11,1,11,12
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,2,6,2,6,8
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,4,13,4,13,17
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,28,0,28,0,28
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,3,22,3,22,25
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1,11,1,11,12
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1,10,1,10,11
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,0,4,0,4,4
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1,6,1,6,7
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,5,17,5,17,22
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1409,1723,1409,1723,3132
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,2,2,2,2,4
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,0,26,0,26,26
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,5,0,5,0,5
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,285,531,285,531,816
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,2,7,2,7,9
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,179,349,179,349,528
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,0,3,0,3,3
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1,9,1,9,10
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,126,192,126,192,318
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,12,23,12,23,35
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1,8,1,8,9
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,4,37,4,37,41
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,9,15,9,15,24
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,43,50,43,50,93
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,2,41,2,41,43
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,3,14,3,14,17
VINTO,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,0,3,0,3,3
WARNES,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,1,23,1,23,24
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,31,89,31,89,120
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-05-01,26,16,26,16,42
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,1,3,1,3,4
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,4,0,4,4
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,2,7,2,7,9
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,7,0,7,7
BAURES,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,3,0,3,3
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,9,34,9,34,43
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,5,5,5,5,10
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,10,59,10,59,69
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,6,24,6,24,30
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,5,6,5,6,11
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,38,85,38,85,123
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,1095,1639,1095,1639,2734
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,21,38,21,38,59
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,9,0,9,9
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,1,15,1,15,16
COROICO,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,6,10,6,10,16
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,2,10,2,10,12
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,2,0,2,2
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,321,482,321,482,803
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,9,24,9,24,33
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,1,2,1,2,3
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,14,54,14,54,68
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,1108,1446,1108,1446,2554
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,13,37,13,37,50
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,4,0,4,4
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,1,12,1,12,13
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,10,30,10,30,40
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,59,103,59,103,162
ORURO,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,224,474,224,474,698
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,4,13,4,13,17
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,2,6,2,6,8
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,13,33,13,33,46
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,123,156,123,156,279
PUERTO QUIJARRO,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,3,0,3,3
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,5,20,5,20,25
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,19,22,19,22,41
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,14,62,14,62,76
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,4,4,4,4,8
REYES,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,2,0,2,2
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,53,51,53,51,104
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,2,10,2,10,12
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,1,4,1,4,5
SACABA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,8,48,8,48,56
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,1,0,1,1
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,2,24,2,24,26
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,6,0,6,6
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,4,16,4,16,20
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,6,0,6,6
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,6,52,6,52,58
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2010-06-01,1,9,1,9,10
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,3,0,3,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,4,15,4,15,19
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,4,26,4,26,30
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,1,6,1,6,7
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,1,13,1,13,14
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,4,0,4,4
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,3,1,3,1,4
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,6,17,6,17,23
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,1367,2319,1367,2319,3686
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,1,0,1,0,1
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,1,22,1,22,23
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,2,0,2,2
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,338,535,338,535,873
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,6,0,6,6
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,145,228,145,228,373
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,6,0,6,6
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,13,0,13,13
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,100,92,100,92,192
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,12,11,12,11,23
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,2,15,2,15,17
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,10,22,10,22,32
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,6,9,6,9,15
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,32,35,32,35,67
VILLA SERRANO,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,1,0,1,1
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,19,21,19,21,40
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,8,24,8,24,32
VINTO,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,24,26,24,26,50
WARNES,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,1,28,1,28,29
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,71,46,71,46,117
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,8,16,8,16,24
YOTALA,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,1,0,1,1
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2010-06-01,0,1,0,1,1
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,1,1,1,1,2
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,5,0,5,5
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,5,22,5,22,27
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,15,0,15,15
AZURDUY,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,5,0,5,5
BAURES,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,2,0,2,2
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,4,35,4,35,39
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,8,0,8,8
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,10,55,10,55,65
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,1,2,1,2,3
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,10,0,10,10
CARMEN RIVERO TORREZ,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,2,0,2,0,2
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,1,9,1,9,10
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,19,0,19,19
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,30,80,30,80,110
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,1221,1798,1221,1798,3019
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,32,66,32,66,98
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,19,0,19,19
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,1,17,1,17,18
COROICO,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,2,19,2,19,21
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,1,12,1,12,13
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,251,468,251,468,719
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,12,12,12,12,24
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,3,0,3,0,3
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,14,38,14,38,52
JESUS DE MACHACA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,4,0,4,4
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,1631,1423,1631,1423,3054
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,18,36,18,36,54
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,10,0,10,10
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,7,0,7,7
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,8,20,8,20,28
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,58,96,58,96,154
ORURO,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,335,471,335,471,806
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,5,11,5,11,16
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,3,11,3,11,14
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,19,57,19,57,76
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,210,245,210,245,455
PUERTO QUIJARRO,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,2,0,2,2
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,2,17,2,17,19
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,12,31,12,31,43
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,10,41,10,41,51
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,12,37,12,37,49
REYES,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,3,0,3,3
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,64,184,64,184,248
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,17,35,17,35,52
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,2,12,2,12,14
SACABA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,15,60,15,60,75
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,8,0,8,8
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,2,26,2,26,28
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,1,6,1,6,7
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,9,0,9,9
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,10,0,10,10
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,10,37,10,37,47
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2010-07-01,3,12,3,12,15
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,3,0,3,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,3,15,3,15,18
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,22,17,22,17,39
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,5,15,5,15,20
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,1,0,1,1
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,5,9,5,9,14
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,2,0,2,2
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,3,2,3,2,5
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,3,11,3,11,14
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,1433,1902,1433,1902,3335
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,5,0,5,5
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,17,0,17,17
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,3,0,3,3
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,475,374,475,374,849
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,1,5,1,5,6
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,192,312,192,312,504
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,104,220,104,220,324
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,26,25,26,25,51
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,12,0,12,12
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,10,31,10,31,41
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,11,16,11,16,27
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,30,45,30,45,75
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,11,46,11,46,57
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,5,30,5,30,35
VINTO,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,1,3,1,3,4
WARNES,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,2,25,2,25,27
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,94,51,94,51,145
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,4,26,4,26,30
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2010-07-01,0,1,0,1,1
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,2,0,2,0,2
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,8,0,8,8
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,9,23,9,23,32
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,5,0,5,5
AZURDUY,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,2,3,2,3,5
BAURES,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,1,2,1,2,3
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,18,31,18,31,49
