,group,variable,month,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,4,4,4,4,8
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,36,7,36,7,43
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,2,2,2,2,4
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,0,1,0,1,1
TOTORA(CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,0,1,0,1,1
VALLEGRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,14,0,14,0,14
VILLA TUNARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,8,4,8,4,12
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,35,9,35,9,44
WARNES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,3,19,3,19,22
YACUIBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,3,0,3,0,3
YUNCHARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,1,1,1,1,2
AZURDUY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,3,0,3,0,3
CALAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,3,0,3,3
CARACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,4,3,4,3,7
CARAPARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,1,0,1,0,1
CHARAGUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,1,0,1,1
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,10,6,10,6,16
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,18,2,18,2,20
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,6,0,6,6
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,59,22,59,22,81
EL PUENTE(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,3,3,3,3,6
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,27,2,27,2,29
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,1,1,1,1,2
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,16,0,16,0,16
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,14,3,14,3,17
GUTIERREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,49,0,49,49
HUACARETA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,1,3,1,3,4
HUAYLLAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,3,0,3,0,3
HUMANATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,1,0,1,1
ICLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,3,0,3,0,3
INCAHUASI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,7,0,7,7
INQUISIVI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,1,0,1,1
LA GUARDIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,7,0,7,0,7
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,5,3,5,3,8
LAGUNILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,1,0,1,0,1
LAS CARRERAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,1,0,1,0,1
MONTEAGUDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,5,0,5,0,5
MORO MORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,2,0,2,2
MOROCHATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,6,0,6,6
OKINAWA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,8,3,8,3,11
ORURO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,2,0,2,0,2
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,2,0,2,0,2
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,1,2,1,2,3
PUNA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,10,0,10,10
QUILLACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,4,0,4,4
REYES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,1,0,1,0,1
SACACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,4,0,4,4
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,55,31,55,31,86
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,4,0,4,4
SAN LORENZO(PND),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,1,6,1,6,7
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,4,3,4,3,7
SAN MATIAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,4,0,4,4
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,9,18,9,18,27
SAN PEDRO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,33,0,33,33
SAN RAMON BENI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,95,19,95,19,114
SENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,5,0,5,5
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,34,75,34,75,109
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,3,0,3,0,3
TARVITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,0,12,0,12,12
TOMINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,2,0,2,0,2
TRINIDAD,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,3,0,3,0,3
VALLEGRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,9,0,9,0,9
VILLA CHARCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,5,4,5,4,9
VILLA TUNARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,13,11,13,11,24
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,16,9,16,9,25
VITICHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,1,0,1,0,1
YACUIBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,4,9,4,9,13
YUNCHARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,3,7,3,7,10
ZUDAÑEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-09-01,13,12,13,12,25
ALCALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,18,0,18,18
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,2,0,2,2
BERMEJO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,1,0,1,0,1
BOLPEBRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,3,0,3,3
BUENA VISTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,12,10,12,10,22
CABEZAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,2,0,2,2
CALACOTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,9,0,9,9
CAQUIAVIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,2,0,2,0,2
CARACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,14,21,14,21,35
CARANAVI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,2,0,2,2
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,6,0,6,6
CATACORA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,1,0,1,1
CHALLAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,5,81,5,81,86
CHARAGUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,1,0,1,0,1
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,10,46,10,46,56
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,27,0,27,0,27
CONCEPCION,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,4,0,4,4
CORQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,9,0,9,9
COTOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,48,34,48,34,82
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,12,2,12,2,14
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,18,0,18,0,18
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,2,5,2,5,7
FILADELFIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,3,0,3,3
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,7,0,7,0,7
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,18,6,18,6,24
GUTIERREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,2,16,2,16,18
HUACARETA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,1,0,1,0,1
HUANUNI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,4,5,4,5,9
HUAYLLAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,2,17,2,17,19
ICHOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,8,0,8,8
ICLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,1,0,1,1
INCAHUASI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,2,0,2,2
LA GUARDIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,4,0,4,0,4
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,2,0,2,2
LAGUNILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,10,3,10,3,13
LAS CARRERAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,4,1,4,1,5
MINEROS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,13,0,13,0,13
MIZQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,1,0,1,1
MOJOCOYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,4,0,4,4
MONTEAGUDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,7,4,7,4,11
MORO MORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,3,0,3,3
NAZACARA DE PACAJES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,5,0,5,5
OKINAWA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,3,3,3,3,6
ORURO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,151,0,151,151
PALOS BLANCOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,9,0,9,9
PAMPA AULLAGAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,2,0,2,2
POCONA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,14,0,14,14
POTOSI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,3,1,3,1,4
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,4,2,4,2,6
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,9,10,9,10,19
REYES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,1,0,1,0,1
SABAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,1,3,1,3,4
SACABA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,1,0,1,1
SAN BORJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,4,26,4,26,30
SAN IGNACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,14,0,14,14
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,94,147,94,147,241
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,1,0,1,1
SAN MATIAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,14,0,14,14
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,17,9,17,9,26
SAN PEDRO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,1,4,1,4,5
SAN RAFAEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,3,4,3,4,7
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,98,10,98,10,108
SANTIAGO DE CALLAPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,9,0,9,9
SANTIAGO DE MACHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,4,0,4,4
SANTIVAÑES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,7,0,7,7
SENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,16,0,16,16
SHINAOTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,7,1,7,1,8
SORACACHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,1,16,1,16,17
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,37,59,37,59,96
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,10,0,10,0,10
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,2,0,2,2
TOCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,11,0,11,11
TOLEDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,1,0,1,1
TRINIDAD,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,6,0,6,6
VALLEGRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,7,0,7,0,7
VILLA RIVERO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,32,0,32,32
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,16,10,16,10,26
WARNES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,18,1,18,1,19
YACUIBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,6,2,6,2,8
YUNCHARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,2,2,2,2,4
ZUDAÑEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-10-01,0,5,0,5,5
ATOCHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,24,0,24,24
CABEZAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,4,0,4,4
CARAPARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,2,0,2,0,2
CATACORA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,1,0,1,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,1,0,1,0,1
CHUMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,2,2,2,2,4
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,10,6,10,6,16
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,12,1,12,1,13
"COLCHA ""K""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,4,0,4,4
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,13,40,13,40,53
COTOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,7,2,7,2,9
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,15,33,15,33,48
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,16,1,16,1,17
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,6,0,6,0,6
FILADELFIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,15,0,15,15
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,6,0,6,0,6
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,10,46,10,46,56
HUACARETA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,6,0,6,6
HUANUNI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,148,0,148,148
INCAHUASI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,5,4,5,4,9
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,11,4,11,4,15
LAGUNILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,1,6,1,6,7
LAS CARRERAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,1,0,1,1
LLALLAGUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,3,0,3,3
MAGDALENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,7,13,7,13,20
MAIRANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,5,0,5,0,5
MINEROS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,23,3,23,3,26
MOJOCOYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,1,0,1,1
MONTEAGUDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,1,0,1,0,1
MOROCHATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,5,0,5,5
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,4,0,4,4
OKINAWA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,1,0,1,1
ORURO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,12,51,12,51,63
PALOS BLANCOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,4,0,4,4
PATACAMAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,5,0,5,5
POCONA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,2,0,2,2
PORVENIR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,142,0,142,142
POTOSI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,22,4,22,4,26
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,7,0,7,0,7
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,15,0,15,0,15
QUILLACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,2,8,2,8,10
REYES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,2,0,2,0,2
SACABA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,5,0,5,5
SAN ANDRES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,41,49,41,49,90
SAN LORENZO(PND),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,1,3,1,3,4
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,1,0,1,0,1
SAN LUCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,6,0,6,6
SAN MATIAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,8,9,8,9,17
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,15,13,15,13,28
SAN PABLO DE LIPEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,12,0,12,0,12
SAN PEDRO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,13,3,13,3,16
SAN RAFAEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,4,10,4,10,14
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,54,76,54,76,130
SANTA ROSA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,61,0,61,61
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,18,16,18,16,34
SANTIVAÑES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,1,0,1,0,1
SENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,7,0,7,7
SORACACHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,1,7,1,7,8
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,18,19,18,19,37
TAPACARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,2,0,2,2
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,6,0,6,0,6
TARVITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,10,0,10,0,10
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,45,0,45,45
TOMINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,3,0,3,3
TRINIDAD,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,3,1,3,1,4
TUPIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,0,2,0,2,2
VALLEGRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,9,0,9,0,9
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,13,11,13,11,24
YUNCHARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-11-01,1,2,1,2,3
ALCALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,3,0,3,3
BOLPEBRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,1,0,1,1
CARAPARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,3,0,3,0,3
CHARAÑA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,2,0,2,2
CHUMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,3,18,3,18,21
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,7,5,7,5,12
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,17,6,17,6,23
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,1,3,1,3,4
COTOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,1,0,1,1
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,6,16,6,16,22
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,2,2,2,2,4
ESCOMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,1,0,1,0,1
FILADELFIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,2,0,2,0,2
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,3,52,3,52,55
HUACARETA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,1,0,1,0,1
INCAHUASI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,9,0,9,9
INGAVI (HUMAITA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,1,0,1,1
