municipality,group,variable,month,Niños de 0 a 6 meses que reciben Lactancia Mat. Ex,TOTAL
CARAPARI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,85,85
CARIPUYO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,1,1
CATACORA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,9,9
CHALLAPATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,111,111
CHAQUI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,18,18
CHIMORE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,98,98
CHIPAYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,4,4
CHOQUE COTA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,6,6
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,13,13
CHUMA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,23,23
CLIZA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,17,17
COBIJA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,23,23
COCHABAMBA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,770,770
COLCAPIRHUA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,131,131
"COLCHA ""K""",nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,43,43
COLOMI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,98,98
COLQUECHACA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,90,90
COLQUENCHA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,21,21
COLQUIRI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,99,99
COMANCHE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,17,17
COMBAYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,11,11
COPACABANA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,78,78
CORIPATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,74,74
CORO CORO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,34,34
COROICO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,74,74
CORQUE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,20,20
COTAGAITA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,61,61
COTOCA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,157,157
CUATRO CAÑADAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,8,8
CULPINA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,48,48
CURAHUARA DE CARANGAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,16,16
CURVA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,13,13
DESAGUADERO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,19,19
EL ALTO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,1414,1414
EL CHORO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,16,16
EL PUENTE(STC),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,1,1
EL PUENTE(TJA),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,18,18
EL TORNO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,106,106
ENTRE RIOS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,21,21
ENTRE RIOS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,26,26
ESMERALDA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,1,1
EUCALIPTUS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,18,18
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,4,4
EXALTACION,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,1,1
FERNANDEZ ALONSO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,21,21
FILADELFIA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,7,7
GENERAL SAAVEDRA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,19,19
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,67,67
GUANAY,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,20,20
GUAQUI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,39,39
GUAYARAMERIN,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,264,264
GUTIERREZ,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,8,8
HUACARETA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,83,83
HUACAYA (VILLA DE HUACAYA),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,13,13
HUACHACALLA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,13,13
HUANUNI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,42,42
HUARACAJE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,30,30
HUAYLLAMARCA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,18,18
ICHOCA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,8,8
ICLA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,101,101
INCAHUASI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,193,193
INQUISIVI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,86,86
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,103,103
IXIAMAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,85,85
JESUS DE MACHACA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,43,43
LA ASUNTA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,29,29
LA GUARDIA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,94,94
LA PAZ,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,1691,1691
LAJA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,48,48
LAS CARRERAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,28,28
LLALLAGUA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,138,138
LLICA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,3,3
LORETO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,1,1
LURIBAY,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,30,30
MACHACAMARCA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,7,7
MACHARETI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,60,60
MAGDALENA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,50,50
MAIRANA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,79,79
MALLA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,5,5
MAPIRI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,194,194
MINEROS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,20,20
MIZQUE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,5,5
MOCOMOCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,50,50
MOJINETE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,1,1
MOJOCOYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,43,43
MONTEAGUDO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,85,85
MONTERO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,10,10
MORO MORO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,9,9
MOROCHATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,89,89
NAZACARA DE PACAJES,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,3,3
OCURI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,70,70
OKINAWA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,25,25
OMEREQUE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,12,12
ORURO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,467,467
PADCAYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,90,90
PADILLA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,98,98
PALCA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,43,43
PALOS BLANCOS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,81,81
PAMPA AULLAGAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,15,15
PAMPA GRANDE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,7,7
PAPEL PAMPA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,23,23
PASORAPA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,17,17
PATACAMAYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,146,146
PAZÑA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,31,31
PELECHUCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,16,16
POCOATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,60,60
POOPO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,4,4
PORCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,36,36
POROMA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,61,61
PORONGO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,39,39
POTOSI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,75,75
PRESTO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,67,67
PUCARA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,15,15
PUCARANI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,75,75
PUERTO ACOSTA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,101,101
PUERTO CARABUCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,50,50
PUERTO GONZALO MORENO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,21,21
PUERTO PEREZ,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,22,22
PUERTO SILES,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,17,17
PUERTO VILLARROEL,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,66,66
PUNA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,128,128
PUNATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,150,150
QUIABAYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,12,12
QUILLACOLLO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,229,229
QUIME,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,16,16
QUIRUSILLAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,10,10
RAVELO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,8,8
REYES,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,10,10
RIBERALTA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,256,256
RURRENABAQUE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,72,72
SABAYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,7,7
SACABA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,246,246
SACABAMBA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,22,22
SACACA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,75,75
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,51,51
SAMAIPATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,32,32
SAN AGUSTIN,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,1,1
SAN ANDRES,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,3,3
SAN ANDRES DE MACHACA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,27,27
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,1,1
SAN BENITO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,11,11
SAN BUENA VENTURA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,75,75
SAN IGNACIO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,58,58
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,327,327
SAN JAVIER(BNI),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,1,1
SAN JOAQUIN,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,9,9
SAN JULIAN,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,44,44
SAN LORENZO(TJA),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,117,117
SAN LUCAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,240,240
SAN MATIAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,26,26
SAN MIGUEL DE VELASCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,82,82
SAN PABLO DE LIPEZ,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,2,2
SAN PEDRO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,17,17
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,8,8
SAN PEDRO DE QUEMES,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,3,3
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,19,19
SAN PEDRO(PND),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,2,2
SAN RAFAEL,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,49,49
SAN RAMON,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,22,22
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,296,296
SANTA ROSA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,94,94
SANTIAGO DE CALLAPA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,3,3
SANTIAGO DE HUARI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,20,20
SANTIAGO DE MACHACA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,18,18
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,12,12
SAPAHAQUI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,38,38
SICA SICA (VILLA AROMA),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,116,116
SIPE SIPE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,127,127
SOPACHUY,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,34,34
SORACACHI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,67,67
SORATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,40,40
SUCRE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,402,402
TACACHI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,4,4
TACACOMA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,9,9
TACOBAMBA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,85,85
TAHUA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,2,2
TAPACARI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,93,93
TARABUCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,149,149
TARACO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,28,28
TARATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,1,1
TARIJA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,351,351
TARVITA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,90,90
TEOPONTE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,51,51
TIAWANACU,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,38,38
TINGUIPAYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,38,38
TIPUANI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,42,42
TIQUIPAYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,150,150
TIRAQUE (CBBA),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,217,217
TITO YUPANQUI (PARQUIPUJIO),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,8,8
TOCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,17,17
TODOS SANTOS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,2,2
TOLATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,16,16
TOLEDO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,30,30
TOMAVE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,18,18
TOMINA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,89,89
TORO TORO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,49,49
TOTORA(CBBA),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,69,69
TOTORA(ORR),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,20,20
TRIGAL,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,6,6
TRINIDAD,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,103,103
TUPIZA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,3,3
TURCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,12,12
UMALA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,7,7
UNCIA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,95,95
URIONDO (A. CONCEPCION),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,23,23
UYUNI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,82,82
VACAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,35,35
VALLEGRANDE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,24,24
VIACHA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,144,144
VILLA MONTES,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,85,85
VILLA NUEVA (LOMA ALTA),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,16,16
VILLA RIVERO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,20,20
VILLA SERRANO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,48,48
VILLA TUNARI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,135,135
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,55,55
VILLAZON,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,122,122
VINTO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,3,3
VITICHI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,35,35
WALDO BALLIVIAN,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,14,14
WARNES,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,106,106
YACO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,20,20
YACUIBA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,359,359
YAMPARAEZ,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,84,84
YANACACHI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,15,15
YOTALA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,47,47
YUNCHARA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,17,17
ZUDAÑEZ,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-04-01,51,51
ACACIO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-05-01,42,42
ACHACACHI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-05-01,100,100
ACHOCALLA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-05-01,10,10
AIQUILE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-05-01,83,83
ALALAY,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-05-01,26,26
ALCALA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-05-01,27,27
ANCORAIMES,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-05-01,52,52
ANDAMARCA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-05-01,18,18
ANTEQUERA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-05-01,16,16
