municipality,group,variable,month,Mujeres embarazadas que recibieron 90 tabletas de,TOTAL
LORETO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,4,4
LURIBAY,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,19,19
MACHACAMARCA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,6,6
MACHARETI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,16,16
MAGDALENA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,4,4
MAIRANA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,25,25
MALLA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,7,7
MAPIRI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,20,20
MECAPACA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,21,21
MINEROS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,40,40
MIZQUE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,53,53
MOCOMOCO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,19,19
MOJINETE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,2,2
MOJOCOYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,18,18
MONTEAGUDO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,57,57
MONTERO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,224,224
MORO MORO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,3,3
MOROCHATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,24,24
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,6,6
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,3,3
OCURI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,49,49
OKINAWA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,20,20
OMEREQUE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,16,16
ORURO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,272,272
PADCAYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,40,40
PADILLA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,18,18
PAILON,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,51,51
PALCA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,13,13
PALOS BLANCOS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,67,67
PAMPA AULLAGAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,4,4
PAMPA GRANDE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,3,3
PAPEL PAMPA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,9,9
PASORAPA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,4,4
PATACAMAYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,49,49
PAZÑA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,1,1
PELECHUCO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,8,8
POCOATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,48,48
POCONA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,19,19
POJO (CBBA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,44,44
POOPO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,6,6
PORCO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,9,9
POROMA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,54,54
PORONGO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,20,20
PORTACHUELO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,18,18
PORVENIR,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,13,13
POSTRER VALLE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,2,2
POTOSI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,274,274
PRESTO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,28,28
PUCARA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,3,3
PUCARANI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,61,61
PUERTO ACOSTA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,73,73
PUERTO CARABUCO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,24,24
PUERTO GONZALO MORENO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,16,16
PUERTO PEREZ,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,4,4
PUERTO QUIJARRO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,10,10
PUERTO RICO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,22,22
PUERTO SILES,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,2,2
PUERTO SUAREZ,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,10,10
PUERTO VILLARROEL,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,97,97
PUNA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,51,51
PUNATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,27,27
QUIABAYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,3,3
QUILLACOLLO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,134,134
QUIME,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,23,23
QUIRUSILLAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,4,4
RAVELO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,57,57
REYES,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,46,46
RIBERALTA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,211,211
ROBORE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,11,11
RURRENABAQUE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,30,30
SABAYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,7,7
SACABA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,238,238
SACABAMBA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,4,4
SACACA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,46,46
SAIPINA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,21,21
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,22,22
SAMAIPATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,5,5
SAN AGUSTIN,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,4,4
SAN ANDRES,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,43,43
SAN ANDRES DE MACHACA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,2,2
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,8,8
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,15,15
SAN BENITO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,30,30
SAN BORJA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,50,50
SAN BUENA VENTURA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,22,22
SAN CARLOS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,49,49
SAN IGNACIO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,81,81
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,114,114
SAN JAVIER(BNI),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,1,1
SAN JAVIER(STC),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,9,9
SAN JOAQUIN,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,11,11
SAN JOSE DE CHIQUITOS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,44,44
SAN JUAN DE YAPACANI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,43,43
SAN JULIAN,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,75,75
SAN LORENZO(PND),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,9,9
SAN LORENZO(TJA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,34,34
SAN LUCAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,97,97
SAN MATIAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,46,46
SAN MIGUEL DE VELASCO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,26,26
SAN PABLO DE LIPEZ,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,2,2
SAN PEDRO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,41,41
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,94,94
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,14,14
SAN PEDRO DE QUEMES,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,1,1
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,8,8
SAN PEDRO(PND),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,9,9
SAN RAFAEL,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,14,14
SAN RAMON,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,11,11
SAN RAMON,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,28,28
SANTA ANA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,51,51
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,2016,2016
SANTA ROSA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,6,6
SANTA ROSA DEL SARA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,41,41
SANTIAGO DE CALLAPA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,5,5
SANTIAGO DE HUARI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,11,11
SANTIAGO DE MACHACA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,6,6
SANTIVAÑES,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,5,5
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,2,2
SAPAHAQUI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,12,12
SENA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,7,7
SICA SICA (VILLA AROMA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,26,26
SICAYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,5,5
SIPE SIPE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,65,65
SOPACHUY,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,28,28
SORACACHI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,21,21
SORATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,34,34
SUCRE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,676,676
TACACHI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,1,1
TACACOMA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,17,17
TACOBAMBA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,18,18
TACOPAYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,24,24
TAHUA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,2,2
TAPACARI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,57,57
TARABUCO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,63,63
TARACO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,10,10
TARATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,19,19
TARIJA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,279,279
TARVITA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,38,38
TEOPONTE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,16,16
TIAWANACU,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,24,24
TINGUIPAYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,55,55
TIPUANI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,18,18
TIQUIPAYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,82,82
TIRAQUE (CBBA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,118,118
TITO YUPANQUI (PARQUIPUJIO),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,2,2
TOCO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,10,10
TOLATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,5,5
TOLEDO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,8,8
TOMAVE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,10,10
TOMINA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,20,20
TORO TORO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,30,30
TOTORA(CBBA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,30,30
TOTORA(ORR),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,6,6
TRIGAL,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,1,1
TRINIDAD,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,241,241
TUPIZA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,45,45
TURCO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,8,8
UMALA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,11,11
UNCIA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,99,99
URIONDO (A. CONCEPCION),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,14,14
URUBICHA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,19,19
UYUNI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,38,38
VACAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,37,37
VALLEGRANDE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,23,23
VIACHA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,80,80
VILA VILA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,6,6
VILLA MONTES,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,69,69
VILLA NUEVA (LOMA ALTA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,7,7
VILLA RIVERO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,11,11
VILLA SERRANO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,31,31
VILLA TUNARI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,91,91
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,22,22
VILLAZON,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,95,95
VINTO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,67,67
VITICHI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,5,5
WARNES,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,108,108
YACO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,27,27
YACUIBA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,107,107
YAMPARAEZ,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,20,20
YANACACHI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,1,1
YAPACANI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,116,116
YOCALLA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,7,7
YOTALA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,14,14
YUNCHARA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,16,16
ZUDAÑEZ,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-03-01,16,16
ACACIO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,18,18
ACHACACHI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,110,110
ACHOCALLA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,5,5
AIQUILE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,66,66
ALALAY,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,19,19
ALCALA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,6,6
ANCORAIMES,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,32,32
ANDAMARCA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,10,10
ANTEQUERA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,2,2
ANZALDO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,15,15
APOLO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,53,53
ARAMPAMPA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,14,14
ARANI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,1,1
ARBIETO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,21,21
ARQUE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,6,6
ASCENCION DE GUARAYOS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,99,99
ATOCHA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,21,21
AUCAPATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,10,10
AYATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,25,25
AYO AYO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,58,58
AZURDUY,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,42,42
BATALLAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,24,24
BAURES,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,13,13
BELEN DE ANDAMARCA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,2,2
BELEN DE URMIRI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,3,3
BELLA FLOR,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,11,11
BERMEJO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,45,45
BETANZOS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,43,43
BOLIVAR,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,20,20
BOLPEBRA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,2,2
BOYUIBE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,4,4
BUENA VISTA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,13,13
CABEZAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,32,32
CAIROMA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,23,23
"CAIZA ""D""",nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,15,15
CAJUATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,13,13
CALACOTO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,6,6
CALAMARCA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,13,13
CAMARGO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,32,32
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,7,7
CAMIRI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,87,87
CAPINOTA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,54,54
CAQUIAVIRI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,19,19
CARACOLLO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,30,30
CARANAVI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,78,78
CARAPARI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,22,22
CARIPUYO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,2,2
CARMEN RIVERO TORREZ,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,2,2
CATACORA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,4,4
CHALLAPATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,49,49
CHAQUI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,4,4
CHARAGUA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,63,63
CHARAÑA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,2,2
CHAYANTA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,24,24
CHIMORE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,42,42
CHIPAYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,2,2
CHOQUE COTA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,1,1
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,15,15
CHUMA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,8,8
CLIZA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,29,29
COBIJA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,153,153
COCHABAMBA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,590,590
COIPASA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,2,2
COLCAPIRHUA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,47,47
"COLCHA ""K""",nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,17,17
COLLANA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,4,4
COLOMI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-04-01,54,54
