,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTALES
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,21,13,34
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,2,3
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,0,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,1,2
YOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
BOLIVAR,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,0,1,1
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,0,1,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,6,6,12
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,2,0,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,0,1,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,7,8,15
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,2,1,3
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,2,1,3
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-11-01,1,0,1
ARAMPAMPA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,0,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,0,1
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,0,1,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,0,1,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,3,2,5
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,1,2
OCURI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,0,1
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,0,1
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,0,1
REYES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,1,2
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,17,5,22
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,2,0,2
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,1,0,1
YOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-12-01,0,1,1
