,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,0,2
PRESTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
PUERTO ACOSTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
PUERTO CARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,4,3,7
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,4,2,6
QUIME,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,5,6
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,5,3,8
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,1,3
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
SAN JAVIER(STC),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,0,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,3,0,3
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,1,2
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,4,0,4
SAN RAMON BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,69,41,110
SENA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,2,2
SOPACHUY,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,1,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,10,6,16
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,0,2
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,4,2,6
TARVITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,1,2
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,3,1,4
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,0,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,5,4,9
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,2,3
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,7,4,11
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,2,4
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,4,2,6
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,6,8
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,5,7
YOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,4,2,6
ANCORAIMES,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
ARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
ARQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,3,0,3
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,3,0,3
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
BOLIVAR,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,2,0,2
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
CALAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,2,0,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,10,5,15
CHACARILLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,3,1,4
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,2,3
COCAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,26,14,40
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,2,0,2
"COLCHA ""K""",tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,2,1,3
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,3,2,5
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,25,25,50
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,3,3,6
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,4,0,4
GUAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
ICLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,3,4
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,2,3
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,32,25,57
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,1,2
MAGDALENA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,3,0,3
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,5,2,7
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,11,1,12
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,2,0,2
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,2,1,3
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,1,2
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
POCONA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,1,2
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
PORVENIR,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,2,0,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,20,2,22
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,7,1,8
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,2,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,7,5,12
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,2,2,4
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,5,3,8
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,4,5,9
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,3,0,3
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,1,2
SAN JAVIER(STC),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,1,2
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,2,1,3
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,2,3
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,2,2
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,57,36,93
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
SICAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,2,0,2
SOPACHUY,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,15,9,24
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,2,0,2
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,5,2,7
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,4,0,4
TIRAQUE (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
TOLATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
TOMAVE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,10,1,11
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
VALLEGRANDE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,4,5
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,2,1,3
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,7,5,12
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,2,3
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,2,2,4
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,9,2,11
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,5,4,9
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,0,1,1
ZUDAÑEZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-04-01,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,4,4
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,0,2
ANCORAIMES,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
ANDAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,3,1,4
BOLIVAR,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
BOYUIBE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,1,2
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,1,2
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
CALAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
CAQUIAVIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,6,2,8
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,3,3
CHAYANTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,2,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,1,3
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,1,2
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,0,2
COCAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,16,6,22
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,4,0,4
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
COPACABANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,1,2
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,3,5
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,1,3
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,2,4
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,1,3
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,33,28,61
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,6,8
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,1,2
GUAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,0,2
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,1,2
JESUS DE MACHACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,7,3,10
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,8,4,12
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,44,21,65
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
LAS CARRERAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,1,3
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,0,2
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,0,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,5,6,11
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,3,3,6
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,1,2
PAZÑA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,0,2
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,5,2,7
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,0,2
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,6,1,7
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,7,7,14
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,2,4
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,2,4
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,5,6,11
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,3,2,5
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,2,2
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,1,2
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,1,2
SAN JOAQUIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,4,6,10
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,2,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,76,52,128
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
SICA SICA (VILLA AROMA),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,0,2
SOPACHUY,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,0,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,18,6,24
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,1,3
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,5,3,8
TARVITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,0,2
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,7,0,7
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,2,4
TOMINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
TOTORA(CBBA),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,17,2,19
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,1,3
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,3,4,7
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,2,0,2
VITICHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,3,4,7
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,3,2,5
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,10,4,14
ZUDAÑEZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-05-01,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-06-01,2,2,4
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-06-01,1,1,2
ANCORAIMES,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-06-01,1,0,1
ANDAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-06-01,0,1,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-06-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-06-01,1,0,1
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-06-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-06-01,0,4,4
