,group,variable,month,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,6,3,9
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,2,0,2
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,0,1,1
TOMINA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,1,1,2
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,2,0,2
VIACHA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,2,1,3
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,2,1,3
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,3,1,4
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,0,1,1
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,1,1,2
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,2,4,6
ACHACACHI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,4,0,4
BATALLAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,1,2
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,0,1
BUENA VISTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,2,6,8
CORIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,2,0,2
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,3,4,7
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,0,3,3
GUTIERREZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,1,2
INCAHUASI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,2,2,4
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,1,2
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,2,1,3
LLALLAGUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,0,1
MAPIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,0,1
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,0,2,2
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,3,4
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,3,0,3
PUERTO QUIJARRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,1,2
PUNA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,0,1
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,0,1,1
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,0,2,2
SAN CARLOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,1,2
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,13,8,21
SENA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,0,1
SOPACHUY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,1,2
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,0,2,2
TACACOMA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,0,1
TARABUCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,0,1
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,2,2,4
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,0,1
URUBICHA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,0,4,4
VACAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,0,3,3
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,4,1,5
VILLAZON,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,2,0,2
VINTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,2,3
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,1,1,2
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-07-01,2,3,5
APOLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,1,1,2
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,0,1,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,2,0,2
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,9,3,12
CORIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,1,0,1
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,1,0,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,6,7,13
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,1,1,2
GENERAL SAAVEDRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,0,1,1
GUANAY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,0,2,2
HUANUNI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,0,2,2
ICLA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,2,1,3
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,4,1,5
MAPIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,1,1,2
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,4,6,10
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,2,0,2
POROMA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,0,1,1
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,3,1,4
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,3,0,3
RURRENABAQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,0,1,1
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,2,2,4
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,1,0,1
SAN LUCAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,13,8,21
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,2,0,2
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,1,1,2
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,1,1,2
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,3,0,3
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,0,2,2
VILLA CHARCAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,0,2,2
VINTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,2,2,4
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,4,2,6
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-08-01,2,1,3
ALTO BENI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,1,2,3
APOLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,1,0,1
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,4,1,5
CALACOTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,0,2,2
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,2,2,4
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,4,6,10
COLCAPIRHUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,1,1,2
"COLCHA ""K""",tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,0,1,1
COTAGAITA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,0,1,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,10,8,18
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,4,0,4
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,1,2,3
GENERAL SAAVEDRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,1,0,1
HUANUNI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,2,1,3
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,4,2,6
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,5,1,6
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,1,3,4
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,2,1,3
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,2,1,3
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,4,1,5
PUERTO GONZALO MORENO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,3,2,5
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,2,0,2
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,3,4,7
SAN CARLOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,24,11,35
SENA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,3,1,4
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,2,0,2
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,2,2,4
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,0,4,4
URUBICHA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,1,2,3
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,1,4,5
VILLAZON,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,0,1,1
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,1,0,1
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-09-01,3,4,7
ARANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,1,2
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,4,4,8
CAMARGO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,3,0,3
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,3,4
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,1,2
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,7,5,12
COLCAPIRHUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,0,1
COLPA BELGICA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,0,1,1
COMARAPA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,0,1,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,9,2,11
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,2,5,7
EUREKA (SANTOS MERCADO),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,1,2
IXIAMAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,0,1,1
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,3,1,4
MAPIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,2,0,2
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,0,3,3
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,1,2
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,0,1
PUNATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,2,3
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,5,4,9
REYES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,0,1
ROBORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,2,2,4
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,2,1,3
SAN IGNACIO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,2,1,3
SAN JAVIER(STC),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,0,1,1
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,2,0,2
SAN LORENZO(TJA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,20,6,26
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,0,2,2
TAPACARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,0,1
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,3,1,4
TEOPONTE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,1,2
URUBICHA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,2,3
VILLA RIVERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,3,2,5
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,2,1,3
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,4,2,6
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-10-01,1,0,1
ALTO BENI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,0,1,1
ARBIETO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,3,0,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,0,1,1
CAMIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,3,0,3
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,0,2,2
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,2,0,2
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,4,2,6
COLCAPIRHUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,1,0,1
CONCEPCION,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,1,1,2
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,0,1,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,6,3,9
EL PUENTE(STC),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,1,0,1
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,1,1,2
INCAHUASI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,0,1,1
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,3,2,5
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,1,2,3
OKINAWA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,0,1,1
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,1,0,1
PADCAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,0,2,2
POCONA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,1,0,1
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,1,0,1
SAN PEDRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,21,20,41
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,0,1,1
TARATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,1,0,1
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,2,1,3
TEOPONTE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,0,1,1
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,0,1,1
URUBICHA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,2,3,5
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,1,1,2
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-11-01,1,3,4
AYATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,1,0,1
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,3,0,3
CABEZAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,1,1,2
CARAPARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,1,1,2
CLIZA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,1,1,2
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,2,3,5
COLCAPIRHUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,1,0,1
COROICO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,1,1,2
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,11,5,16
EL PUENTE(STC),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,1,0,1
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,2,1,3
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,1,5,6
FILADELFIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,0,1,1
HUANUNI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,1,1,2
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,7,3,10
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,1,1,2
MIZQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,1,1,2
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,2,3,5
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,0,2,2
ROBORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,0,1,1
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,7,3,10
SAN BENITO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,0,1,1
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,1,2,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,0,1,1
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,0,1,1
SAN PEDRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,8,16,24
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,0,1,1
SICA SICA (VILLA AROMA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,1,0,1
SIPE SIPE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,1,0,1
SOPACHUY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,0,2,2
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,4,3,7
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,0,2,2
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-12-01,1,1,2
