,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
COLCAPIRHUA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
HUANUNI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,2,1,0,1,1,2,0,1,0,0,0,0,8
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,0,1,0,0,1,2,1,3,0,0,0,0,8
LORETO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,1,1,0,0,0,2,0,0,0,0,0,0,4
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,2,5,4,2,2,5,6,8,2,2,0,0,0,0,38
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,0,0,0,0,0,3,0,1,0,0,0,0,4
SAN JULIAN,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,0,0,4,4,15,23,3,7,0,0,0,0,56
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,0,0,1,1,4,4,0,0,0,0,0,0,10
TIQUIPAYA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
VILLA MONTES,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
VINTO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
YACUIBA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ARAMPAMPA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-12-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-12-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-12-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
COMARAPA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2023-12-01,0,0,0,2,0,0,1,2,1,3,0,0,0,0,9
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-12-01,4,6,4,2,2,3,1,2,4,3,0,0,0,0,31
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-12-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SAN JOAQUIN,atencion odontologica,cirugia bucomaxilofacial mediana,2023-12-01,0,0,1,0,1,1,6,10,1,0,0,0,0,0,20
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-12-01,0,0,2,2,1,1,9,36,3,1,0,0,0,0,55
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2023-12-01,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-12-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2023-12-01,0,0,0,0,0,0,2,6,1,0,0,0,0,0,9
VIACHA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-12-01,0,0,5,8,1,2,3,7,9,0,0,0,0,0,35
