,group,variable,month,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TOTALES
LICOMA PAMPA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MACHACAMARCA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,1,1,0,2,0,0,1,0,0,0,0,5
MACHARETI,atencion odontologica,trat. odontologico integral terminado,2023-04-01,5,3,0,0,0,1,1,5,0,0,0,0,0,0,15
MAIRANA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,0,3,2,0,4,0,1,1,0,0,0,0,0,12
MALLA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,1,3,1,0,0,1,0,0,0,0,0,0,6
MAPIRI,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MOCOMOCO,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MOJOCOYA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,0,5,4,0,1,1,2,0,0,0,0,0,0,14
MONTEAGUDO,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,1,2,3,2,0,7,11,1,1,0,0,0,0,28
MORO MORO,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,1,0,0,0,0,1,1,1,0,0,0,0,0,5
MOROCHATA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
ORURO,atencion odontologica,trat. odontologico integral terminado,2023-04-01,9,10,27,36,45,42,134,186,9,4,0,0,0,0,502
PADILLA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,1,1,5,8,0,0,0,0,0,0,15
PALCA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
PAPEL PAMPA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PAZÑA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PELECHUCO,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
POCONA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,0,0,0,0,1,1,3,0,0,0,0,0,0,6
POJO (CBBA),atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
POROMA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,8,5,2,1,0,0,0,0,0,0,0,0,16
PORTACHUELO,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PORVENIR,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,1,2,0,0,0,1,3,0,0,0,0,0,0,8
POTOSI,atencion odontologica,trat. odontologico integral terminado,2023-04-01,3,3,23,12,1,5,4,32,11,0,0,0,0,0,94
PRESTO,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,1,0,3,2,2,1,1,0,0,0,0,0,0,10
PUCARA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,3,2,0,3,1,0,2,6,0,1,0,0,0,0,18
PUERTO ACOSTA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PUERTO VILLARROEL,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,0,0,0,0,0,1,2,0,0,0,0,0,0,4
PUNATA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,3,1,5,4,0,0,4,2,1,0,0,0,0,0,20
QUILLACOLLO,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,5,7,3,3,4,1,11,1,3,0,0,0,0,39
QUIME,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
QUIRUSILLAS,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,1,0,1,1,0,1,0,1,0,0,0,0,5
RIBERALTA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,12,12,1,8,2,4,5,9,2,1,0,0,0,0,56
SABAYA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SACABA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,5,8,16,20,4,5,13,19,0,1,0,0,0,0,91
SALINAS DE GARCI MENDOZA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4
SAMAIPATA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,2,3,2,1,0,0,0,0,0,0,0,0,0,8
SAN ANDRES,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
SAN ANDRES DE MACHACA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SAN BENITO,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,1,0,4,0,0,1,4,1,1,0,0,0,0,12
SAN BORJA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,2,2,4,1,6,0,0,0,0,0,0,15
SAN BUENA VENTURA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
SAN IGNACIO DE VELASCO,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SAN LORENZO(TJA),atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
SAN LUCAS,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,2,0,4,0,6,1,0,0,0,0,0,13
SAN PEDRO DE BUENA VISTA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,6,1,4,3,8,8,23,6,16,0,0,0,0,76
SAN PEDRO DE QUEMES,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,1,0,0,2,3,0,0,0,0,0,0,6
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,159,147,40,53,4,24,20,70,38,53,0,0,0,0,608
SANTIAGO DE CALLAPA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,0,2,2,0,0,0,0,0,0,0,0,0,0,5
SANTIAGO DE HUARI,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,0,0,2,2,0,1,0,0,0,0,5
SANTIVAÑES,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
SAPAHAQUI,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,3,1,0,0,1,0,0,0,0,0,0,0,5
SHINAOTA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
SIPE SIPE,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4
SOPACHUY,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,1,2,0,0,1,3,0,0,0,0,0,0,7
SORATA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,4,2,2,2,3,0,1,0,0,0,0,0,0,0,14
SUCRE,atencion odontologica,trat. odontologico integral terminado,2023-04-01,38,39,16,44,12,16,32,82,5,2,0,0,0,0,286
TACACOMA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TAPACARI,atencion odontologica,trat. odontologico integral terminado,2023-04-01,3,2,1,1,1,2,3,7,2,2,0,0,0,0,24
TARABUCO,atencion odontologica,trat. odontologico integral terminado,2023-04-01,2,4,2,2,0,0,1,3,0,0,0,0,0,0,14
TARIJA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,2,0,6,6,1,2,7,15,3,0,0,0,0,0,42
TARVITA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,3,2,1,0,1,1,11,0,0,0,0,0,0,19
TEOPONTE,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3
TIQUIPAYA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,2,1,5,2,0,0,1,2,0,0,0,0,0,0,13
TIRAQUE (CBBA),atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,2,0,1,0,1,1,0,0,0,0,0,0,5
TOCO,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
TOLATA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
TOMINA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,2,0,7,13,0,1,7,4,0,0,0,0,0,0,34
TRIGAL,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
TRINIDAD,atencion odontologica,trat. odontologico integral terminado,2023-04-01,4,2,2,3,0,0,0,1,0,0,0,0,0,0,12
TUPIZA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
URIONDO (A. CONCEPCION),atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,1,2,0,2,1,4,1,2,0,0,0,0,13
VACAS,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,1,0,2,3,0,0,0,0,0,0,6
VALLEGRANDE,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,2,1,0,0,0,0,1,0,1,0,0,0,0,5
VIACHA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,3,3,8,0,0,0,3,0,0,0,0,0,0,18
VILLA CHARCAS,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,2,0,0,0,1,0,1,0,0,0,0,0,0,5
VILLA MONTES,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,1,2,0,1,5,1,0,0,0,0,0,10
VILLA RIVERO,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
VILLA SERRANO,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,3,0,1,4,1,2,8,1,0,0,0,0,0,20
VILLA TUNARI,atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,2,1,1,0,1,1,3,0,0,0,0,0,0,10
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,trat. odontologico integral terminado,2023-04-01,1,4,2,2,1,1,1,3,1,0,0,0,0,0,16
VILLAZON,atencion odontologica,trat. odontologico integral terminado,2023-04-01,6,1,12,4,0,4,0,10,1,1,0,0,0,0,39
VINTO,atencion odontologica,trat. odontologico integral terminado,2023-04-01,2,1,2,1,2,0,2,0,0,0,0,0,0,0,10
WALDO BALLIVIAN,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
YACO,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
YACUIBA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,1,9,11,1,3,11,37,0,0,0,0,0,0,73
YAMPARAEZ,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,0,4,1,7,0,0,0,0,0,0,12
YANACACHI,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,1,0,0,1,1,1,0,0,0,0,0,4
YOCALLA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
YOTALA,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,0,1,4,2,0,0,0,0,0,0,7
YUNGUYO DE LITORAL,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3
ZUDAÑEZ,atencion odontologica,trat. odontologico integral terminado,2023-04-01,0,0,2,1,0,0,1,1,0,0,0,0,0,0,5
ACHACACHI,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3
ACHOCALLA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
AIQUILE,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,4,1,2,1,1,4,0,1,0,0,0,0,14
ALALAY,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ALCALA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,0,4,1,2,0,2,4,0,0,0,0,0,0,14
ALTO BENI,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ANDAMARCA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
ANTEQUERA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,0,0,2,0,2,0,0,0,0,0,0,0,0,5
ARANI,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,1,0,2,3,0,0,0,0,0,0,6
ARBIETO,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,4,2,2,0,1,0,1,0,0,0,0,0,0,11
ASCENCION DE GUARAYOS,atencion odontologica,trat. odontologico integral terminado,2023-05-01,3,0,0,0,0,1,0,1,0,0,0,0,0,0,5
ATOCHA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,1,1,0,1,0,1,2,0,0,0,0,0,6
AYATA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,2,5,0,0,0,1,0,0,0,0,0,0,8
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,0,0,2,1,1,0,4,0,1,0,0,0,0,10
AZURDUY,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,1,1,2,0,0,0,2,0,0,0,0,0,0,7
BATALLAS,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BELLA FLOR,atencion odontologica,trat. odontologico integral terminado,2023-05-01,13,12,9,10,0,0,0,0,0,0,0,0,0,0,44
BERMEJO,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,2,0,0,0,2,0,0,1,0,0,0,0,5
BETANZOS,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3
CAJUATA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
CALAMARCA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CAMARGO,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,2,0,2,1,1,4,10,0,1,0,0,0,0,22
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,1,2,0,1,0,0,0,0,0,0,4
CAMIRI,atencion odontologica,trat. odontologico integral terminado,2023-05-01,7,6,9,15,3,10,2,16,0,0,0,0,0,0,68
CAQUIAVIRI,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
CARANAVI,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,1,4,3,0,0,0,0,0,0,0,0,0,0,9
CARAPARI,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CHALLAPATA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,2,0,4,0,0,0,0,3,0,0,0,0,0,0,9
CHAQUI,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CHARAGUA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,2,2,11,9,2,4,9,25,4,3,0,0,0,0,71
CHIMORE,atencion odontologica,trat. odontologico integral terminado,2023-05-01,2,2,2,0,1,1,0,0,0,0,0,0,0,0,8
CHIPAYA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4
CLIZA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,3,2,1,2,1,5,0,0,0,0,0,0,14
COBIJA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,10,5,2,1,2,0,1,3,0,0,0,0,0,0,24
COCAPATA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,27,46,45,46,20,15,36,104,21,37,0,0,0,0,397
COLCAPIRHUA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,1,0,3,2,3,0,0,0,0,0,0,9
"COLCHA ""K""",atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
COLLANA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
COLOMI,atencion odontologica,trat. odontologico integral terminado,2023-05-01,3,5,0,0,0,1,0,0,0,0,0,0,0,0,9
COLPA BELGICA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,8,6,26,3,14,21,37,3,3,0,0,0,0,121
COLQUIRI,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COMANCHE,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3
COMARAPA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,1,0,1,0,0,0,2,0,0,0,0,0,0,4
COMBAYA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CORIPATA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,0,0,3,0,1,0,0,0,0,4
CORO CORO,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CORQUE,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CUATRO CAÑADAS,atencion odontologica,trat. odontologico integral terminado,2023-05-01,18,6,40,24,7,31,24,73,2,5,0,0,0,0,230
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
CULPINA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
CURAHUARA DE CARANGAS,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,1,0,2,0,1,2,0,0,0,0,0,0,6
EL ALTO,atencion odontologica,trat. odontologico integral terminado,2023-05-01,10,17,12,9,3,3,2,18,0,1,0,0,0,0,75
EL PUENTE(STC),atencion odontologica,trat. odontologico integral terminado,2023-05-01,17,11,2,2,0,0,1,0,0,0,0,0,0,0,33
EL PUENTE(TJA),atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,1,0,0,1,3,1,0,0,0,0,0,6
EL TORNO,atencion odontologica,trat. odontologico integral terminado,2023-05-01,20,13,11,10,0,1,5,8,2,1,0,0,0,0,71
EL VILLAR,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,1,3,2,1,0,2,4,0,0,0,0,0,0,13
ENTRE RIOS CBBA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
FILADELFIA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,0,1,1,1,0,0,1,1,0,0,0,0,0,6
GENERAL SAAVEDRA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,0,2,0,0,0,0,1,0,0,0,0,0,0,4
GUANAY,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,1,0,1,2,4,1,1,0,0,0,0,10
GUAYARAMERIN,atencion odontologica,trat. odontologico integral terminado,2023-05-01,5,4,0,0,0,0,0,3,1,0,0,0,0,0,13
GUTIERREZ,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,1,8,6,10,5,14,61,6,11,0,0,0,0,123
HUACARETA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3
HUACAYA (VILLA DE HUACAYA),atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
HUACHACALLA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
HUANUNI,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,1,3,1,1,2,1,2,0,0,0,0,0,0,12
HUARINA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
HUATAJATA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
ICLA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,3,2,2,1,7,0,3,1,0,0,0,0,0,19
INCAHUASI,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,1,1,1,0,1,0,0,0,0,0,0,0,0,4
INQUISIVI,atencion odontologica,trat. odontologico integral terminado,2023-05-01,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4
IRUPANA (VILLA DE LANZA),atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,1,1,1,1,0,0,0,0,0,0,0,0,0,4
IXIAMAS,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
JESUS DE MACHACA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,0,1,1,0,1,0,0,0,0,0,0,0,0,4
LA ASUNTA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
LA GUARDIA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3
LA PAZ,atencion odontologica,trat. odontologico integral terminado,2023-05-01,44,42,70,63,8,11,30,31,8,9,0,0,0,0,316
LAJA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3
LAS CARRERAS,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,1,1,1,3,1,1,0,0,0,0,8
LICOMA PAMPA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,5,6,0,0,0,0,0,0,0,0,0,0,11
MACHACAMARCA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
MACHARETI,atencion odontologica,trat. odontologico integral terminado,2023-05-01,8,5,1,1,0,0,0,3,0,0,0,0,0,0,18
MAIRANA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,0,1,4,2,3,2,2,0,0,0,0,0,0,15
MALLA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3
MAPIRI,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MECAPACA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MOCOMOCO,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
MOJOCOYA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,1,1,3,0,0,1,1,0,0,0,0,0,0,7
MONTEAGUDO,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,5,4,5,0,1,12,10,6,5,0,0,0,0,49
MOROCHATA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ORURO,atencion odontologica,trat. odontologico integral terminado,2023-05-01,15,15,40,64,53,78,137,221,21,21,0,0,0,0,665
PADILLA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,3,2,3,0,2,2,4,1,0,0,0,0,0,17
PALCA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
PALOS BLANCOS,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
PAPEL PAMPA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PATACAMAYA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,2,0,0,0,2,0,0,0,0,0,0,4
PAZÑA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PELECHUCO,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
POCONA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,1,0,1,0,4,0,0,0,0,0,0,6
POJO (CBBA),atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,1,0,0,1,5,1,0,0,0,0,0,8
POOPO,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
POROMA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,0,1,2,1,1,0,0,0,0,0,0,0,0,6
PORVENIR,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,0,2,2,0,1,2,0,0,0,0,0,0,7
POSTRER VALLE,atencion odontologica,trat. odontologico integral terminado,2023-05-01,3,3,0,1,0,0,0,0,0,0,0,0,0,0,7
POTOSI,atencion odontologica,trat. odontologico integral terminado,2023-05-01,6,8,4,0,0,3,3,51,0,1,0,0,0,0,76
PRESTO,atencion odontologica,trat. odontologico integral terminado,2023-05-01,0,0,1,4,0,1,1,6,0,0,0,0,0,0,13
PUCARA,atencion odontologica,trat. odontologico integral terminado,2023-05-01,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3
