,group,variable,month,13. NACIDOS MUERTOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,13. NACIDOS MUERTOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,TOTALES,TOTALES,TOTALES
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,1,0,1,0,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,2,0,2,0,2
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,14,0,14,0,14
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,6,0,6,0,6
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,2,0,2,0,2
ORURO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,8,0,8,0,8
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,6,0,6,0,6
PUCARANI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,2,0,2,0,2
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,0,1,0,1,1
SAN RAMON SCZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,13,0,13,0,13
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,2,0,2,0,2
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,5,0,5,0,5
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,1,0,1,0,1
VILLA NUEVA (LOMA ALTA),recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,0,1,0,1,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-09-01,3,0,3,0,3
CAJUATA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,2,0,2,0,2
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,5,0,5,0,5
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,11,0,11,0,11
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,1,0,1,0,1
ICHOCA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,0,1,0,1,1
INQUISIVI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,1,0,1,0,1
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,2,0,2,0,2
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,5,0,5,0,5
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,5,0,5,0,5
PRESTO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,0,1,0,1,1
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,3,0,3,0,3
SAN PEDRO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,1,0,1,0,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,20,0,20,0,20
SORATA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,3,0,3,0,3
TAPACARI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,2,0,2,0,2
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-10-01,1,0,1,0,1
AYO AYO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,0,1,0,1,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,2,0,2,0,2
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,1,0,1,0,1
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,20,0,20,0,20
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,3,0,3,0,3
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,9,0,9,0,9
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,2,0,2,0,2
MIZQUE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,3,0,3,0,3
PALCA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,0,1,0,1,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,9,0,9,0,9
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,1,0,1,0,1
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,9,0,9,0,9
SANTIAGO DE MACHACA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,1,0,1,0,1
SORATA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,4,0,4,0,4
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,1,0,1,0,1
TURCO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,2,0,2,0,2
WARNES,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-11-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,13,0,13,0,13
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,3,0,3,0,3
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,2,0,2,0,2
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,6,0,6,0,6
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,0,1,0,1,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,6,0,6,0,6
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,1,0,1,0,1
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,2,0,2,0,2
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,5,0,5,0,5
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,1,0,1,0,1
TARABUCO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,1,0,1,0,1
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,1,0,1,0,1
TUPIZA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-12-01,2,0,2,0,2
