,group,variable,month,17. RN CON APEGO PRECOZ SERV/DOM,17. RN CON APEGO PRECOZ SERV/DOM,TOTALES,TOTALES,TOTALES
PUNA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,11,1,11,1,12
PUNATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,42,1,42,1,43
QUIABAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,2,1,2,3
QUILLACOLLO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,209,0,209,0,209
QUIME,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,3,1,3,1,4
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,5,1,5,6
RAVELO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,2,2,2,2,4
REYES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,16,1,16,1,17
RIBERALTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,214,0,214,0,214
ROBORE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,17,0,17,0,17
RURRENABAQUE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,26,1,26,1,27
SABAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,3,1,3,1,4
SACABA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,231,0,231,0,231
SACABAMBA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,0,1,0,1
SACACA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,11,5,11,5,16
SAIPINA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,4,0,4,0,4
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,5,1,5,1,6
SAMAIPATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,2,0,2,0,2
SAN AGUSTIN,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,0,1,0,1
SAN ANDRES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,6,1,6,1,7
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,0,1,0,1,1
SAN ANTONIO DE ESMORUCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,0,2,0,2,2
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,3,1,3,1,4
SAN BENITO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,3,0,3,0,3
SAN BORJA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,62,20,62,20,82
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,19,3,19,3,22
SAN CARLOS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,23,0,23,0,23
SAN IGNACIO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,23,5,23,5,28
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,61,1,61,1,62
SAN JAVIER(STC),recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,18,0,18,0,18
SAN JOAQUIN,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,14,1,14,1,15
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,51,0,51,0,51
SAN JUAN DE YAPACANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,2,0,2,0,2
SAN JULIAN,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,53,0,53,0,53
SAN LORENZO(PND),recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,6,3,6,3,9
SAN LORENZO(TJA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,3,0,3,0,3
SAN LUCAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,24,14,24,14,38
SAN MATIAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,18,0,18,0,18
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,15,1,15,1,16
SAN PABLO DE LIPEZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,1,1,1,2
SAN PEDRO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,9,0,9,0,9
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,14,12,14,12,26
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,7,1,7,8
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,15,6,15,6,21
SAN PEDRO DE TIQUINA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,0,1,0,1
SAN RAFAEL,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,2,0,2,0,2
SAN RAMON BENI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,7,1,7,1,8
SANTA ANA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,27,2,27,2,29
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1221,2,1221,2,1223
SANTA ROSA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,15,1,15,1,16
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,7,0,7,0,7
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,1,1,1,2
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,3,1,3,4
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,0,1,0,1,1
SANTIVAÑES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,3,0,3,0,3
SANTUARIO DE QUILLACAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,0,1,0,1
SAPAHAQUI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,6,2,6,2,8
SENA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,7,0,7,0,7
SHINAOTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,40,2,40,2,42
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,5,5,5,5,10
SICAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,0,1,0,1
SIPE SIPE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,39,0,39,0,39
SOPACHUY,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,6,0,6,0,6
SORACACHI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,1,1,1,2
SORATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,11,8,11,8,19
SUCRE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,320,2,320,2,322
TACACOMA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,0,1,0,1
TACOPAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,2,4,2,4,6
TAHUA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,0,1,0,1
TAPACARI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,11,1,11,12
TARABUCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,5,1,5,6
TARACO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,1,1,1,2
TARATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,3,0,3,0,3
TARIJA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,237,0,237,0,237
TARVITA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,11,2,11,2,13
TEOPONTE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,11,2,11,2,13
TIAHUANACU,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,5,3,5,3,8
TINGUIPAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,3,7,3,7,10
TIPUANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,2,0,2,0,2
TIQUIPAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,58,7,58,7,65
TIRAQUE (CBBA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,13,0,13,0,13
TOCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,2,2,2,2,4
TOLEDO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,2,0,2,0,2
TOMAVE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,2,1,2,1,3
TOMINA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,3,1,3,1,4
TORO TORO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,6,3,6,3,9
TOTORA(CBBA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,21,1,21,1,22
TOTORA(ORR),recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,3,1,3,4
TRINIDAD,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,190,0,190,0,190
TUPIZA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,53,2,53,2,55
UMALA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,0,1,0,1,1
UNCIA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,16,1,16,1,17
URIONDO (A. CONCEPCION),recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,3,1,3,1,4
URUBICHA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,4,0,4,0,4
UYUNI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,9,7,9,7,16
VACAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,0,1,0,1
VALLEGRANDE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,4,0,4,0,4
VIACHA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,12,1,12,1,13
VILA VILA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,5,1,5,1,6
VILLA CHARCAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,11,4,11,4,15
VILLA MONTES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,7,1,7,1,8
VILLA NUEVA (LOMA ALTA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,1,1,1,2
VILLA RIVERO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,2,0,2,0,2
VILLA SERRANO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,5,0,5,0,5
VILLA TUNARI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,125,14,125,14,139
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,4,3,4,3,7
VILLAZON,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,24,1,24,1,25
VINTO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,44,0,44,0,44
VITICHI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,3,3,3,3,6
WALDO BALLIVIAN,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,0,1,0,1,1
WARNES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,66,0,66,0,66
YACO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,5,1,5,1,6
YACUIBA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,138,0,138,0,138
YAMPARAEZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,5,0,5,0,5
YANACACHI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,2,0,2,0,2
YAPACANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,88,1,88,1,89
YOCALLA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,3,1,3,4
YOTALA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,6,0,6,0,6
YUNCHARA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,1,1,1,1,2
ZUDAÑEZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-03-01,3,0,3,0,3
ACACIO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,0,1,0,1
ACHACACHI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,34,10,34,10,44
ACHOCALLA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,5,1,5,6
AIQUILE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,20,0,20,0,20
ALALAY,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,0,2,0,2,2
ALCALA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,0,1,0,1
ALTO BENI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,4,2,4,2,6
ANCORAIMES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,8,1,8,9
ANDAMARCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,0,1,0,1
ANTEQUERA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,0,1,0,1
ANZALDO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,2,1,2,1,3
APOLO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,15,6,15,6,21
ARAMPAMPA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,3,0,3,0,3
ARANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,3,0,3,0,3
ARBIETO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,10,1,10,1,11
ARQUE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,2,8,2,8,10
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,26,0,26,0,26
ATOCHA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,11,0,11,0,11
AUCAPATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,0,4,0,4,4
AYATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,2,3,2,3,5
AYO AYO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,10,10,10,10,20
AZURDUY,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,6,5,6,5,11
BATALLAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,6,7,6,7,13
BAURES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,4,0,4,0,4
BERMEJO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,33,0,33,0,33
BETANZOS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,16,3,16,3,19
BOLIVAR,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,2,7,2,7,9
BOYUIBE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,4,0,4,0,4
BUENA VISTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,0,1,0,1
CABEZAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,12,8,12,8,20
CAIROMA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,4,4,4,4,8
"CAIZA ""D""",recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,7,2,7,2,9
CAJUATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,5,1,5,1,6
CALACOTO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,3,1,3,4
CALAMARCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,5,4,5,4,9
CAMARGO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,12,2,12,2,14
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,1,1,1,2
CAMIRI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,5,0,5,0,5
CAPINOTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,15,0,15,0,15
CAQUIAVIRI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,3,1,3,4
CARACOLLO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,20,5,20,5,25
CARANAVI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,89,1,89,1,90
CARAPARI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,6,0,6,0,6
CARIPUYO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,3,4,3,4,7
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,2,2,2,2,4
CHACARILLA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,36,7,36,7,43
CHAQUI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,5,2,5,2,7
CHARAGUA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,20,12,20,12,32
CHARAÑA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,0,2,0,2,2
CHAYANTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,5,3,5,3,8
CHIMORE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,30,1,30,1,31
CHIPAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,0,1,0,1,1
CHUA COCANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,19,0,19,0,19
CHUMA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,4,1,4,5
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,4,0,4,0,4
CKOCHAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,0,12,0,12,12
CLIZA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,22,0,22,0,22
COBIJA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,60,0,60,0,60
COCAPATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,9,5,9,5,14
COCHABAMBA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,865,1,865,1,866
COIPASA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,0,1,0,1
COLCAPIRHUA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,33,1,33,1,34
"COLCHA ""K""",recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,3,1,3,4
COLLANA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,2,0,2,0,2
COLOMI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,13,0,13,0,13
COLPA BELGICA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,3,0,3,0,3
COLQUECHACA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,7,9,7,9,16
COLQUENCHA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,7,1,7,1,8
COLQUIRI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,4,5,4,5,9
COMARAPA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,21,0,21,0,21
CONCEPCION,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,21,3,21,3,24
CORIPATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,11,0,11,0,11
CORO CORO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,0,6,0,6,6
COROICO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,10,3,10,3,13
CORQUE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,0,1,0,1,1
COTAGAITA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,11,2,11,2,13
COTOCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,80,17,80,17,97
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,24,0,24,0,24
CUEVO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,0,1,0,1
CULPINA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,13,2,13,2,15
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,0,1,0,1
DESAGUADERO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,2,1,2,1,3
EL ALTO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,603,8,603,8,611
EL CHORO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,0,1,0,1,1
EL PUENTE(STC),recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,2,0,2,0,2
EL PUENTE(TJA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,3,2,3,2,5
EL TORNO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,49,0,49,0,49
EL VILLAR,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,3,0,3,0,3
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,3,0,3,0,3
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,49,1,49,1,50
ESCOMA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,3,1,3,4
EUCALIPTUS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,0,1,0,1
EUREKA (SANTOS MERCADO),recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,0,1,0,1,1
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,9,0,9,0,9
FILADELFIA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,2,1,2,1,3
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,0,1,0,1
GENERAL SAAVEDRA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,5,0,5,0,5
GIA-TIM,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,1,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,14,1,14,15
GUANAY,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,18,2,18,2,20
GUAQUI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,8,2,8,2,10
GUAYARAMERIN,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,34,0,34,0,34
GUTIERREZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,9,3,9,3,12
HUACARAJE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,3,0,3,0,3
HUACARETA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,7,0,7,0,7
HUACAYA (VILLA DE HUACAYA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,2,1,2,1,3
HUANUNI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,25,0,25,0,25
HUARINA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,3,4,3,4,7
HUATAJATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,0,1,0,1
HUAYLLAMARCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,0,1,0,1,1
HUMANATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,0,3,0,3,3
ICHOCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,0,1,0,1,1
ICLA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,3,1,3,1,4
INCAHUASI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,8,6,8,6,14
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,0,1,0,1
INQUISIVI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,4,10,4,10,14
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,4,4,4,4,8
IXIAMAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,3,0,3,0,3
JESUS DE MACHACA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,3,2,3,2,5
LA ASUNTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,48,4,48,4,52
LA GUARDIA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,67,1,67,1,68
LA PAZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,524,1,524,1,525
LA RIVERA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,0,1,0,1
LAGUNILLAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,2,2,2,2,4
LAJA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,7,8,7,8,15
LAS CARRERAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,2,0,2,0,2
LLALLAGUA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,61,5,61,5,66
LORETO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,0,2,0,2,2
LURIBAY,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,4,2,4,2,6
MACHARETI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,2,0,2,0,2
MAGDALENA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,8,3,8,3,11
MAIRANA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,18,0,18,0,18
MALLA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,0,1,0,1
MAPIRI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,23,2,23,2,25
MECAPACA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,0,3,0,3,3
MINEROS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,10,0,10,0,10
MIZQUE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,25,1,25,1,26
MOCOMOCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,2,6,2,6,8
MOJOCOYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,6,0,6,0,6
MONTEAGUDO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,12,0,12,0,12
MONTERO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,10,0,10,0,10
MORO MORO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,2,0,2,0,2
MOROCHATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,4,2,4,2,6
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,14,7,14,7,21
OKINAWA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,1,0,1,0,1
OMEREQUE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,6,0,6,0,6
ORURO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-04-01,439,2,439,2,441
