,group,variable,month,3. NACIDOS VIVOS CON PESO MENOR A 2500G SERV/DOM,3. NACIDOS VIVOS CON PESO MENOR A 2500G SERV/DOM,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,98,0,98,0,98
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
SORATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,1,0,1,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,27,1,27,1,28
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,2,0,2,2
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,1,1,1,2
TARATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,3,0,3,0,3
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,19,0,19,0,19
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,1,0,1,1
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
TORO TORO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,1,0,1,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,14,0,14,0,14
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,3,0,3,0,3
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,2,0,2,0,2
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,8,0,8,0,8
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,6,0,6,0,6
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,3,0,3,0,3
YAMPARAEZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,2,0,2,0,2
ARAMPAMPA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,2,0,2,2
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,1,0,1,1
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
CAJUATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,2,0,2,2
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,3,0,3,0,3
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,9,0,9,0,9
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,91,0,91,0,91
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,1,0,1,1
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,1,0,1,1
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,2,1,2,1,3
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,91,1,91,1,92
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,1,0,1,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,12,1,12,1,13
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,4,0,4,0,4
INQUISIVI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
IXIAMAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,117,0,117,0,117
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,5,1,5,1,6
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,1,0,1,1
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,49,0,49,0,49
OCURI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,72,0,72,0,72
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,1,0,1,1
PADILLA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
PORCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,37,0,37,0,37
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
PUERTO RICO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,1,0,1,1
PUERTO SILES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,2,0,2,0,2
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,2,1,2,1,3
RAVELO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,1,1,1,2
REYES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,9,0,9,0,9
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
SACACA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,3,0,3,0,3
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,9,0,9,0,9
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,1,0,1,1
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,75,2,75,2,77
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,1,0,1,1
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,28,0,28,0,28
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,2,0,2,2
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,62,0,62,0,62
TARVITA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,1,0,1,1
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,2,0,2,2
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,3,0,3,0,3
TOLEDO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,17,0,17,0,17
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,1,1,1,2
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,2,0,2,0,2
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,5,0,5,0,5
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,2,0,2,2
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,5,0,5,0,5
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,9,0,9,0,9
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,6,0,6,0,6
VINTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,3,0,3,0,3
WARNES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,7,0,7,0,7
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,2,0,2,0,2
ZUDAÑEZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-04-01,0,1,0,1,1
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,2,0,2,0,2
AIQUILE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,2,1,2,3
ATOCHA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,3,0,3,0,3
AYATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,0,1,0,1,1
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,2,1,2,3
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,0,1,0,1,1
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,1,1,1,2
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,0,2,0,2,2
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,7,0,7,0,7
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,71,0,71,0,71
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,0,1,0,1,1
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,0,1,0,1,1
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,71,3,71,3,74
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,2,0,2,0,2
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,4,0,4,0,4
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,2,2,2,2,4
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,117,0,117,0,117
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,3,0,3,0,3
LORETO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,0,2,0,2,2
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,12,0,12,0,12
MAPIRI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,2,0,2,0,2
OCURI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,56,0,56,0,56
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,3,0,3,0,3
POROMA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,28,1,28,1,29
PUCARA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
PUERTO SILES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,2,0,2,0,2
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,6,1,6,1,7
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,3,0,3,0,3
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,3,0,3,0,3
REYES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,16,0,16,0,16
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,23,0,23,0,23
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,4,0,4,0,4
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,8,0,8,0,8
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,2,0,2,0,2
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,0,1,0,1,1
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,113,1,113,1,114
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
SAPAHAQUI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,0,1,0,1,1
SENA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,0,2,0,2,2
SICAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,21,1,21,1,22
TACOBAMBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,0,3,0,3,3
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,17,0,17,0,17
TIAHUANACU,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,0,1,0,1,1
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,23,0,23,0,23
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,3,0,3,0,3
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,2,0,2,0,2
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,2,0,2,0,2
VILLA SERRANO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,4,0,4,0,4
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,7,0,7,0,7
VINTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,4,0,4,0,4
VITICHI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,2,0,2,0,2
WARNES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,8,0,8,0,8
YAMPARAEZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,0,1,0,1,1
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-05-01,1,0,1,0,1
AIQUILE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,1,1,1,2
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,2,0,2,0,2
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,0,1,0,1,1
AZURDUY,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,0,1,0,1,1
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
BOLPEBRA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
CAJUATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,3,1,3,1,4
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,1,1,1,2
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,2,0,2,0,2
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,8,0,8,0,8
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,71,1,71,1,72
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,1,1,1,2
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,1,1,1,2
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,70,0,70,0,70
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,3,0,3,0,3
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,2,0,2,0,2
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,2,0,2,0,2
HUARINA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,0,4,0,4,4
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,4,0,4,0,4
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,137,0,137,0,137
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,3,0,3,0,3
LORETO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,2,0,2,0,2
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,0,1,0,1,1
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,30,0,30,0,30
PADILLA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
POOPO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,32,0,32,0,32
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,11,1,11,1,12
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,2,0,2,0,2
QUIABAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,5,0,5,0,5
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,2,0,2,0,2
REYES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
