,group,variable,month,6. NACIDOS VIVOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,6. NACIDOS VIVOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,TOTALES,TOTALES,TOTALES
ARAMPAMPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,2,1,2,3
ARANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,0,3,0,3
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,4,1,4,5
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,1,0,1,1
ATOCHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,0,2,0,2
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,1,2,1,3
AYATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,4,4,4,4,8
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,10,2,10,12
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,16,3,16,3,19
AZURDUY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,6,2,6,2,8
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,7,0,7,7
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,46,0,46,0,46
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,20,7,20,7,27
BOLIVAR,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,4,2,4,6
BOYUIBE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,0,2,0,2
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,16,0,16,0,16
CAIROMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,3,3,3,6
"CAIZA ""D""",recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,7,0,7,0,7
CAJUATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,14,1,14,1,15
CALAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,6,4,6,4,10
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,12,1,12,1,13
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,2,1,2,3
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,42,0,42,0,42
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,2,0,2,2
CAQUIAVIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,4,0,4,4
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,12,1,12,1,13
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,6,4,6,4,10
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,0,3,0,3
CARIPUYO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,4,3,4,7
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,9,0,9,0,9
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,34,6,34,6,40
CHAQUI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,42,8,42,8,50
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,5,2,5,2,7
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,20,2,20,2,22
CHOQUE COTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,21,1,21,1,22
CHUMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,7,1,7,8
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,0,3,0,3
CKOCHAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,5,7,5,7,12
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,29,0,29,0,29
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,28,0,28,0,28
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,11,10,11,10,21
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1091,0,1091,0,1091
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,4,7,4,7,11
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,0,2,0,2
COLPA BELGICA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,8,8,8,8,16
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,2,3,2,5
COLQUIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,12,2,12,14
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,21,0,21,0,21
COMBAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,3,0,3,3
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,18,4,18,4,22
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,7,0,7,0,7
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,2,0,2,2
COROICO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,21,3,21,3,24
CORQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,2,1,2,3
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,11,1,11,1,12
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,77,1,77,1,78
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,15,0,15,0,15
CUCHUMUELA (V. G. VILLARROEL),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,0,2,0,2
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,3,0,3,3
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,1,0,1,1
CURVA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,5,0,5,5
DESAGUADERO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,645,11,645,11,656
EL CHORO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,1,0,1,1
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,6,0,6,0,6
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,0,2,0,2
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,79,0,79,0,79
EL VILLAR,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,0,2,0,2
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,9,1,9,1,10
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,6,0,6,0,6
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,1,2,1,3
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,1,2,1,3
EUREKA (SANTOS MERCADO),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,1,0,1,1
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,9,0,9,0,9
FILADELFIA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,1,1,1,2
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,0,2,0,2
GENERAL SAAVEDRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,8,0,8,0,8
GIA-TIM,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,9,2,9,11
GUANAY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,8,0,8,0,8
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,2,3,2,5
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,75,0,75,0,75
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,16,0,16,0,16
HUACARAJE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,0,2,0,2
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,8,0,8,0,8
HUACAYA (VILLA DE HUACAYA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
HUACHACALLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,22,2,22,2,24
HUARINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,3,2,3,5
HUATAJATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
HUAYLLAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,2,0,2,2
HUMANATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,2,0,2,2
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,3,0,3,3
ICLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,7,1,7,1,8
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,8,7,8,7,15
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
INQUISIVI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,6,3,6,9
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,5,1,5,1,6
IXIAMAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,9,0,9,0,9
JESUS DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,2,3,2,5
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,45,5,45,5,50
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,88,0,88,0,88
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,871,0,871,0,871
LA RIVERA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
LAGUNILLAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
LAJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,5,2,5,2,7
LICOMA PAMPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,54,5,54,5,59
LLICA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
LORETO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,1,0,1,1
LURIBAY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,1,2,1,3
MACHACAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,0,3,0,3
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,10,1,10,1,11
MALLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,1,0,1,1
MAPIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,0,3,0,3
MECAPACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,1,0,1,1
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,14,0,14,0,14
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,18,1,18,1,19
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,12,1,12,13
MOJINETE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
MOJOCOYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,6,1,6,1,7
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,36,0,36,0,36
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,118,1,118,1,119
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,4,0,4,4
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
NAZACARA DE PACAJES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,12,5,12,5,17
OKINAWA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,8,0,8,0,8
OMEREQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,0,3,0,3
ORURO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,527,7,527,7,534
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,0,3,0,3
PADILLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,15,0,15,0,15
PAILON,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,37,0,37,0,37
PALCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,6,3,6,9
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,27,14,27,14,41
PAMPA AULLAGAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,1,0,1,1
PAMPA GRANDE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,9,0,9,0,9
PAPEL PAMPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,4,2,4,6
PASORAPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,1,1,1,2
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,18,6,18,6,24
PAZÑA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,4,1,4,1,5
PELECHUCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,7,1,7,8
POCOATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,16,12,16,12,28
POCONA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,8,0,8,0,8
POJO (CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,11,1,11,1,12
POOPO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,4,0,4,0,4
PORCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,7,0,7,0,7
POROMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,5,1,5,6
PORONGO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,5,0,5,0,5
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,19,1,19,1,20
PORVENIR,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,463,0,463,0,463
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,2,1,2,3
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,7,20,7,20,27
PUERTO ACOSTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,5,3,5,8
PUERTO CARABUCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,5,1,5,1,6
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,4,1,4,1,5
PUERTO PEREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,11,0,11,0,11
PUERTO RICO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,6,1,6,1,7
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,28,1,28,1,29
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,123,1,123,1,124
PUNA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,10,1,10,1,11
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,15,1,15,1,16
QUIABAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,1,1,1,2
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,24,0,24,0,24
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,5,1,5,6
RAVELO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,2,2,2,4
REYES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,12,1,12,1,13
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,212,0,212,0,212
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,17,0,17,0,17
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,1,0,1,1
SABAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,1,3,1,4
SACABA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,96,0,96,0,96
SACABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
SACACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,11,5,11,5,16
SAIPINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,4,0,4,0,4
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,5,1,5,1,6
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,0,2,0,2
SAN AGUSTIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,5,1,5,1,6
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,1,0,1,1
SAN ANTONIO DE ESMORUCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,2,0,2,2
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,4,1,4,1,5
SAN BENITO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,0,3,0,3
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,62,12,62,12,74
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,19,0,19,0,19
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,23,5,23,5,28
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,128,1,128,1,129
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,23,0,23,0,23
SAN JOAQUIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,14,0,14,0,14
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,49,0,49,0,49
SAN JUAN DE YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,0,2,0,2
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,53,0,53,0,53
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,6,2,6,2,8
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,24,14,24,14,38
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,19,0,19,0,19
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,15,1,15,1,16
SAN PABLO DE LIPEZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,1,1,1,2
SAN PEDRO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,9,0,9,0,9
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,14,11,14,11,25
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,7,1,7,8
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,15,6,15,6,21
SAN PEDRO DE TIQUINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,0,2,0,2
SAN RAMON BENI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,7,0,7,0,7
SANTA ANA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,27,0,27,0,27
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1782,1,1782,1,1783
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,15,1,15,1,16
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,7,0,7,0,7
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,1,1,1,2
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,3,1,3,4
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,1,0,1,1
SANTIVAÑES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,0,3,0,3
SANTUARIO DE QUILLACAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
SAPAHAQUI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,5,2,5,2,7
SENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,7,0,7,0,7
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,4,0,4,0,4
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,5,2,5,7
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,39,0,39,0,39
SOPACHUY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,6,0,6,0,6
SORACACHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,1,1,1,2
SORATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,11,8,11,8,19
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,406,2,406,2,408
