,group,variable,month,10. NACIDOS MUERTOS CON PESO MENOR A 2500G SERV/DOM,10. NACIDOS MUERTOS CON PESO MENOR A 2500G SERV/DOM,TOTALES,TOTALES,TOTALES
ACHACACHI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,2,0,2,0,2
BERMEJO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,2,0,2,0,2
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,3,0,3,0,3
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,14,0,14,0,14
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,10,0,10,0,10
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,1,0,1,0,1
EL TORNO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,1,0,1,0,1
ICHOCA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,0,1,0,1,1
INQUISIVI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,6,0,6,0,6
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,2,0,2,0,2
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,2,0,2,0,2
ORURO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,2,0,2,0,2
PRESTO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,0,1,0,1,1
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,2,0,2,0,2
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,4,0,4,0,4
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,3,0,3,0,3
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,1,0,1,0,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,10,0,10,0,10
SORATA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,2,0,2,0,2
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,2,1,2,1,3
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,0,1,0,1,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,1,0,1,0,1
VILLAZON,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,1,0,1,0,1
YAPACANI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-10-01,1,0,1,0,1
AYO AYO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,0,1,0,1,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,1,0,1,0,1
CHARAGUA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,5,0,5,0,5
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,1,0,1,0,1
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,6,0,6,0,6
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,2,0,2,0,2
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,15,1,15,1,16
MIZQUE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,4,0,4,0,4
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,1,0,1,0,1
PUNATA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,2,0,2,0,2
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,2,0,2,0,2
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-11-01,2,0,2,0,2
ACHACACHI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,3,0,3,0,3
ARBIETO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,2,0,2,0,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,4,0,4,0,4
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,14,0,14,0,14
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,3,0,3,0,3
LAS CARRERAS,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,1,0,1,0,1
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,5,0,5,0,5
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,4,0,4,0,4
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,1,0,1,0,1
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,3,1,3,1,4
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,1,0,1,0,1
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,1,0,1,0,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-12-01,2,0,2,0,2
