,group,variable,month,5. NACIDOS VIVOS PREMATUROS 28 A < 37 SEMANAS SERV/DOM,5. NACIDOS VIVOS PREMATUROS 28 A < 37 SEMANAS SERV/DOM,TOTALES,TOTALES,TOTALES
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,44,0,44,0,44
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,3,0,3,0,3
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,24,0,24,0,24
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,0,1,0,1,1
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,4,0,4,0,4
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,1,1,1,1,2
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,3,0,3,0,3
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,5,1,5,1,6
VINTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,3,0,3,0,3
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,2,0,2,0,2
ZUDAÑEZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,0,1,0,1,1
CAQUIAVIRI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,0,1,0,1,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,0,1,0,1,1
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,9,0,9,0,9
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,0,2,0,2,2
COROICO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
CUEVO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,63,2,63,2,65
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,3,0,3,0,3
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,3,0,3,0,3
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,63,0,63,0,63
LURIBAY,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,61,0,61,0,61
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,5,0,5,0,5
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,32,0,32,0,32
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,22,0,22,0,22
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,5,0,5,0,5
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,3,0,3,0,3
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,20,0,20,0,20
SENA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,21,0,21,0,21
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,17,0,17,0,17
TARVITA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,2,0,2,0,2
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,3,0,3,0,3
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-08-01,2,0,2,0,2
CAIROMA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,0,1,0,1,1
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,2,0,2,0,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,3,0,3,0,3
COMANCHE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,0,2,0,2,2
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,36,1,36,1,37
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,7,0,7,0,7
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,34,0,34,0,34
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,9,0,9,0,9
LLICA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,72,0,72,0,72
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,0,2,0,2,2
PORCO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
POROMA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,52,0,52,0,52
REYES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,45,0,45,0,45
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,8,0,8,0,8
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,55,0,55,0,55
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,43,0,43,0,43
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,22,0,22,0,22
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,1,2,1,2,3
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,4,0,4,0,4
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-09-01,6,0,6,0,6
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,0,1,0,1,1
BELLA FLOR,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,0,1,0,1,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,10,0,10,0,10
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
CORQUE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,0,1,0,1,1
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,4,0,4,0,4
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,40,0,40,0,40
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,2,0,2,0,2
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,62,0,62,0,62
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,3,0,3,0,3
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,27,0,27,0,27
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,59,0,59,0,59
PALCA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,0,1,0,1,1
PAMPA GRANDE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,45,0,45,0,45
REYES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,40,0,40,0,40
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,4,0,4,0,4
SABAYA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,0,1,0,1,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,2,0,2,0,2
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,88,0,88,0,88
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,27,0,27,0,27
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,17,0,17,0,17
UMALA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,0,1,0,1,1
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,5,0,5,0,5
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,3,0,3,0,3
WARNES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-10-01,2,0,2,0,2
ARAMPAMPA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,0,1,0,1,1
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,2,0,2,0,2
CHARAÑA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,2,0,2,0,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,10,0,10,0,10
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,2,0,2,0,2
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,2,0,2,0,2
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,3,0,3,0,3
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,45,0,45,0,45
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,0,1,0,1,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,2,0,2,0,2
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,0,1,0,1,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,89,0,89,0,89
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,2,0,2,0,2
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,64,0,64,0,64
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,5,0,5,0,5
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,45,0,45,0,45
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,26,0,26,0,26
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,2,0,2,0,2
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,0,2,0,2,2
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,69,0,69,0,69
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,0,1,0,1,1
SENA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,0,1,0,1,1
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,0,1,0,1,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,48,0,48,0,48
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,20,0,20,0,20
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,3,0,3,0,3
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,0,1,0,1,1
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,3,0,3,0,3
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,2,0,2,0,2
WARNES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-11-01,2,0,2,0,2
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,0,1,0,1,1
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,1,1,1,1,2
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,7,0,7,0,7
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,0,1,0,1,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,2,0,2,0,2
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,1,0,1,0,1
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,1,0,1,0,1
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,4,0,4,0,4
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,95,1,95,1,96
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,9,0,9,0,9
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,2,0,2,0,2
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,50,0,50,0,50
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,5,0,5,0,5
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,2,0,2,0,2
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,88,0,88,0,88
PORCO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,1,0,1,0,1
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,49,0,49,0,49
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,0,2,0,2,2
RAVELO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,1,0,1,0,1
REYES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,25,0,25,0,25
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,70,0,70,0,70
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,0,1,0,1,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,47,0,47,0,47
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,17,0,17,0,17
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,1,0,1,0,1
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,0,1,0,1,1
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,1,0,1,0,1
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,2,0,2,0,2
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,7,0,7,0,7
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,6,0,6,0,6
WARNES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-12-01,1,0,1,0,1
