,group,variable,month,16. RN CON MALFORMACIÓN CONGÉNITA SERV/DOM,16. RN CON MALFORMACIÓN CONGÉNITA SERV/DOM,TOTALES,TOTALES,TOTALES
GUAYARAMERIN,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
LA ASUNTA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,5,0,5,0,5
MIZQUE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
POOPO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,2,0,2,0,2
POROMA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,0,1,0,1,1
RIBERALTA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
SAN LUCAS,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
SAN PABLO DE LIPEZ,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
SORATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,0,1,0,1,1
SUCRE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,3,0,3,0,3
TACACOMA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
TAPACARI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
TARVITA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
VINTO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
BERMEJO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,1,0,1,0,1
CORO CORO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,1,0,1,0,1
COTOCA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,2,0,2,0,2
EL ALTO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,2,0,2,0,2
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,3,0,3,0,3
GUAYARAMERIN,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,1,0,1,0,1
HUMANATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,9,0,9,0,9
LLALLAGUA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,1,0,1,0,1
MAIRANA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,1,0,1,0,1
POCOATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,0,1,0,1,1
PORTACHUELO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,3,0,3,0,3
QUILLACOLLO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,6,0,6,0,6
TACOBAMBA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,1,0,1,0,1
TIQUIPAYA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,1,0,1,0,1
VALLEGRANDE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,1,0,1,0,1
VILLA RIVERO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,2,0,2,0,2
VINTO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-12-01,1,0,1,0,1
