,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,2,0,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,1,0,1
PUERTO ACOSTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,7,2,9
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,2,0,2
