,group,variable,month,CARDIOVASCULARES CANTIDAD,CARDIOVASCULARES CANTIDAD,TOTALES
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,140,193,333
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,3,3
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,3,9,12
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,6,6,12
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,2,3
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,3,1,4
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,4,1,5
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,7,5,12
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,131,212,343
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,1,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,2,3
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,2,2
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,2,2
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,2,2
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,1,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,10,5,15
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,2,2
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,5,6
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,1,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,467,730,1197
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,2,0,2
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,1,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,2,3,5
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,3,4,7
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,29,39,68
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,64,54,118
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,5,7,12
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,0,1
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,19,19,38
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,2,4,6
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,9,19,28
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,1,2
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,2,0,2
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,3,2,5
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,6,6,12
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,1,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,7,7
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,9,10
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,5,6,11
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,9,5,14
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,10,10,20
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,2,1,3
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,2,3,5
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,7,1,8
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,3,0,3
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,4,5
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,5,10,15
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,2,2,4
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,3,0,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,3,3,6
SAN PEDRO DE CURAHUARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,1,2
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,218,252,470
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,5,3,8
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,1,2
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,108,158,266
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,1,2
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,2,9,11
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,56,47,103
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,3,4,7
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,13,4,17
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,1,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,32,48,80
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,50,48,98
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,2,2
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,3,1,4
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,2,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,8,7,15
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,21,16,37
VILLA CHARCAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,2,5,7
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,1,2
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,1,2
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,2,3,5
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,5,2,7
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,3,3,6
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,3,2,5
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,12,13,25
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,28,27,55
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,2,1,3
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,19,4,23
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,2,4,6
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,7,6,13
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,2,0,2
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,3,4
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,3,3
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,3,4
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,5,1,6
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,4,4,8
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,21,30,51
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,5,6
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,3,6,9
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,1,1
CHARAÑA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,4,0,4
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,5,6,11
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,5,6,11
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,98,145,243
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,6,10,16
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,1,2
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,4,0,4
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,7,1,8
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,126,183,309
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,3,3,6
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,3,4
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,0,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,3,18,21
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,8,2,10
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,19,3,22
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,1,2
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,3,4
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,2,2,4
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,2,0,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,419,517,936
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,1,2
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,1,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,2,7,9
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,3,0,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,18,20,38
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,12,40,52
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,0,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,2,1,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,35,41,76
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,3,2,5
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,1,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,2,1,3
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,11,8,19
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,4,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,19,32,51
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,3,0,3
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,1,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,1,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,3,4,7
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,2,1,3
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,7,8,15
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,6,1,7
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,2,2
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,6,7
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,8,2,10
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,3,4,7
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,8,9,17
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,3,3
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,2,4,6
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,5,5
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,5,7,12
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,1,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,7,4,11
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,0,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,1,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,2,3
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,3,2,5
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,2,1,3
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,5,4,9
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,253,335,588
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,0,1
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,4,5
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,55,179,234
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,2,1,3
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,43,28,71
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,3,0,3
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,2,3
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,9,3,12
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,15,17,32
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,42,58,100
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,6,6
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,2,4,6
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,20,17,37
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,1,0,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,12,15,27
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,2,2,4
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,4,5,9
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,5,6,11
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,3,2,5
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,6,1,7
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,20,24,44
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,2,2,4
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,3,1,4
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,19,3,22
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-04-01,0,2,2
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,1,0,1
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,6,8,14
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,0,1,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,0,1,1
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,0,2,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,1,3,4
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,6,5,11
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,7,5,12
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,32,53,85
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,4,2,6
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,5,4,9
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,2,1,3
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,1,2,3
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,4,1,5
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,2,8,10
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,167,205,372
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,4,2,6
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,1,2,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,3,2,5
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,15,8,23
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,155,205,360
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,4,1,5
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,22,13,35
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,0,1,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,2,1,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,10,8,18
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,8,7,15
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,3,2,5
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,2,1,3
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,3,3,6
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,584,780,1364
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,1,2,3
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,1,1,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,3,3,6
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-05-01,6,11,17
