,group,variable,month,CÁNCER OTROS CANTIDAD,CÁNCER OTROS CANTIDAD,TOTALES
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,0,1,1
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,7,10,17
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,4,1,5
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,147,108,255
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,0,1,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,13,13,26
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,3,1,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,5,4,9
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,0,1,1
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,5,6
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,1,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,4,5
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,2,0,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,2,3
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,0,2,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,2,0,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,169,226,395
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,64,74,138
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,0,2,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,8,15,23
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,4,5
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,2,2,4
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,2,2,4
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,6,1,7
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,0,1,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,0,2,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,0,1,1
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,1,29,30
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,3,1,4
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,1,3,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,219,464,683
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,2,1,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,7,10,17
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,2,1,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,147,130,277
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,1,0,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,7,8,15
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,6,3,9
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,14,15,29
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,1,1,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,0,7,7
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,2,0,2
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,0,2,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,0,9,9
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,133,240,373
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,41,58,99
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,9,13,22
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,0,3,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,2,2,4
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,2,0,2
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-09-01,1,7,8
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,1,0,1
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,0,3,3
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,236,346,582
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,0,1,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,0,1,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,0,1,1
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,8,13,21
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,13,1,14
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,137,138,275
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,22,20,42
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,2,0,2
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,2,4,6
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,6,3,9
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,3,8,11
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,1,2,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,1,1,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,0,2,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,0,13,13
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,0,3,3
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,0,1,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,113,167,280
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,51,59,110
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,9,13,22
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,0,2,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,1,1,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,2,3,5
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-10-01,16,12,28
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,1,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,9,6,15
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,3,4,7
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,2,2
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,2,0,2
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,4,1,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,80,107,187
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,1,1,2
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,1,1
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,10,11,21
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,109,129,238
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,1,0,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,15,4,19
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,7,3,10
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,6,2,8
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,3,18,21
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,2,0,2
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,10,10
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,2,9,11
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,6,6
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,128,203,331
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,32,28,60
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,6,11,17
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,1,2,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,2,3,5
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,2,1,3
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,1,2,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-11-01,6,2,8
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,0,1,1
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,3,4,7
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,0,3,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,162,303,465
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,6,19,25
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,0,1,1
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,50,69,119
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,10,11,21
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,0,2,2
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,14,6,20
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,4,2,6
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,3,2,5
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,3,0,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,0,4,4
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,1,0,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,91,189,280
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,23,71,94
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,4,12,16
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,1,3,4
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,1,2,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,0,1,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,2,0,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,1,4,5
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-12-01,0,1,1
