,group,variable,month,CÁNCER CERVICOUTERINO CANTIDAD,CÁNCER CERVICOUTERINO CANTIDAD,TOTALES
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,106,106
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,8,8
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,4,4
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,4,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,110,110
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,3,3
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,4,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,4,4
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,69,69
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,28,28
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,9,9
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,3,3
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,2,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,1,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,1,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,1,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,3,3
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,2,2
CHARAÑA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,78,78
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,5,5
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,1,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,76,76
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,3,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,3,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,2,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,5,5
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,3,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,45,45
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,19,19
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,3,3
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,6,6
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,2,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,1,1
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-10-01,0,1,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,2,2
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,34,34
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,7,7
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,7,7
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,4,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,71,71
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,3,3
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,3,3
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,2,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,2,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,3,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,2,2
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,44,44
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,6,6
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,3,3
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,4,4
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-11-01,0,1,1
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,3,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,2,2
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,2,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,62,62
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,20,20
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,1,1
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,18,18
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,3,3
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,1,1
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,1,1
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,4,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,3,3
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,23,23
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,15,15
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,5,5
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,5,5
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,2,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-12-01,0,2,2
