,group,variable,month,HABITO DE FUMAR CANTIDAD,HABITO DE FUMAR CANTIDAD,TOTALES
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,77,57,134
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,39,11,50
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,51,20,71
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,1,1,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,2,0,2
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,3,1,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,2,1,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,1,1,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,4,3,7
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,94,15,109
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,35,8,43
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,1,0,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,7,1,8
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,3,1,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,11,3,14
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,0,1,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,1,0,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,5,1,6
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,1,1,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,7,0,7
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,1,0,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,2,0,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,2,0,2
SAN PEDRO(PND),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,7,3,10
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,86,56,142
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,11,2,13
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,15,6,21
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,26,14,40
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,1,2,3
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,5,0,5
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,6,3,9
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-10-01,7,3,10
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,3,1,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,4,3,7
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,52,12,64
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,84,36,120
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,18,43,61
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,2,0,2
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,1,0,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,1,2,3
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,3,0,3
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,5,0,5
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,5,1,6
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,56,29,85
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,4,2,6
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,26,24,50
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,20,5,25
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,2,2,4
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,2,0,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,5,0,5
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,2,1,3
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-11-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,4,3,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,13,7,20
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,98,44,142
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,8,3,11
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,1,1,2
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,0,3,3
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,5,0,5
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,5,2,7
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,8,0,8
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,3,0,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,3,1,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,10,0,10
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,1,1,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,1,2,3
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,1,0,1
SAN PEDRO(PND),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,3,1,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,37,24,61
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,5,0,5
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,23,23,46
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,13,4,17
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,2,0,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,0,2,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,1,2,3
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-12-01,1,0,1
