,group,variable,month,EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,TOTALES
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,3,0,3
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,2,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,3,4
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,3,4
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,3,12,15
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,2,2
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,80,181,261
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,47,164,211
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,22,69,91
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,1,1
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,5,9,14
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,3,1,4
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,1,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,3,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,8,9
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,2,1,3
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,5,6
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,3,4
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,2,5,7
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,10,19,29
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,2,2
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,8,9
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,7,8
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,66,118,184
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,2,2,4
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,2,2
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,7,7
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,11,0,11
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,1,1
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,30,62,92
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,4,5
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,2,3
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,3,3,6
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,133,230,363
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,6,4,10
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,6,6
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,6,13,19
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,2,4,6
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,2,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,8,10,18
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,2,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,2,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,4,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,2,2
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,3,4
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,3,3
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,2,1,3
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,4,7,11
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,2,1,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,111,256,367
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,1,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,74,134,208
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,2,6,8
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,22,87,109
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,1,1
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,2,0,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,2,2,4
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,1,1
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,2,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,4,6,10
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,4,5
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,4,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,10,16,26
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,8,9
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,2,3
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,2,0,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,1,6,7
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,1,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-05-01,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,2,1,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,3,10,13
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,3,4,7
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,2,3
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,2,4,6
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,94,141,235
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,3,2,5
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,24,76,100
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,2,1,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,2,3
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,114,269,383
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,1,2
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,2,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,3,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,7,8,15
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,9,14,23
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,2,3
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,0,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,18,9,27
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,3,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,0,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,2,1,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,5,8,13
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,2,3
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,67,116,183
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,0,1
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,87,150,237
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,6,7
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,27,92,119
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,0,1
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,2,0,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,3,1,4
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,1,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,2,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,2,3
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,2,4,6
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,4,3,7
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,1,2,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,2,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,2,1,3
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-06-01,0,1,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,3,4,7
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,6,9,15
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,2,2
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,2,3
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,4,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,104,162,266
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,2,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,32,101,133
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,2,3
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,3,4
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,2,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,2,2
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,14,14
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,109,249,358
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,6,12,18
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,9,10
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,7,24,31
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,2,2,4
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,2,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,7,18,25
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,2,1,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,4,5
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,7,7
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,1,2
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,5,6
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
SAN AGUSTIN,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,1,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,2,9,11
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,1,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,1,2
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,95,222,317
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,3,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,74,155,229
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,6,3,9
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,60,98,158
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,2,4,6
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,2,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,4,5
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,7,5,12
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,2,2
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,1,3,4
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,3,3
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-07-01,0,2,2
