,group,variable,month,PERSONAS CON DISCAPACIDAD CANTIDAD,PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,3,1,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,1,7,8
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,1,1,2
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,1,0,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,3,1,4
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,1,2,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,51,63,114
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,9,3,12
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,3,1,4
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,2,7,9
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,5,1,6
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,3,0,3
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,0,10,10
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,0,1,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,3,2,5
SANTIVAÑES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,1,0,1
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,3,1,4
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,42,70,112
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,124,64,188
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,10,9,19
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,2,3,5
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,7,5,12
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,7,11,18
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,1,0,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,1,1,2
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,1,0,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,0,1,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,0,1,1
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,2,0,2
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,2,2,4
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,2,9,11
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,5,6,11
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,71,47,118
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,8,5,13
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,0,1,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,9,8,17
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,2,3
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,2,0,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,1,2
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,3,0,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,15,13,28
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,1,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,6,6,12
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,3,4
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,1,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,2,3,5
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,0,1
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,72,68,140
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,0,40,40
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,0,2,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,64,36,100
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,0,1
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,16,15,31
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,1,2
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,5,17,22
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,0,2,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,1,0,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-07-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,1,2
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,0,1,1
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,0,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,0,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,6,8,14
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,1,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,2,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,69,36,105
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,4,1,5
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,4,13,17
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,1,2
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,0,1,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,0,2,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,8,8,16
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,8,9,17
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,3,0,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,0,2,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,2,3
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,2,2,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,3,5,8
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,0,2,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,5,7,12
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,2,0,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,98,71,169
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,90,146,236
TINGUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,2,3
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,0,2,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,8,6,14
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,2,3,5
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,1,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,2,1,3
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,2,2,4
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,0,3,3
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-08-01,1,0,1
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,0,1
ANZALDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,3,3,6
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,2,0,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,2,7,9
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,1,2
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,4,7,11
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,39,44,83
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,6,7
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,2,1,3
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,2,3
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,0,2,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,81,43,124
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,9,8,17
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,1,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,0,1
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,2,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,4,7,11
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,6,6,12
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,0,3,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,88,57,145
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,106,78,184
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,0,1,1
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,12,15,27
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,2,5,7
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,0,2,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,2,0,2
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,0,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,0,181,181
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,1,1,2
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-09-01,0,1,1
ANZALDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,4,1,5
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,0,3,3
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,2,2,4
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,0,1,1
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,5,8,13
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,2,1,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,61,60,121
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,0,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,2,0,2
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,0,1,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,4,4,8
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,0,1
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,1,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,0,1,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,4,1,5
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,51,24,75
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,0,10,10
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,2,6,8
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,0,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,3,3,6
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,12,0,12
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,3,6,9
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,3,4
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,1,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,4,1,5
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,2,3
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,1,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,2,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,92,82,174
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,19,8,27
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,3,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,12,15,27
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,0,1
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,2,3,5
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,3,0,3
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,1,1,2
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-10-01,0,2,2
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,2,0,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,2,2,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,4,6,10
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,68,50,118
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,1,3,4
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,2,0,2
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,6,14,20
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,1,1,2
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,60,63,123
