,group,variable,month,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2013-03-01,20,286,306
PUNATA,vih,n de personas con prueba rapida,2013-03-01,13,143,156
QUIME,vih,n de personas con prueba rapida,2013-03-01,15,42,57
REYES,vih,n de personas con prueba rapida,2013-03-01,0,8,8
ROBORE,vih,n de personas con prueba rapida,2013-03-01,42,63,105
RURRENABAQUE,vih,n de personas con prueba rapida,2013-03-01,4,34,38
SACABA,vih,n de personas con prueba rapida,2013-03-01,10,84,94
SAMAIPATA,vih,n de personas con prueba rapida,2013-03-01,1,2,3
SAN ANTONIO DE LOMERIO,vih,n de personas con prueba rapida,2013-03-01,14,8,22
SAN BENITO,vih,n de personas con prueba rapida,2013-03-01,2,19,21
SAN BORJA,vih,n de personas con prueba rapida,2013-03-01,1,0,1
SAN CARLOS,vih,n de personas con prueba rapida,2013-03-01,9,23,32
SAN IGNACIO,vih,n de personas con prueba rapida,2013-03-01,0,11,11
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2013-03-01,32,146,178
SAN JAVIER(STC),vih,n de personas con prueba rapida,2013-03-01,0,22,22
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2013-03-01,6,7,13
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2013-03-01,11,35,46
SAN JULIAN,vih,n de personas con prueba rapida,2013-03-01,5,10,15
SAN LORENZO(PND),vih,n de personas con prueba rapida,2013-03-01,0,5,5
SAN LORENZO(TJA),vih,n de personas con prueba rapida,2013-03-01,1,2,3
SAN LUCAS,vih,n de personas con prueba rapida,2013-03-01,1,1,2
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2013-03-01,0,1,1
SAN PEDRO,vih,n de personas con prueba rapida,2013-03-01,0,29,29
SAN PEDRO(PND),vih,n de personas con prueba rapida,2013-03-01,2,0,2
SANTA ANA,vih,n de personas con prueba rapida,2013-03-01,2,2,4
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2013-03-01,330,851,1181
SANTA ROSA DEL SARA,vih,n de personas con prueba rapida,2013-03-01,0,1,1
SANTIAGO DE MACHACA,vih,n de personas con prueba rapida,2013-03-01,1,10,11
SENA,vih,n de personas con prueba rapida,2013-03-01,22,31,53
SHINAOTA,vih,n de personas con prueba rapida,2013-03-01,17,20,37
SIPE SIPE,vih,n de personas con prueba rapida,2013-03-01,0,11,11
SOPACHUY,vih,n de personas con prueba rapida,2013-03-01,21,12,33
SUCRE,vih,n de personas con prueba rapida,2013-03-01,230,73,303
TAPACARI,vih,n de personas con prueba rapida,2013-03-01,0,1,1
TARABUCO,vih,n de personas con prueba rapida,2013-03-01,0,45,45
TARATA,vih,n de personas con prueba rapida,2013-03-01,2,14,16
TARIJA,vih,n de personas con prueba rapida,2013-03-01,38,217,255
TARVITA,vih,n de personas con prueba rapida,2013-03-01,16,85,101
TEOPONTE,vih,n de personas con prueba rapida,2013-03-01,1,3,4
TIAWANACU,vih,n de personas con prueba rapida,2013-03-01,4,8,12
TIPUANI,vih,n de personas con prueba rapida,2013-03-01,5,1,6
TOMINA,vih,n de personas con prueba rapida,2013-03-01,0,4,4
TOTORA(ORR),vih,n de personas con prueba rapida,2013-03-01,0,4,4
TRINIDAD,vih,n de personas con prueba rapida,2013-03-01,74,124,198
TUPIZA,vih,n de personas con prueba rapida,2013-03-01,1,42,43
TURCO,vih,n de personas con prueba rapida,2013-03-01,29,24,53
UNCIA,vih,n de personas con prueba rapida,2013-03-01,2,5,7
URUBICHA,vih,n de personas con prueba rapida,2013-03-01,2,9,11
UYUNI,vih,n de personas con prueba rapida,2013-03-01,0,17,17
VALLEGRANDE,vih,n de personas con prueba rapida,2013-03-01,4,42,46
VIACHA,vih,n de personas con prueba rapida,2013-03-01,1,7,8
VILLA CHARCAS,vih,n de personas con prueba rapida,2013-03-01,5,52,57
VILLA MONTES,vih,n de personas con prueba rapida,2013-03-01,14,25,39
VILLA NUEVA (LOMA ALTA),vih,n de personas con prueba rapida,2013-03-01,1,6,7
VILLA SERRANO,vih,n de personas con prueba rapida,2013-03-01,36,75,111
VILLA TUNARI,vih,n de personas con prueba rapida,2013-03-01,16,21,37
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2013-03-01,2,16,18
VILLAZON,vih,n de personas con prueba rapida,2013-03-01,14,48,62
WARNES,vih,n de personas con prueba rapida,2013-03-01,10,7,17
YACUIBA,vih,n de personas con prueba rapida,2013-03-01,27,91,118
YAMPARAEZ,vih,n de personas con prueba rapida,2013-03-01,0,1,1
YOTALA,vih,n de personas con prueba rapida,2013-03-01,1,0,1
YUNCHARA,vih,n de personas con prueba rapida,2013-03-01,4,1,5
ZUDAÑEZ,vih,n de personas con prueba rapida,2013-03-01,0,1,1
ACHACACHI,vih,n de personas con prueba rapida,2013-04-01,7,58,65
AIQUILE,vih,n de personas con prueba rapida,2013-04-01,1,52,53
ALCALA,vih,n de personas con prueba rapida,2013-04-01,1,3,4
APOLO,vih,n de personas con prueba rapida,2013-04-01,0,24,24
ARAMPAMPA,vih,n de personas con prueba rapida,2013-04-01,2,4,6
ARBIETO,vih,n de personas con prueba rapida,2013-04-01,0,2,2
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2013-04-01,45,64,109
AYOPAYA (V. DE INDEPENDENCIA),vih,n de personas con prueba rapida,2013-04-01,0,27,27
AZURDUY,vih,n de personas con prueba rapida,2013-04-01,14,27,41
BERMEJO,vih,n de personas con prueba rapida,2013-04-01,0,2,2
BOYUIBE,vih,n de personas con prueba rapida,2013-04-01,29,63,92
CABEZAS,vih,n de personas con prueba rapida,2013-04-01,1,5,6
"CAIZA ""D""",vih,n de personas con prueba rapida,2013-04-01,3,5,8
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2013-04-01,1,4,5
CAMIRI,vih,n de personas con prueba rapida,2013-04-01,6,112,118
CAPINOTA,vih,n de personas con prueba rapida,2013-04-01,1,52,53
CARACOLLO,vih,n de personas con prueba rapida,2013-04-01,6,5,11
CARANAVI,vih,n de personas con prueba rapida,2013-04-01,26,4,30
CARAPARI,vih,n de personas con prueba rapida,2013-04-01,1,39,40
CHALLAPATA,vih,n de personas con prueba rapida,2013-04-01,1,129,130
CHARAGUA,vih,n de personas con prueba rapida,2013-04-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2013-04-01,1,8,9
CLIZA,vih,n de personas con prueba rapida,2013-04-01,2,64,66
COBIJA,vih,n de personas con prueba rapida,2013-04-01,15,70,85
COCHABAMBA,vih,n de personas con prueba rapida,2013-04-01,77,560,637
COLPA BELGICA,vih,n de personas con prueba rapida,2013-04-01,1,3,4
COMARAPA,vih,n de personas con prueba rapida,2013-04-01,3,6,9
CORIPATA,vih,n de personas con prueba rapida,2013-04-01,0,1,1
CORO CORO,vih,n de personas con prueba rapida,2013-04-01,3,3,6
COROICO,vih,n de personas con prueba rapida,2013-04-01,3,50,53
CORQUE,vih,n de personas con prueba rapida,2013-04-01,1,1,2
COTOCA,vih,n de personas con prueba rapida,2013-04-01,1,87,88
CUATRO CAÑADAS,vih,n de personas con prueba rapida,2013-04-01,6,3,9
CUEVO,vih,n de personas con prueba rapida,2013-04-01,0,4,4
DESAGUADERO,vih,n de personas con prueba rapida,2013-04-01,6,20,26
EL ALTO,vih,n de personas con prueba rapida,2013-04-01,327,2060,2387
EL PUENTE(STC),vih,n de personas con prueba rapida,2013-04-01,21,66,87
EL PUENTE(TJA),vih,n de personas con prueba rapida,2013-04-01,0,6,6
EL TORNO,vih,n de personas con prueba rapida,2013-04-01,10,27,37
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2013-04-01,12,60,72
ESCOMA,vih,n de personas con prueba rapida,2013-04-01,0,1,1
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2013-04-01,1,2,3
FERNANDEZ ALONSO,vih,n de personas con prueba rapida,2013-04-01,101,5,106
GENERAL SAAVEDRA,vih,n de personas con prueba rapida,2013-04-01,0,6,6
GUAYARAMERIN,vih,n de personas con prueba rapida,2013-04-01,90,184,274
GUTIERREZ,vih,n de personas con prueba rapida,2013-04-01,0,15,15
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2013-04-01,1,4,5
HUANUNI,vih,n de personas con prueba rapida,2013-04-01,2,0,2
ICLA,vih,n de personas con prueba rapida,2013-04-01,0,2,2
INCAHUASI,vih,n de personas con prueba rapida,2013-04-01,1,0,1
INGAVI (HUMAITA),vih,n de personas con prueba rapida,2013-04-01,38,28,66
JESUS DE MACHACA,vih,n de personas con prueba rapida,2013-04-01,0,1,1
LA ASUNTA,vih,n de personas con prueba rapida,2013-04-01,13,3,16
LA GUARDIA,vih,n de personas con prueba rapida,2013-04-01,61,97,158
LA PAZ,vih,n de personas con prueba rapida,2013-04-01,201,678,879
LAS CARRERAS,vih,n de personas con prueba rapida,2013-04-01,0,1,1
LLALLAGUA,vih,n de personas con prueba rapida,2013-04-01,110,177,287
MACHARETI,vih,n de personas con prueba rapida,2013-04-01,2,36,38
MAIRANA,vih,n de personas con prueba rapida,2013-04-01,0,4,4
MECAPACA,vih,n de personas con prueba rapida,2013-04-01,0,10,10
MINEROS,vih,n de personas con prueba rapida,2013-04-01,0,1,1
MIZQUE,vih,n de personas con prueba rapida,2013-04-01,11,74,85
MOJOCOYA,vih,n de personas con prueba rapida,2013-04-01,1,0,1
MONTEAGUDO,vih,n de personas con prueba rapida,2013-04-01,9,76,85
MONTERO,vih,n de personas con prueba rapida,2013-04-01,46,123,169
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2013-04-01,2,6,8
NUEVO MANOA (NUEVA ESPERANZA),vih,n de personas con prueba rapida,2013-04-01,13,5,18
OKINAWA,vih,n de personas con prueba rapida,2013-04-01,0,2,2
ORURO,vih,n de personas con prueba rapida,2013-04-01,34,352,386
PADCAYA,vih,n de personas con prueba rapida,2013-04-01,0,23,23
PADILLA,vih,n de personas con prueba rapida,2013-04-01,0,6,6
PAILON,vih,n de personas con prueba rapida,2013-04-01,0,20,20
PAMPA GRANDE,vih,n de personas con prueba rapida,2013-04-01,1,2,3
PATACAMAYA,vih,n de personas con prueba rapida,2013-04-01,35,18,53
PORTACHUELO,vih,n de personas con prueba rapida,2013-04-01,9,1,10
POTOSI,vih,n de personas con prueba rapida,2013-04-01,93,276,369
PRESTO,vih,n de personas con prueba rapida,2013-04-01,1,0,1
PUCARANI,vih,n de personas con prueba rapida,2013-04-01,1,0,1
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2013-04-01,83,106,189
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2013-04-01,14,45,59
PUERTO RICO,vih,n de personas con prueba rapida,2013-04-01,1,8,9
PUERTO SUAREZ,vih,n de personas con prueba rapida,2013-04-01,1,37,38
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2013-04-01,24,293,317
PUNATA,vih,n de personas con prueba rapida,2013-04-01,10,17,27
REYES,vih,n de personas con prueba rapida,2013-04-01,0,10,10
RIBERALTA,vih,n de personas con prueba rapida,2013-04-01,9,0,9
ROBORE,vih,n de personas con prueba rapida,2013-04-01,2,1,3
RURRENABAQUE,vih,n de personas con prueba rapida,2013-04-01,5,51,56
SACABA,vih,n de personas con prueba rapida,2013-04-01,21,113,134
SAMAIPATA,vih,n de personas con prueba rapida,2013-04-01,14,19,33
SAN ANTONIO DE LOMERIO,vih,n de personas con prueba rapida,2013-04-01,23,12,35
SAN BENITO,vih,n de personas con prueba rapida,2013-04-01,1,24,25
SAN BORJA,vih,n de personas con prueba rapida,2013-04-01,1,0,1
SAN BUENA VENTURA,vih,n de personas con prueba rapida,2013-04-01,1,1,2
SAN CARLOS,vih,n de personas con prueba rapida,2013-04-01,22,0,22
SAN IGNACIO,vih,n de personas con prueba rapida,2013-04-01,0,5,5
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2013-04-01,13,103,116
SAN JAVIER(STC),vih,n de personas con prueba rapida,2013-04-01,1,25,26
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2013-04-01,5,4,9
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2013-04-01,2,20,22
SAN JULIAN,vih,n de personas con prueba rapida,2013-04-01,8,6,14
SAN LORENZO(PND),vih,n de personas con prueba rapida,2013-04-01,0,10,10
SAN LORENZO(TJA),vih,n de personas con prueba rapida,2013-04-01,0,1,1
SAN LUCAS,vih,n de personas con prueba rapida,2013-04-01,3,5,8
SAN PEDRO,vih,n de personas con prueba rapida,2013-04-01,3,5,8
SAN PEDRO DE BUENA VISTA,vih,n de personas con prueba rapida,2013-04-01,2,1,3
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2013-04-01,415,1193,1608
SANTA ROSA DEL SARA,vih,n de personas con prueba rapida,2013-04-01,1,1,2
SENA,vih,n de personas con prueba rapida,2013-04-01,23,34,57
SHINAOTA,vih,n de personas con prueba rapida,2013-04-01,32,37,69
SIPE SIPE,vih,n de personas con prueba rapida,2013-04-01,2,10,12
SOPACHUY,vih,n de personas con prueba rapida,2013-04-01,20,72,92
SUCRE,vih,n de personas con prueba rapida,2013-04-01,380,212,592
TAPACARI,vih,n de personas con prueba rapida,2013-04-01,3,17,20
TARABUCO,vih,n de personas con prueba rapida,2013-04-01,0,2,2
TARATA,vih,n de personas con prueba rapida,2013-04-01,4,19,23
TARIJA,vih,n de personas con prueba rapida,2013-04-01,93,186,279
TARVITA,vih,n de personas con prueba rapida,2013-04-01,84,141,225
TIAWANACU,vih,n de personas con prueba rapida,2013-04-01,0,4,4
TIPUANI,vih,n de personas con prueba rapida,2013-04-01,3,5,8
TOCO,vih,n de personas con prueba rapida,2013-04-01,2,0,2
TOLATA,vih,n de personas con prueba rapida,2013-04-01,0,1,1
TOLEDO,vih,n de personas con prueba rapida,2013-04-01,0,1,1
TOMINA,vih,n de personas con prueba rapida,2013-04-01,0,4,4
TOTORA(CBBA),vih,n de personas con prueba rapida,2013-04-01,0,5,5
TRINIDAD,vih,n de personas con prueba rapida,2013-04-01,172,158,330
TUPIZA,vih,n de personas con prueba rapida,2013-04-01,0,31,31
TURCO,vih,n de personas con prueba rapida,2013-04-01,14,14,28
UNCIA,vih,n de personas con prueba rapida,2013-04-01,3,24,27
URUBICHA,vih,n de personas con prueba rapida,2013-04-01,49,88,137
UYUNI,vih,n de personas con prueba rapida,2013-04-01,0,34,34
VALLEGRANDE,vih,n de personas con prueba rapida,2013-04-01,10,66,76
VIACHA,vih,n de personas con prueba rapida,2013-04-01,3,6,9
VILLA CHARCAS,vih,n de personas con prueba rapida,2013-04-01,1,37,38
VILLA MONTES,vih,n de personas con prueba rapida,2013-04-01,12,23,35
VILLA NUEVA (LOMA ALTA),vih,n de personas con prueba rapida,2013-04-01,4,0,4
VILLA SERRANO,vih,n de personas con prueba rapida,2013-04-01,5,19,24
VILLA TUNARI,vih,n de personas con prueba rapida,2013-04-01,7,4,11
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2013-04-01,1,1,2
VILLAZON,vih,n de personas con prueba rapida,2013-04-01,6,25,31
WARNES,vih,n de personas con prueba rapida,2013-04-01,1,13,14
YACUIBA,vih,n de personas con prueba rapida,2013-04-01,57,86,143
YAPACANI,vih,n de personas con prueba rapida,2013-04-01,10,40,50
YOTALA,vih,n de personas con prueba rapida,2013-04-01,1,0,1
YUNCHARA,vih,n de personas con prueba rapida,2013-04-01,2,4,6
ZUDAÑEZ,vih,n de personas con prueba rapida,2013-04-01,1,17,18
AIQUILE,vih,n de personas con prueba rapida,2013-05-01,0,48,48
ALCALA,vih,n de personas con prueba rapida,2013-05-01,2,7,9
ANCORAIMES,vih,n de personas con prueba rapida,2013-05-01,22,9,31
ANDAMARCA,vih,n de personas con prueba rapida,2013-05-01,6,15,21
ARBIETO,vih,n de personas con prueba rapida,2013-05-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vih,n de personas con prueba rapida,2013-05-01,3,0,3
AZURDUY,vih,n de personas con prueba rapida,2013-05-01,3,16,19
BERMEJO,vih,n de personas con prueba rapida,2013-05-01,44,0,44
BETANZOS,vih,n de personas con prueba rapida,2013-05-01,2,48,50
BOLPEBRA,vih,n de personas con prueba rapida,2013-05-01,2,5,7
CABEZAS,vih,n de personas con prueba rapida,2013-05-01,3,20,23
"CAIZA ""D""",vih,n de personas con prueba rapida,2013-05-01,0,2,2
CAMARGO,vih,n de personas con prueba rapida,2013-05-01,3,0,3
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2013-05-01,1,11,12
CAMIRI,vih,n de personas con prueba rapida,2013-05-01,22,150,172
CAPINOTA,vih,n de personas con prueba rapida,2013-05-01,2,47,49
CARACOLLO,vih,n de personas con prueba rapida,2013-05-01,4,5,9
CARANAVI,vih,n de personas con prueba rapida,2013-05-01,48,108,156
CARAPARI,vih,n de personas con prueba rapida,2013-05-01,3,25,28
CHALLAPATA,vih,n de personas con prueba rapida,2013-05-01,1,103,104
CHAQUI,vih,n de personas con prueba rapida,2013-05-01,2,0,2
CHARAGUA,vih,n de personas con prueba rapida,2013-05-01,1,2,3
CHIMORE,vih,n de personas con prueba rapida,2013-05-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2013-05-01,8,7,15
CLIZA,vih,n de personas con prueba rapida,2013-05-01,0,3,3
COBIJA,vih,n de personas con prueba rapida,2013-05-01,10,24,34
COCHABAMBA,vih,n de personas con prueba rapida,2013-05-01,71,346,417
COLPA BELGICA,vih,n de personas con prueba rapida,2013-05-01,0,1,1
COMARAPA,vih,n de personas con prueba rapida,2013-05-01,3,39,42
CORO CORO,vih,n de personas con prueba rapida,2013-05-01,1,0,1
COROICO,vih,n de personas con prueba rapida,2013-05-01,4,41,45
CORQUE,vih,n de personas con prueba rapida,2013-05-01,2,1,3
COTOCA,vih,n de personas con prueba rapida,2013-05-01,31,64,95
CUATRO CAÑADAS,vih,n de personas con prueba rapida,2013-05-01,0,3,3
CULPINA,vih,n de personas con prueba rapida,2013-05-01,0,2,2
DESAGUADERO,vih,n de personas con prueba rapida,2013-05-01,1,13,14
EL ALTO,vih,n de personas con prueba rapida,2013-05-01,195,1540,1735
EL PUENTE(STC),vih,n de personas con prueba rapida,2013-05-01,14,16,30
EL PUENTE(TJA),vih,n de personas con prueba rapida,2013-05-01,0,1,1
EL TORNO,vih,n de personas con prueba rapida,2013-05-01,24,46,70
EL VILLAR,vih,n de personas con prueba rapida,2013-05-01,12,26,38
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2013-05-01,17,24,41
ENTRE RIOS CBBA,vih,n de personas con prueba rapida,2013-05-01,0,3,3
ESCOMA,vih,n de personas con prueba rapida,2013-05-01,0,1,1
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2013-05-01,0,2,2
FERNANDEZ ALONSO,vih,n de personas con prueba rapida,2013-05-01,8,4,12
GENERAL SAAVEDRA,vih,n de personas con prueba rapida,2013-05-01,3,35,38
GRAL. J.J. PEREZ (CHARAZANI),vih,n de personas con prueba rapida,2013-05-01,8,2,10
GUAYARAMERIN,vih,n de personas con prueba rapida,2013-05-01,258,115,373
GUTIERREZ,vih,n de personas con prueba rapida,2013-05-01,0,14,14
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2013-05-01,4,9,13
HUANUNI,vih,n de personas con prueba rapida,2013-05-01,1,0,1
HUARINA,vih,n de personas con prueba rapida,2013-05-01,0,3,3
INCAHUASI,vih,n de personas con prueba rapida,2013-05-01,0,3,3
INQUISIVI,vih,n de personas con prueba rapida,2013-05-01,1,0,1
JESUS DE MACHACA,vih,n de personas con prueba rapida,2013-05-01,0,2,2
LA ASUNTA,vih,n de personas con prueba rapida,2013-05-01,41,43,84
LA GUARDIA,vih,n de personas con prueba rapida,2013-05-01,9,64,73
LA PAZ,vih,n de personas con prueba rapida,2013-05-01,220,1717,1937
LLALLAGUA,vih,n de personas con prueba rapida,2013-05-01,24,172,196
MACHARETI,vih,n de personas con prueba rapida,2013-05-01,2,25,27
MAIRANA,vih,n de personas con prueba rapida,2013-05-01,1,2,3
MIZQUE,vih,n de personas con prueba rapida,2013-05-01,9,69,78
MOJOCOYA,vih,n de personas con prueba rapida,2013-05-01,2,4,6
MONTEAGUDO,vih,n de personas con prueba rapida,2013-05-01,4,13,17
MONTERO,vih,n de personas con prueba rapida,2013-05-01,63,87,150
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2013-05-01,24,0,24
NUEVO MANOA (NUEVA ESPERANZA),vih,n de personas con prueba rapida,2013-05-01,0,2,2
ORURO,vih,n de personas con prueba rapida,2013-05-01,155,342,497
PADCAYA,vih,n de personas con prueba rapida,2013-05-01,1,13,14
PADILLA,vih,n de personas con prueba rapida,2013-05-01,0,2,2
PAILON,vih,n de personas con prueba rapida,2013-05-01,0,10,10
PALOS BLANCOS,vih,n de personas con prueba rapida,2013-05-01,7,56,63
PAMPA GRANDE,vih,n de personas con prueba rapida,2013-05-01,1,0,1
PATACAMAYA,vih,n de personas con prueba rapida,2013-05-01,31,27,58
POCOATA,vih,n de personas con prueba rapida,2013-05-01,1,0,1
POROMA,vih,n de personas con prueba rapida,2013-05-01,2,24,26
PORTACHUELO,vih,n de personas con prueba rapida,2013-05-01,7,5,12
PORVENIR,vih,n de personas con prueba rapida,2013-05-01,1,2,3
POTOSI,vih,n de personas con prueba rapida,2013-05-01,28,130,158
PRESTO,vih,n de personas con prueba rapida,2013-05-01,0,1,1
PUCARANI,vih,n de personas con prueba rapida,2013-05-01,0,27,27
PUERTO CARABUCO,vih,n de personas con prueba rapida,2013-05-01,0,5,5
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2013-05-01,26,55,81
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2013-05-01,6,37,43
PUERTO RICO,vih,n de personas con prueba rapida,2013-05-01,0,9,9
PUERTO SUAREZ,vih,n de personas con prueba rapida,2013-05-01,0,20,20
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2013-05-01,17,343,360
PUNATA,vih,n de personas con prueba rapida,2013-05-01,11,135,146
QUIME,vih,n de personas con prueba rapida,2013-05-01,5,15,20
RIBERALTA,vih,n de personas con prueba rapida,2013-05-01,15,17,32
ROBORE,vih,n de personas con prueba rapida,2013-05-01,5,12,17
RURRENABAQUE,vih,n de personas con prueba rapida,2013-05-01,1,28,29
SACABA,vih,n de personas con prueba rapida,2013-05-01,14,82,96
SAIPINA,vih,n de personas con prueba rapida,2013-05-01,2,0,2
SAN ANTONIO DE LOMERIO,vih,n de personas con prueba rapida,2013-05-01,0,3,3
SAN BENITO,vih,n de personas con prueba rapida,2013-05-01,0,16,16
SAN BORJA,vih,n de personas con prueba rapida,2013-05-01,2,16,18
SAN CARLOS,vih,n de personas con prueba rapida,2013-05-01,7,7,14
SAN IGNACIO,vih,n de personas con prueba rapida,2013-05-01,1,18,19
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2013-05-01,11,44,55
SAN JAVIER(STC),vih,n de personas con prueba rapida,2013-05-01,2,24,26
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2013-05-01,3,5,8
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2013-05-01,1,13,14
SAN JULIAN,vih,n de personas con prueba rapida,2013-05-01,7,16,23
SAN LORENZO(PND),vih,n de personas con prueba rapida,2013-05-01,0,5,5
SAN LORENZO(TJA),vih,n de personas con prueba rapida,2013-05-01,0,1,1
SAN LUCAS,vih,n de personas con prueba rapida,2013-05-01,2,0,2
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2013-05-01,1,0,1
SAN PEDRO,vih,n de personas con prueba rapida,2013-05-01,0,12,12
SAN PEDRO DE BUENA VISTA,vih,n de personas con prueba rapida,2013-05-01,1,36,37
SAN RAMON BENI,vih,n de personas con prueba rapida,2013-05-01,1,8,9
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2013-05-01,234,780,1014
SANTA ROSA DEL SARA,vih,n de personas con prueba rapida,2013-05-01,5,4,9
SENA,vih,n de personas con prueba rapida,2013-05-01,1,15,16
SHINAOTA,vih,n de personas con prueba rapida,2013-05-01,29,27,56
SIPE SIPE,vih,n de personas con prueba rapida,2013-05-01,0,26,26
SOPACHUY,vih,n de personas con prueba rapida,2013-05-01,52,115,167
SORACACHI,vih,n de personas con prueba rapida,2013-05-01,0,1,1
SUCRE,vih,n de personas con prueba rapida,2013-05-01,142,297,439
TACOBAMBA,vih,n de personas con prueba rapida,2013-05-01,10,32,42
TAPACARI,vih,n de personas con prueba rapida,2013-05-01,2,11,13
TARABUCO,vih,n de personas con prueba rapida,2013-05-01,7,14,21
TARATA,vih,n de personas con prueba rapida,2013-05-01,0,22,22
TARIJA,vih,n de personas con prueba rapida,2013-05-01,26,177,203
TARVITA,vih,n de personas con prueba rapida,2013-05-01,3,6,9
TIPUANI,vih,n de personas con prueba rapida,2013-05-01,18,5,23
TIQUIPAYA,vih,n de personas con prueba rapida,2013-05-01,0,2,2
TOCO,vih,n de personas con prueba rapida,2013-05-01,0,3,3
TOMINA,vih,n de personas con prueba rapida,2013-05-01,0,1,1
TOTORA(CBBA),vih,n de personas con prueba rapida,2013-05-01,1,2,3
TRINIDAD,vih,n de personas con prueba rapida,2013-05-01,18,45,63
TUPIZA,vih,n de personas con prueba rapida,2013-05-01,0,11,11
UNCIA,vih,n de personas con prueba rapida,2013-05-01,0,1,1
URUBICHA,vih,n de personas con prueba rapida,2013-05-01,15,1,16
UYUNI,vih,n de personas con prueba rapida,2013-05-01,0,30,30
VALLEGRANDE,vih,n de personas con prueba rapida,2013-05-01,7,42,49
VIACHA,vih,n de personas con prueba rapida,2013-05-01,1,0,1
VILLA CHARCAS,vih,n de personas con prueba rapida,2013-05-01,0,32,32
VILLA SERRANO,vih,n de personas con prueba rapida,2013-05-01,3,23,26
VILLA TUNARI,vih,n de personas con prueba rapida,2013-05-01,234,21,255
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2013-05-01,2,3,5
VILLAZON,vih,n de personas con prueba rapida,2013-05-01,10,15,25
VITICHI,vih,n de personas con prueba rapida,2013-05-01,0,22,22
WARNES,vih,n de personas con prueba rapida,2013-05-01,8,29,37
YACUIBA,vih,n de personas con prueba rapida,2013-05-01,14,71,85
YAPACANI,vih,n de personas con prueba rapida,2013-05-01,36,111,147
YOTALA,vih,n de personas con prueba rapida,2013-05-01,0,18,18
YUNCHARA,vih,n de personas con prueba rapida,2013-05-01,1,7,8
ZUDAÑEZ,vih,n de personas con prueba rapida,2013-05-01,8,46,54
ACHACACHI,vih,n de personas con prueba rapida,2013-06-01,8,7,15
AIQUILE,vih,n de personas con prueba rapida,2013-06-01,2,56,58
ALCALA,vih,n de personas con prueba rapida,2013-06-01,1,11,12
APOLO,vih,n de personas con prueba rapida,2013-06-01,0,21,21
ARAMPAMPA,vih,n de personas con prueba rapida,2013-06-01,4,5,9
ARANI,vih,n de personas con prueba rapida,2013-06-01,0,1,1
ARBIETO,vih,n de personas con prueba rapida,2013-06-01,0,1,1
ARQUE,vih,n de personas con prueba rapida,2013-06-01,5,8,13
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2013-06-01,15,40,55
ATOCHA,vih,n de personas con prueba rapida,2013-06-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih,n de personas con prueba rapida,2013-06-01,7,7,14
