,group,variable,month,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,100,148,248
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,0,21,21
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,29,22,51
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,2,24,26
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,2,4,6
URUBICHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,2,14,16
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,5,45,50
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,0,23,23
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,5,52,57
VILLA MONTES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,0,47,47
VILLA NUEVA (LOMA ALTA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,1,6,7
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,36,75,111
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,1,33,34
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,2,33,35
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,14,165,179
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,10,213,223
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,26,224,250
YAMPARAEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,0,11,11
YOTALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,1,22,23
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,4,13,17
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-03-01,0,22,22
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,7,58,65
AIQUILE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,18,19
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,9,10
ANCORAIMES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,10,10
APOLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,24,24
ARAMPAMPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,2,5,7
ARBIETO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,19,19
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,45,140,185
AYOPAYA (V. DE INDEPENDENCIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,27,27
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,14,27,41
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,50,50
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,2,50,52
BOLIVAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,4,4
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,4,4
BOYUIBE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,29,63,92
CABEZAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,53,54
"CAIZA ""D""",vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,5,18,23
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,25,25
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,4,5
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,6,112,118
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,3,4
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,6,23,29
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,26,118,144
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,43,44
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,5,6
CHAQUI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,18,18
CHULUMANI (V. DE LA LIBERTAD),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,50,51
CHUQUIHUTA AYLLU JUCUMANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,2,2
CLIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,2,64,66
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,17,369,386
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,88,1117,1205
COLPA BELGICA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,3,4
COLQUECHACA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,0,1
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,3,6,9
CORIPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,21,21
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,3,1,4
CORQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,9,10
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,99,100
CUATRO CAÑADAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,6,47,53
CUEVO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,4,4
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,28,28
DESAGUADERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,6,11,17
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,332,2524,2856
EL PUENTE(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,21,66,87
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,7,7
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,10,205,215
EL VILLAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,2,2
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,11,34,45
ENTRE RIOS CBBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,1,1
ESCOMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,13,13
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,2,3
FERNANDEZ ALONSO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,101,29,130
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,1,1
GENERAL SAAVEDRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,58,58
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,88,226,314
GUTIERREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,15,15
HUACARETA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,17,17
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,4,5
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,2,51,53
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,13,13
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,44,45
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,38,28,66
INQUISIVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,6,6
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,9,9
JESUS DE MACHACA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,4,4
LA ASUNTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,13,72,85
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,61,168,229
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,219,1139,1358
LAGUNILLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,8,8
LAS CARRERAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,1,1
LLALLAGUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,11,177,188
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,2,29,31
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,37,37
MAPIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,2,22,24
MECAPACA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,14,14
MINEROS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,58,58
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,11,31,42
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,21,22
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,9,32,41
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,31,401,432
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,2,6,8
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,13,5,18
OKINAWA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,46,46
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,55,440,495
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,23,23
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,28,28
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,20,20
PAMPA GRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,25,26
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,35,59,94
POOPO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,13,13
POROMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,5,5
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,5,1,6
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,24,24
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,33,146,179
PRESTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,25,26
PUCARANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,16,17
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,53,87,140
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,18,22,40
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,8,9
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,37,38
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,25,51,76
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,10,306,316
REYES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,10,10
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,9,468,477
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,2,42,44
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,5,55,60
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,21,453,474
SAMAIPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,14,37,51
SAN BENITO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,24,25
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,21,58,79
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,5,5
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,13,104,117
SAN JAVIER(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,25,26
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,37,78,115
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,2,1,3
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,8,84,92
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,10,10
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,45,45
SAN LUCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,3,106,109
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,3,17,20
SAN PEDRO DE BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,2,44,46
SAN RAFAEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,14,14
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,9,9
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,309,1813,2122
SANTA ROSA DEL SARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,37,37
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,23,34,57
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,32,42,74
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,47,48
SOPACHUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,20,81,101
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,384,1218,1602
TAPACARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,8,8
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,38,38
TARATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,4,2,6
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,95,311,406
TARVITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,84,165,249
TIAWANACU,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,12,12
TIPUANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,3,28,31
TOCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,2,2,4
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,10,10
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,6,6
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,12,12
TOTORA(ORR),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,9,9
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,204,119,323
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,22,22
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,21,11,32
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,3,24,27
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,3,3
URUBICHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,49,112,161
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,10,66,76
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,13,12,25
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,40,41
VILLA MONTES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,68,68
VILLA NUEVA (LOMA ALTA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,4,7,11
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,5,19,24
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,2,33,35
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,16,17
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,6,183,189
VINTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,1,1
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,13,14
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,56,219,275
YAMPARAEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,0,10,10
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,10,40,50
YOTALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,15,16
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,2,12,14
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-04-01,1,26,27
AIQUILE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,12,12
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,2,8,10
ANDAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,6,29,35
ARAMPAMPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,2,2
ARBIETO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,31,31
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,12,12
AYOPAYA (V. DE INDEPENDENCIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,2,8,10
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,3,23,26
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,33,45,78
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,2,48,50
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,2,10,12
CABEZAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,3,59,62
"CAIZA ""D""",vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,8,8
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,1,11,12
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,22,33,55
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,2,9,11
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,4,26,30
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,48,231,279
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,3,26,29
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,1,5,6
CHAQUI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,5,5
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,1,1
CLIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,60,60
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,12,291,303
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,99,1226,1325
"COLCHA ""K""",vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,8,8
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,2,2
COLPA BELGICA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,1,1
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,3,2,5
CORO CORO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,1,7,8
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,4,41,45
CORQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,2,3,5
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,31,88,119
CUATRO CAÑADAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,50,50
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,43,43
DESAGUADERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,1,7,8
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,198,2100,2298
EL PUENTE(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,14,16,30
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,8,8
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,24,184,208
EL VILLAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,12,39,51
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,13,10,23
ENTRE RIOS CBBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,3,3
ESCOMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,22,22
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,2,2
FERNANDEZ ALONSO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,8,24,32
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,1,1
GENERAL SAAVEDRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,3,39,42
GRAL. J.J. PEREZ (CHARAZANI),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,5,6,11
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,246,127,373
GUTIERREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,14,14
HUACARETA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,1,45,46
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,3,7,10
HUACHACALLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,2,2
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,2,27,29
HUARINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,3,3
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,14,14
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,36,36
INQUISIVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,1,3,4
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,2,8,10
JESUS DE MACHACA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,2,2
LA ASUNTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,41,118,159
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,9,59,68
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,195,1336,1531
LAS CARRERAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,11,11
LLALLAGUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,24,8,32
LURIBAY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,2,2
MACHACAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,3,2,5
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,2,17,19
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,1,13,14
MAPIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,3,3
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,9,29,38
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,2,34,36
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,4,71,75
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,52,301,353
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,24,2,26
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-05-01,0,2,2
