,group,variable,month,TOTAL DE 5 AÑOS Y MÁS VIVAX,TOTAL DE 5 AÑOS Y MÁS VIVAX,TOTAL DE 5 AÑOS Y MÁS FALCIPARUM,TOTAL DE 5 AÑOS Y MÁS FALCIPARUM,TOTALES,TOTALES,TOTALES
FILADELFIA,malaria,total de 5 anos y mas,2015-12-01,9,3,0,0,9,3,12
GUAYARAMERIN,malaria,total de 5 anos y mas,2015-12-01,19,6,0,0,19,6,25
INGAVI (HUMAITA),malaria,total de 5 anos y mas,2015-12-01,1,4,0,0,1,4,5
IXIAMAS,malaria,total de 5 anos y mas,2015-12-01,3,5,0,0,3,5,8
MAGDALENA,malaria,total de 5 anos y mas,2015-12-01,3,1,0,0,3,1,4
MONTERO,malaria,total de 5 anos y mas,2015-12-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 5 anos y mas,2015-12-01,15,7,0,0,15,7,22
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 5 anos y mas,2015-12-01,7,2,0,0,7,2,9
PORVENIR,malaria,total de 5 anos y mas,2015-12-01,2,1,0,0,2,1,3
PUERTO GONZALO MORENO,malaria,total de 5 anos y mas,2015-12-01,8,3,0,0,8,3,11
RIBERALTA,malaria,total de 5 anos y mas,2015-12-01,239,110,0,1,239,111,350
SAIPINA,malaria,total de 5 anos y mas,2015-12-01,19,100,0,0,19,100,119
SAN IGNACIO DE VELASCO,malaria,total de 5 anos y mas,2015-12-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,total de 5 anos y mas,2015-12-01,13,5,0,0,13,5,18
SAN LUCAS,malaria,total de 5 anos y mas,2015-12-01,1,0,0,0,1,0,1
SAN PEDRO(PND),malaria,total de 5 anos y mas,2015-12-01,2,2,0,0,2,2,4
SENA,malaria,total de 5 anos y mas,2015-12-01,31,16,0,0,31,16,47
VILLA NUEVA (LOMA ALTA),malaria,total de 5 anos y mas,2015-12-01,2,1,0,0,2,1,3
VILLA VACA GUZMAN (MUYUPAMPA),malaria,total de 5 anos y mas,2015-12-01,1,0,0,0,1,0,1
YACUIBA,malaria,total de 5 anos y mas,2015-12-01,1,0,0,0,1,0,1
