,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES,TOTALES,TOTALES
LLICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,5,0,5,0,5
LORETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,4,0,4,0,4
LURIBAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,11,0,11,0,11
MACHACAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,10,0,10,0,10
MACHARETI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,9,2,9,2,11
MAGDALENA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,30,2,30,2,32
MAIRANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,29,0,29,0,29
MALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,1,2,1,2,3
MAPIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,26,1,26,1,27
MECAPACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,8,5,8,5,13
MINEROS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,34,0,34,0,34
MIZQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,36,1,36,1,37
MOCOMOCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,12,1,12,1,13
MOJINETE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,2,0,2,0,2
MOJOCOYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,5,1,5,1,6
MONTEAGUDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,63,3,63,3,66
MONTERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,191,1,191,1,192
MORO MORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,3,0,3,0,3
MOROCHATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,12,5,12,5,17
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,5,0,5,0,5
NAZACARA DE PACAJES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,2,2,2,2,4
OCURI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,20,7,20,7,27
OKINAWA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,24,0,24,0,24
OMEREQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,8,0,8,0,8
ORURO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,681,0,681,0,681
PADCAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,28,0,28,0,28
PADILLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,23,3,23,3,26
PAILON,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,38,0,38,0,38
PALCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,10,2,10,2,12
PALOS BLANCOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,49,0,49,0,49
PAMPA AULLAGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,6,1,6,1,7
PAMPA GRANDE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,10,0,10,0,10
PAPEL PAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,3,1,3,1,4
PASORAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,5,1,5,1,6
PATACAMAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,37,0,37,0,37
PAZÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,9,1,9,1,10
PELECHUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,4,3,4,3,7
POCOATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,20,4,20,4,24
POCONA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,10,0,10,0,10
POJO (CBBA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,11,10,11,10,21
POOPO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,6,1,6,1,7
PORCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,22,0,22,0,22
POROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,17,7,17,7,24
PORONGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,15,1,15,1,16
PORTACHUELO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,36,0,36,0,36
PORVENIR,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,10,0,10,0,10
POSTRER VALLE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,2,0,2,0,2
POTOSI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,553,10,553,10,563
PRESTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,7,5,7,5,12
PUCARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,0,2,0,2,2
PUCARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,34,1,34,1,35
PUERTO ACOSTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,1,0,1,0,1
PUERTO CARABUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,5,2,5,2,7
PUERTO GONZALO MORENO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,5,1,5,1,6
PUERTO PEREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,5,0,5,0,5
PUERTO QUIJARRO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,30,0,30,0,30
PUERTO RICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,20,3,20,3,23
PUERTO SILES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,6,0,6,0,6
PUERTO SUAREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,36,0,36,0,36
PUERTO VILLARROEL,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,113,5,113,5,118
PUNA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,38,0,38,0,38
PUNATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,60,0,60,0,60
QUIABAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,3,0,3,0,3
QUILLACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,176,6,176,6,182
QUIME,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,14,0,14,0,14
QUIRUSILLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,1,0,1,0,1
RAVELO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,17,7,17,7,24
REYES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,22,6,22,6,28
RIBERALTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,289,9,289,9,298
ROBORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,21,0,21,0,21
RURRENABAQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,37,2,37,2,39
SACABA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,280,2,280,2,282
SACABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,6,0,6,0,6
SACACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,38,5,38,5,43
SAIPINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,14,0,14,0,14
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,5,2,5,2,7
SAMAIPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,14,0,14,0,14
SAN AGUSTIN,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,1,0,1,0,1
SAN ANDRES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,12,0,12,0,12
SAN ANDRES DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,1,2,1,2,3
SAN ANTONIO DE ESMORUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,3,0,3,0,3
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,6,0,6,0,6
SAN BENITO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,21,0,21,0,21
SAN BORJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,69,5,69,5,74
SAN BUENA VENTURA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,25,0,25,0,25
SAN CARLOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,41,0,41,0,41
SAN IGNACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,43,1,43,1,44
SAN IGNACIO DE VELASCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,90,14,90,14,104
SAN JAVIER(BNI),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,9,3,9,3,12
SAN JAVIER(STC),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,31,0,31,0,31
SAN JOAQUIN,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,5,6,5,6,11
SAN JOSE DE CHIQUITOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,50,1,50,1,51
SAN JUAN DE YAPACANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,29,0,29,0,29
SAN JULIAN,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,103,4,103,4,107
SAN LORENZO(PND),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,7,5,7,5,12
SAN LORENZO(TJA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,20,1,20,1,21
SAN LUCAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,49,27,49,27,76
SAN MATIAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,29,0,29,0,29
SAN MIGUEL DE VELASCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,5,1,5,1,6
SAN PABLO DE LIPEZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,4,0,4,0,4
SAN PEDRO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,23,0,23,0,23
SAN PEDRO DE BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,34,7,34,7,41
SAN PEDRO DE CURAHUARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,4,0,4,0,4
SAN PEDRO DE QUEMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,6,0,6,0,6
SAN RAFAEL,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,19,0,19,0,19
SAN RAMON BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,8,0,8,0,8
SAN RAMON SCZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,16,0,16,0,16
SANTA ANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,22,2,22,2,24
SANTA CRUZ DE LA SIERRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,2509,0,2509,0,2509
SANTA ROSA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,19,0,19,0,19
SANTA ROSA DEL SARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,21,1,21,1,22
SANTIAGO DE CALLAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,1,3,1,3,4
SANTIAGO DE HUARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,4,2,4,2,6
SANTIAGO DE HUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,5,0,5,0,5
SANTIAGO DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,3,0,3,0,3
SANTIVAÑES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,11,0,11,0,11
SANTUARIO DE QUILLACAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,4,0,4,0,4
SAPAHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,2,1,2,1,3
SENA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,11,0,11,0,11
SHINAOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,69,0,69,0,69
SICA SICA (VILLA AROMA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,19,1,19,1,20
SICAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,3,0,3,0,3
SIPE SIPE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,56,0,56,0,56
SOPACHUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,13,1,13,1,14
SORACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,7,3,7,3,10
SORATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,25,7,25,7,32
SUCRE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,691,3,691,3,694
TACACOMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,11,2,11,2,13
TACOBAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,6,2,6,2,8
TACOPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,10,2,10,2,12
TAPACARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,33,6,33,6,39
TARABUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,19,1,19,1,20
TARACO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,3,0,3,0,3
TARATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,17,0,17,0,17
TARIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,644,0,644,0,644
TARVITA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,18,3,18,3,21
TEOPONTE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,5,0,5,0,5
TIAWANACU,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,17,1,17,1,18
TINGUIPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,32,4,32,4,36
TIPUANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,11,1,11,1,12
TIQUIPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,108,0,108,0,108
TIRAQUE (CBBA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,28,1,28,1,29
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,1,0,1,0,1
TOCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,4,0,4,0,4
TOLATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,6,0,6,0,6
TOLEDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,3,1,3,1,4
TOMAVE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,13,3,13,3,16
TOMINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,15,0,15,0,15
TORO TORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,14,6,14,6,20
TOTORA(CBBA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,34,1,34,1,35
TOTORA(ORR),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,1,1,1,1,2
TRIGAL,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,1,0,1,0,1
TRINIDAD,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,249,0,249,0,249
TUPIZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,73,2,73,2,75
TURCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,1,1,1,1,2
UMALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,6,3,6,3,9
UNCIA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,17,2,17,2,19
URIONDO (A. CONCEPCION),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,16,0,16,0,16
URUBICHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,11,0,11,0,11
UYUNI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,44,1,44,1,45
VACAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,13,1,13,1,14
VALLEGRANDE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,14,4,14,4,18
VIACHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,70,0,70,0,70
VILA VILA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,8,0,8,0,8
VILLA CHARCAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,16,4,16,4,20
VILLA MONTES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,60,1,60,1,61
VILLA NUEVA (LOMA ALTA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,2,1,2,1,3
VILLA RIVERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,11,0,11,0,11
VILLA SERRANO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,21,0,21,0,21
VILLA TUNARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,215,5,215,5,220
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,20,3,20,3,23
VILLAZON,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,67,5,67,5,72
VINTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,122,0,122,0,122
VITICHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,6,2,6,2,8
WALDO BALLIVIAN,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,2,0,2,0,2
WARNES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,141,4,141,4,145
YACO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,14,0,14,0,14
YACUIBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,163,3,163,3,166
YAMPARAEZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,7,2,7,2,9
YANACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,1,0,1,0,1
YAPACANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,80,1,80,1,81
YOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,19,2,19,2,21
YOTALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,8,1,8,1,9
YUNCHARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,1,5,1,5,6
ZUDAÑEZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-04-01,12,5,12,5,17
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,7,0,7,0,7
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,66,9,66,9,75
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,12,2,12,2,14
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,52,0,52,0,52
ALALAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,1,0,1,0,1
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,2,0,2,0,2
ALTO BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,13,0,13,0,13
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,11,2,11,2,13
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,4,2,4,2,6
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,2,0,2,0,2
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,6,2,6,2,8
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,21,1,21,1,22
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,1,0,1,0,1
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,20,4,20,4,24
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,14,7,14,7,21
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,14,0,14,0,14
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,26,1,26,1,27
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,21,0,21,0,21
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,1,1,1,1,2
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,4,1,4,1,5
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,5,0,5,0,5
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,28,2,28,2,30
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,11,6,11,6,17
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,15,0,15,0,15
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,5,0,5,0,5
BELEN DE ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,1,0,1,0,1
BERMEJO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,61,0,61,0,61
BETANZOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,37,6,37,6,43
BOLIVAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,11,1,11,1,12
BOLPEBRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,1,2,1,2,3
BOYUIBE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,6,0,6,0,6
BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,17,0,17,0,17
CABEZAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,29,0,29,0,29
CAIROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,16,1,16,1,17
"CAIZA ""D""",consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,8,0,8,0,8
CAJUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,19,0,19,0,19
CALACOTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,2,4,2,4,6
CALAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,11,0,11,0,11
CAMARGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,38,3,38,3,41
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,2,1,2,1,3
CAMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,76,0,76,0,76
CAPINOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,38,0,38,0,38
CAQUIAVIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,6,1,6,1,7
CARACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,35,5,35,5,40
CARANAVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,66,7,66,7,73
CARAPARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,28,0,28,0,28
CARIPUYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,2,2,2,2,4
CARMEN RIVERO TORREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,4,0,4,0,4
CATACORA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,1,1,1,1,2
CHACARILLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,1,0,1,0,1
CHALLAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,23,5,23,5,28
CHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,9,1,9,1,10
CHARAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,37,2,37,2,39
CHARAÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,2,0,2,0,2
CHAYANTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,12,4,12,4,16
CHIMORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,46,0,46,0,46
CHIPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,3,0,3,0,3
CHOQUE COTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,3,1,3,1,4
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,47,0,47,0,47
CHUMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,3,0,3,0,3
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,4,4,4,4,8
CKOCHAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,12,0,12,0,12
CLIZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,40,3,40,3,43
COBIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,95,0,95,0,95
COCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,9,9,9,9,18
COCHABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,1653,8,1653,8,1661
COIPASA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,2,2,2,2,4
COLCAPIRHUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,113,0,113,0,113
"COLCHA ""K""",consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,6,1,6,1,7
COLLANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,2,0,2,0,2
COLOMI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,23,0,23,0,23
COLPA BELGICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,9,6,9,6,15
COLQUECHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,36,10,36,10,46
COLQUENCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,4,0,4,0,4
COLQUIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,14,15,14,15,29
COMANCHE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,3,1,3,1,4
COMARAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,43,0,43,0,43
COMBAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,0,1,0,1,1
CONCEPCION,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-05-01,15,2,15,2,17
