,group,variable,month,REPETIDAS TOTAL 4.3 REPETIDAS,REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES,TOTALES,TOTALES
MACHACAMARCA,consultas prenatales,repetidas,2010-03-01,12,1,12,1,13
MACHARETI,consultas prenatales,repetidas,2010-03-01,52,14,52,14,66
MAGDALENA,consultas prenatales,repetidas,2010-03-01,71,3,71,3,74
MAIRANA,consultas prenatales,repetidas,2010-03-01,87,0,87,0,87
MALLA,consultas prenatales,repetidas,2010-03-01,2,3,2,3,5
MAPIRI,consultas prenatales,repetidas,2010-03-01,88,5,88,5,93
MECAPACA,consultas prenatales,repetidas,2010-03-01,29,1,29,1,30
MINEROS,consultas prenatales,repetidas,2010-03-01,159,0,159,0,159
MIZQUE,consultas prenatales,repetidas,2010-03-01,147,3,147,3,150
MOCOMOCO,consultas prenatales,repetidas,2010-03-01,40,4,40,4,44
MOJINETE,consultas prenatales,repetidas,2010-03-01,4,0,4,0,4
MOJOCOYA,consultas prenatales,repetidas,2010-03-01,43,3,43,3,46
MONTEAGUDO,consultas prenatales,repetidas,2010-03-01,270,28,270,28,298
MONTERO,consultas prenatales,repetidas,2010-03-01,957,0,957,0,957
MORO MORO,consultas prenatales,repetidas,2010-03-01,8,3,8,3,11
MOROCHATA,consultas prenatales,repetidas,2010-03-01,47,14,47,14,61
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2010-03-01,5,2,5,2,7
NAZACARA DE PACAJES,consultas prenatales,repetidas,2010-03-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2010-03-01,7,0,7,0,7
OCURI,consultas prenatales,repetidas,2010-03-01,62,21,62,21,83
OKINAWA,consultas prenatales,repetidas,2010-03-01,123,0,123,0,123
OMEREQUE,consultas prenatales,repetidas,2010-03-01,44,0,44,0,44
ORURO,consultas prenatales,repetidas,2010-03-01,2687,1,2687,1,2688
PADCAYA,consultas prenatales,repetidas,2010-03-01,80,12,80,12,92
PADILLA,consultas prenatales,repetidas,2010-03-01,50,10,50,10,60
PAILON,consultas prenatales,repetidas,2010-03-01,169,28,169,28,197
PALCA,consultas prenatales,repetidas,2010-03-01,17,2,17,2,19
PALOS BLANCOS,consultas prenatales,repetidas,2010-03-01,226,0,226,0,226
PAMPA AULLAGAS,consultas prenatales,repetidas,2010-03-01,10,0,10,0,10
PAMPA GRANDE,consultas prenatales,repetidas,2010-03-01,69,0,69,0,69
PAPEL PAMPA,consultas prenatales,repetidas,2010-03-01,8,0,8,0,8
PASORAPA,consultas prenatales,repetidas,2010-03-01,4,1,4,1,5
PATACAMAYA,consultas prenatales,repetidas,2010-03-01,219,1,219,1,220
PAZÑA,consultas prenatales,repetidas,2010-03-01,30,4,30,4,34
PELECHUCO,consultas prenatales,repetidas,2010-03-01,7,5,7,5,12
POCOATA,consultas prenatales,repetidas,2010-03-01,63,41,63,41,104
POCONA,consultas prenatales,repetidas,2010-03-01,41,6,41,6,47
POJO (CBBA),consultas prenatales,repetidas,2010-03-01,90,0,90,0,90
POOPO,consultas prenatales,repetidas,2010-03-01,21,2,21,2,23
PORCO,consultas prenatales,repetidas,2010-03-01,75,1,75,1,76
POROMA,consultas prenatales,repetidas,2010-03-01,56,21,56,21,77
PORONGO,consultas prenatales,repetidas,2010-03-01,43,3,43,3,46
PORTACHUELO,consultas prenatales,repetidas,2010-03-01,217,0,217,0,217
PORVENIR,consultas prenatales,repetidas,2010-03-01,36,0,36,0,36
POSTRER VALLE,consultas prenatales,repetidas,2010-03-01,5,0,5,0,5
POTOSI,consultas prenatales,repetidas,2010-03-01,1536,0,1536,0,1536
PRESTO,consultas prenatales,repetidas,2010-03-01,34,21,34,21,55
PUCARA,consultas prenatales,repetidas,2010-03-01,4,6,4,6,10
PUCARANI,consultas prenatales,repetidas,2010-03-01,141,1,141,1,142
PUERTO ACOSTA,consultas prenatales,repetidas,2010-03-01,27,2,27,2,29
PUERTO CARABUCO,consultas prenatales,repetidas,2010-03-01,44,2,44,2,46
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2010-03-01,31,8,31,8,39
PUERTO PEREZ,consultas prenatales,repetidas,2010-03-01,17,0,17,0,17
PUERTO QUIJARRO,consultas prenatales,repetidas,2010-03-01,100,0,100,0,100
PUERTO RICO,consultas prenatales,repetidas,2010-03-01,47,1,47,1,48
PUERTO SILES,consultas prenatales,repetidas,2010-03-01,10,0,10,0,10
PUERTO SUAREZ,consultas prenatales,repetidas,2010-03-01,134,0,134,0,134
PUERTO VILLARROEL,consultas prenatales,repetidas,2010-03-01,534,13,534,13,547
PUNA,consultas prenatales,repetidas,2010-03-01,79,7,79,7,86
PUNATA,consultas prenatales,repetidas,2010-03-01,279,0,279,0,279
QUIABAYA,consultas prenatales,repetidas,2010-03-01,6,5,6,5,11
QUILLACOLLO,consultas prenatales,repetidas,2010-03-01,645,3,645,3,648
QUIME,consultas prenatales,repetidas,2010-03-01,27,0,27,0,27
QUIRUSILLAS,consultas prenatales,repetidas,2010-03-01,3,0,3,0,3
RAVELO,consultas prenatales,repetidas,2010-03-01,64,15,64,15,79
REYES,consultas prenatales,repetidas,2010-03-01,50,10,50,10,60
RIBERALTA,consultas prenatales,repetidas,2010-03-01,1149,10,1149,10,1159
ROBORE,consultas prenatales,repetidas,2010-03-01,107,0,107,0,107
RURRENABAQUE,consultas prenatales,repetidas,2010-03-01,131,9,131,9,140
SABAYA,consultas prenatales,repetidas,2010-03-01,12,0,12,0,12
SACABA,consultas prenatales,repetidas,2010-03-01,1067,11,1067,11,1078
SACABAMBA,consultas prenatales,repetidas,2010-03-01,14,0,14,0,14
SACACA,consultas prenatales,repetidas,2010-03-01,109,7,109,7,116
SAIPINA,consultas prenatales,repetidas,2010-03-01,53,0,53,0,53
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2010-03-01,14,24,14,24,38
SAMAIPATA,consultas prenatales,repetidas,2010-03-01,56,1,56,1,57
SAN AGUSTIN,consultas prenatales,repetidas,2010-03-01,5,0,5,0,5
SAN ANDRES,consultas prenatales,repetidas,2010-03-01,46,12,46,12,58
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2010-03-01,6,10,6,10,16
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2010-03-01,5,0,5,0,5
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2010-03-01,30,0,30,0,30
SAN BENITO,consultas prenatales,repetidas,2010-03-01,142,2,142,2,144
SAN BORJA,consultas prenatales,repetidas,2010-03-01,214,11,214,11,225
SAN BUENA VENTURA,consultas prenatales,repetidas,2010-03-01,126,0,126,0,126
SAN CARLOS,consultas prenatales,repetidas,2010-03-01,168,0,168,0,168
SAN IGNACIO,consultas prenatales,repetidas,2010-03-01,225,21,225,21,246
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2010-03-01,534,40,534,40,574
SAN JAVIER(BNI),consultas prenatales,repetidas,2010-03-01,11,0,11,0,11
SAN JAVIER(STC),consultas prenatales,repetidas,2010-03-01,159,0,159,0,159
SAN JOAQUIN,consultas prenatales,repetidas,2010-03-01,44,29,44,29,73
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2010-03-01,99,1,99,1,100
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2010-03-01,87,0,87,0,87
SAN JULIAN,consultas prenatales,repetidas,2010-03-01,312,3,312,3,315
SAN LORENZO(PND),consultas prenatales,repetidas,2010-03-01,19,0,19,0,19
SAN LORENZO(TJA),consultas prenatales,repetidas,2010-03-01,111,7,111,7,118
SAN LUCAS,consultas prenatales,repetidas,2010-03-01,184,92,184,92,276
SAN MATIAS,consultas prenatales,repetidas,2010-03-01,129,0,129,0,129
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2010-03-01,106,2,106,2,108
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2010-03-01,10,0,10,0,10
SAN PEDRO,consultas prenatales,repetidas,2010-03-01,104,0,104,0,104
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2010-03-01,68,4,68,4,72
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2010-03-01,15,2,15,2,17
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2010-03-01,23,1,23,1,24
SAN RAFAEL,consultas prenatales,repetidas,2010-03-01,50,0,50,0,50
SAN RAMON BENI,consultas prenatales,repetidas,2010-03-01,19,0,19,0,19
SAN RAMON SCZ,consultas prenatales,repetidas,2010-03-01,117,0,117,0,117
SANTA ANA,consultas prenatales,repetidas,2010-03-01,151,0,151,0,151
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2010-03-01,10403,12,10403,12,10415
SANTA ROSA,consultas prenatales,repetidas,2010-03-01,53,0,53,0,53
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2010-03-01,125,0,125,0,125
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2010-03-01,4,8,4,8,12
SANTIAGO DE HUARI,consultas prenatales,repetidas,2010-03-01,37,9,37,9,46
SANTIAGO DE HUATA,consultas prenatales,repetidas,2010-03-01,13,3,13,3,16
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2010-03-01,13,1,13,1,14
SANTIVAÑES,consultas prenatales,repetidas,2010-03-01,26,1,26,1,27
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2010-03-01,15,7,15,7,22
SAPAHAQUI,consultas prenatales,repetidas,2010-03-01,28,0,28,0,28
SENA,consultas prenatales,repetidas,2010-03-01,16,0,16,0,16
SHINAOTA,consultas prenatales,repetidas,2010-03-01,346,0,346,0,346
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2010-03-01,73,8,73,8,81
SICAYA,consultas prenatales,repetidas,2010-03-01,9,0,9,0,9
SIPE SIPE,consultas prenatales,repetidas,2010-03-01,281,0,281,0,281
SOPACHUY,consultas prenatales,repetidas,2010-03-01,69,1,69,1,70
SORACACHI,consultas prenatales,repetidas,2010-03-01,27,10,27,10,37
SORATA,consultas prenatales,repetidas,2010-03-01,71,10,71,10,81
SUCRE,consultas prenatales,repetidas,2010-03-01,3086,22,3086,22,3108
TACACHI,consultas prenatales,repetidas,2010-03-01,2,0,2,0,2
TACACOMA,consultas prenatales,repetidas,2010-03-01,18,1,18,1,19
TACOBAMBA,consultas prenatales,repetidas,2010-03-01,18,3,18,3,21
TACOPAYA,consultas prenatales,repetidas,2010-03-01,37,8,37,8,45
TAHUA,consultas prenatales,repetidas,2010-03-01,6,0,6,0,6
TAPACARI,consultas prenatales,repetidas,2010-03-01,101,21,101,21,122
TARABUCO,consultas prenatales,repetidas,2010-03-01,80,27,80,27,107
TARACO,consultas prenatales,repetidas,2010-03-01,8,1,8,1,9
TARATA,consultas prenatales,repetidas,2010-03-01,71,1,71,1,72
TARIJA,consultas prenatales,repetidas,2010-03-01,1881,0,1881,0,1881
TARVITA,consultas prenatales,repetidas,2010-03-01,81,35,81,35,116
TEOPONTE,consultas prenatales,repetidas,2010-03-01,36,5,36,5,41
TIAWANACU,consultas prenatales,repetidas,2010-03-01,49,6,49,6,55
TINGUIPAYA,consultas prenatales,repetidas,2010-03-01,51,10,51,10,61
TIPUANI,consultas prenatales,repetidas,2010-03-01,91,0,91,0,91
TIQUIPAYA,consultas prenatales,repetidas,2010-03-01,587,0,587,0,587
TIRAQUE (CBBA),consultas prenatales,repetidas,2010-03-01,82,0,82,0,82
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2010-03-01,3,1,3,1,4
TOCO,consultas prenatales,repetidas,2010-03-01,22,0,22,0,22
TODOS SANTOS,consultas prenatales,repetidas,2010-03-01,1,0,1,0,1
TOLATA,consultas prenatales,repetidas,2010-03-01,35,2,35,2,37
TOLEDO,consultas prenatales,repetidas,2010-03-01,27,0,27,0,27
TOMAVE,consultas prenatales,repetidas,2010-03-01,32,4,32,4,36
TOMINA,consultas prenatales,repetidas,2010-03-01,40,1,40,1,41
TORO TORO,consultas prenatales,repetidas,2010-03-01,19,10,19,10,29
TOTORA(CBBA),consultas prenatales,repetidas,2010-03-01,144,0,144,0,144
TOTORA(ORR),consultas prenatales,repetidas,2010-03-01,9,6,9,6,15
TRIGAL,consultas prenatales,repetidas,2010-03-01,5,5,5,5,10
TRINIDAD,consultas prenatales,repetidas,2010-03-01,1079,19,1079,19,1098
TUPIZA,consultas prenatales,repetidas,2010-03-01,253,114,253,114,367
TURCO,consultas prenatales,repetidas,2010-03-01,17,4,17,4,21
UMALA,consultas prenatales,repetidas,2010-03-01,6,20,6,20,26
UNCIA,consultas prenatales,repetidas,2010-03-01,122,13,122,13,135
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2010-03-01,96,4,96,4,100
URUBICHA,consultas prenatales,repetidas,2010-03-01,72,0,72,0,72
UYUNI,consultas prenatales,repetidas,2010-03-01,161,17,161,17,178
VACAS,consultas prenatales,repetidas,2010-03-01,37,5,37,5,42
VALLEGRANDE,consultas prenatales,repetidas,2010-03-01,83,2,83,2,85
VIACHA,consultas prenatales,repetidas,2010-03-01,316,2,316,2,318
VILA VILA,consultas prenatales,repetidas,2010-03-01,11,0,11,0,11
VILLA CHARCAS,consultas prenatales,repetidas,2010-03-01,45,21,45,21,66
VILLA MONTES,consultas prenatales,repetidas,2010-03-01,343,9,343,9,352
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2010-03-01,6,3,6,3,9
VILLA RIVERO,consultas prenatales,repetidas,2010-03-01,17,0,17,0,17
VILLA SERRANO,consultas prenatales,repetidas,2010-03-01,78,13,78,13,91
VILLA TUNARI,consultas prenatales,repetidas,2010-03-01,637,2,637,2,639
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2010-03-01,54,19,54,19,73
VILLAZON,consultas prenatales,repetidas,2010-03-01,403,8,403,8,411
VINTO,consultas prenatales,repetidas,2010-03-01,313,0,313,0,313
VITICHI,consultas prenatales,repetidas,2010-03-01,43,4,43,4,47
WALDO BALLIVIAN,consultas prenatales,repetidas,2010-03-01,8,0,8,0,8
WARNES,consultas prenatales,repetidas,2010-03-01,760,6,760,6,766
YACO,consultas prenatales,repetidas,2010-03-01,15,8,15,8,23
YACUIBA,consultas prenatales,repetidas,2010-03-01,749,67,749,67,816
YAMPARAEZ,consultas prenatales,repetidas,2010-03-01,26,2,26,2,28
YANACACHI,consultas prenatales,repetidas,2010-03-01,11,0,11,0,11
YAPACANI,consultas prenatales,repetidas,2010-03-01,578,7,578,7,585
YOCALLA,consultas prenatales,repetidas,2010-03-01,23,2,23,2,25
YOTALA,consultas prenatales,repetidas,2010-03-01,54,2,54,2,56
YUNCHARA,consultas prenatales,repetidas,2010-03-01,21,18,21,18,39
ZUDAÑEZ,consultas prenatales,repetidas,2010-03-01,34,7,34,7,41
ACACIO,consultas prenatales,repetidas,2010-04-01,41,6,41,6,47
ACHACACHI,consultas prenatales,repetidas,2010-04-01,186,17,186,17,203
ACHOCALLA,consultas prenatales,repetidas,2010-04-01,77,1,77,1,78
AIQUILE,consultas prenatales,repetidas,2010-04-01,155,4,155,4,159
ALALAY,consultas prenatales,repetidas,2010-04-01,6,3,6,3,9
ALCALA,consultas prenatales,repetidas,2010-04-01,22,0,22,0,22
ALTO BENI,consultas prenatales,repetidas,2010-04-01,54,6,54,6,60
ANCORAIMES,consultas prenatales,repetidas,2010-04-01,39,8,39,8,47
ANDAMARCA,consultas prenatales,repetidas,2010-04-01,16,5,16,5,21
ANTEQUERA,consultas prenatales,repetidas,2010-04-01,13,0,13,0,13
ANZALDO,consultas prenatales,repetidas,2010-04-01,19,4,19,4,23
APOLO,consultas prenatales,repetidas,2010-04-01,76,8,76,8,84
ARAMPAMPA,consultas prenatales,repetidas,2010-04-01,22,2,22,2,24
ARANI,consultas prenatales,repetidas,2010-04-01,67,0,67,0,67
ARBIETO,consultas prenatales,repetidas,2010-04-01,58,2,58,2,60
ARQUE,consultas prenatales,repetidas,2010-04-01,61,1,61,1,62
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2010-04-01,304,0,304,0,304
ATOCHA,consultas prenatales,repetidas,2010-04-01,74,1,74,1,75
AUCAPATA,consultas prenatales,repetidas,2010-04-01,7,1,7,1,8
AYATA,consultas prenatales,repetidas,2010-04-01,17,2,17,2,19
AYO AYO,consultas prenatales,repetidas,2010-04-01,8,0,8,0,8
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2010-04-01,87,13,87,13,100
AZURDUY,consultas prenatales,repetidas,2010-04-01,45,15,45,15,60
BATALLAS,consultas prenatales,repetidas,2010-04-01,60,1,60,1,61
BAURES,consultas prenatales,repetidas,2010-04-01,22,0,22,0,22
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2010-04-01,6,0,6,0,6
BELEN DE URMIRI,consultas prenatales,repetidas,2010-04-01,2,4,2,4,6
BELLA FLOR,consultas prenatales,repetidas,2010-04-01,5,0,5,0,5
BERMEJO,consultas prenatales,repetidas,2010-04-01,287,0,287,0,287
BETANZOS,consultas prenatales,repetidas,2010-04-01,188,29,188,29,217
BOLIVAR,consultas prenatales,repetidas,2010-04-01,22,5,22,5,27
BOLPEBRA,consultas prenatales,repetidas,2010-04-01,13,6,13,6,19
BOYUIBE,consultas prenatales,repetidas,2010-04-01,18,4,18,4,22
BUENA VISTA,consultas prenatales,repetidas,2010-04-01,81,6,81,6,87
CABEZAS,consultas prenatales,repetidas,2010-04-01,103,0,103,0,103
CAIROMA,consultas prenatales,repetidas,2010-04-01,40,6,40,6,46
"CAIZA ""D""",consultas prenatales,repetidas,2010-04-01,61,0,61,0,61
CAJUATA,consultas prenatales,repetidas,2010-04-01,30,4,30,4,34
CALACOTO,consultas prenatales,repetidas,2010-04-01,13,9,13,9,22
CALAMARCA,consultas prenatales,repetidas,2010-04-01,43,5,43,5,48
CAMARGO,consultas prenatales,repetidas,2010-04-01,113,12,113,12,125
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2010-04-01,15,2,15,2,17
CAMIRI,consultas prenatales,repetidas,2010-04-01,263,0,263,0,263
CAPINOTA,consultas prenatales,repetidas,2010-04-01,196,0,196,0,196
CAQUIAVIRI,consultas prenatales,repetidas,2010-04-01,26,2,26,2,28
CARACOLLO,consultas prenatales,repetidas,2010-04-01,53,8,53,8,61
CARANAVI,consultas prenatales,repetidas,2010-04-01,239,11,239,11,250
CARAPARI,consultas prenatales,repetidas,2010-04-01,61,5,61,5,66
CARIPUYO,consultas prenatales,repetidas,2010-04-01,33,3,33,3,36
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2010-04-01,20,0,20,0,20
CHACARILLA,consultas prenatales,repetidas,2010-04-01,2,0,2,0,2
CHALLAPATA,consultas prenatales,repetidas,2010-04-01,209,23,209,23,232
CHAQUI,consultas prenatales,repetidas,2010-04-01,18,3,18,3,21
CHARAGUA,consultas prenatales,repetidas,2010-04-01,213,5,213,5,218
CHARAÑA,consultas prenatales,repetidas,2010-04-01,8,0,8,0,8
CHAYANTA,consultas prenatales,repetidas,2010-04-01,66,18,66,18,84
CHIMORE,consultas prenatales,repetidas,2010-04-01,112,0,112,0,112
CHIPAYA,consultas prenatales,repetidas,2010-04-01,12,0,12,0,12
CHOQUE COTA,consultas prenatales,repetidas,2010-04-01,4,0,4,0,4
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2010-04-01,128,0,128,0,128
CHUMA,consultas prenatales,repetidas,2010-04-01,25,3,25,3,28
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2010-04-01,37,5,37,5,42
CKOCHAS,consultas prenatales,repetidas,2010-04-01,88,0,88,0,88
CLIZA,consultas prenatales,repetidas,2010-04-01,289,0,289,0,289
COBIJA,consultas prenatales,repetidas,2010-04-01,661,0,661,0,661
COCAPATA,consultas prenatales,repetidas,2010-04-01,26,43,26,43,69
COCHABAMBA,consultas prenatales,repetidas,2010-04-01,7125,2,7125,2,7127
COIPASA,consultas prenatales,repetidas,2010-04-01,4,0,4,0,4
COLCAPIRHUA,consultas prenatales,repetidas,2010-04-01,642,0,642,0,642
"COLCHA ""K""",consultas prenatales,repetidas,2010-04-01,38,7,38,7,45
COLLANA,consultas prenatales,repetidas,2010-04-01,10,0,10,0,10
COLOMI,consultas prenatales,repetidas,2010-04-01,126,0,126,0,126
COLPA BELGICA,consultas prenatales,repetidas,2010-04-01,48,0,48,0,48
COLQUECHACA,consultas prenatales,repetidas,2010-04-01,135,31,135,31,166
COLQUENCHA,consultas prenatales,repetidas,2010-04-01,47,0,47,0,47
COLQUIRI,consultas prenatales,repetidas,2010-04-01,38,66,38,66,104
COMANCHE,consultas prenatales,repetidas,2010-04-01,5,3,5,3,8
COMARAPA,consultas prenatales,repetidas,2010-04-01,162,1,162,1,163
COMBAYA,consultas prenatales,repetidas,2010-04-01,5,5,5,5,10
CONCEPCION,consultas prenatales,repetidas,2010-04-01,75,0,75,0,75
COPACABANA,consultas prenatales,repetidas,2010-04-01,56,4,56,4,60
CORIPATA,consultas prenatales,repetidas,2010-04-01,75,1,75,1,76
CORO CORO,consultas prenatales,repetidas,2010-04-01,16,8,16,8,24
COROICO,consultas prenatales,repetidas,2010-04-01,137,11,137,11,148
CORQUE,consultas prenatales,repetidas,2010-04-01,23,3,23,3,26
COTAGAITA,consultas prenatales,repetidas,2010-04-01,107,18,107,18,125
COTOCA,consultas prenatales,repetidas,2010-04-01,458,0,458,0,458
CUATRO CAÑADAS,consultas prenatales,repetidas,2010-04-01,110,5,110,5,115
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2010-04-01,7,0,7,0,7
CUEVO,consultas prenatales,repetidas,2010-04-01,28,3,28,3,31
CULPINA,consultas prenatales,repetidas,2010-04-01,77,17,77,17,94
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2010-04-01,23,0,23,0,23
CURVA,consultas prenatales,repetidas,2010-04-01,2,6,2,6,8
DESAGUADERO,consultas prenatales,repetidas,2010-04-01,57,0,57,0,57
EL ALTO,consultas prenatales,repetidas,2010-04-01,6572,3,6572,3,6575
EL CHORO,consultas prenatales,repetidas,2010-04-01,14,6,14,6,20
EL PUENTE(STC),consultas prenatales,repetidas,2010-04-01,72,1,72,1,73
EL PUENTE(TJA),consultas prenatales,repetidas,2010-04-01,76,3,76,3,79
EL TORNO,consultas prenatales,repetidas,2010-04-01,383,3,383,3,386
EL VILLAR,consultas prenatales,repetidas,2010-04-01,18,9,18,9,27
ENTRE RIOS TRJ,consultas prenatales,repetidas,2010-04-01,119,6,119,6,125
ENTRE RIOS CBBA,consultas prenatales,repetidas,2010-04-01,171,0,171,0,171
ESCOMA,consultas prenatales,repetidas,2010-04-01,34,1,34,1,35
ESMERALDA,consultas prenatales,repetidas,2010-04-01,0,1,0,1,1
EUCALIPTUS,consultas prenatales,repetidas,2010-04-01,31,0,31,0,31
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2010-04-01,14,0,14,0,14
EXALTACION,consultas prenatales,repetidas,2010-04-01,17,0,17,0,17
FERNANDEZ ALONSO,consultas prenatales,repetidas,2010-04-01,84,0,84,0,84
FILADELFIA,consultas prenatales,repetidas,2010-04-01,18,1,18,1,19
GENERAL SAAVEDRA,consultas prenatales,repetidas,2010-04-01,35,39,35,39,74
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2010-04-01,37,3,37,3,40
GUANAY,consultas prenatales,repetidas,2010-04-01,96,4,96,4,100
GUAQUI,consultas prenatales,repetidas,2010-04-01,27,3,27,3,30
GUAYARAMERIN,consultas prenatales,repetidas,2010-04-01,331,8,331,8,339
GUTIERREZ,consultas prenatales,repetidas,2010-04-01,70,2,70,2,72
HUACARETA,consultas prenatales,repetidas,2010-04-01,59,17,59,17,76
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2010-04-01,9,11,9,11,20
HUACHACALLA,consultas prenatales,repetidas,2010-04-01,6,0,6,0,6
HUANUNI,consultas prenatales,repetidas,2010-04-01,252,0,252,0,252
HUARACAJE,consultas prenatales,repetidas,2010-04-01,29,0,29,0,29
HUARINA,consultas prenatales,repetidas,2010-04-01,7,1,7,1,8
HUAYLLAMARCA,consultas prenatales,repetidas,2010-04-01,11,1,11,1,12
HUMANATA,consultas prenatales,repetidas,2010-04-01,14,0,14,0,14
ICHOCA,consultas prenatales,repetidas,2010-04-01,9,10,9,10,19
ICLA,consultas prenatales,repetidas,2010-04-01,29,19,29,19,48
INCAHUASI,consultas prenatales,repetidas,2010-04-01,59,17,59,17,76
INGAVI (HUMAITA),consultas prenatales,repetidas,2010-04-01,8,6,8,6,14
INQUISIVI,consultas prenatales,repetidas,2010-04-01,17,11,17,11,28
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2010-04-01,64,2,64,2,66
IXIAMAS,consultas prenatales,repetidas,2010-04-01,59,0,59,0,59
JESUS DE MACHACA,consultas prenatales,repetidas,2010-04-01,56,3,56,3,59
LA ASUNTA,consultas prenatales,repetidas,2010-04-01,208,0,208,0,208
LA GUARDIA,consultas prenatales,repetidas,2010-04-01,851,0,851,0,851
LA PAZ,consultas prenatales,repetidas,2010-04-01,8330,3,8330,3,8333
LAGUNILLAS,consultas prenatales,repetidas,2010-04-01,37,0,37,0,37
LAJA,consultas prenatales,repetidas,2010-04-01,62,1,62,1,63
LAS CARRERAS,consultas prenatales,repetidas,2010-04-01,20,2,20,2,22
LICOMA PAMPA,consultas prenatales,repetidas,2010-04-01,14,0,14,0,14
LLALLAGUA,consultas prenatales,repetidas,2010-04-01,314,2,314,2,316
LLICA,consultas prenatales,repetidas,2010-04-01,26,0,26,0,26
LORETO,consultas prenatales,repetidas,2010-04-01,16,4,16,4,20
LURIBAY,consultas prenatales,repetidas,2010-04-01,18,2,18,2,20
MACHACAMARCA,consultas prenatales,repetidas,2010-04-01,25,2,25,2,27
MACHARETI,consultas prenatales,repetidas,2010-04-01,53,11,53,11,64
MAGDALENA,consultas prenatales,repetidas,2010-04-01,88,1,88,1,89
MAIRANA,consultas prenatales,repetidas,2010-04-01,78,0,78,0,78
MALLA,consultas prenatales,repetidas,2010-04-01,1,4,1,4,5
MAPIRI,consultas prenatales,repetidas,2010-04-01,44,4,44,4,48
MECAPACA,consultas prenatales,repetidas,2010-04-01,18,18,18,18,36
MINEROS,consultas prenatales,repetidas,2010-04-01,160,7,160,7,167
MIZQUE,consultas prenatales,repetidas,2010-04-01,127,6,127,6,133
MOCOMOCO,consultas prenatales,repetidas,2010-04-01,53,8,53,8,61
MOJINETE,consultas prenatales,repetidas,2010-04-01,4,0,4,0,4
MOJOCOYA,consultas prenatales,repetidas,2010-04-01,52,7,52,7,59
MONTEAGUDO,consultas prenatales,repetidas,2010-04-01,281,20,281,20,301
MONTERO,consultas prenatales,repetidas,2010-04-01,949,0,949,0,949
MORO MORO,consultas prenatales,repetidas,2010-04-01,11,4,11,4,15
MOROCHATA,consultas prenatales,repetidas,2010-04-01,24,30,24,30,54
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2010-04-01,18,0,18,0,18
NAZACARA DE PACAJES,consultas prenatales,repetidas,2010-04-01,2,1,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2010-04-01,5,6,5,6,11
OCURI,consultas prenatales,repetidas,2010-04-01,88,39,88,39,127
OKINAWA,consultas prenatales,repetidas,2010-04-01,94,0,94,0,94
OMEREQUE,consultas prenatales,repetidas,2010-04-01,32,2,32,2,34
ORURO,consultas prenatales,repetidas,2010-04-01,2777,0,2777,0,2777
PADCAYA,consultas prenatales,repetidas,2010-04-01,88,11,88,11,99
PADILLA,consultas prenatales,repetidas,2010-04-01,53,13,53,13,66
