,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES,TOTALES,TOTALES
CATACORA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,0,1,0,1,1
CHALLAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,37,6,37,6,43
CHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,1,2,1,3
CHARAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,25,3,25,3,28
CHARAÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,0,1,0,1
CHAYANTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,9,5,9,5,14
CHIMORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,37,0,37,0,37
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,9,0,9,0,9
CHUMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,5,2,5,2,7
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,0,2,0,2
CKOCHAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,13,0,13,0,13
CLIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,30,0,30,0,30
COBIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,41,0,41,0,41
COCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,12,18,12,18,30
COCHABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1445,18,1445,18,1463
COIPASA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,0,2,0,2
COLCAPIRHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,83,0,83,0,83
"COLCHA ""K""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,10,4,10,4,14
COLOMI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,16,0,16,0,16
COLPA BELGICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,5,0,5,0,5
COLQUECHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,31,6,31,6,37
COLQUENCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,7,0,7,0,7
COLQUIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,3,2,3,5
COMARAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,8,0,8,0,8
COMBAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,2,1,2,3
CONCEPCION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,31,0,31,0,31
COPACABANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,8,1,8,1,9
CORIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,11,0,11,0,11
CORO CORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,1,2,1,3
COROICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,12,0,12,0,12
CORQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,4,3,4,7
COTAGAITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,13,5,13,5,18
COTOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,44,0,44,0,44
CUATRO CAÑADAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,13,0,13,0,13
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,0,1,0,1
CUEVO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,4,0,4,0,4
CULPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,11,3,11,3,14
CURAHUARA DE CARANGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,7,2,7,2,9
CURVA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,0,4,0,4,4
DESAGUADERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,7,0,7,0,7
EL ALTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1188,0,1188,0,1188
EL CHORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,2,3,2,5
EL PUENTE(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,7,0,7,0,7
EL PUENTE(TJA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,0,6,0,6
EL TORNO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,30,0,30,0,30
EL VILLAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,0,2,0,2
ENTRE RIOS TRJ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,7,2,7,2,9
ENTRE RIOS CBBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,56,0,56,0,56
ESCOMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,10,4,10,4,14
EUCALIPTUS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,5,0,5,0,5
EUREKA (SANTOS MERCADO),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,1,1,1,2
EXALTACION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,5,3,5,8
FERNANDEZ ALONSO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,9,0,9,0,9
FILADELFIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,0,3,0,3
GENERAL SAAVEDRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,14,0,14,0,14
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,1,6,1,7
GUANAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,11,0,11,0,11
GUAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,1,3,1,4
GUAYARAMERIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,24,0,24,0,24
GUTIERREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,18,3,18,3,21
HUACARETA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,2,6,2,8
HUANUNI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,35,0,35,0,35
HUARACAJE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,0,3,0,3
HUARINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,3,3,3,6
HUAYLLAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,0,3,0,3
HUMANATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,4,1,4,1,5
ICHOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,6,2,6,8
ICLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,9,1,9,1,10
INCAHUASI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,2,2,2,4
INQUISIVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,2,2,2,4
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,7,1,7,1,8
IXIAMAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,1,3,1,4
JESUS DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,5,0,5,0,5
LA ASUNTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,41,0,41,0,41
LA GUARDIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,60,0,60,0,60
LA PAZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1413,2,1413,2,1415
LA RIVERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,0,1,0,1
LAGUNILLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,0,3,0,3
LAJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,12,2,12,2,14
LAS CARRERAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,0,1,0,1
LICOMA PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,0,3,0,3
LLALLAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,45,2,45,2,47
LLICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,0,2,0,2
LORETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,0,1,0,1
LURIBAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,9,0,9,0,9
MACHACAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,1,6,1,7
MACHARETI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,0,1,0,1
MAGDALENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,7,0,7,0,7
MAIRANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,4,0,4,0,4
MAPIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,0,6,0,6
MECAPACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,0,1,0,1
MINEROS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,16,0,16,0,16
MIZQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,15,0,15,0,15
MOCOMOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,14,1,14,1,15
MOJOCOYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,1,2,1,3
MONTEAGUDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,18,0,18,0,18
MONTERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,107,0,107,0,107
MORO MORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,1,1,1,2
MOROCHATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,15,4,15,4,19
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,0,1,0,1,1
NAZACARA DE PACAJES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,0,1,0,1,1
OCURI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,15,5,15,5,20
OKINAWA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,8,0,8,0,8
OMEREQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,1,1,1,2
ORURO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,610,1,610,1,611
PADCAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,8,1,8,1,9
PADILLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,1,6,1,7
PAILON,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,19,2,19,2,21
PALCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,1,6,1,7
PALOS BLANCOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,12,1,12,1,13
PAMPA GRANDE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,5,0,5,0,5
PAPEL PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,0,2,0,2
PATACAMAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,32,0,32,0,32
PAZÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,4,0,4,0,4
PELECHUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,1,6,1,7
POCOATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,20,2,20,2,22
POCONA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,16,0,16,0,16
POJO (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,9,0,9,0,9
POOPO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,1,1,1,2
PORCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,8,0,8,0,8
POROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,8,3,8,3,11
PORONGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,10,2,10,2,12
PORTACHUELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,28,0,28,0,28
PORVENIR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,10,0,10,0,10
POTOSI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,601,0,601,0,601
PRESTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,7,1,7,1,8
PUCARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,15,0,15,0,15
PUERTO ACOSTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,4,1,4,1,5
PUERTO CARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,3,6,3,9
PUERTO GONZALO MORENO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,0,2,0,2
PUERTO PEREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,4,0,4,0,4
PUERTO QUIJARRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,18,0,18,0,18
PUERTO RICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,1,6,1,7
PUERTO SUAREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,18,0,18,0,18
PUERTO VILLARROEL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,79,8,79,8,87
PUNA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,24,2,24,2,26
PUNATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,25,0,25,0,25
QUIABAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,0,3,0,3
QUILLACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,136,5,136,5,141
QUIME,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,0,3,0,3
RAVELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,21,1,21,1,22
REYES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,15,8,15,8,23
RIBERALTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,216,8,216,8,224
ROBORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,13,0,13,0,13
RURRENABAQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,16,5,16,5,21
SABAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,0,1,0,1,1
SACABA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,227,0,227,0,227
SACABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,1,2,1,3
SACACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,15,4,15,4,19
SAIPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,0,2,0,2
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,3,1,3,4
SAMAIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,4,2,4,2,6
SAN AGUSTIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,0,1,0,1
SAN ANDRES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,8,5,8,5,13
SAN ANDRES DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,1,2,1,3
SAN ANTONIO DE ESMORUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,0,1,0,1
SAN BENITO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,0,6,0,6
SAN BORJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,33,4,33,4,37
SAN BUENA VENTURA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,14,0,14,0,14
SAN CARLOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,15,0,15,0,15
SAN IGNACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,33,0,33,0,33
SAN IGNACIO DE VELASCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,59,2,59,2,61
SAN JAVIER(BNI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,4,0,4,0,4
SAN JAVIER(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,18,0,18,0,18
SAN JOAQUIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,4,6,4,6,10
SAN JOSE DE CHIQUITOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,23,0,23,0,23
SAN JUAN DE YAPACANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,15,0,15,0,15
SAN JULIAN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,22,0,22,0,22
SAN LORENZO(PND),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,7,0,7,0,7
SAN LORENZO(TJA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,5,2,5,2,7
SAN LUCAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,13,3,13,3,16
SAN MATIAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,23,0,23,0,23
SAN MIGUEL DE VELASCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,0,6,0,6
SAN PABLO DE LIPEZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,0,2,0,2
SAN PEDRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,8,0,8,0,8
SAN PEDRO DE BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,28,3,28,3,31
SAN PEDRO DE CURAHUARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,2,2,2,4
SAN RAFAEL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,0,3,0,3
SAN RAMON BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,4,0,4,0,4
SAN RAMON SCZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,10,0,10,0,10
SANTA ANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,19,0,19,0,19
SANTA CRUZ DE LA SIERRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3360,18,3360,18,3378
SANTA ROSA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,9,0,9,0,9
SANTA ROSA DEL SARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,5,1,5,1,6
SANTIAGO DE CALLAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,1,2,1,3
SANTIAGO DE HUARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,7,1,7,1,8
SANTIAGO DE HUATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,8,2,8,2,10
SANTIAGO DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,0,1,0,1
SANTIVAÑES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,0,2,0,2
SANTUARIO DE QUILLACAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,0,2,0,2
SAPAHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,4,1,4,1,5
SENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,0,1,0,1
SHINAOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,24,0,24,0,24
SICA SICA (VILLA AROMA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,17,1,17,1,18
SICAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,9,0,9,0,9
SIPE SIPE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,51,0,51,0,51
SOPACHUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,4,0,4,0,4
SORACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,2,3,2,5
SORATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,16,8,16,8,24
SUCRE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,231,4,231,4,235
TACACOMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,0,6,0,6
TACOBAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,0,6,0,6
TACOPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,11,1,11,1,12
TAPACARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,26,5,26,5,31
TARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,7,2,7,2,9
TARATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,8,0,8,0,8
TARIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,233,0,233,0,233
TARVITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,2,3,2,5
TIAWANACU,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,9,1,9,1,10
TINGUIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,16,2,16,2,18
TIPUANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,0,6,0,6
TIQUIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,84,4,84,4,88
TIRAQUE (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,26,0,26,0,26
TOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,4,0,4,0,4
TOLATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,0,2,0,2
TOLEDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,0,3,0,3
TOMAVE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,7,1,7,1,8
TOMINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,4,0,4,0,4
TORO TORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,10,2,10,2,12
TOTORA(CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,17,30,17,30,47
TOTORA(ORR),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,1,6,1,7
TRINIDAD,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,145,28,145,28,173
TUPIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,18,6,18,6,24
TURCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,1,0,1,0,1
UMALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,0,2,0,2,2
UNCIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,17,2,17,2,19
URIONDO (A. CONCEPCION),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,7,2,7,2,9
URUBICHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,4,0,4,0,4
UYUNI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,43,0,43,0,43
VACAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,5,0,5,0,5
VALLEGRANDE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,4,0,4,0,4
VIACHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,45,1,45,1,46
VILA VILA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,0,2,0,2
VILLA CHARCAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,7,2,7,9
VILLA MONTES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,24,0,24,0,24
VILLA NUEVA (LOMA ALTA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,0,1,0,1,1
VILLA RIVERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,0,3,0,3
VILLA SERRANO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,2,6,2,8
VILLA TUNARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,91,0,91,0,91
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,0,2,0,2
VILLAZON,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,30,4,30,4,34
VINTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,99,0,99,0,99
VITICHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,6,2,6,2,8
WALDO BALLIVIAN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,0,2,0,2
WARNES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,106,0,106,0,106
YACO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,2,3,2,5
YACUIBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,150,7,150,7,157
YAMPARAEZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,0,3,0,3
YANACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,0,3,0,3
YAPACANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,43,0,43,0,43
YOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,7,0,7,0,7
YOTALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,2,0,2,0,2
YUNCHARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,0,3,0,3,3
ZUDAÑEZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-03-01,3,0,3,0,3
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-04-01,1,3,1,3,4
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-04-01,27,12,27,12,39
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-04-01,6,1,6,1,7
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-04-01,28,0,28,0,28
