,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES,TOTALES,TOTALES
VILLAZON,consultas prenatales,mujeres con 4ta consulta prenatal,2010-03-01,76,0,76,0,76
VINTO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-03-01,97,0,97,0,97
VITICHI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-03-01,14,1,14,1,15
WALDO BALLIVIAN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-03-01,2,0,2,0,2
WARNES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-03-01,165,1,165,1,166
YACO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-03-01,3,2,3,2,5
YACUIBA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-03-01,106,0,106,0,106
YAMPARAEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-03-01,4,1,4,1,5
YANACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-03-01,3,0,3,0,3
YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-03-01,76,0,76,0,76
YOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-03-01,5,0,5,0,5
YOTALA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-03-01,15,0,15,0,15
YUNCHARA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-03-01,3,6,3,6,9
ZUDAÑEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-03-01,4,2,4,2,6
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,4,1,4,1,5
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,34,3,34,3,37
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,4,1,4,1,5
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,46,0,46,0,46
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,2,1,2,3
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,0,3,0,3
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,17,3,17,3,20
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,10,2,10,2,12
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,1,3,1,4
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,9,0,9,0,9
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,8,4,8,4,12
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,24,4,24,4,28
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,0,3,0,3
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,20,0,20,0,20
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,14,0,14,0,14
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,11,1,11,1,12
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,49,0,49,0,49
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,28,0,28,0,28
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,1,1,1,2
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,0,5,0,5
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,4,0,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,14,5,14,5,19
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,13,6,13,6,19
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,18,0,18,0,18
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,0,5,0,5
BELEN DE URMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,2,0,2,0,2
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,44,0,44,0,44
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,34,6,34,6,40
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,10,3,10,3,13
BOLPEBRA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,4,1,4,1,5
BOYUIBE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,2,0,2,0,2
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,20,2,20,2,22
CABEZAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,31,0,31,0,31
CAIROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,10,1,10,1,11
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,10,0,10,0,10
CAJUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,7,2,7,2,9
CALACOTO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,2,3,2,5
CALAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,7,0,7,0,7
CAMARGO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,33,1,33,1,34
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,2,0,2,0,2
CAMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,49,0,49,0,49
CAPINOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,28,0,28,0,28
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,2,1,2,3
CARACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,3,5,3,8
CARANAVI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,102,5,102,5,107
CARAPARI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,9,1,9,1,10
CARIPUYO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,2,1,2,1,3
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,2,0,2,0,2
CHACARILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,0,1,0,1
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,40,6,40,6,46
CHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,0,5,0,5
CHARAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,44,3,44,3,47
CHARAÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,0,1,0,1
CHAYANTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,13,3,13,3,16
CHIMORE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,13,0,13,0,13
CHIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,0,3,0,3
CHOQUE COTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,54,0,54,0,54
CHUMA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,2,3,2,5
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,3,5,3,8
CKOCHAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,22,0,22,0,22
CLIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,30,0,30,0,30
COBIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,90,0,90,0,90
COCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,14,19,14,19,33
COCHABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1187,0,1187,0,1187
COLCAPIRHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,96,0,96,0,96
"COLCHA ""K""",consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,10,1,10,1,11
COLLANA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,6,0,6,0,6
COLOMI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,28,0,28,0,28
COLPA BELGICA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,0,3,0,3
COLQUECHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,25,11,25,11,36
COLQUENCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,11,0,11,0,11
COLQUIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,9,18,9,18,27
COMANCHE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,1,3,1,4
COMARAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,27,0,27,0,27
COMBAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,0,3,0,3
CONCEPCION,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,14,0,14,0,14
COPACABANA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,13,0,13,0,13
CORIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,8,1,8,1,9
CORO CORO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,2,1,2,3
COROICO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,21,1,21,1,22
CORQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,6,0,6,0,6
COTAGAITA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,18,2,18,2,20
COTOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,69,0,69,0,69
CUATRO CAÑADAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,25,1,25,1,26
CUEVO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,9,1,9,1,10
CULPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,21,7,21,7,28
CURAHUARA DE CARANGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,0,3,0,3
CURVA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,0,1,0,1,1
DESAGUADERO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,16,0,16,0,16
EL ALTO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1066,2,1066,2,1068
EL CHORO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,1,5,1,6
EL PUENTE(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,13,0,13,0,13
EL PUENTE(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,16,1,16,1,17
EL TORNO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,46,0,46,0,46
EL VILLAR,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,4,4,4,4,8
ENTRE RIOS TRJ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,28,2,28,2,30
ENTRE RIOS CBBA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,29,0,29,0,29
ESCOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,2,1,2,1,3
ESMERALDA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,0,1,0,1,1
EUCALIPTUS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,4,0,4,0,4
EUREKA (SANTOS MERCADO),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,0,5,0,5
EXALTACION,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,4,0,4,0,4
FERNANDEZ ALONSO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,13,0,13,0,13
FILADELFIA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,2,0,2,0,2
GENERAL SAAVEDRA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,10,11,10,11,21
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,11,0,11,0,11
GUANAY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,16,0,16,0,16
GUAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,2,5,2,7
GUAYARAMERIN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,64,7,64,7,71
GUTIERREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,14,0,14,0,14
HUACARETA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,22,5,22,5,27
HUACAYA (VILLA DE HUACAYA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,7,1,7,1,8
HUACHACALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,0,1,0,1
HUANUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,49,0,49,0,49
HUARACAJE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,0,5,0,5
HUARINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,0,3,0,3
HUAYLLAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,0,1,0,1
HUMANATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,4,0,4,0,4
ICHOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,0,3,0,3,3
ICLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,8,4,8,4,12
INCAHUASI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,11,3,11,3,14
INGAVI (HUMAITA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,0,1,0,1
INQUISIVI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,7,0,7,0,7
IRUPANA (VILLA DE LANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,13,0,13,0,13
IXIAMAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,0,5,0,5
JESUS DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,12,2,12,2,14
LA ASUNTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,46,0,46,0,46
LA GUARDIA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,86,0,86,0,86
LA PAZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1124,0,1124,0,1124
LAGUNILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,10,0,10,0,10
LAJA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,12,0,12,0,12
LAS CARRERAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,4,1,4,1,5
LICOMA PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,0,1,0,1
LLALLAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,62,1,62,1,63
LLICA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,4,0,4,0,4
LORETO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,6,1,6,1,7
LURIBAY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,1,3,1,4
MACHACAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,4,0,4,0,4
MACHARETI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,13,2,13,2,15
MAGDALENA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,16,0,16,0,16
MAIRANA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,10,0,10,0,10
MALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,0,1,0,1,1
MAPIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,7,3,7,3,10
MECAPACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,4,1,4,5
MINEROS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,41,0,41,0,41
MIZQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,27,1,27,1,28
MOCOMOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,16,1,16,1,17
MOJINETE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,0,3,0,3
MOJOCOYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,7,4,7,4,11
MONTEAGUDO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,42,7,42,7,49
MONTERO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,156,0,156,0,156
MORO MORO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,0,1,0,1
MOROCHATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,7,7,7,7,14
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,0,5,0,5
NAZACARA DE PACAJES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,0,1,0,1,1
OCURI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,21,5,21,5,26
OKINAWA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,16,0,16,0,16
OMEREQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,0,5,0,5
ORURO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,430,0,430,0,430
PADCAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,24,2,24,2,26
PADILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,15,1,15,1,16
PAILON,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,21,15,21,15,36
PALCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,2,1,2,1,3
PALOS BLANCOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,31,0,31,0,31
PAMPA AULLAGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,0,3,0,3
PAMPA GRANDE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,14,0,14,0,14
PAPEL PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,0,3,0,3
PATACAMAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,27,0,27,0,27
PAZÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,8,0,8,0,8
PELECHUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,1,3,1,4
POCOATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,20,7,20,7,27
POCONA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,2,5,2,7
POJO (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,6,3,6,3,9
POOPO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,0,5,0,5
PORCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,13,0,13,0,13
POROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,11,5,11,5,16
PORONGO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,11,1,11,1,12
PORTACHUELO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,35,0,35,0,35
PORVENIR,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,11,0,11,0,11
POSTRER VALLE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,2,0,2,0,2
POTOSI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,303,1,303,1,304
PRESTO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,8,1,8,1,9
PUCARA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,2,1,2,3
PUCARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,21,0,21,0,21
PUERTO ACOSTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,2,0,2,0,2
PUERTO CARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,14,1,14,1,15
PUERTO GONZALO MORENO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,8,3,8,3,11
PUERTO PEREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,0,5,0,5
PUERTO QUIJARRO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,16,0,16,0,16
PUERTO RICO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,6,1,6,1,7
PUERTO SUAREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,33,0,33,0,33
PUERTO VILLARROEL,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,147,4,147,4,151
PUNA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,21,0,21,0,21
PUNATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,47,0,47,0,47
QUIABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,0,3,0,3
QUILLACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,118,5,118,5,123
QUIME,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,6,1,6,1,7
QUIRUSILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,0,1,0,1
RAVELO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,8,4,8,4,12
REYES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,13,1,13,1,14
RIBERALTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,223,7,223,7,230
ROBORE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,20,0,20,0,20
RURRENABAQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,37,0,37,0,37
SABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,0,1,0,1
SACABA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,200,0,200,0,200
SACABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,2,0,2,0,2
SACACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,19,0,19,0,19
SAIPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,13,0,13,0,13
SALINAS DE GARCI MENDOZA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,4,2,4,2,6
SAMAIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,7,0,7,0,7
SAN AGUSTIN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,2,0,2,0,2
SAN ANDRES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,11,0,11,0,11
SAN ANDRES DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,5,1,5,6
SAN ANTONIO DE ESMORUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,6,0,6,0,6
SAN BENITO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,29,0,29,0,29
SAN BORJA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,98,0,98,0,98
SAN BUENA VENTURA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,23,0,23,0,23
SAN CARLOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,29,0,29,0,29
SAN IGNACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,46,0,46,0,46
SAN IGNACIO DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,84,10,84,10,94
SAN JAVIER(BNI),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,1,3,1,4
SAN JAVIER(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,23,0,23,0,23
SAN JOAQUIN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,9,6,9,6,15
SAN JOSE DE CHIQUITOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,15,0,15,0,15
SAN JUAN DE YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,30,0,30,0,30
SAN JULIAN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,115,4,115,4,119
SAN LORENZO(PND),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,2,3,2,5
SAN LORENZO(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,39,0,39,0,39
SAN LUCAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,49,26,49,26,75
SAN MATIAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,20,0,20,0,20
SAN MIGUEL DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,20,2,20,2,22
SAN PABLO DE LIPEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,0,5,0,5
SAN PEDRO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,19,0,19,0,19
SAN PEDRO DE BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,18,0,18,0,18
SAN PEDRO DE CURAHUARA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,5,0,5,0,5
SAN PEDRO DE TIQUINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,6,0,6,0,6
SAN PEDRO(PND),consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,0,1,0,1
SAN RAFAEL,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,9,0,9,0,9
SAN RAMON BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,7,0,7,0,7
SAN RAMON SCZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,7,0,7,0,7
SANTA ANA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,36,0,36,0,36
SANTA CRUZ DE LA SIERRA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1775,7,1775,7,1782
SANTA ROSA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,12,0,12,0,12
SANTA ROSA DEL SARA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,22,0,22,0,22
SANTIAGO DE CALLAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,2,3,2,3,5
SANTIAGO DE HUARI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,1,0,1,0,1
SANTIAGO DE HUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,0,3,0,3
SANTIAGO DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,4,1,4,1,5
SANTIVAÑES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,7,0,7,0,7
SANTUARIO DE QUILLACAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,2,0,2,0,2
SAPAHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,2,1,2,1,3
SENA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-04-01,3,0,3,0,3
