municipality,group,variable,month,10.3. Nº de comunidades que participaron en el CAI de establecimiento,TOTAL
PADCAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,3,3
PALOS BLANCOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,4,4
PAPEL PAMPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,16,16
PATACAMAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,7,7
PELECHUCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,3,3
POCOATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,11,11
POCONA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,9,9
POJO (CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,9,9
PORONGO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,5,5
PORTACHUELO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,2,2
PUCARANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,7,7
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
PUERTO PEREZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,2,2
QUIABAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,18,18
QUILLACOLLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,11,11
RIBERALTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,21,21
SABAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,5,5
SACABA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,6,6
SACABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,2,2
SAN CARLOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,40,40
SAN JULIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,45,45
SAN LUCAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,9,9
SAN PEDRO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,9,9
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,27,27
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,4,4
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,7,7
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,3,3
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,16,16
SORACACHI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,3,3
SORATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,12,12
TACACOMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,3,3
TACOPAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,11,11
TAPACARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,73,73
TARACO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,10,10
TARATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,10,10
TARVITA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,2,2
TIQUIPAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,10,10
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
TOCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
TODOS SANTOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
TOLATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,2,2
TOLEDO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,48,48
TOMAVE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,5,5
TOMINA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
TOTORA(CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,9,9
TOTORA(ORR),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
TRIGAL,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,5,5
TURCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,41,41
VIACHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,8,8
VILLA TUNARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,32,32
VILLAZON,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,2,2
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,2,2
WARNES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,12,12
YAPACANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,11,11
YUNCHARA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,2,2
ACACIO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,6,6
ACHACACHI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,13,13
ACHOCALLA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,2,2
ALCALA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,9,9
ANCORAIMES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,19,19
ANDAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,2,2
ANZALDO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
APOLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,3,3
ARANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,6,6
ARQUE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,25,25
ATOCHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
AUCAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,15,15
AYATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,2,2
AYO AYO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,9,9
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,4,4
BERMEJO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,32,32
BETANZOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,18,18
BUENA VISTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,6,6
CAJUATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,3,3
CALAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,7,7
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,5,5
CAPINOTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,22,22
CARAPARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,4,4
CHARAGUA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
CHAYANTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
CHUA COCANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,5,5
CHUMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,6,6
CKOCHAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,31,31
CLIZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,6,6
COCHABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,13,13
COLLANA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
COLOMI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,5,5
COLQUENCHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,2,2
COLQUIRI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,11,11
COMANCHE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,4,4
COMARAPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,5,5
CONCEPCION,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,5,5
COTAGAITA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,4,4
COTOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,11,11
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,10,10
CUEVO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,5,5
CURVA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
DESAGUADERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,9,9
EL ALTO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,57,57
EL TORNO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,7,7
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,4,4
ESMERALDA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,9,9
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,3,3
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,6,6
GUAQUI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,21,21
GUAYARAMERIN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,2,2
GUTIERREZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,12,12
HUACARETA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
HUACHACALLA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,11,11
HUARINA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,4,4
ICHOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,2,2
ICLA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,2,2
INQUISIVI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,2,2
LA GUARDIA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,56,56
LAGUNILLAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,27,27
LAJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
LICOMA PAMPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
LLALLAGUA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,10,10
MAIRANA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
MAPIRI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,3,3
MECAPACA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,4,4
MINEROS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,8,8
MOJINETE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
MONTEAGUDO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,14,14
MONTERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,24,24
MORO MORO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,2,2
MOROCHATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,9,9
NAZACARA DE PACAJES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,5,5
OKINAWA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,2,2
PADCAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,5,5
PALCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,5,5
PALOS BLANCOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
POCOATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,36,36
POCONA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,13,13
POJO (CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,9,9
PORONGO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,15,15
PORTACHUELO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,7,7
PRESTO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,4,4
PUCARANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,9,9
PUERTO PEREZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,5,5
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,22,22
PUNA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,48,48
QUIABAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,23,23
QUILLACOLLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,9,9
REYES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,20,20
SABAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,6,6
SACABA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,9,9
SACABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
SACACA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,8,8
SAN AGUSTIN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,6,6
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,10,10
SAN BORJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,3,3
SAN CARLOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,5,5
SAN JULIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,57,57
SAN LUCAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,5,5
SAN MATIAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,12,12
SAN PEDRO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,9,9
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,46,46
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,9,9
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,4,4
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,9,9
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,4,4
SANTIVAÑES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,4,4
SHINAOTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,2,2
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,4,4
SUCRE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,80,80
TACOPAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,57,57
TAHUA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
TAPACARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,60,60
TARABUCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,3,3
TARACO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,4,4
TARIJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,19,19
TARVITA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,6,6
TIQUIPAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,5,5
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,5,5
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
TOCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
TOLATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,2,2
TOLEDO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,12,12
TOMAVE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,8,8
TOMINA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,9,9
TORO TORO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,11,11
TRIGAL,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,12,12
TUPIZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,35,35
UNCIA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,23,23
VACAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,7,7
VALLEGRANDE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,7,7
VIACHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,21,21
VILLA CHARCAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,4,4
VILLA MONTES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
VILLA RIVERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,4,4
VILLA SERRANO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,3,3
VILLA TUNARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,1,1
VILLAZON,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,10,10
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,2,2
WARNES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,10,10
YOTALA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,9,9
ZUDAÑEZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-04-01,32,32
ACHACACHI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,13,13
ALCALA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,10,10
ANCORAIMES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,18,18
ANDAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
APOLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,4,4
ARANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,2,2
ARBIETO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,4,4
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,25,25
AUCAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,6,6
AYATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,2,2
AYO AYO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
BATALLAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,12,12
BUENA VISTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,5,5
CALAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,6,6
CAMIRI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
CAPINOTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,6,6
CARACOLLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,7,7
CARAPARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,2,2
CARIPUYO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,11,11
CHARAGUA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
CHAYANTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,6,6
CHIMORE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,10,10
CHUMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,7,7
CKOCHAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,3,3
CLIZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,5,5
COCAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
