municipality,group,variable,month,10.8. N° de autoevaluciones para acreditación del establecimiento,TOTAL
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,2,2
CAPINOTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,2,2
CARAPARI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
CHARAGUA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,2,2
CUEVO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,2,2
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
INGAVI (HUMAITA),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,5,5
LA PAZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,10,10
MACHARETI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,3,3
MONTERO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,12,12
OCURI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
PADILLA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
POROMA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
PORVENIR,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
PUNA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
SAN IGNACIO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,4,4
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
SHINAOTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,2,2
SICAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
SORATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,10,10
TACOPAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,7,7
TAPACARI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,2,2
TIAWANACU,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,2,2
TORO TORO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
VILLA CHARCAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,7,7
YAMPARAEZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,2,2
YAPACANI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,6,6
YOTALA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
ZUDAÑEZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
ARQUE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,2,2
AZURDUY,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
BELLA FLOR,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
BOLIVAR,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
CAPINOTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,3,3
CHARAGUA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,2,2
COMBAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,12,12
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
EL TORNO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,4,4
ICLA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,7,7
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
LA ASUNTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,5,5
MAPIRI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,2,2
MONTEAGUDO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,3,3
ORURO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,198,198
PADCAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
PUERTO PEREZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,5,5
QUILLACOLLO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
RAVELO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
SACABA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
SACACA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
SAN AGUSTIN,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
SANTIVAÑES,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
SENA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
SHINAOTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,2,2
SOPACHUY,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
SORATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,2,2
SUCRE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,6,6
TACACHI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
TACOPAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
TARATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,4,4
TARIJA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,3,3
TARVITA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,3,3
TIAWANACU,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
TINGUIPAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,3,3
TOLEDO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,3,3
TORO TORO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,3,3
VIACHA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,4,4
YAPACANI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,8,8
YOTALA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
ZUDAÑEZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-07-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
ALTO BENI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,2,2
CAPINOTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
CARANAVI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
CHARAGUA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
CHOQUE COTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
CHUA COCANI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
CORQUE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,4,4
CUEVO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,7,7
EL CHORO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
HUATAJATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
ICLA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,2,2
INGAVI (HUMAITA),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
IXIAMAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,4,4
MACHARETI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
MAPIRI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,4,4
MOJOCOYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,2,2
PADILLA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,3,3
PAILON,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
POOPO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
PUCARANI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
SACABAMBA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,2,2
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
SAN PEDRO DE QUEMES,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
SENA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
SHINAOTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
SOPACHUY,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
SORATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,3,3
TACACOMA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,4,4
TEOPONTE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
TINGUIPAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,2,2
TIPUANI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,2,2
TOLEDO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,6,6
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,2,2
VITICHI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
YACO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,2,2
YACUIBA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,9,9
YAMPARAEZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,1,1
YOTALA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-08-01,6,6
ALCALA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
ALTO BENI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,2,2
CAMARGO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
CHARAGUA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,2,2
COMBAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
CORQUE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,3,3
CULPINA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,4,4
EL CHORO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,2,2
INCAHUASI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,8,8
MAPIRI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
MONTEAGUDO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
PORCO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
POSTRER VALLE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
PUNA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,11,11
SACACA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
SAN MATIAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,6,6
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,2,2
SHINAOTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
TACACHI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
TACOPAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
TARABUCO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
TINGUIPAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
TOMAVE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
TRINIDAD,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
TURCO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,2,2
UYUNI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,2,2
VILLA MONTES,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
VILLA SERRANO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
WARNES,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,2,2
YACO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,2,2
YACUIBA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,3,3
YAMPARAEZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,1,1
YOTALA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-09-01,2,2
ARQUE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,2,2
AZURDUY,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,2,2
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,4,4
BOLIVAR,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,1,1
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,2,2
CARACOLLO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,2,2
CARIPUYO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,2,2
CLIZA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,3,3
COLQUECHACA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,1,1
CORQUE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,1,1
CUEVO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,2,2
CULPINA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,1,1
EL CHORO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,1,1
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,3,3
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,1,1
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,3,3
HUANUNI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,1,1
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-10-01,1,1
