municipality,group,variable,month,10.7. N° de auditorias internas en salud en aplicación de norma técnica,TOTAL
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,2,2
SHINAOTA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,11,11
TARIJA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,4,4
TINGUIPAYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,2,2
WARNES,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,2,2
YACUIBA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,42,42
YAMPARAEZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,1,1
YOTALA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,5,5
AZURDUY,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,2,2
CLIZA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,9,9
COCHABAMBA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,152,152
COLQUECHACA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
CORQUE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,2,2
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
ICLA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,3,3
MACHARETI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
MONTEAGUDO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,2,2
PAILON,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
POJO (CBBA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
PORCO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
PRESTO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
SAMAIPATA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,18,18
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,2,2
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,10,10
TARIJA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,4,4
TARVITA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,2,2
TOTORA(ORR),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
VINTO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,4,4
YAMPARAEZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,1,1
YOTALA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-10-01,2,2
BERMEJO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,3,3
CALAMARCA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,5,5
EL TORNO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
ICLA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,8,8
LAJA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,2,2
MONTERO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,98,98
OCURI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
PADILLA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
POCONA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
PORCO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,2,2
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
PUNA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,3,3
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
SAN PEDRO DE QUEMES,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,8,8
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,3,3
SENA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
SIPE SIPE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,8,8
TARIJA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,8,8
TURCO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
UNCIA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
WARNES,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-11-01,4,4
ACACIO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,5,5
COLQUECHACA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,7,7
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,3,3
ICLA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,9,9
LA PAZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,5,5
MOJOCOYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,3,3
MONTEAGUDO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,1,1
OCURI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,1,1
PADILLA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,1,1
PORTACHUELO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,1,1
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,2,2
SAN LUCAS,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,1,1
SAN PEDRO DE QUEMES,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,4,4
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,2,2
SIPE SIPE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,10,10
TARABUCO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,2,2
TARIJA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,3,3
TARVITA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,1,1
VINTO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,1,1
VITICHI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-12-01,1,1
