municipality,group,variable,month,10.1. Nº de actividades realizadas con participación de la comunidad,TOTAL
PUCARANI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,1,1
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,4,4
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,2,2
PUERTO PEREZ,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,3,3
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,4,4
PUERTO RICO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,1,1
PUERTO SILES,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,2,2
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,1,1
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,27,27
PUNA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,67,67
PUNATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,5,5
QUIABAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,3,3
QUILLACOLLO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,78,78
QUIME,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,3,3
RAVELO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,78,78
REYES,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,10,10
RIBERALTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,16,16
ROBORE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,1,1
SABAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,10,10
SACABA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,37,37
SACABAMBA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,3,3
SACACA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,67,67
SAIPINA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,5,5
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,92,92
SAN AGUSTIN,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,6,6
SAN ANDRES,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,3,3
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,23,23
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,1,1
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,37,37
SAN BENITO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,71,71
SAN BORJA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,19,19
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,9,9
SAN CARLOS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,26,26
SAN IGNACIO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,44,44
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,63,63
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,6,6
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,4,4
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,10,10
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,35,35
SAN LUCAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,60,60
SAN MATIAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,4,4
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,6,6
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,5,5
SAN PEDRO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,8,8
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,105,105
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,8,8
SAN RAFAEL,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,3,3
SAN RAMON BENI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,2,2
SANTA ANA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,3,3
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,106,106
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,1,1
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,11,11
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,32,32
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,5,5
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,6,6
SANTIVAÑES,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,12,12
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,16,16
SAPAHAQUI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,8,8
SHINAOTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,28,28
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,29,29
SICAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,8,8
SIPE SIPE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,6,6
SOPACHUY,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,27,27
SORACACHI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,41,41
SORATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,42,42
SUCRE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,110,110
TACACOMA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,1,1
TACOBAMBA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,1,1
TACOPAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,21,21
TAPACARI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,36,36
TARABUCO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,52,52
TARACO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,11,11
TARATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,27,27
TARIJA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,137,137
TARVITA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,43,43
TEOPONTE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,9,9
TINGUIPAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,50,50
TIPUANI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,1,1
TIQUIPAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,69,69
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,13,13
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,3,3
TOCO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,2,2
TODOS SANTOS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,2,2
TOLATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,3,3
TOLEDO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,23,23
TOMAVE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,6,6
TOMINA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,24,24
TORO TORO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,60,60
TOTORA(CBBA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,23,23
TOTORA(ORR),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,16,16
TRIGAL,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,2,2
TRINIDAD,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,45,45
TUPIZA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,24,24
UMALA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,3,3
UNCIA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,1,1
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,268,268
URUBICHA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,21,21
UYUNI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,7,7
VACAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,37,37
VALLEGRANDE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,27,27
VIACHA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,43,43
VILLA CHARCAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,34,34
VILLA MONTES,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,17,17
VILLA RIVERO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,21,21
VILLA SERRANO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,36,36
VILLA TUNARI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,83,83
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,19,19
VILLAZON,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,31,31
VINTO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,12,12
VITICHI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,28,28
WARNES,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,16,16
YACO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,30,30
YAMPARAEZ,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,23,23
YAPACANI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,3,3
YOCALLA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,2,2
YOTALA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,31,31
YUNCHARA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,49,49
ZUDAÑEZ,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-03-01,35,35
ACACIO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,8,8
ACHACACHI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,19,19
AIQUILE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,47,47
ALALAY,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,17,17
ALCALA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,25,25
ANCORAIMES,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,8,8
ANDAMARCA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,9,9
ANTEQUERA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,7,7
ANZALDO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,5,5
APOLO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,8,8
ARAMPAMPA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,35,35
ARANI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,4,4
ARBIETO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,8,8
ARQUE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,13,13
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,17,17
ATOCHA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,5,5
AUCAPATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,10,10
AYATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,10,10
AYO AYO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,1,1
AZURDUY,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,41,41
BAURES,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,3,3
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,5,5
BERMEJO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,50,50
BETANZOS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,90,90
BOLIVAR,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,37,37
BOLPEBRA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,3,3
BOYUIBE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,11,11
BUENA VISTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,6,6
CAIROMA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,5,5
"CAIZA ""D""",actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,19,19
CALACOTO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,6,6
CAMARGO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,42,42
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,18,18
CAMIRI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,42,42
CAPINOTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,25,25
CAQUIAVIRI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,2,2
CARACOLLO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,44,44
CARANAVI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,7,7
CARAPARI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,19,19
CARIPUYO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,22,22
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,10,10
CATACORA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,51,51
CHAQUI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,24,24
CHARAGUA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,11,11
CHARAÑA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,1,1
CHAYANTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,10,10
CHIPAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,2,2
CHOQUE COTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,1,1
CHUA COCANI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,22,22
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,4,4
CHUMA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,23,23
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,5,5
CKOCHAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,15,15
CLIZA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,2,2
COCAPATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,24,24
COCHABAMBA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,65,65
COIPASA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,1,1
COLCAPIRHUA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,1,1
"COLCHA ""K""",actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,9,9
COLOMI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,6,6
COLPA BELGICA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,50,50
COLQUIRI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,36,36
COMARAPA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,11,11
CONCEPCION,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,24,24
COPACABANA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,1,1
CORIPATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,13,13
COROICO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,4,4
CORQUE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,16,16
COTAGAITA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,59,59
COTOCA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,6,6
CRUZ DE MACHACAMARCA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,11,11
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,14,14
CUEVO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,2,2
CULPINA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,48,48
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,7,7
CURVA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,5,5
DESAGUADERO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,6,6
EL ALTO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,127,127
EL CHORO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,19,19
EL PUENTE(STC),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,25,25
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,48,48
EL TORNO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,22,22
EL VILLAR,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,25,25
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,111,111
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,7,7
ESCARA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,2,2
EUCALIPTUS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,8,8
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,5,5
FILADELFIA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,1,1
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,225,225
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,13,13
GUANAY,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,8,8
GUAQUI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,9,9
GUAYARAMERIN,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,52,52
GUTIERREZ,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,12,12
HUACARETA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,27,27
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,12,12
HUACHACALLA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,2,2
HUANUNI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,25,25
HUARINA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,1,1
HUATAJATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,2,2
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,17,17
ICHOCA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,1,1
ICLA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,35,35
INCAHUASI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,16,16
INQUISIVI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,15,15
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,21,21
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,43,43
LA ASUNTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,8,8
LA GUARDIA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,56,56
LA PAZ,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,158,158
LA RIVERA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-04-01,3,3
