,group,variable,month,L 20.1 DPT 5TA DOSIS CANTIDAD,L 20.1 DPT 5TA DOSIS CANTIDAD,TOTALES
ACHOCALLA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,15,15
AIQUILE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,8,8
ANDAMARCA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,9,9
ANTEQUERA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,6,6
ARAMPAMPA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,6,8
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,3,0,3
BATALLAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,2,3
BELEN DE ANDAMARCA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,1,2
BERMEJO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,13,0,13
BETANZOS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,3,5
BOLIVAR,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,5,6
CABEZAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,10,21,31
"CAIZA ""D""",vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,3,3
CALACOTO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,4,4
CAMARGO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,2,4
CAMIRI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,2,2
CAPINOTA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,0,1
CAQUIAVIRI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,20,21
CARACOLLO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,0,1
CARAPARI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,11,30,41
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,11,12
CATACORA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,10,11
CHAQUI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,3,1,4
CHARAGUA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,1,1
CHIMORE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,6,7
CKOCHAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,0,2
COBIJA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,10,95,105
COCAPATA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,25,27
COCHABAMBA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,86,317,403
COLCAPIRHUA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,3,5,8
"COLCHA ""K""",vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,4,2,6
COLOMI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,19,10,29
COLPA BELGICA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,0,1
COLQUECHACA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,3,3
COLQUENCHA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,0,2
CORO CORO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,5,5
CORQUE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,15,15
COTAGAITA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,3,23,26
COTOCA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,25,1,26
CUEVO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,3,0,3
CULPINA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,3,15,18
CURAHUARA DE CARANGAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,8,8
EL ALTO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,116,99,215
EL TORNO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,33,39,72
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,6,1,7
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,9,41,50
FILADELFIA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,9,9
GUAYARAMERIN,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,17,316,333
HUANUNI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,10,10
HUARACAJE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,5,0,5
ICLA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,4,14,18
INCAHUASI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,21,7,28
IXIAMAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,0,1
JESUS DE MACHACA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,8,10
LA ASUNTA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,2,4
LA GUARDIA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,9,2,11
LA PAZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,133,166,299
LAGUNILLAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,10,15,25
LAS CARRERAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,0,1
LLALLAGUA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,3,14,17
LORETO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,6,0,6
MACHARETI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,14,2,16
MAGDALENA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,5,5,10
MAIRANA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,23,0,23
MIZQUE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,32,32
MOJOCOYA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,4,4
MONTEAGUDO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,19,25,44
MONTERO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,39,3,42
MOROCHATA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,4,4
OMEREQUE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,13,13
ORURO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,43,22,65
PADILLA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,32,14,46
PAILON,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,5,0,5
POCONA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,22,23
POJO (CBBA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,5,16,21
POOPO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,10,12
POROMA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,4,6
PORONGO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,0,2
PORTACHUELO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,154,9,163
PORVENIR,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,2,2
POTOSI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,20,4,24
PRESTO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,7,65,72
PUCARANI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,4,0,4
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,1,1
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,3,0,3
PUERTO SUAREZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,4,0,4
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,9,8,17
PUNA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,17,17
PUNATA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,0,2
QUILLACOLLO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,3,3
RAVELO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,5,12,17
REYES,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,9,11
RIBERALTA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,3,0,3
ROBORE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,14,0,14
RURRENABAQUE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,7,92,99
SACABA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,13,21,34
SACACA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,1,2
SAIPINA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,1,1
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,2,2
SAN ANDRES,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,1,1
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,3,0,3
SAN BORJA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,56,278,334
SAN IGNACIO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,25,3,28
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,4,2,6
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,4,6
SAN JOAQUIN,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,32,33
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,20,22
SAN JULIAN,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,1,1
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,12,18,30
SAN LUCAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,13,33,46
SAN MATIAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,9,3,12
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,7,11,18
SAN PABLO DE LIPEZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,3,0,3
SAN PEDRO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,3,0,3
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,0,1
SAN RAFAEL,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,5,0,5
SAN RAMON BENI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,5,75,80
SANTA ANA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,4,28,32
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,65,68,133
SANTA ROSA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,10,12
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,7,8
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,5,3,8
SANTIAGO DE MACHACA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,2,4
SANTUARIO DE QUILLACAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,1,1
SHINAOTA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,1,2
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,0,2
SOPACHUY,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,2,0,2
SORACACHI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,2,3
SUCRE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,48,530,578
TACOBAMBA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,7,7
TAPACARI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,6,18,24
TARABUCO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,8,7,15
TARIJA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,35,6,41
TARVITA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,19,22,41
TIQUIPAYA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,5,33,38
TOLEDO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,3,3,6
TOMAVE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,3,0,3
TOMINA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,35,9,44
TOTORA(CBBA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,4,14,18
TOTORA(ORR),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,1,2
TRINIDAD,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,19,188,207
TUPIZA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,15,47,62
UNCIA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,4,4
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,4,1,5
UYUNI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,29,0,29
VALLEGRANDE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,6,1,7
VIACHA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,1,1
VILA VILA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,5,3,8
VILLA CHARCAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,10,88,98
VILLA MONTES,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,16,8,24
VILLA SERRANO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,8,1,9
VILLA TUNARI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,5,5,10
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,5,5,10
VILLAZON,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,12,11,23
VITICHI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,21,21
WARNES,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,19,26,45
YACUIBA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,12,30,42
YAMPARAEZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,2,3
YUNCHARA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,4,4
ZUDAÑEZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,4,4
ACACIO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,6,0,6
ACHACACHI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,1,1
ACHOCALLA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,37,37
ALCALA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,9,0,9
ANCORAIMES,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,2,2
ARAMPAMPA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,3,2,5
AZURDUY,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,1,2,3
BATALLAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,1,21,22
BERMEJO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,2,19,21
BETANZOS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,3,13,16
CABEZAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,24,24
"CAIZA ""D""",vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,1,11,12
CALAMARCA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,6,6
CAMARGO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,6,39,45
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,1,1
CARAPARI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,6,14,20
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,1,40,41
CHAQUI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,20,9,29
CHARAGUA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,8,8
CHIMORE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,1,9,10
COBIJA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,1,0,1
COCAPATA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,1,1
COCHABAMBA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,11,0,11
COLQUENCHA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,4,4
COLQUIRI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,7,2,9
COROICO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,13,13
COTAGAITA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,1,25,26
COTOCA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,39,8,47
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,517,517
CULPINA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,5,38,43
DESAGUADERO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,1,6,7
EL ALTO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,155,673,828
EL PUENTE(TJA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,2,6,8
EL TORNO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,52,219,271
EL VILLAR,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,3,3
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,16,16
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,6,1,7
GUAQUI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,1,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,48,48
GUTIERREZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,22,44,66
HUACARETA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,4,7,11
HUANUNI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,1,1
HUARACAJE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,2,0,2
HUARINA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,8,16,24
ICLA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,3,11,14
INCAHUASI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,2,5,7
INQUISIVI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,37,37
JESUS DE MACHACA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,9,2,11
LA GUARDIA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,13,50,63
LA PAZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,50,21,71
LAGUNILLAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,16,4,20
LAS CARRERAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,16,16
LLALLAGUA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,2,279,281
MACHARETI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,1,1,2
MOJOCOYA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,7,8,15
MONTEAGUDO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,43,27,70
MONTERO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,427,74,501
ORURO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,5,1,6
PADCAYA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,7,7,14
PADILLA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,18,5,23
PAILON,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,81,220,301
PALCA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,10,10
POROMA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,19,56,75
PORONGO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,5,5
PORTACHUELO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,2,2
POTOSI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,2,36,38
PRESTO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,5,8,13
PUCARANI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,1,3,4
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,2,3,5
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,6,0,6
PUERTO SUAREZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,3,12,15
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,6,8,14
PUNA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,3,3
RAVELO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,7,7,14
ROBORE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,2,2
SACABA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,2,0,2
SAIPINA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,8,0,8
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,0,1,1
SAN BORJA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,9,330,339
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,6,0,6
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,2,34,36
SAN JULIAN,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,4,0,4
SAN LUCAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,11,36,47
SAN MATIAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,7,34,41
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,9,8,17
SAN PEDRO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,18,18,36
SAN RAFAEL,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,5,2,7
SANTA ANA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,145,832,977
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,15,27,42
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,1,30,31
SORATA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-04-01,3,17,20
