,group,variable,month,L 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,L 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,89,367,456
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,1,1
SANTIAGO DE MACHACA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,15,0,15
SANTIVAÑES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,1,1
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,4,2,6
SIPE SIPE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,0,1
SORATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,38,8,46
SUCRE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,27,4,31
TAPACARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,9,23,32
TARABUCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,6,6
TARATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,0,1
TARIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,24,7,31
TARVITA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,20,10,30
TIAWANACU,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,14,0,14
TINGUIPAYA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,80,80
TIQUIPAYA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,15,21,36
TOMAVE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,5,5
TOMINA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,2,2
TOTORA(CBBA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,3,3
TRIGAL,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,1,1
TRINIDAD,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,11,6,17
TUPIZA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,10,23,33
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,5,0,5
VALLEGRANDE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,4,0,4
VIACHA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,6,2,8
VILA VILA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,4,13,17
VILLA CHARCAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,8,36,44
VILLA MONTES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,7,3,10
VILLA TUNARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,4,4,8
VILLAZON,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,16,6,22
WARNES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,15,0,15
YACUIBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,19,3,22
YAMPARAEZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,1,1
YOCALLA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,0,1
YUNCHARA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,4,4
ZUDAÑEZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,19,24,43
ACACIO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,22,23
ACHACACHI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,3,3
AIQUILE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,8,8
ANDAMARCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,9,9
ANTEQUERA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,6,6
ARAMPAMPA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,6,8
ARBIETO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,11,11
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,3,0,3
BATALLAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,2,3
BELEN DE ANDAMARCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,1,2
BERMEJO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,13,0,13
BETANZOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,3,4
BOLIVAR,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,5,6
BOYUIBE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,6,0,6
CABEZAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,18,21,39
CALACOTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,4,4
CAMARGO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,2,4
CAMIRI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,2,2
CAPINOTA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,4,0,4
CAQUIAVIRI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,0,1
CARACOLLO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,0,1
CARAPARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,11,31,42
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,10,12,22
CATACORA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,10,11
CHAQUI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,3,1,4
CHARAÑA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,0,2
CHIMORE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,6,7
CHUMA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,2,2
CKOCHAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,7,0,7
COBIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,10,95,105
COCAPATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,21,23
COCHABAMBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,90,336,426
COLCAPIRHUA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,0,1
"COLCHA ""K""",vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,1,2
COLOMI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,19,10,29
COLQUECHACA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,6,6
COLQUENCHA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,0,2
CORO CORO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,4,4
CORQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,15,15
COTAGAITA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,3,21,24
COTOCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,25,1,26
CUEVO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,3,0,3
CULPINA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,3,15,18
CURAHUARA DE CARANGAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,8,8
EL ALTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,110,99,209
EL TORNO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,37,39,76
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,6,1,7
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,9,18,27
FILADELFIA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,9,9
GUAYARAMERIN,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,17,272,289
HUANUNI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,10,10
HUARACAJE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,5,0,5
ICLA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,4,14,18
INCAHUASI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,21,7,28
IXIAMAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,0,1
JESUS DE MACHACA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,8,10
LA GUARDIA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,9,2,11
LA PAZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,129,155,284
LAGUNILLAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,10,15,25
LAS CARRERAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,0,1
LLALLAGUA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,3,14,17
LORETO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,0,2
MACHARETI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,14,2,16
MAGDALENA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,5,5,10
MAIRANA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,22,0,22
MIZQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,22,22
MOJOCOYA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,4,4
MONTEAGUDO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,19,25,44
MONTERO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,48,3,51
MOROCHATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,4,4
OMEREQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,26,26
ORURO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,57,22,79
PADILLA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,32,14,46
PAILON,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,5,56,61
POCONA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,22,23
POJO (CBBA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,5,16,21
POOPO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,13,15
POROMA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,4,6
PORONGO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,3,18,21
PORTACHUELO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,154,9,163
PORVENIR,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,2,2
POTOSI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,19,4,23
PRESTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,7,65,72
PUCARANI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,4,0,4
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,1,1
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,3,0,3
PUERTO SUAREZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,4,0,4
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,9,8,17
PUNA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,17,17
PUNATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,0,1
QUILLACOLLO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,3,4
RAVELO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,5,12,17
REYES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,9,11
RIBERALTA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,3,0,3
ROBORE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,14,0,14
RURRENABAQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,7,6,13
SACABA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,13,17,30
SAIPINA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,1,1
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,2,2
SAMAIPATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,4,0,4
SAN ANDRES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,1,1
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,3,0,3
SAN BORJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,38,53,91
SAN IGNACIO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,25,3,28
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,3,2,5
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,4,6
SAN JOAQUIN,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,32,33
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,20,22
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,12,12,24
SAN LUCAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,13,33,46
SAN MATIAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,9,3,12
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,7,11,18
SAN PABLO DE LIPEZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,3,6,9
SAN PEDRO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,3,0,3
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,0,1
SAN RAFAEL,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,5,0,5
SAN RAMON BENI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,5,75,80
SANTA ANA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,4,28,32
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,76,423,499
SANTA ROSA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,10,12
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,7,8
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,5,3,8
SANTIAGO DE MACHACA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,2,4
SANTUARIO DE QUILLACAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,1,1
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,0,2
SOPACHUY,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,0,2
SORACACHI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,2,3
SUCRE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,48,538,586
TACOBAMBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,7,7
TACOPAYA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,2,6,8
TAPACARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,10,47,57
TARABUCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,8,7,15
TARATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,60,60
TARIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,24,6,30
TARVITA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,19,22,41
TIQUIPAYA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,5,25,30
TOLEDO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,3,3,6
TOMAVE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,3,0,3
TOMINA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,35,9,44
TORO TORO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,60,60
TOTORA(CBBA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,4,14,18
TOTORA(ORR),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,1,2
TRINIDAD,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,11,4,15
TUPIZA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,33,84,117
UNCIA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,4,4
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,4,0,4
UYUNI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,29,0,29
VALLEGRANDE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,6,1,7
VIACHA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,2,3
VILA VILA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,5,3,8
VILLA CHARCAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,13,94,107
VILLA MONTES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,16,8,24
VILLA SERRANO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,8,1,9
VILLA TUNARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,5,3,8
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,3,5,8
VILLAZON,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,12,11,23
VITICHI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,20,20
WARNES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,19,26,45
YACUIBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,12,30,42
YAMPARAEZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,1,2,3
YUNCHARA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,4,4
ZUDAÑEZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-03-01,0,4,4
ACACIO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,6,0,6
ACHACACHI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,3,12,15
ALCALA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,9,0,9
ARAMPAMPA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,3,2,5
ARBIETO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,6,7
ARQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,4,4
AZURDUY,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,2,3
BATALLAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,0,1
BERMEJO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,2,20,22
BETANZOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,3,17,20
CABEZAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,24,24
"CAIZA ""D""",vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,11,12
CALAMARCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,6,6
CAMARGO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,6,39,45
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,1,1
CAQUIAVIRI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,12,12
CARACOLLO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,5,6
CARAPARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,6,14,20
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,80,81
CHAQUI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,20,9,29
CHARAGUA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,3,3
CHARAÑA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,3,3
CHIMORE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,9,10
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,5,5,10
CHUMA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,3,3
COBIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,0,1
COCAPATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,1,1
COCHABAMBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,28,0,28
COLCAPIRHUA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,21,29,50
COLOMI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,3,3
CORO CORO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,4,4
COTAGAITA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,28,29
