,group,variable,month,DPT 2DA DOSIS CANTIDAD,DPT 2DA DOSIS CANTIDAD,TOTALES
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,5,13,18
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,2,2
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,8,45,53
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,10,10
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,2,2
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,4,0,4
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,2,30,32
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,9,3,12
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,7,32,39
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,3,5,8
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,108,38,146
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,2,4,6
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,2,4,6
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,2,15,17
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,2,0,2
SICAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,4,34,38
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,1,2,3
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,5,10,15
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,8,7,15
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,37,37
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,4,8,12
TARACO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,1,4,5
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,2,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,5,25,30
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,1,16,17
TOMAVE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,3,0,3
VACAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,3,3
VIACHA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,14,2,16
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,1,4,5
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,2,1,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,4,16,20
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,5,5
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,8,8,16
ARANI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,6,5,11
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,30,30
ATOCHA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,8,14,22
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,2,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,0,1
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,5,14,19
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,3,0,3
CALACOTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,2,8,10
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,2,2,4
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,3,3
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,1,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,5,41,46
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,33,31,64
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,1,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,2,2
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,16,16
CORO CORO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,3,4,7
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,2,2,4
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,2,3
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,24,29,53
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,4,4
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,3,4
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,3,3,6
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,5,26,31
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,0,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,115,116
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,1,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,5,3,8
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,30,13,43
LURIBAY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,2,2
MAIRANA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,2,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,1,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,5,2,7
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,16,17
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,5,6
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,2,3
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,12,12
PASORAPA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,3,1,4
PAZÑA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,1,1
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,2,0,2
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,8,0,8
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,0,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,3,4,7
PUCARANI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,2,3,5
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,0,1
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,4,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,5,6
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,14,43,57
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,2,9,11
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,8,15,23
SACACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,2,1,3
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,5,14,19
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,59,3,62
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,2,1,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,4,4
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,10,27,37
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,1,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,2,30,32
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,7,4,11
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,35,35
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,54,163,217
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,3,1,4
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,1,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,11,2,13
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,2,1,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,16,11,27
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,1,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,1,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,5,5
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,2,13,15
TOCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,0,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,3,3
TORO TORO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,19,0,19
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,2,8,10
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,2,2,4
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,7,0,7
WALDO BALLIVIAN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,5,0,5
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,2,1,3
YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,30,0,30
YOCALLA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-05-01,0,1,1
ACACIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,20,20
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,3,3
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,0,1
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,0,1
APOLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,6,6
ARANI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,7,3,10
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,18,0,18
ATOCHA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,9,0,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,1,1
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,4,4
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,3,3
CALACOTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,15,15
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,2,9,11
CATACORA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,6,4,10
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,2,0,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,3,0,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,19,4,23
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,1,2
COMANCHE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,1,2
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,1,1
CORO CORO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,2,0,2
CUEVO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,3,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,36,14,50
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,2,0,2
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,3,6,9
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,2,1,3
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,2,0,2
GUAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,0,1
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,16,10,26
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,4,4
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,39,30,69
LURIBAY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,4,4
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,1,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,5,5
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,17,6,23
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,3,3
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,8,0,8
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,18,18
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,1,1
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,4,0,4
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,2,0,2
POOPO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,7,7
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,15,15
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,9,3,12
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,6,6
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,2,1,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,3,15,18
REYES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,12,0,12
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,3,6,9
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,5,5
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,7,8
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,1,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,16,0,16
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,2,3
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,18,19
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,7,29,36
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,7,5,12
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,5,6
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,84,8,92
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,2,3
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,3,6,9
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,3,0,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,9,0,9
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,5,0,5
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,5,5
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,2,2
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,2,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,2,8,10
TUPIZA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,7,7
URUBICHA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,11,0,11
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,0,1
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,5,5
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,11,11
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,3,1,4
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,1,2,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-06-01,0,3,3
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,2,0,2
ARANI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,3,0,3
ATOCHA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,4,4,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,0,2,2
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,2,0,2
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,0,2,2
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,0,4,4
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,2,0,2
CAIROMA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,0,3,3
CALACOTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,2,0,2
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,10,0,10
CATACORA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,1,0,1
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,0,1,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,47,26,73
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,2,4,6
COMANCHE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,1,0,1
CORO CORO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,3,1,4
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,2,0,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,2,9,11
CUEVO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,3,0,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,23,4,27
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,5,0,5
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,10,3,13
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,1,0,1
HUACHACALLA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-07-01,1,0,1
