,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,1,0,1
HUACARETA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,1,0,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,2,2
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,7,4,11
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,19,20,39
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,3,3,6
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,5,3,8
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,2,13,15
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,7,7
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,4,0,4
PASORAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,3,3
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,12,17,29
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,8,0,8
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,11,11
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,8,8
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,4,4
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,5,0,5
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,20,8,28
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,5,13,18
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,2,2
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,8,45,53
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,9,9
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,2,2
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,1,1
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,2,30,32
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,9,3,12
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,7,32,39
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,3,5,8
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,138,45,183
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,2,4,6
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,3,3
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,2,4,6
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,2,14,16
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,2,0,2
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,5,10,15
SORATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,3,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,6,6,12
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,24,24
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,4,8,12
TARACO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,1,4,5
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,2,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,5,25,30
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,2,16,18
TOMAVE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,3,0,3
UNCIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,1,1
VACAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,3,3
VIACHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,1,3,4
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,2,1,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,6,16,22
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,5,5
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,8,8,16
ARANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,6,5,11
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,30,30
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,8,14,22
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,2,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,0,1
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,5,14,19
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,3,0,3
CALACOTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,2,8,10
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,2,2,4
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,3,3
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,1,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,5,32,37
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,31,36,67
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,1,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,2,2
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,8,11,19
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,16,16
CORO CORO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,2,3
COROICO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,2,2,4
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,2,0,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,2,3
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,27,28,55
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,4,4
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,3,4
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,3,3,6
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,5,24,29
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,0,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,102,103
HUACARETA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,1,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,5,3,8
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,28,15,43
LURIBAY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,2,2
MAIRANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,2,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,1,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,5,2,7
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,10,12,22
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,5,6
PADCAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,2,2
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,2,3
PASORAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,3,1,4
PAZÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,1,1
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,2,0,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,0,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,6,4,10
PUCARANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,0,1
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,4,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,5,6
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,4,16,20
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,2,9,11
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,8,15,23
SACACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,2,1,3
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,5,14,19
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,59,3,62
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,2,1,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,1,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,9,27,36
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,1,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,2,27,29
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,7,4,11
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,35,35
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,74,211,285
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,8,18,26
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,3,0,3
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,1,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,6,0,6
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,8,1,9
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,13,11,24
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,1,2
TARACO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,2,3
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,1,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,5,5
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,2,13,15
TOCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,0,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,3,3
TORO TORO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,19,0,19
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,2,8,10
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,2,2,4
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,1,1,2
YAPACANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,22,0,22
YOCALLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-05-01,0,1,1
ACACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,20,20
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,3,3
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,0,1
ARANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,7,3,10
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,18,0,18
ATOCHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,1,1
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,4,4
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,3,4,7
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,5,5
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,0,1
CALACOTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,13,13
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,2,9,11
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,4,4
CATACORA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,6,4,10
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,2,0,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,3,0,3
CHUMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,20,4,24
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,1,2
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,2,3,5
COMANCHE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,1,2
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,1,1
CORO CORO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,22,14,36
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,2,0,2
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,2,1,3
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,0,1
HUACARETA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,21,9,30
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,4,4
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,1,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,5,5
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,16,6,22
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,6,0,6
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,18,18
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,4,0,4
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,2,0,2
POOPO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,7,7
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,17,15,32
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,3,1,4
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,6,6
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,2,1,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,2,1,3
REYES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,17,0,17
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,2,3,5
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,5,6
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,1,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,16,0,16
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,2,3
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,4,5
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,7,29,36
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,37,4,41
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,5,6
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,85,11,96
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,2,3
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,3,4,7
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,3,0,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,9,0,9
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,3,3
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,2,2
TOMINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,2,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,2,8,10
TUPIZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,7,7
URUBICHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,11,0,11
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,5,5
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-06-01,0,11,11
