,group,variable,month,SRP DOSIS ÚNICA CANTIDAD,SRP DOSIS ÚNICA CANTIDAD,TOTALES
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,2,8,10
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,2,3
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,4,0,4
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,2,1,3
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,2,6,8
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,0,1
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,2,25,27
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,167,80,247
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,3,3
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,12,10,22
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,14,3,17
TIPUANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,2,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,3,6,9
TOMINA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,2,2
TORO TORO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,25,0,25
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,16,3,19
TUPIZA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,13,0,13
VIACHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,7,1,8
VILA VILA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,4,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,5,0,5
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,5,0,5
WALDO BALLIVIAN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,10,5,15
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,8,0,8
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,5,4,9
YANACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,13,13
YAPACANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,1,2
YOCALLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
APOLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,3,4
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,2,2
BERMEJO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,0,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,2,3
CAMIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,3,3,6
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,3,2,5
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,3,2,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,0,2
CHUMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,11,6,17
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,76,39,115
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,6,5,11
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,9,11
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
COPACABANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,0,2
CORQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,4,4
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,9,33,42
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,99,40,139
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,8,1,9
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,3,1,4
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,4,19,23
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,4,4
GUANAY,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,3,4
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,1,2
HUMANATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
ICLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,3,3
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,3,0,3
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,2,4
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,5,2,7
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,96,31,127
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,3,1,4
MINEROS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,0,2
MIZQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,2,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,15,4,19
MORO MORO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
OKINAWA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,20,0,20
PAILON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,13,15
PALCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,4,4
PORONGO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,0,2
PORVENIR,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,24,1,25
PUCARANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,0,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,4,3,7
PUNA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,3,0,3
QUIABAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,13,16,29
REYES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,0,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,4,4
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,12,10,22
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,1,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,4,11,15
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,5,0,5
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,4,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,6,8
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,3,2,5
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,9,10
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,222,137,359
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,0,2
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,4,6
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,10,12
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,11,3,14
SORATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,1,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,20,5,25
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,16,2,18
TIPUANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,8,3,11
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,1,3
TRIGAL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,12,0,12
TUPIZA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
UNCIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,0,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,5,0,5
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,2,1,3
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,6,4,10
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,11,1,12
YACO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,0,1,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-04-01,3,1,4
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,4,0,4
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
APOLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,2,2
ARBIETO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,5,5,10
ATOCHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,0,1
BATALLAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,0,1
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,5,5
BERMEJO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,4,4
BETANZOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,8,0,8
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,3,3,6
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,4,0,4
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,3,4
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,5,5
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,0,1
CHOQUE COTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,8,12,20
COCAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,3,3,6
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,47,24,71
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,5,1,6
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,3,0,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,1,2
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,2,2
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,6,6
COROICO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,2,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,13,14,27
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,98,326,424
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,6,7
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,5,17,22
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,3,10,13
GUANAY,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,4,5
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,6,7
HUATAJATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
ICLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,2,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,2,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,2,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,3,2,5
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,12,33,45
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,72,61,133
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,2,4,6
MINEROS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,10,10
MIZQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,3,4
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,9,3,12
OKINAWA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,3,5,8
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,17,88,105
PAILON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,3,22,25
PALCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,4,5,9
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,2,3
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,5,6
PORONGO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,6,6
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,0,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,15,32,47
PUCARANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,1,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,4,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,6,5,11
PUNA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,18,18,36
RAVELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,5,14,19
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,2,1,3
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,10,17,27
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,3,3
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,2,15,17
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,2,0,2
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,1,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,7,8
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,2,25,27
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,0,1
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,43,43
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,3,14,17
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,3,3,6
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,0,1
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,4,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,182,267,449
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,4,1,5
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,2,3,5
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,2,3,5
SORACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
SORATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,26,6,32
TACACOMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,0,1
TARACO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,4,4
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,8,6,14
TARVITA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,3,0,3
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,5,2,7
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,0,1
TOLATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,0,1
TOLEDO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,1,1,2
TORO TORO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,14,0,14
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,8,2,10
TUPIZA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,3,0,3
URUBICHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-05-01,0,2,2
