municipality,group,variable,month,"Anestesias generales, locales o regionales",TOTAL
RURRENABAQUE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,13,13
SACABA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,70,70
SAMAIPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,5,5
SAN ANDRES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,7,7
SAN BORJA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,17,17
SAN BUENA VENTURA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,6,6
SAN CARLOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,24,24
SAN IGNACIO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,7,7
SAN IGNACIO DE VELASCO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,93,93
SAN JAVIER(STC),cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,4,4
SAN JOAQUIN,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,4,4
SAN JOSE DE CHIQUITOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,5,5
SAN JUAN DE YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,33,33
SAN JULIAN,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,30,30
SAN LUCAS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,9,9
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,8,8
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,12,12
SANTA ANA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,25,25
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,3676,3676
SANTA ROSA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,4,4
SANTIVAÑES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,12,12
SIPE SIPE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,23,23
SOPACHUY,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,8,8
SORATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,1,1
SUCRE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,1114,1114
TAPACARI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,2,2
TARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,2,2
TARIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,546,546
TARVITA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,6,6
TIPUANI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,2,2
TIQUIPAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,15,15
TIRAQUE (CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,25,25
TOTORA(CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,2,2
TRINIDAD,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,290,290
TUPIZA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,45,45
UNCIA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,16,16
UYUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,2,2
VACAS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,10,10
VALLEGRANDE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,45,45
VIACHA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,21,21
VILLA MONTES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,30,30
VILLA RIVERO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,11,11
VILLA TUNARI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,12,12
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,10,10
VILLAZON,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,55,55
VINTO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,1,1
WARNES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,36,36
YACUIBA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,62,62
YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,10,10
YOTALA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,23,23
ZUDAÑEZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,8,8
ACHACACHI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,1,1
AIQUILE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,13,13
ANCORAIMES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,4,4
ANDAMARCA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,1,1
ASCENCION DE GUARAYOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,15,15
ATOCHA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,8,8
AZURDUY,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,2,2
BAURES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,3,3
BERMEJO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,47,47
BETANZOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,38,38
CAJUATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,3,3
CAMARGO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,42,42
CAMIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,33,33
CAPINOTA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,4,4
CARANAVI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,51,51
CHALLAPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,6,6
CHARAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,20,20
CHIMORE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,42,42
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,45,45
COBIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,102,102
COCHABAMBA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,2267,2267
COLCAPIRHUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,29,29
COLOMI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,3,3
COLQUIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,4,4
COMARAPA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,10,10
CONCEPCION,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,7,7
COPACABANA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,12,12
COROICO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,34,34
COTOCA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,6,6
CULPINA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,5,5
EL ALTO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,645,645
EL TORNO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,28,28
EUCALIPTUS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,3,3
EXALTACION,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,3,3
GUAYARAMERIN,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,45,45
HUACARETA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,5,5
HUANUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,16,16
INQUISIVI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,5,5
IRUPANA (VILLA DE LANZA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,10,10
LA PAZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,3234,3234
LLALLAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,48,48
MACHARETI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,5,5
MAGDALENA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,7,7
MAIRANA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,3,3
MONTEAGUDO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,46,46
MONTERO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,167,167
ORURO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,483,483
PADILLA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,19,19
PALOS BLANCOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,3,3
PATACAMAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,27,27
PORTACHUELO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,42,42
POTOSI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,343,343
PUERTO ACOSTA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,19,19
PUERTO RICO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,53,53
PUERTO SUAREZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,35,35
PUERTO VILLARROEL,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,128,128
PUNATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,55,55
QUILLACOLLO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,170,170
REYES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,5,5
RIBERALTA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,236,236
ROBORE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,10,10
RURRENABAQUE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,11,11
SACABA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,49,49
SAMAIPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,3,3
SAN ANDRES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,3,3
SAN BORJA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,19,19
SAN BUENA VENTURA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,7,7
SAN CARLOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,18,18
SAN IGNACIO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,5,5
SAN IGNACIO DE VELASCO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,101,101
SAN JAVIER(STC),cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,4,4
SAN JOAQUIN,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,5,5
SAN JOSE DE CHIQUITOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,3,3
SAN JUAN DE YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,27,27
SAN JULIAN,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,13,13
SAN LUCAS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,16,16
SAN PEDRO DE TIQUINA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,2,2
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,9,9
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,10,10
SANTA ANA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,20,20
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,2592,2592
SANTA ROSA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,3,3
SANTIVAÑES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,3,3
SIPE SIPE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,21,21
SOPACHUY,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,12,12
SUCRE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,786,786
TAPACARI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,6,6
TARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,4,4
TARIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,510,510
TARVITA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,6,6
TIPUANI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,1,1
TIQUIPAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,11,11
TIRAQUE (CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,27,27
TOTORA(CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,6,6
TRINIDAD,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,219,219
TUPIZA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,41,41
UNCIA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,27,27
UYUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,4,4
VACAS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,10,10
VALLEGRANDE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,22,22
VIACHA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,50,50
VILLA MONTES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,27,27
VILLA RIVERO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,13,13
VILLA TUNARI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,17,17
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,9,9
VILLAZON,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,41,41
VINTO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,1,1
VITICHI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,1,1
WARNES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,20,20
YACUIBA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,73,73
YAMPARAEZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,3,3
YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,14,14
YOTALA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,33,33
ZUDAÑEZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-04-01,3,3
AIQUILE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,11,11
ANCORAIMES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,2,2
APOLO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,7,7
ASCENCION DE GUARAYOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,13,13
ATOCHA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,9,9
AZURDUY,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,5,5
BAURES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,4,4
BERMEJO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,31,31
BETANZOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,30,30
CAIROMA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,1,1
CAJUATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,6,6
CAMARGO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,139,139
CAMIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,40,40
CARANAVI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,49,49
CHALLAPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,7,7
CHARAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,5,5
CHIMORE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,22,22
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,35,35
COBIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,125,125
COCHABAMBA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,2150,2150
COLCAPIRHUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,28,28
COLOMI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,1,1
COLQUIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,12,12
COMARAPA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,4,4
CONCEPCION,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,14,14
COPACABANA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,13,13
COROICO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,17,17
COTOCA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,15,15
CULPINA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,10,10
EL ALTO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,739,739
EL TORNO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,31,31
ENTRE RIOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,33,33
EUCALIPTUS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,1,1
GUAYARAMERIN,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,34,34
HUACARETA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,9,9
HUANUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,8,8
INCAHUASI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,7,7
INQUISIVI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,2,2
IRUPANA (VILLA DE LANZA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,8,8
LA ASUNTA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,7,7
LA PAZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,3347,3347
LLALLAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,38,38
MACHARETI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,4,4
MAGDALENA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,5,5
MAIRANA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,12,12
MIZQUE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,1,1
MONTEAGUDO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,55,55
MONTERO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,157,157
ORURO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,520,520
PADILLA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,28,28
PALOS BLANCOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,5,5
PATACAMAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,28,28
PORTACHUELO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,44,44
POTOSI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,192,192
PUERTO ACOSTA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,21,21
PUERTO CARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,3,3
PUERTO RICO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,60,60
PUERTO SUAREZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,48,48
PUERTO VILLARROEL,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,154,154
PUNATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,77,77
QUILLACOLLO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,181,181
REYES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,5,5
RIBERALTA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,284,284
ROBORE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,8,8
RURRENABAQUE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,8,8
SACABA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,76,76
SAMAIPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,3,3
SAN ANDRES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,6,6
SAN BORJA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,17,17
SAN BUENA VENTURA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,10,10
SAN CARLOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,23,23
SAN IGNACIO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,15,15
SAN IGNACIO DE VELASCO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,106,106
SAN JAVIER(STC),cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,1,1
SAN JOAQUIN,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,1,1
SAN JOSE DE CHIQUITOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,3,3
SAN JUAN DE YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,30,30
SAN JULIAN,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,4,4
SAN LUCAS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,25,25
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,2,2
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,1,1
SANTA ANA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,20,20
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,2452,2452
SANTA ROSA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,6,6
SANTIVAÑES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,1,1
SIPE SIPE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,20,20
SOPACHUY,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,6,6
SORATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,2,2
SUCRE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,977,977
TACOPAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,1,1
TAPACARI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,4,4
TARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,4,4
TARIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,609,609
TARVITA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,5,5
TEOPONTE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,1,1
TIPUANI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,7,7
TIQUIPAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,7,7
TIRAQUE (CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,44,44
TOLEDO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,2,2
TOTORA(CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,5,5
TRINIDAD,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,247,247
TUPIZA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,39,39
UNCIA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,43,43
UYUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,12,12
VACAS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,9,9
VALLEGRANDE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,23,23
VILLA MONTES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,30,30
VILLA RIVERO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,6,6
VILLA TUNARI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,17,17
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,9,9
VILLAZON,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,74,74
VINTO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,5,5
WARNES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,41,41
YACUIBA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,74,74
YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,9,9
YOTALA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,21,21
ZUDAÑEZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-05-01,4,4
ACHACACHI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,4,4
AIQUILE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,10,10
ANCORAIMES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,4,4
APOLO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,6,6
ASCENCION DE GUARAYOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,6,6
ATOCHA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,6,6
AZURDUY,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,4,4
BAURES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,2,2
BERMEJO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,41,41
BETANZOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,20,20
BOLPEBRA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,4,4
CAIROMA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,2,2
CAJUATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,2,2
CAMARGO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,70,70
CAMIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,63,63
CARANAVI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,5,5
CHALLAPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,12,12
CHARAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,16,16
CHIMORE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,16,16
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,43,43
COBIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,133,133
COCHABAMBA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,2602,2602
COLCAPIRHUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,26,26
COLOMI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,2,2
COLQUIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-06-01,9,9
