,group,variable,month,TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-11-01,4,8,4,8,12
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-11-01,25,9,25,9,34
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-11-01,0,6,0,6,6
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-11-01,25,9,25,9,34
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-11-01,0,1,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-11-01,0,1,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-11-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-11-01,1,1,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,4,4,4,4,8
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,13,0,13,0,13
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,2,1,2,1,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,1,0,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,5,7,5,7,12
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,0,3,0,3,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,6,4,6,4,10
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,19,5,19,5,24
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,16,11,16,11,27
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,3,0,3,0,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,1,0,1,0,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-12-01,2,0,2,0,2
