,group,variable,month,REUMÁTICAS CANTIDAD,REUMÁTICAS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,1,0,1,0,1
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,236,236,236,236,472
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,14,33,14,33,47
SAN LORENZO(PND),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,0,1,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,12,19,12,19,31
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,4,6,4,6,10
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,0,9,0,9,9
SAN PABLO DE LIPEZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,0,1,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,3,6,3,6,9
SAN PEDRO DE BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,5,2,5,2,7
SAN PEDRO DE CURAHUARA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,7,4,7,4,11
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,541,72,541,72,613
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,1,2,1,2,3
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,16,8,16,8,24
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,3,8,3,8,11
SENA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,7,2,7,2,9
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,2,5,2,5,7
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,0,1,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,9,6,9,6,15
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,89,187,89,187,276
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,9,3,9,3,12
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,3,9,3,9,12
TAHUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,0,2,0,2,2
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,0,3,0,3,3
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,9,33,9,33,42
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,1,1,1,1,2
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,6,38,6,38,44
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,8,8,8,8,16
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,3,6,3,6,9
TINGUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,0,1,0,1,1
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,0,1,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,4,11,4,11,15
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,0,3,0,3,3
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,12,18,12,18,30
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,7,13,7,13,20
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,2,1,2,1,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,2,4,2,4,6
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,32,50,32,50,82
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,1,2,1,2,3
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,2,4,2,4,6
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,4,21,4,21,25
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,8,12,8,12,20
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,5,8,5,8,13
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,2,0,2,0,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,1,4,1,4,5
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,3,1,3,1,4
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,0,4,0,4,4
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,4,8,4,8,12
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,2,1,2,1,3
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,4,5,4,5,9
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,95,65,95,65,160
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,54,55,54,55,109
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,3,2,3,2,5
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,2,0,2,0,2
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,49,80,49,80,129
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-03-01,9,15,9,15,24
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,14,13,14,13,27
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,25,35,25,35,60
ALALAY,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,0,2,0,2
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,5,10,5,10,15
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,1,0,1,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,27,0,27,27
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,9,0,9,9
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,2,0,2,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,6,1,6,1,7
AUCAPATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,2,0,2,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,13,18,13,18,31
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,3,2,3,2,5
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,52,38,52,38,90
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,9,10,9,10,19
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,3,5,3,5,8
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,5,9,5,9,14
CALACOTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,9,15,9,15,24
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,3,0,3,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,24,35,24,35,59
CAMATAQUI (C. VILLA ABECIA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,3,19,3,19,22
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,12,26,12,26,38
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,1,2,1,3
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,2,1,2,3
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,3,1,3,1,4
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,0,1,0,1
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,4,3,4,3,7
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,10,2,10,12
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,4,2,4,6
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,4,13,4,13,17
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,21,31,21,31,52
COCAPATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,136,283,136,283,419
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,2,0,2,2
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,9,0,9,9
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,3,11,3,11,14
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,5,7,5,7,12
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,9,17,9,17,26
COMBAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,5,7,5,7,12
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,4,10,4,10,14
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,7,15,7,15,22
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,2,2,2,4
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,2,0,2,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,9,1,9,1,10
CUCHUMUELA (V. G. VILLARROEL),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,2,1,2,3
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,1,2,1,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,29,76,29,76,105
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,4,4,4,4,8
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,14,24,14,24,38
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,4,7,4,7,11
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,3,0,3,3
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,3,4,3,4,7
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,32,0,32,0,32
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,2,1,2,3
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,4,6,4,6,10
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,5,10,5,10,15
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,2,2,2,4
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,6,7,6,7,13
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,114,100,114,100,214
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,3,5,3,5,8
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,2,1,2,3
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,2,0,2,2
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,7,6,7,6,13
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,1,0,1,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,3,5,3,5,8
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,10,20,10,20,30
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,5,2,5,7
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,5,7,5,7,12
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,101,286,101,286,387
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,3,1,3,4
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,2,0,2,2
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,7,9,7,9,16
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,12,2,12,14
MOCOMOCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,4,5,4,5,9
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,17,20,17,20,37
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,9,11,9,11,20
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,41,57,41,57,98
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,2,1,2,3
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,4,1,4,5
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,3,4,3,4,7
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,117,239,117,239,356
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,2,1,2,3
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,29,39,29,39,68
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,11,12,11,12,23
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,18,28,18,28,46
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,4,1,4,5
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,1,0,1,1
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,1,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,8,2,8,10
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,10,23,10,23,33
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,14,7,14,7,21
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,5,1,5,6
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,0,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,10,26,10,26,36
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,4,1,4,5
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,7,13,7,13,20
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,5,9,5,9,14
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,4,6,4,6,10
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,0,1,0,1
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,95,55,95,55,150
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,3,13,3,13,16
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,16,1,16,17
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,22,21,22,21,43
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,63,47,63,47,110
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,1,0,1,1
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,4,0,4,4
REYES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,4,0,4,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,15,23,15,23,38
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,0,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,80,64,80,64,144
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,80,109,80,109,189
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,3,2,3,5
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,7,1,7,8
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,4,6,4,6,10
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,1,0,1,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,2,1,2,3
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,2,1,2,3
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,10,2,10,12
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,0,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,30,46,30,46,76
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,30,49,30,49,79
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,4,1,4,5
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,3,0,3,3
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,197,261,197,261,458
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,9,26,9,26,35
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,3,0,3,3
SAN LORENZO(PND),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,1,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,25,37,25,37,62
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,7,10,7,10,17
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,5,0,5,5
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,2,1,2,3
SAN PEDRO DE CURAHUARA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,3,5,3,5,8
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,1,0,1,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,0,2,0,2
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,511,76,511,76,587
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,20,16,20,16,36
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,8,0,8,8
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,2,0,2,2
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,13,7,13,7,20
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,145,118,145,118,263
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,6,8,6,8,14
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,84,222,84,222,306
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,5,14,5,14,19
TAHUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,2,2,2,4
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,11,13,11,13,24
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,4,1,4,5
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,4,5,4,5,9
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,7,26,7,26,33
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,19,2,19,21
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,4,0,4,0,4
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,1,2,1,3
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,3,1,3,4
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,1,1,1,2
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,3,0,3,0,3
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,21,31,21,31,52
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,8,6,8,6,14
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,3,9,3,9,12
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,6,8,6,8,14
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,27,106,27,106,133
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,32,42,32,42,74
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,2,1,2,3
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,7,2,7,9
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,5,1,5,6
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,5,4,5,4,9
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,3,16,3,16,19
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,14,21,14,21,35
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,19,28,19,28,47
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,4,1,4,1,5
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,8,3,8,3,11
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,1,0,1,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,0,6,0,6,6
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,9,14,9,14,23
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,9,7,9,7,16
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,8,1,8,9
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,14,28,14,28,42
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,0,2,0,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,3,5,3,5,8
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,84,98,84,98,182
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,1,2,1,2,3
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,2,2,2,2,4
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,30,21,30,21,51
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-04-01,13,14,13,14,27
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-05-01,11,18,11,18,29
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-05-01,0,3,0,3,3
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-05-01,23,21,23,21,44
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-05-01,9,19,9,19,28
ANZALDO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-05-01,0,1,0,1,1
