,group,variable,month,EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,TOTALES,TOTALES,TOTALES
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,5,4,5,4,9
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,4,5,4,5,9
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,19,15,19,15,34
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,3,0,3,3
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,2,2,2,2,4
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,2,6,2,6,8
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,112,5,112,5,117
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,50,57,50,57,107
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,36,44,36,44,80
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,1,1,1,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,1,1,1,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,5,7,5,7,12
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,2,0,2,0,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,3,1,3,4
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,2,0,2,0,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,1,1,1,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,1,1,1,2
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,1,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,4,4,4,4,8
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,4,1,4,5
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,2,2,2,2,4
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,1,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,7,5,7,5,12
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,0,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,2,0,2,2
CAMATAQUI (C. VILLA ABECIA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,12,7,12,7,19
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,0,1,0,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,2,1,2,3
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,2,0,2,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,2,0,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,90,80,90,80,170
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,1,1,1,2
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,5,1,5,1,6
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,21,28,21,28,49
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,1,1,1,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,7,10,7,10,17
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,2,1,2,3
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,0,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,2,2,2,2,4
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,2,1,2,3
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,0,1,0,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,3,2,3,2,5
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,92,105,92,105,197
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,8,9,8,9,17
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,0,1,0,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,4,4,4,4,8
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,0,1,0,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,8,5,8,5,13
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,3,1,3,4
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,0,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,2,1,2,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,0,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,2,1,2,1,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,4,2,4,2,6
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,3,0,3,0,3
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,0,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,0,1,0,1
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,2,1,2,3
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,2,1,2,1,3
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,15,15,15,15,30
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,4,3,4,3,7
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,74,8,74,8,82
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,0,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,25,16,25,16,41
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,1,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,36,63,36,63,99
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,0,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,16,12,16,12,28
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,6,1,6,1,7
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,4,7,4,7,11
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,0,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,5,2,5,2,7
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,1,0,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-04-01,0,1,0,1,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,3,0,3,3
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,1,1,1,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,3,0,3,0,3
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,9,7,9,7,16
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,2,0,2,0,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,9,8,9,8,17
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,1,1,1,2
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,2,3,2,3,5
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,3,0,3,3
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,4,2,4,2,6
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,65,70,65,70,135
COIPASA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,2,0,2,2
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,2,0,2,2
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,3,0,3,3
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,52,44,52,44,96
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,2,0,2,0,2
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,2,0,2,0,2
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,3,1,3,4
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,2,1,2,1,3
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,2,0,2,2
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,54,48,54,48,102
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,3,1,3,1,4
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,11,5,11,5,16
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,5,9,5,9,14
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,2,1,2,1,3
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,6,2,6,2,8
PORCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,5,8,5,8,13
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,1,1,1,2
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,2,0,2,2
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,3,0,3,0,3
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,3,0,3,3
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,2,0,2,0,2
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,2,0,2,2
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,4,0,4,4
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,2,0,2,2
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,3,0,3,0,3
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,5,6,5,6,11
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,140,26,140,26,166
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,36,20,36,20,56
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,5,10,5,10,15
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,1,1,1,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,2,0,2,0,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,8,7,8,7,15
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,5,5,5,5,10
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
VILLA CHARCAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,5,6,5,6,11
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,13,4,13,4,17
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,1,1,1,2
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-05-01,1,0,1,0,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-06-01,2,0,2,0,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-06-01,1,2,1,2,3
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-06-01,3,0,3,0,3
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-06-01,0,1,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-06-01,1,0,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-06-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-06-01,1,0,1,0,1
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-06-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-06-01,12,7,12,7,19
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-06-01,1,0,1,0,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-06-01,0,1,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-06-01,0,1,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-06-01,3,9,3,9,12
