,group,variable,month,EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,TOTALES,TOTALES,TOTALES
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,183,59,183,59,242
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,29,41,29,41,70
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,2,0,2,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,23,60,23,60,83
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,1,0,1,0,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,4,9,4,9,13
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,17,6,17,6,23
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,3,5,3,5,8
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,5,0,5,5
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,2,0,2,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,1,2,1,2,3
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,2,1,2,1,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,1,3,1,3,4
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,1,0,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,1,6,1,6,7
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,1,1,1,2
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,0,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,2,0,2,0,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,8,4,8,4,12
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,1,1,1,2
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,0,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,3,8,3,8,11
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,62,119,62,119,181
COIPASA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,1,1,1,2
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,3,0,3,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,5,8,5,8,13
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,1,1,1,2
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,0,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,2,0,2,0,2
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,2,0,2,2
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,4,0,4,4
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,0,1,0,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,2,0,2,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,55,109,55,109,164
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,4,0,4,4
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,0,1,0,1
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,6,12,6,12,18
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,2,0,2,0,2
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,2,1,2,3
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,2,1,2,3
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,4,0,4,4
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,1,1,1,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,2,1,2,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,11,24,11,24,35
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
SAN ANTONIO DE ESMORUCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,0,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,2,6,2,6,8
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,2,0,2,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,190,55,190,55,245
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,0,1,0,1
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,19,37,19,37,56
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,118,43,118,43,161
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,1,1,1,2
TINGUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,0,1,0,1
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,2,1,2,3
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,9,14,9,14,23
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,10,15,10,15,25
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,0,7,0,7,7
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,3,2,3,2,5
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,0,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,4,1,4,1,5
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-05-01,1,2,1,2,3
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,6,3,6,3,9
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,0,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,2,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,8,1,8,9
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,2,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,3,0,3,3
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,3,0,3,3
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,0,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,2,0,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,64,179,64,179,243
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,2,1,2,1,3
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,4,7,4,7,11
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,2,0,2,2
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,0,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,6,0,6,6
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,3,0,3,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,41,81,41,81,122
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,1,1,1,2
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,3,0,3,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,11,14,11,14,25
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,2,0,2,2
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,2,0,2,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,2,0,2,2
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,1,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,1,1,1,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,2,0,2,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,3,1,3,4
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,5,1,5,6
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,2,0,2,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,3,4,3,4,7
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,2,0,2,2
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,191,57,191,57,248
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,1,1,1,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,48,75,48,75,123
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,3,1,3,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,23,51,23,51,74
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,2,1,2,3
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,2,1,2,3
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,2,1,2,3
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,2,7,2,7,9
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,0,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,0,1,0,1,1
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,2,0,2,0,2
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-06-01,1,1,1,1,2
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,2,1,2,1,3
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,2,0,2,0,2
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,2,0,2,0,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,2,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,1,0,1,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,1,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,2,0,2,0,2
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,1,3,1,3,4
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,2,0,2,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,1,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,89,139,89,139,228
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,4,0,4,4
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,2,7,2,7,9
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,3,13,3,13,16
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,2,0,2,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,2,0,2,2
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,1,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,4,4,4,4,8
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,3,0,3,3
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,4,0,4,0,4
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,1,1,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,132,283,132,283,415
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,2,0,2,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,2,0,2,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,1,0,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,12,21,12,21,33
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,1,1,1,1,2
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,1,0,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,1,2,1,2,3
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,1,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,7,12,7,12,19
REYES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,1,6,1,6,7
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,2,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,1,2,1,2,3
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,1,3,1,3,4
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,2,1,2,1,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,2,6,2,6,8
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,1,0,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,201,66,201,66,267
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,1,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,58,104,58,104,162
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,17,53,17,53,70
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,1,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,3,0,3,3
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,5,13,5,13,18
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,6,13,6,13,19
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,2,1,2,1,3
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,1,0,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-07-01,5,7,5,7,12
