,group,variable,month,CÁNCER CERVICOUTERINO CANTIDAD,CÁNCER CERVICOUTERINO CANTIDAD,TOTALES,TOTALES,TOTALES
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,4,0,4,4
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,293,0,293,293
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,2,0,2,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,17,0,17,17
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,6,0,6,6
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,6,0,6,6
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,2,0,2,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,2,0,2,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,5,0,5,5
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,1,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,83,0,83,83
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,26,0,26,26
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,1,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,81,0,81,81
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,1,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,6,0,6,6
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,4,0,4,4
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,1,0,1,1
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,1,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,3,0,3,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,1,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,1,0,1,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,176,0,176,176
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,1,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,42,0,42,42
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,5,0,5,5
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,1,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,4,0,4,4
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,3,0,3,3
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,1,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-09-01,0,12,0,12,12
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,3,0,3,3
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,1,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,4,0,4,4
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,7,0,7,7
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,1,0,1,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,1,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,23,0,23,23
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,2,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,35,0,35,35
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,22,0,22,22
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,1,0,1,1
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,2,0,2,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,3,0,3,3
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,1,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,70,0,70,70
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,8,0,8,8
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,3,0,3,3
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,6,0,6,6
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,1,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,5,0,5,5
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,1,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,2,0,2,2
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,1,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,164,0,164,164
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,13,0,13,13
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,4,0,4,4
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,3,0,3,3
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,8,0,8,8
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,4,0,4,4
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,5,0,5,5
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,1,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-10-01,0,3,0,3,3
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,1,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,2,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,61,0,61,61
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,1,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,1,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,24,0,24,24
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,2,0,2,2
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,4,0,4,4
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,62,0,62,62
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,5,0,5,5
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,3,0,3,3
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,2,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,3,0,3,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,144,0,144,144
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,19,0,19,19
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,5,0,5,5
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,1,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,3,0,3,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,4,0,4,4
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,2,0,2,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,1,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-11-01,0,1,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,1,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,3,0,3,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,59,0,59,59
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,16,0,16,16
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,2,0,2,2
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,1,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,49,0,49,49
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,7,0,7,7
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,2,0,2,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,2,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,2,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,1,0,1,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,3,0,3,3
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,108,0,108,108
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,25,0,25,25
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,5,0,5,5
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,7,0,7,7
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,5,0,5,5
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-12-01,0,1,0,1,1
