,group,variable,month,CÁNCER OTROS CANTIDAD,CÁNCER OTROS CANTIDAD,TOTALES,TOTALES,TOTALES
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,1,0,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,4,2,4,2,6
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,2,1,2,1,3
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,0,1,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,0,2,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,0,3,0,3,3
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,2,0,2,0,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,4,7,4,7,11
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,9,3,9,3,12
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,3,0,3,0,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,190,417,190,417,607
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,0,1,0,1,1
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,4,13,4,13,17
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,0,2,0,2,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,105,70,105,70,175
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,0,1,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,1,2,1,2,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,0,2,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,8,9,8,9,17
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,1,2,1,2,3
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,0,1,0,1,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,0,1,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,0,1,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,3,0,3,0,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,4,2,4,2,6
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,1,1,1,1,2
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,0,1,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,0,1,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,2,0,2,0,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,181,104,181,104,285
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,0,1,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,99,61,99,61,160
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,6,8,6,8,14
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,4,2,4,2,6
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,4,3,4,3,7
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,3,3,3,3,6
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,0,1,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,1,0,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-08-01,8,2,8,2,10
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,0,1,0,1,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,0,1,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,2,1,2,1,3
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,245,487,245,487,732
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,1,0,1,0,1
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,0,1,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,6,8,6,8,14
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,66,54,66,54,120
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,2,5,2,5,7
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,1,1,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,6,7,6,7,13
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,2,1,2,1,3
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,0,1,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,0,1,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,1,0,1,0,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,2,0,2,0,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,2,1,2,1,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,1,0,1,0,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,0,1,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,1,1,1,1,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,42,79,42,79,121
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,73,92,73,92,165
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,10,8,10,8,18
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,2,2,2,2,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,3,0,3,0,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,5,9,5,9,14
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,0,3,0,3,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-09-01,8,1,8,1,9
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,9,0,9,9
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,2,0,2,2
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,4,0,4,4
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,1,0,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,1,3,1,3,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,1,2,1,2,3
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,3,1,3,1,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,151,334,151,334,485
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,1,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,2,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,7,0,7,7
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,1,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,1,0,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,92,113,92,113,205
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,1,0,1,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,4,12,4,12,16
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,1,0,1,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,6,2,6,2,8
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,1,0,1,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,2,0,2,0,2
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,1,0,1,1
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,2,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,1,2,1,2,3
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,1,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,4,3,4,3,7
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,1,0,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,41,50,41,50,91
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,86,63,86,63,149
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,12,13,12,13,25
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,5,1,5,1,6
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,3,5,3,5,8
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,1,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,1,0,1,0,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,0,2,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,4,1,4,1,5
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-10-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,30,26,30,26,56
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,1,0,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,2,1,2,1,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,2,5,2,5,7
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,2,0,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,157,189,157,189,346
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,0,2,0,2,2
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,1,1,1,1,2
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,1,0,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,4,3,4,3,7
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,6,11,6,11,17
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,0,1,0,1,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,16,69,16,69,85
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,0,1,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,11,10,11,10,21
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,2,1,2,1,3
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,1,0,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,1,0,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,4,1,4,1,5
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,1,0,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,2,11,2,11,13
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,1,0,1,0,1
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,0,1,0,1,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,26,126,26,126,152
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,96,90,96,90,186
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,8,8,8,8,16
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,0,1,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,2,3,2,3,5
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,1,0,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,0,2,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-11-01,7,2,7,2,9
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,1,2,1,2,3
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,1,0,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,2,0,2,0,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,1,0,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,191,426,191,426,617
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,3,0,3,0,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,5,12,5,12,17
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,0,1,0,1,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,1,1,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,58,49,58,49,107
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,1,2,1,2,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,6,8,6,8,14
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,2,0,2,0,2
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,1,0,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,1,5,1,5,6
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,3,0,3,0,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,1,2,1,2,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,0,10,0,10,10
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,57,82,57,82,139
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,108,84,108,84,192
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,13,11,13,11,24
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,1,5,1,5,6
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,2,3,2,3,5
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-12-01,6,3,6,3,9
