,group,variable,month,HABITO DE FUMAR CANTIDAD,HABITO DE FUMAR CANTIDAD,TOTALES,TOTALES,TOTALES
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,2,1,2,1,3
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,1,1,1,1,2
EUREKA (SANTOS MERCADO),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,0,1,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,3,18,3,18,21
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,1,0,1,0,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,1,0,1,0,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,2,0,2,0,2
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,1,0,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,3,1,3,1,4
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,6,3,6,3,9
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,35,15,35,15,50
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,7,4,7,4,11
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,7,3,7,3,10
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,1,0,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,1,0,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,105,42,105,42,147
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,1,0,1,0,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,3,1,3,1,4
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,22,6,22,6,28
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,3,1,3,1,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,59,48,59,48,107
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,2,1,2,1,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,18,26,18,26,44
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,1,0,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,5,0,5,0,5
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,5,2,5,2,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,35,7,35,7,42
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,11,8,11,8,19
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,4,2,4,2,6
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,7,39,7,39,46
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,1,0,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,0,1,0,1,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,1,0,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,1,1,1,1,2
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,4,0,4,0,4
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,1,0,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,2,0,2,0,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,6,2,6,2,8
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,5,1,5,1,6
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,3,0,3,0,3
REYES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,7,2,7,2,9
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,2,0,2,0,2
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,20,12,20,12,32
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,6,0,6,0,6
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,11,0,11,0,11
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,112,46,112,46,158
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,15,5,15,5,20
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,43,6,43,6,49
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,30,4,30,4,34
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,3,1,3,1,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,1,1,1,1,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,1,0,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,0,1,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-09-01,6,2,6,2,8
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,3,2,3,2,5
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,2,0,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,162,19,162,19,181
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,4,0,4,0,4
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,1,0,1,0,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,17,9,17,9,26
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,2,0,2,0,2
EXALTACION,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,1,0,1,0,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,2,0,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,1,2,1,2,3
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,1,0,1,0,1
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,0,1,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,2,0,2,0,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,1,0,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,4,0,4,0,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,17,1,17,1,18
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,1,0,1,0,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,5,2,5,2,7
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,10,12,10,12,22
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,5,0,5,0,5
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,2,0,2,0,2
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,74,52,74,52,126
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,66,0,66,0,66
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,25,26,25,26,51
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,1,0,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,1,1,1,1,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,52,32,52,32,84
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,2,2,2,2,4
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-10-01,2,0,2,0,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,9,4,9,4,13
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,24,6,24,6,30
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,107,17,107,17,124
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,2,0,2,0,2
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,4,28,4,28,32
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,2,0,2,0,2
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,3,0,3,0,3
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,52,0,52,0,52
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,3,0,3,0,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,26,0,26,0,26
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,3,2,3,2,5
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,15,10,15,10,25
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,27,3,27,3,30
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,1,0,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,8,0,8,0,8
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,3,1,3,1,4
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,6,1,6,1,7
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,2,0,2,0,2
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,0,1,0,1,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,4,2,4,2,6
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,1,1,1,1,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,1,0,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,137,73,137,73,210
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,0,2,0,2,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,1,1,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,35,13,35,13,48
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,1,0,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,29,12,29,12,41
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-11-01,1,0,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,1,0,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,12,3,12,3,15
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,138,19,138,19,157
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,144,12,144,12,156
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,4,18,4,18,22
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,2,0,2,0,2
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,1,0,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,2,0,2,0,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,3,0,3,0,3
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,1,0,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,10,2,10,2,12
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,3,1,3,1,4
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,58,19,58,19,77
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,25,6,25,6,31
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,4,0,4,0,4
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,1,0,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,77,37,77,37,114
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,35,10,35,10,45
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,20,11,20,11,31
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,4,1,4,1,5
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-12-01,1,0,1,0,1
