,group,variable,month,PERSONAS CON DISCAPACIDAD CANTIDAD,PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES,TOTALES,TOTALES
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,0,1,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,2,1,2,1,3
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,7,6,7,6,13
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,0,1,0,1,1
ALALAY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,2,1,2,1,3
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,0,1,0,1,1
ANZALDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,2,1,2,1,3
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,4,7,4,7,11
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,0,2,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,4,0,4,0,4
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,0,1,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,8,4,8,4,12
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,115,108,115,108,223
COIPASA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,0,3,0,3,3
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,2,0,2,0,2
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,0,1,0,1,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,49,28,49,28,77
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,0,1,0,1,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,3,0,3,0,3
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,3,1,3,1,4
EXALTACION,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,0,1,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,7,7,7,7,14
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,2,2,2,2,4
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,4,2,4,2,6
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,2,0,2,0,2
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
MAPIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,3,1,3,1,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,5,5,5,5,10
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,9,5,9,5,14
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,3,1,3,1,4
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,0,2,0,2,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,0,1,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,1,1,1,2
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,2,2,2,2,4
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,6,0,6,0,6
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,2,0,2,0,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,3,2,3,2,5
REYES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,4,5,4,5,9
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,1,1,1,2
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,2,1,2,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,2,1,2,3
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,2,0,2,0,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,0,1,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,2,1,2,3
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,0,1,0,1,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,2,1,2,3
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,2,3,2,3,5
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,43,54,43,54,97
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,2,0,2,0,2
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,3,2,3,2,5
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,77,129,77,129,206
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,0,1,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,1,1,1,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,5,7,5,7,12
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,2,0,2,0,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,1,1,1,2
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,0,1,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,0,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,1,1,1,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,1,1,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,4,1,4,1,5
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-05-01,3,6,3,6,9
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,0,1,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,18,24,18,24,42
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,3,3,3,3,6
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,0,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,2,1,2,1,3
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,0,1,0,1,1
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,70,87,70,87,157
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,0,2,0,2,2
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,0,1,0,1
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,0,3,0,3,3
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,31,31,31,31,62
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,0,1,0,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,0,2,0,2,2
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,2,1,2,1,3
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,0,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,2,3,2,3,5
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,13,17,13,17,30
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,0,4,0,4,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,3,1,3,4
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,3,3,3,3,6
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,2,1,2,1,3
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,0,1,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,2,1,2,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,3,4,3,4,7
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,9,4,9,4,13
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,0,1,0,1,1
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,2,1,2,1,3
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,1,1,1,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,0,1,0,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,5,1,5,1,6
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,2,1,2,3
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,2,2,2,2,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,4,0,4,0,4
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,0,3,0,3,3
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,0,1,0,1,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,2,0,2,0,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,0,1,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,4,1,4,1,5
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,41,37,41,37,78
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,94,88,94,88,182
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,3,1,3,4
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,4,7,4,7,11
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,6,5,6,5,11
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,0,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,2,0,2,0,2
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,2,0,2,0,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,0,1,0,1,1
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,0,1,0,1
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,0,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,2,1,2,3
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-06-01,1,0,1,0,1
ANZALDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,5,4,5,4,9
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,1,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,1,1,1,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,0,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,3,4,3,4,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,65,86,65,86,151
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,4,1,4,1,5
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,29,16,29,16,45
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,0,1,0,1,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,2,0,2,0,2
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,0,1,0,1,1
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,2,2,2,2,4
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,0,1,0,1,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,2,0,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,4,5,4,5,9
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,2,4,2,4,6
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,1,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,3,1,3,1,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,6,3,6,3,9
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,2,8,2,8,10
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,1,1,1,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,0,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,2,1,2,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,0,1,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,0,1,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,7,3,7,3,10
REYES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,10,8,10,8,18
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,0,1,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,3,7,3,7,10
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,4,0,4,0,4
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,0,3,0,3,3
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,2,0,2,0,2
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,0,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,0,1,0,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,3,4,3,4,7
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,10,17,10,17,27
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,4,5,4,5,9
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,45,64,45,64,109
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,2,0,2,0,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,51,103,51,103,154
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,0,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,1,1,1,2
TITO YUPANQUI (PARQUIPUJIO),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,0,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,10,8,10,8,18
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,6,9,6,9,15
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,3,1,3,1,4
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,0,2,0,2,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,0,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,0,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,3,1,3,4
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,1,0,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,12,10,12,10,22
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-07-01,7,6,7,6,13
ALALAY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,0,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,0,1,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,1,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,4,4,4,4,8
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,0,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,2,0,2,0,2
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,0,1,0,1,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,75,95,75,95,170
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,4,2,4,2,6
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,4,1,4,1,5
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,9,11,9,11,20
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,13,2,13,2,15
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,0,1,0,1,1
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,0,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,2,1,2,1,3
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,2,0,2,0,2
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,19,35,19,35,54
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,5,3,5,3,8
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,1,1,1,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,5,6,5,6,11
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,4,5,4,5,9
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,0,2,0,2,2
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,3,2,3,2,5
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,0,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,0,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,0,1,0,1,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,1,1,1,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,0,1,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,5,6,5,6,11
REYES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,8,4,8,4,12
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,0,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,2,1,2,1,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,6,2,6,2,8
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,0,1,0,1,1
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,0,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,2,0,2,0,2
