,group,variable,month,ABUSO DE ALCOHOL CANTIDAD,ABUSO DE ALCOHOL CANTIDAD,TOTALES,TOTALES,TOTALES
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,6,2,6,2,8
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,9,1,9,1,10
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,4,1,4,1,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,3,1,3,1,4
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,0,1,0,1,1
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,4,0,4,0,4
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,2,0,2,0,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,1,1,1,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,9,6,9,6,15
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,3,0,3,0,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,13,5,13,5,18
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,34,22,34,22,56
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,10,5,10,5,15
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,0,1,0,1,1
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,2,0,2,0,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,24,5,24,5,29
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,2,1,2,1,3
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,14,2,14,2,16
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,0,1,0,1,1
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,2,0,2,0,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,4,0,4,0,4
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,2,0,2,0,2
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,2,0,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,0,1,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,3,2,3,2,5
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,11,2,11,2,13
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,2,0,2,0,2
ANZALDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,3,1,3,1,4
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,3,4,3,4,7
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,2,0,2,0,2
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,3,1,3,4
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,3,0,3,0,3
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,2,0,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,38,14,38,14,52
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,2,0,2,0,2
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,3,0,3,0,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,0,1,0,1,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,2,0,2,0,2
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,41,6,41,6,47
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,4,0,4,0,4
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,3,0,3,0,3
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,2,0,2,0,2
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,0,6,0,6,6
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,296,59,296,59,355
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,1,1,1,2
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,2,1,2,1,3
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,2,0,2,0,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,3,0,3,0,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,3,0,3,0,3
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,2,0,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,2,5,2,5,7
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,1,1,1,2
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,3,0,3,0,3
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,0,1,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,0,4,0,4,4
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,1,1,1,2
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,6,5,6,5,11
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,7,1,7,1,8
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,11,2,11,2,13
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,4,0,4,0,4
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,18,0,18,0,18
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,5,2,5,2,7
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,6,0,6,0,6
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,3,0,3,0,3
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,29,6,29,6,35
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,2,0,2,0,2
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,3,0,3,0,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,3,1,3,1,4
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,59,20,59,20,79
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,2,0,2,0,2
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,1,1,1,2
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,8,5,8,5,13
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,6,7,6,7,13
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,4,0,4,0,4
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,3,0,3,0,3
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-05-01,1,0,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,17,10,17,10,27
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,6,7,6,7,13
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,2,0,2,0,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,0,2,0,2,2
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,3,0,3,0,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,22,7,22,7,29
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,2,1,2,3
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,0,1,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,0,1,0,1,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,4,2,4,2,6
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,16,3,16,3,19
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,2,0,2,0,2
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,32,7,32,7,39
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,3,0,3,0,3
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,2,0,2,0,2
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,38,25,38,25,63
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,1,1,1,2
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,0,1,0,1,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,3,0,3,0,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,2,0,2,0,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,5,1,5,1,6
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,6,0,6,0,6
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,2,0,2,0,2
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,0,2,0,2,2
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,2,2,2,2,4
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,4,0,4,0,4
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,7,1,7,1,8
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,0,1,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,0,2,0,2,2
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,0,1,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,3,2,3,2,5
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,13,6,13,6,19
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,2,0,2,0,2
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,1,1,1,2
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,12,0,12,0,12
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,54,26,54,26,80
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,28,10,28,10,38
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,24,2,24,2,26
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,1,1,1,2
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,1,1,1,2
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,3,1,3,1,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,3,0,3,0,3
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,2,1,2,1,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,0,1,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,2,0,2,0,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,3,0,3,0,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,4,0,4,0,4
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,1,0,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-06-01,2,0,2,0,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,9,4,9,4,13
ANZALDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,2,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,2,1,2,1,3
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,1,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,4,0,4,0,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,26,3,26,3,29
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,15,7,15,7,22
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,0,1,0,1,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,3,0,3,0,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,11,3,11,3,14
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,1,1,1,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,0,1,0,1,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,12,5,12,5,17
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,3,0,3,0,3
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,2,0,2,0,2
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,1,1,1,2
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,51,182,51,182,233
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,1,0,1,0,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,5,0,5,0,5
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,8,0,8,0,8
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,2,0,2,0,2
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,2,0,2,0,2
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-07-01,3,0,3,0,3
